1890會城			IPA		註釋			translit.	San-wúí		Cantone Sound			
	A													
吖		Á	ʔ	a			1	aa	(Á)	吖	á			
屭		Ái	ʔ	aɪ			2	aai	(Ái)	屭	aí			
挨		Ái	ʔ	aɪ			2	aai	(Ái)	挨	áí			
握		Ák	ʔ	ak			3	aak	(Ák)	握	ak			
鈪		Ák	ʔ	ak			3	aak	(Ák)	鈪	ák			
唵		Ám	ʔ	am	會城音		4	aam	(Ám)	唵	am		1	In the N.E. part of the district this is pronounced aim.
庵		Ám	ʔ	am	會城音		4	aam	(Ám)	庵	òm		1	In the N.E. part of the district this is pronounced aim.
唵		Aim	ʔ	am	會東北音									
庵		Aim	ʔ	am	會東北音									
晏		Án	ʔ	an			5	aan	(Án)	晏	án			
鶯		Áng	ʔ	aŋ			6	aang	(Áng)	鶯	ang			
甖		Áng	ʔ	aŋ			6	aang	(Áng)	甖	áng			
洽		Áp	ʔ	ap			7	aap	(Áp)	洽	ap			
鴨		Áp	ʔ	ap			7	aap	(Áp)	鴨	áp			
扼		At	ʔ	ɐt			8	at	(At)	扼	at			
扼		Át	ʔ	at	又音		8	aat	(Át)	扼				
壓		At	ʔ	ɐt			9	at	(At)	壓	át			
區		Áu	ʔ	aʊ			10	aau	(Áu)	區	áú			
拗		Áu	ʔ	aʊ			10	aau	(Áu)	拗	áú			
	C													
揸	Ch	á	tʃ	a			11	zhaa	(Chá)	揸	chá			
茶	Ch'	á	tʃʰ	a			12	chaa	(Ch'á)	茶	ch′á			
製	Ch	ái	tʃ	aɪ			13	zhaai	(Chái)	製	chaí			
砦	Ch	ái	tʃ	aɪ			13	zhaai	(Chái)	砦	cháí			
差	Ch'	ái	tʃʰ	aɪ			14	chaai	(Ch'ái)	差	ch′áí			
窄	Ch	ák	tʃ	ak			15	zhaak	(Chák)	窄	chák			
測	Ch'	ák	tʃʰ	ak			16	chaak	(Ch'ák)	測	ch′ak			
冊	Ch'	ák	tʃʰ	ak			16	chaak	(Ch'ák)	冊	ch′ák			
斬	Ch	ám	tʃ	am			17	zhaam	(Chám)	斬	chám		2	See shím.
杉	Ch'	ám	tʃʰ	am			18	chaam	(Ch'ám)	杉	ch′ám			
珍	Ch	an	tʃ	ɐn	會城音		19	zhan	(Chan)	珍	chan		3	In the S.W. part of the district this is pronounced chín.
珍	Ch	ín	tʃ	in	會西南音									
盞	Ch	án	tʃ	an			20	zhaan	(Chán)	盞	chán			
產	Ch'	án	tʃʰ	an			21	chaan	(Ch'án)	產	ch′án			
箏	Ch	áng	tʃ	aŋ			22	zhaang	(Cháng)	箏	chang			
爭	Ch	áng	tʃ	aŋ			22	zhaang	(Cháng)	爭	cháng			
橙	Ch'	áng	tʃʰ	aŋ			23	chaang	(Ch'áng)	橙	ch′áng			
閘	Ch	áp	tʃ	ap			24	zhaap	(Cháp)	閘	cháp			
插	Ch'	áp	tʃʰ	ap			25	chaap	(Ch'áp)	插	ch′áp			
枳	T	at	t	ɐt			26	dat	(Tat)	枳	chat			
枳	Ch	at	tʃ	ɐt	又音		26	zhat	(Chat)	枳				
札	Ch	át	tʃ	at	上入聲，名詞		27	zhaat	(Chát)	札	chát		4	A distinction is made in the tones of this word when used ns a Noun or a Verb. In the latter case it is 下入; in the former 中入.
札	Ch	át	tʃ	at	中入聲，動詞									
察	Ch'	át	tʃʰ	at			28	chaat	(Ch'át)	察	ch′át			
籕	Ch	áu	tʃ	aʊ			29	zhaau	(Cháu)	籕	chau		5	In the N.E. part 州 is pronounced the same as in Cantonese, but 州 in the S.W. is pronounced chíú, and with some of the other characters in this class, if not all, the pronuncia tion is such as given above.
爪	Ch	áu	tʃ	aʊ			29	zhaau	(Cháu)	爪	cháu			
炒	Ch'	áu	tʃʰ	aʊ			30	chaau	(Ch'áu)	炒	ch′áu			
池	Ch'	e	tʃʰ	ɛ	前字tʃʰi後字tʃʰɛ		31	che	(Ch'e)	池	ch′i		6	The most of these words under ch‘i in Cantonese, say two-thirds, are ch‘e in San-wúí; for the rest see chi and ch‘í.
針	Ch	em	tʃ	ɛm	僅一例		32	zhem	(Chem)	針	cham		7	There appears to be only one word under this heading. In the S.W. it is chím.
針	Ch	ím	tʃ	ɛm	會西南音									
沈	Ch'	em	tʃʰ	ɛm	會城音		33	chem	(Ch'em)	沈	cham		8	In the S.W. it is pronounced as above, or as ch‘ím.
沈	Ch'	ím	tʃʰ	ɛm	會西南音									
塵	Ch'	en	tʃʰ	ɛn			34	chen	(Ch'en)	塵	ch′an			
摺	Ch	ep	tʃ	ɛp			35	zhep	(Chep)	摺	chíp			
浙	Ch	et	tʃ	ɛt			36	zhet	(Chet)	浙	chít		9	But 折 is pronounced as in Canton.
浙	Ch	ít	tʃ	it	音同廣州									
朝	Ch	eu	tʃ	ɛʊ			37	zheu	(Cheu)	朝	chíu		10	Under this heading some take this pronunciation. But 炤, 昭, and 招 are chíú in San-wúí city and the N.E. and 兆 becomes sheu. One or two of the others, being used almost entirely in the book language, conform to the Cantonese. See ch‘íú and sheu.
炤	Ch	íú	tʃ	iu	書面語音同廣州									
昭	Ch	íú	tʃ	iu	書面語音同廣州									
招	Ch	íú	tʃ	iu	書面語音同廣州									
炤	Ch	íú	tʃ	iu	會西南音，書面語音同廣州									
昭	Ch	íú	tʃ	iu	會西南音，書面語音同廣州									
招	Ch	íú	tʃ	iu	會西南音，書面語音同廣州									
兆	Sh	eu	ʃ	ɛʊ	會城音									
兆	Sh	eu	ʃ	ɛʊ	會西南音									
綢	Ch'	eu	tʃʰ	ɛʊ			37	zheu	(Cheu)	甎	chün		10	Under this heading some take this pronunciation. But 炤, 昭, and 招 are chíú in San-wúí city and the N.E. and 兆 becomes sheu. One or two of the others, being used almost entirely in the book language, conform to the Cantonese. See ch‘íú and sheu.
甎	Ch'	eu	tʃʰ	ɛʊ			38	cheu	(Ch'eu)	綢	ch′au		11	Roughly speaking the most of the characters in this class of words are pronounced as above. 抽 however, is ch‘áu in the S.W. and in some places ch‘eu, and 臭 in San-wúí city itself is ch'íú.
抽	Ch'	eu	tʃʰ	ɛʊ	會城音									
抽	Ch'	áu	tʃʰ	aʊ	會西南音									
臭	Ch'	íú	tʃʰ	iu										
治	Ch	í	tʃ	i	前字tʃi後字tʃɛ		39	zhi	(Chí)	治	chí			
朱	Ch	í	tʃ	i			39	zhi	(Chí)	朱	chü			
痴	Ch'	í	tʃʰ	i	會城音，前字tʃʰi後字tʃʰɛ		40	chi	(Ch'í)	痴	ch′í		12	Some of these are ch‘e. See the note under that class.
遮	Ch	íá	tʃ	ia			41	zhiaa	(Chíá)	遮	che			
車	Ch'	íá	tʃʰ	ia			42	chiaa	(Ch'íá)	車	ch′e			
尺	Ch'	iak	tʃʰ	ɪɐk			43	chiak	(Ch'iak)	尺	ch′ek			
赤	Ch'	iak	tʃʰ	ɪɐk			43	chiak	(Ch'iak)	赤	ch′ik			
㮳	Ch	ím	tʃ	im			44	zhim	(Chím)	月枕	cham		13	Under this heading some of the words, the greater number, are pronounced as here, for instance 斟 and 枕 and with regard to one 針 it is called chim in the S.W., but at San-wúí city and in the N.E. it is chem (See that heading), while at least one word 箴 is chám and another one 砧 tem.
斟	Ch	em	tʃ	ɛm	會城音									
枕	Ch	em	tʃ	ɛm	會城音									
針	Ch	em	tʃ	ɛm	會城音									
浸	Ch	ím	tʃ	im	會西南音									
斟	Ch	ím	tʃ	im	會西南音									
針	Ch	ím	tʃ	im	會西南音									
枕	Ch	ím	tʃ	im	會東北音									
浸	Ch	ím	tʃ	im	會東北音									
針	Ch	ím	tʃ	im	會東北音									
箴	Ch	ám	tʃ	am										
砧	T	em	t	ɛm										
占	Ch	ím	tʃ	im			44	zhim	(Chím)	占	chím		14	In the S.W. this is chem, but in the other parts of the district chím, or chem, or possibly only chím in the other places, With regard to 粘 at all events, it is in the S.W. chim, clty chem, and N.E. chím.
浸	Ch	ím	tʃ	im			44	zhim	(Chím)	浸	tsam			
占	Ch	em	tʃ	ɛm	會西南音									
浸	Ch	em	tʃ	ɛm	會西南音									
粘	Ch	ím	tʃ	im	會西南音									
粘	Ch	em	tʃ	ɛm	會城音									
粘	Ch	ím	tʃ	im	會東北音									
諂	Ch'	ím	tʃʰ	im			45	chim	(Ch'ím)	諂	ch′ím			
陣	Ch	ín	tʃ	in			46	zhin	(Chín)	陣	chan			
陣	Ch	ín	tʃ	in	會城音									
氈	Ch	ín	tʃ	in	會城音		46	zhin	(Chín)	氈	chín		15	In the S.W. chen. Also in the word 戰 the some change takes place, being chen in the S.W. and chín elsewhere; some of the other less used words are chín however.
戰	Ch	ín	tʃ	in	會城音									
陣	Ch	en	tʃ	ɜn	會西南音									
氈	Ch	en	tʃ	ɜn	會西南音									
戰	Ch	en	tʃ	ɜn	會西南音									
廛	Ch'	ín	tʃʰ	in	會城音		47	chin	(Ch'ín)	廛	ch′ín		16	The same change occurs in the S.W. as in the last case, it being pronounced ch‘en.
廛	Ch'	en	tʃʰ	ɜn	會西南音									
正	Ch	ing	tʃ	ɪŋ			48	zhing	(Ching)	正	ching			
秤	Ch'	ing	tʃʰ	ɪŋ			49	ching	(Ch'ing)	秤	ch′ing			
汁	Ch	íp	tʃ	ip	會城音		50	zhip	(Chíp)	汁	chap		17	This class is chep in the S.W.
汁	Ch	ep	tʃ	ɜp	會西南音									
質	Ch	ít	tʃ	it			51	zhit	(Chít)	質	chat			
超	Ch'	íú	tʃʰ	iu			52	chiu	(Ch'íú)	超	ch′íú			
阻	Ch	o	tʃ	ɔ			53	zho	(Cho)	阻	cho			
初	Ch'	o	tʃʰ	ɔ			54	cho	(Ch'o)	初	ch′o			
著	Ch	ök	tʃ	œk			55	zhoek	(Chök)	著	chök			
卓	Ch'	ök	tʃʰ	œk			56	choek	(Ch'ök)	卓	ch′ök			
壯	Ch	ong	tʃ	ɔŋ			57	zhong	(Chong)	壯	chok			
瘡	Ch'	ong	tʃʰ	ɔŋ			58	chong	(Ch'ong)	瘡	ch′ok			
丈	Ch	öng	tʃ	œŋ			59	zhoeng	(Chöng)	丈	chöng			
