	本誌	趙氏	手冊	省誌	概況	資料
陰平	53	53	55	55	55	55
陽平	13	13	14	13	14	213
陰上	323	523	434	324	324	323
陽上	232	232	323	232	33	14
次陽上			41			
陰去	35	34	425	35	35	34
陽去	13	213	273	213	213	213
陰入	5	4	4	5	5	5
陽入	23	24	21	23	2	2
tsɿ1	孜姿咨諮資茲滋孳淄緇錙輜恣					
tsɿ3	子仔籽紫梓					
tsɿ5	積					
tsʰɿ1	雌差（參~）呲疵魑眵					
tsʰɿ3	齒					
tsʰɿ5	廁次刺					
sɿ1	思私司絲斯嘶廝撕螄師					
sɿ3	死史使駛屎					
sɿ5	賜四泗肆					
zɿ2	茨瓷磁慈糍辭詞祠					
zɿ4	是					
zɿ6	伺巳祀似耜俟寺食飼嗣自字氏示視逝誓士仕柿事墅					
tʂʯ1	知蜘之芝支吱枝肢脂梔朱茱株硃珠洙蛛堵豬瀦櫫					
tʂʯ3	止芷址祉趾旨指紙主煮嘴（白）					
tʂʯ5	制製至致緻志誌痣彘詰智置注注蛀疰駐著（顯~）鑄					
tʂʰʯ1	喫（文）蚩嗤媸笞癡吹（白）					
tʂʰʯ3	侈恥處（~理~所)鼠					
tʂʰʯ5	翅					
ʂʯ1	屍詩施紓舒書輸尿（白）					
ʂʯ3	矢豕始水（白）					
ʂʯ5	世試勢黍暑戍恕庶					
ʐʯ2	弛匙持時蒔鰣如儒蠕孺					
ʐʯ4	竪汝					
ʐʯ6	市恃筮樹乳					
dʐʯ2	除滁廚櫥殊遲池					
dʐʯ4	痔峙柱					
dʐʯ6	儲治稚滯住貯					
pi1	屄					
pi3	比					
pi5	鄙泌庇閉臂蔽祕秘					
pʰi1	轡匕披批痞嚭𠜱					
pʰi3	□（~觜）					
pʰi5	屁譬					
bi2	肥（~皁)皮疲脾琵薇（白)					
bi4	□（鞵子~了）					
bi6	被鐾篦避幣婢裨痹痺敝弊斃陛					
mi2	昧眛渳眉（白)媚迷迷麋糜彌泳彌扉靡（~費風~)					
mi4	米					
mi6	味(白)					
fi1	妃非啡菲（芳~~薄）扉緋霏翡斐蜚榧俳痱（文)					
fi3	誹					
fi5	匪肺廢費					
vi2	肥淝微薇(文)唯惟維濰帷					
vi6	費（~氏）吠尾未味					
ti1	低					
ti3	底抵柢砥祗邸帝					
ti5	滴（~下來）蒂締諦					
tʰi1	梯銻					
tʰi3	體軆					
tʰi5	替剃鬄涕屜嚏					
di2	提堤題醍啼蹄					
di6	弟第地棣遞娣隸					
li2	戾氣屢旅梨狸厘高漓琍籬黎驢閭					
li4	禮李理裏鯉俚呂					
li6	淚里利痢莉吏麗儷隸例厲礪勵癘侶鋁履慮濾					
tsi1	疽					
tsi3	擠姐(文)姉(文)					
tsi5	祭際霽済濟劑齊左					
tsʰi1	妻淒悽棲萋蛆趨栖					
tsʰi3	取娶					
