#ᴀ	
p	[1]巴芭疤[5]把{~握，一~}霸
pʰ	[5]怕
b̥	[2]爬琶{琵~}杷{枇~}耙{犁~}拔
m	[2]麻[4]马码{~子}
f	[6]罚
t	[3]打
tʰ	[1]他
n	[5]哪{~个}[6]那
l	[1]拉
k	[1]佳家加嘉[3]假{真~}贾{姓~}[5]假{放~}架驾嫁价
ŋ	[2]牙芽
x	[1]虾{鱼~}
xʱ	[6]下{底~}
s	[3]洒
ʔ	[1]鸦丫{~头，~杈}[3]哑
#ɑi	
p	[3]摆[5]拜
pʰ	[5]派
b̥	[2]牌排[6]败
m	[6]卖
t	[5]戴{姓~，动词}贷代带
tʰ	[5]态太泰
d̥	[6]大
n	[6]耐
k	[1]阶街[3]改解{讲~，~开}[5]溉盖介界械
kʰ	[5]概
ŋ	[3]爱
x	[3]海
xʱ	[2]鞋[6]亥害蟹
ts	[5]再
tsʰ	[5]彩菜蔡
ʔ	[3]矮[5]□{要，想~，重~}
#ɑu	
p	[1]包胞[3]饱[5]暴豹爆
pʰ	[3]跑[5]泡炮
b̥	[2]刨{~地}
m	[6]猫
n	[6]闹
l	[2]劳捞[4]撩{~起来}
k	[1]膏糕交胶[3]搞[5]教{~书；~育}觉{睡~}
kʰ	[1]敲
x	[5]校{~对；学~，上~}孝效校
ŋ	[4]咬
#ɑm	
t	[1]担{~任}耽[3]胆
tʰ	[1]贪[3]毯[5]探{试~，侦~}
d̥	[2]潭谈[6]淡担{挑~}
n	[2]南
l	[2]蓝篮
x	[3]喊
xʱ	[2]咸{~阳}苋{~菜}
d̥z̥	[2]蚕惭残
s	[1]三
#ɑn	
p	[1]班般[3]板
pʰ	[1]攀
b̥	[4]瓣[6]扮办
m	[2]蛮馒{~头}[6]慢
f	[1]翻[2]凡帆烦[3]反[4]贩
t	[1]丹单{~独}
tʰ	[1]滩[5]炭叹
d̥	[2]弹{~琴}[6]旦但弹{子~}蛋
n	[2]难{~易}[6]难{患~}
l	[2]兰拦栏[4]懒[6]烂
k	[1]间{空~，中~}[5]干{~部}
kʰ	[5]看{~见}
ŋ	[4]眼[6]岸
xʱ	[2]闲[6]限还{~有}
tsʰ	[1]餐
s	[5]散{鞋带~了；分~}伞善
ʔ	[5]晏晚
#ɑŋ	
b̥	[2]螃{~蟹}
m	[4]饭
k	[3]讲
xʱ	[6]巷
#ɑp	
t	[7b]搭答
d̥	[8b]达沓{一~纸}
l	[8b]腊蜡
k	[7b]甲胛{肩~}
ŋ	[7b]夹{~菜}
xʱ	[8b]和{~面}合
d̥z̥	[8b]杂
ʔ	[7b]压
#ɑt	
p	[7b]八
m	[7b]抹[8b]袜
f	[7b]发{头~；~生}
tsʰ	[7b]擦
#ɑk	
x	[7b]瞎
#ɐi	
tʰ	[1]胎
d̥	[2]台[6]待袋
i	[2]来
k	[1]该
kʰ	[1]开
ts	[1]灾栽
tsʰ	[1]猜
d̥z̥	[2]才{~能}材财裁[6]在
#ɐu	
p	[3]保宝
b̥	[4]抱
m	[2]毛[6]帽
t	[5]斗{~争}
tʰ	[1]偷[5]透
d̥	[2]头投[6]豆
i	[2]楼流刘留[4]榴{石~}柳[6]漏
k	[1]勾钩沟[3]狗[5]够构
kʰ	[1]抠[3]口[5]扣{~住}寇
ŋ	[4]藕
xʱ	[2]侯喉猴[6]後{~来}后{皇~}厚候
ts	[3]酒
tsʰ	[1]秋{~天}鞦{~韆}[5]凑
s	[1]修羞搜休1[5]嗽{~口}
#ɐm	
l	[2]林淋{~雨}临
k	[1]金
ɡ̊	[2]琴
s	[1]心
#ɐn	
p	[3]本
pʰ	[1]喷{~水，~嚏}
b̥	[2]盆[4]笨
m	[2]门蚊[5]闷[6]问
f	[3]粉[6]份{一~}[5]混{相~}
d̥	[6]屯盾{矛~}顿
n	[6]嫩
x	[3]很
ts	[1]尊遵
tsʰ	[1]村[5]趁衬寸
d̥z̥	[2]存
s	[1]孙[3]损[5]信肾
ȵ	[3]忍
Ø	[1]温瘟[3]稳
#ɐŋ	
t	[5]凳
d̥	[6]邓
k	[1]江
#ɐp	
l	[8a]立笠
k	[7a]夹
x	[7a]盒{烟~}
d̥z̥	[8a]集
#ɐt	
p	[7a]笔
b̥	[8a]鼻
m	[8a]蜜
tsʰ	[7a]七漆
#ɐk	
p	[7a]剥驳北掰{用手~开}
b̥	[8a]雹
m	[7a]墨
t	[7a]得德
tʰ	[7a]特
k	[7a]角
kʰ	[7a]刻{时~，用刀~}
ŋ	[7a]□{砍}
x	[7a]核黑
xʱ	[8a]学
s	[7a]塞
#e	
p	[5]闭
f	[5]废肺费
t	[5]帝
d̥	[6]第
tʰ	[5]替涕{鼻~}剃
n	[6]捏
k	[5]计髻
ɡ̊	[2]杰茄{~子}
ts	[5]借
s	[5]泻卸
ȵ	[3]惹
#ei	
pʰ	[1]批
m	[4]米
f	[6]吠
t	[1]低[3]底抵
tʰ	[1]梯[3]体
d̥	[2]题提蹄啼[6]弟{此词也表示“男”义}地{~上}
n	[2]泥
l	[2]犁
k	[1]鸡肌[5]□{屎}
ts	[5]济剂{一~药}
tsʰ	[5]砌
d̥z̥	[2]齐脐
s	[1]西[3]洗[5]细岁
#en	
f	[1]熏
tʰ	[1]吞
k	[1]今巾斤筋[3]紧
ɡ̊	[2]勤[6]近
ts	[3]剪
tsʰ	[1]亲{~戚；~家}
s	[1]辛新
ȵ	[2]人仁银[6]认
#eŋ	
l	[4]冷
ŋ	[6]硬
ts	[3]整
#ep	
k	[7a]涩
ts	[7a]接
ȵ	[8a]业孽
#et	
k	[7b]结[7a]吉
tsʰ	[7a]撤
s	[8a]舌
ȵ	[8a]热
Ø	[8a]越
#ek	
p	[7b]百
pʰ	[7b]柏迫拍魄
b̥	[8b]白
m	[8b]麦脉
k	[7b]格革隔
kʰ	[7b]客
s	[7a]习
#ən	
m	[2]埋
f	[1]婚分{~开}[2]坟
l	[2]轮
k	[1]跟根
x	[1]痕
ʔ	[1]恩
#əŋ	
p	[1]崩
b̥	[2]朋
t	[1]灯
d̥	[2]藤
n	[2]能
ts	[1]曾{姓}增
d̥z̥	[2]层
#o	
p	[1]菠{~菜}玻{~璃}[5]报
pʰ	[1]坡[5]破
b̥	[2]婆
m	[2]磨{~刀}[6]磨{石~}
f	[1]花[3]火[5]化
t	[1]多
tʰ	[1]拖
d̥	[6]舵
k	[1]哥锅瓜[3]果[5]过个{~人}
kʰ	[1]科[3]可棵颗{一~珠}[5]课货阔
ŋ	[2]瓦{名词}
xʱ	[6]或
ts	[5]左
tsʰ	[5]错{~误}
s	[3]所
#oi	
p	[1]杯碑
pʰ	[5]配佩
b̥	[2]培陪赔[6]倍辈背{~脊，~诵}
m	[2]梅[4]每
f	[1]灰辉[3]悔匪
t	[5]对队兑
tʰ	[3]腿[5]退
n	[6]内
i	[2]雷[6]累类泪
ts	[3]嘴[5]醉
tsʰ	[5]脆翠
d̥z̥	[2]随
s	[1]虽
ʔ	[6]煨
Ø	[2]回[6]汇会{开~}
#oᵘ	
m	[2]谋矛[4]某亩[6]卯貌
f	[3]否
t	[1]刀[3]岛倒{打~，颠~}[5]到道
tʰ	[5]套
d̥	[2]桃
l	[2]牢[4]老[5]辣
n	[4]脑
k	[1]歌高篙{进船竿}[3]稿[5]告
kʰ	[3]考[5]烤
ŋ	[2]蛾鹅俄[6]饿
x	[3]好{~坏}[5]耗
xʱ	[2]河何[6]贺号{~数}
ts	[1]糟[3]早枣蚤[5]皂造{建~}灶
tsʰ	[1]操{~作，~演}[3]草
d̥z̥	[2]曹槽{马~}
s	[3]嫂[5]扫{~地，~帚}
ʔ	[3]袄[5]傲
#om	
f	[6]犯
xʱ	[2]含
ʔ	[5]暗
#on	
p	[1]搬[5]半
pʰ	[1]潘[5]判叛
b̥	[6]伴拌
m	[2]瞒[4]满
t	[3]短[5]段
d̥	[2]团[6]断{~绝，决~}
n	[4]暖
l	[6]乱
k	[1]官棺观{参~}[3]管馆[5]灌
kʰ	[3]款
x	[5]汉焊{~锡壶}
xʱ	[6]汗旱
ts	[1]钻{动词}[5]钻{木工用具}
s	[1]酸[5]算{筭}蒜
tɕʰ	[5]窜
ʔ	[1]庵安鞍[5]按案
Ø	[6]唤换
#oŋ	
b̥	[2]棚篷
m	[2]盟蒙[3]猛
f	[1]丰疯风封峰蜂锋[2]逢缝{~衣服}
t	[1]东冬[5]冻
tʰ	[1]通[3]统桶捅{~破了}[5]痛
d̥	[2]同铜桐[4]筒[6]动栋洞
n	[2]农脓浓
l	[1]聋[2]笼龙
k	[1]公弓躬宫供{~给}[5]贡供{~养，上~}
kʰ	[1]空{~虚}[3]恐[5]控空{~缺}
ɡ̊	[6]共
xʱ	[2]虹{天上的彩虹}红
ts	[1]宗[3]总
tsʰ	[1]聪葱
d̥z̥	[2]重{~复，~庆}丛
s	[1]松[5]送宋
#op	
f	[7b]法{方~}
k	[7b]鸽
#ot	
d̥	[8a]夺
tʰ	[7a]脱蜕{蛇~皮，蝉~}
#ok	
b̥	[8a]薄
m	[8a]木莫幕目
f	[7a]福覆{反~}复{~原}[8a]服伏
d̥	[8a]毒独读
l	[8b]落乐{快~}[8a]鹿禄绿录六陆
k	[7b]各穀{稻~}
kʰ	[7b]确[7a]哭
ts	[7b]作{工~}[7a]足
d̥z̥	[8a]俗族
s	[7b]索{绳~}[7a]束筑缩输{运~}[8b]速宿
ʔ	[7a]屋
#ɔi	
m	[6]妹{此词也表示“女”义}
#ɔŋ	
t	[1]当{~时，应~}[3]党
tʰ	[1]汤[5]烫趟{一~}
d̥	[2]堂[6]当{~作，典~}
l	[2]郎廊狼[6]浪
k	[1]冈岗钢{~材}缸[2]扛
kʰ	[1]康糠[5]抗
x	[2]行{~列，银~}
xʱ	[6]项
ts	[2]藏{隐~}[5]葬
tsʰ	[1]仓
d̥z̥	[6]藏{西~}
#ø	
m	[3]摸
t	[3]朵
n	[6]糯{~米}
l	[2]螺{~蛳}
tsʰ	[1]搓
d̥z̥	[6]坐座谢
s	[3]锁写
#øt	
kʰ	[7a]瘸{~腿}
#i	
p	[3]比{~较}[5]臂
pʰ	[1]披[5]屁
b̥	[2]皮琵{~琶}枇{~杷}[6]被{~子}避备毕必毙
m	[4]尾[6]味
f	[1]飞挥[2]肥[5]痱{~子}
d̥	[6]地{土~}
n	[4]你
i	[2]离{~别，~开半寸}梨李里[4]理鲤礼[6]例荔{~枝}利痢
k	[1]饥{~饿}基机[3]几{茶~}幾{~个}纪{~律；年~}[5]继妓寄忌既季祭
kʰ	[2]其[3]启起欺[5]契{~约}气汽{氣}器弃
ɡ̊	[2]奇骑旗棋
ts	[3]姐子姊
tsʰ	[3]次[5]刺
d̥z̥	[6]自字
s	[1]撕私师狮司丝思[3]死[5]四肆[6]事侍
tɕ	[1]知支资[3]纸只{~有}脂指址[5]翅
tɕʰ	[3]齿
d̥ʑ̥	[2]迟持[6]制{~度}技致治志
ȵ	[2]儿[4]耳[6]二贰{~心}
ɕ	[1]尸诗希稀[3]喜{~欢}豉{豆~}使史始试[5]戏视[6]誓系是氏示似巳士时市式
ʔ	[1]医衣依[3]椅以[5]艺意毅忆亿
Ø	[6]义议易{难~}[2]移姨
#im	
t	[3]点典[5]店殿
tʰ	[1]添
d̥	[2]甜[6]垫{~钱}
n	[6]验
i	[2]帘
k	[5]剑
ɡ̊	[2]钳
kʰ	[5]欠歉
tsʰ	[1]迁笺
tɕ	[1]尖
ȵ	[2]严研[4]染
ɕ	[3]险显
ʔ	[6]燕{~子}
Ø	[1]阉[2]盐嫌[5]厌
#in	
p	[1]边[3]扁
pʰ	[1]篇偏[5]遍{一~}
b̥	[2]便{~宜}贫[4]辫
m	[2]棉[4]免勉[6]面{~粉}
t	[1]颠
tʰ	[1]天
d̥	[2]田填[6]电
n	[2]年
l	[2]连联怜莲[6]练炼
k	[1]艰
ts	[1]煎
tsʰ	[1]千
d̥z̥	[2]钱前[4]俊[6]尽
s	[1]先
ɕ	[1]掀[2]唇[5]献
ȵ	[2]燃
ʔ	[1]烟
Ø	[2]然延言[3]演[6]现
#iŋ	
p	[1]兵[3]柄饼
pʰ	[5]聘拼{~命}
b̥	[2]凭平坪评瓶萍[6]丙病
m	[2]鸣名民[6]命
f	[1]兄
t	[1]丁钉{~子；~住}[3]顶鼎
tʰ	[1]厅[5]听{~见，~话}
d̥	[2]亭停庭[6]订{~约}定
l	[2]邻零[4]领岭[6]令
k	[1]京鲸经[3]景警颈[5]敬镜竞
kʰ	[1]轻{~重，年~}[5]庆
x	[5]兴{高~}
xʱ	[2]赢型
ts	[1]精睛{眼~}[3]井
tsʰ	[1]青[3]请
d̥z̥	[2]情[6]静净
s	[1]星腥[3]省{反~}醒[5]性姓
tɕ	[5]证症正{~月；~确}政
tɕʰ	[5]称{~重}
d̥ʑ̥	[2]程
ɕ	[1]升声[2]乘承成形[5]胜{~任；~败}[6]剩
ʔ	[1]鹰英[5]应{~当；~用：~对；响~}
#ip	
tɕ	[7a]折{打~}
#it	
s	[7a]悉
#ik	
p	[7a]逼壁
pʰ	[7a]僻劈
t	[7a]的{目~}滴
tʰ	[7a]踢
d̥	[8b]敌[8a]笛
l	[8a]力曆{日~}歷{~史}
k	[7a]击
kʰ	[7a]吃
ts	[7a]脊绩
tsʰ	[7a]戚
d̥z̥	[8a]席
s	[7a]息惜析
tɕ	[7b]职[7a]织只{一~}
tɕʰ	[7a]尺
d̥ʑ̥	[8a]置
ɕ	[7a]识适释[8a]食石
ʔ	[7a]易{交~}
#iɑ	
l	[5]舔{以舌~物}
tɕ	[5]诈榨{~油}炸{~弹}
tɕʰ	[1]差{~别；~不多}叉[5]杈{枝~}岔{三~路}
d̥ʑ̥	[2]茶察查{调~}
ȵ	[3]□{妈，母亲}
ɕ	[1]沙纱
Ø	[4]也{~是}野[6]夜
#iɑi	
ɕ	[1]斋[6]寨
tɕʰ	[1]差{出~}
ɕ	[1]筛{~子}
#iɑu	
tɕ	[3]爪{~牙；~子}[5]罩
tɕʰ	[1]抄{~写}[3]炒吵
ɕ	[5]潲{猪食}
Ø	[3]□{逃}□{倒，~水}
#iɑm	
tɕʰ	[1]参
d̥ʑ̥	[4]斩
ɕ	[1]衫
#iɑn	
d̥z̥	[6]溅{~一身水}
tɕ	[3]赞盏展
tɕʰ	[3]铲产
d̥ʑ̥	[6]战站{~立}暂
ɕ	[1]山[2]涎
#iɑŋ	
l	[2]良凉量{~长短}粮梁粱[3]两{几~}[4]两{~个}[6]谅量{数~}
k	[1]姜{姓}[5]降{下~}
kʰ	[1]疆[3]强{~大；倔~}
ɡ̊	[2]强{~弱}
ts	[1]浆[2]墙详[3]蒋桨[5]酱将{大~}[6]像匠
tsʰ	[1]枪[3]抢
s	[1]箱[3]想[6]象
tɕ	[1]张章樟[3]长{生~}掌[5]涨帐账胀
tɕʰ	[1]窗[3]厂[5]唱倡{提~}
d̥ʑ̥	[2]长{~短}肠场常偿[6]丈仗障{保~}
ȵ	[3]□{草}[6]让
ɕ	[1]商伤香乡相[2]尝降{~伏}[3]享响[6]上{~山}
Ø	[1]央秧殃[2]羊洋杨阳扬疡{溃~}[4]养痒
#iɑp	
tɕʰ	[7b]插
d̥ʑ̥	[8b]帚眨{~眼}闸铡
ɕ	[8b]炸{用油炸}
#iɑt	
tɕ	[7b]札
ɕ	[7b]杀
#iɐu	
k	[1]鸠[3]九久韭纠{~正}[5]救究
ɡ̊	[2]求球[4]舅[6]旧
tɕ	[1]周舟州洲
tɕʰ	[1]抽[5]丑臭{香~}
d̥ʑ̥	[2]绸愁仇酬
ȵ	[2]牛[3]□{无，没有}
ɕ	[1]收休2[3]首守手[5]瘦兽[6]受寿
Ø	[1]忧优[2]柔油游尤邮[4]有友[6]右佑柚又
#iɐm	
n	[6]念
tɕ	[1]针
tɕʰ	[2]沉[3]枕{动词，名词}
ɕ	[1]深[5]渗{水~}
Ø	[1]音阴淹荫{屋子很~}
#iɐn	
p	[3]贬
l	[2]廉[6]论{议~}
k	[3]检简[5]间{~断，~或}见
tɕ	[1]珍
ɕ	[1]身申伸[2]神
Ø	[4]引[5]印
#iɐp	
k	[7a]急
ɡ̊	[8a]级
tɕ	[7a]汁
ɕ	[7a]湿[8a]十拾{~起来}
#iɐt	
l	[8a]律
tɕʰ	[7a]出
ȵ	[8a]日
ɕ	[8a]实
Ø	[7a]乙一
#iɐk	
k	[7a]脚
d̥ʑ̥	[8a]贼着{睡~，附~}
ɕ	[7a]色[8a]勺{汤~}
Ø	[8a]药
#ie	
tɕ	[5]蔗
tɕʰ	[1]车{马~}[3]且扯
ɕ	[1]赊[2]蛇[3]捨{~不得}[6]社射舍{宿~}
Ø	[5]爷{爸，父亲}
#iei	
ɕ	[5]世势
#ien	
p	[5]辨辩变
pʰ	[5]骗
b̥	[6]便{方~}
m	[6]面{~孔}
n	[3]碾
k	[5]键建健
ɡ̊	[6]件
ts	[5]箭贱
tsʰ	[3]浅
s	[5]线
tɕ	[5]镇
d̥ʑ̥	[2]陈尘臣辰
ɕ	[5]扇{~子}
#ieŋ	
tɕ	[1]争[5]牚{椅子~儿}
ɕ	[1]生牲甥
#iep	
t	[7a]贴
d̥	[8b]叠碟
l	[8a]猎
Ø	[7a]页[8a]叶
#iet	
b̥	[8a]别{区~，离~}
m	[8a]灭篾{竹~}
tʰ	[7a]铁
i	[8a]栗
ts	[7a]节截
tsʰ	[7a]切{~开}
d̥ʑ̥	[8b]质浙
ɕ	[7a]歇[8a]设室
#iek	
tsʰ	[7b]测
tɕ	[7b]摘
tɕʰ	[7b]拆{~开}册策
d̥ʑ̥	[8a]直值
#io	
tɕ	[1]抓
#ioŋ	
ɡ̊	[2]穷
tɕ	[1]中{当~}忠钟[3]种{~类}肿[5]中{射~}众种{~树}
tɕʰ	[1]充冲[5]嗅{用鼻子闻}
d̥ʑ̥	[2]虫[6]重{轻~}
ɕ	[1]胸凶{吉~}兇{~恶}[2]熊雄
Ø	[2]荣容蓉[4]永[5]勇壅施肥[6]用
#iok	
kʰ	[7a]菊
ɡ̊	[8a]局
tɕ	[7a]竹轴烛
tɕʰ	[8b]畜{~牲}
d̥ʑ̥	[8a]浊镯{~子}
ɕ	[7a]吸[8a]肃熟续赎
ȵ	[8a]肉
Ø	[8b]育
#iu	
p	[1]标彪[5]表{~格}
pʰ	[5]票{车~}漂{~亮}
m	[2]苗[3]秒[6]庙
t	[1]刁雕[3]鸟[5]钓调{音~；~动}
tʰ	[1]挑[5]跳
d̥	[2]条调{~和}
l	[2]聊[4]了{~结}廖{姓}[6]料
k	[1]骄娇[3]剿缴{上~}饺{~子}[5]叫
kʰ	[3]巧[5]窍
ɡ̊	[2]乔桥[6]轿
ts	[1]蕉{芭~}焦椒
s	[1]消宵萧箫[5]笑鞘{刀~}
tɕ	[1]招召[5]照
tɕʰ	[1]超
d̥ʑ̥	[2]朝{今~；~代}
ɕ	[1]嚣烧[3]少{多~}[5]绍
ȵ	[6]尿
Ø	[1]妖邀腰要{~求}[2]摇[6]舀{~水}
#iuŋ	
tɕ	[1]装[5]壮状
