来源：	唐爱华 刘玲燕 2015 《东至龙泉方言研究》
#符号说明：-白=文/书*俗?待考	
#调值	［1］¹¹［2］⁵⁵［3］²¹³［5］¹³［6］³³［7］³⁵［0］
#ɿ	
ts	［1］撕{～开}资［3］子紫姊梓{木～树}滓{渣～}［7］只{～有}□{总是}
tsʰ	［1］雌□{头发一～倒：头发蓬乱、耷拉的样子}［2］瓷糍慈磁辞词祠{～堂}饲{～料}［3］此［5］刺{鱼～}赐次［6］自字巳{～时}柿{～果儿：柿子}寺
s	［1］师狮斯私思丝司［3］死史［5］四［6］似事侍{服～}示［7］虱［0］蛳{螺～}
#ʅ	
tʂ	［1］脂{胭～}知支枝栀{～子花}芝［3］纸旨指{～挥}脂{～肪}止址□{～饭个菜：下饭的菜}［5］稚制智至志［7］汁质织职指{脚～头}执蜘{～蛛}蛰{惊～}窒{阻塞、堵塞；鼻公～着；把缺口～起来}
tʂʰ	［1］痴{～笑木笑：傻笑}□{地滑}［2］持迟□{～鱼：剖鱼}［3］齿耻□{理睬：莫～渠}［5］翅□{吃～着：吃多了}［6］痔{～疮}侄{～郎：侄子}直值治秩{～序}［7］斥
ʂ	［1］施尸诗{～人}［2］时{～间}匙{锁～扒儿：钥匙}［3］始屎［5］世势式试［6］石{～榴}誓氏是视{₂电～}十拾实食伺{～候}市士仕饰［7］湿失室释视{₁近～}适
ʐ	［7］日{₃～历；星期～}
#i	
p	［1］屄{女阴；女孩（骂称）}［3］彼比［5］闭蔽［7］笔毕必逼壁={～虎}碧{～豆：蚕豆}
pʰ	［1］批披蓖{～麻}麻坯［2］琵{～琶}枇{～杷}皮疲脾匹{一～马}痹{麻～}［3］疕痞［5］屁［6］弊币毙鐾{～刀}被{～卧：被子}避庇备鼻{～公：鼻子}篦□{起～：起泡沫}［7］辟［0］鲏{鳑～：一种小鱼}
m	［1］咪［2］迷眉［3］米尾-{～巴儿：尾巴}［6］□{钻～：潜水}秘密蜜［7］咪{唤猫声}
f	［1］非飞妃［2］肥［3］匪翡［5］费肺废痱
t	［1］低［2］犁璃{玻～}梨{～巴儿}离{～婚}驴［3］底抵礼李里理鲤旅{～行；～长}履［5］蒂{～巴儿}渧{水、血等液体往下掉}［6］荔粒虑滤例厉励利痢{屙～}栗{₂板～}立丽帝［7］隶笠的嫡笛历律率{效～}滴□{这}杓{～水：用瓢浇水}［0］狸{狐～}泪{眼～}
tʰ	［1］梯{胡～：木梯}［2］堤题提={～醒}蹄啼［3］体［5］替剃嚏{打～}［6］第弟{～郎：弟弟}地敌
tɕ	［1］鸡几{茶～}基机饥{～荒}［3］挤纪{～律}己几{～个}嘴［5］祭济计继寄记醉季纪{世～}迹={事～}［7］急级吉积绩击激
tɕʰ	［1］妻蛆溪{泥～：地名}欺期{₁}［2］齐脐{₂肚～}奇骑其棋期{₂～中}旗徐［3］取启起娶［5］契{地～}器气汽去-趣［6］技忌{禁～}集及{～格}木极{积～}聚徛{站立}籍{国～}［7］缉{～鞋}戚{亲～}七漆□{做事慢；招惹别人}
ȵ	［2］泥倪尼疑［3］拟蚁{蚂～}［6］逆{₁顺～}腻艺义议毅□{～蚜儿：蝉}□{吃不～：嚼不动}□{为么～：为什么}［7］日{₁～头；～子}逆{₂～风}
ɕ	［1］须{必～；胡～}西嬉{～皮笑脸}希稀□{～服：喜欢}［2］随徙［3］洗喜髓-{豆腐脑～：豆腐脑}玺囟{～门}［5］絮细岁戏［6］系习席叙序绪［7］婿悉袭吸析戌{～时}恤{体～}熄媳{婆～}惜□{～纱：衣服掉纱}［0］婿{女～}
∅	［1］医衣依［2］移姨遗{～子：遗腹子}［3］椅已以［5］亿意忆［6］异易肄［7］乙揖{作～}一益译
#u	
p	［1］包胞菠{～菜}波玻{～璃}［3］跛补褒保堡{碉～}宝饱□{花～lon2：花蕾}［5］布报爆豹［7］不剥驳博搏
pʰ	［1］抛铺潽{液体煮沸后溢出}［2］袍跑刨{～花：木屑}狍婆蒲{菖～}菩{～萨}脯{胸～}［3］颇谱普［5］铺{店～}剖炮{枪～}泡{～水里}破［6］部{干～；～队}步伏{～鸡}抱鲍薄雹{冰～}暴{打风～}［7］泼{～猪}扑仆荸{～荠儿}□{～倒：反过来放}
m	［1］猫-{～儿儿：猫仔}摸{₁}［2］毛-茅{～草}魔磨{～刀}模{～子；～范}摹矛髦{₁时～}□{鸡～：母鸡}［3］亩牡{～丹}母拇{～指}卯{～时}么{～人：谁}［6］冒帽貌茂贸磨{～粉}慕墓莫［7］目牧木摸{₂}寞
f	［1］夫肤敷麸{麦～}［2］俘符扶浮{₂～力}［3］府腑{肺～}斧腐辅［5］ 傅富-副［6］付父妇负服伏附佛{如来～}［7］佛{仿～}复{重～；～兴}福幅{一～布}腹覆
k	［1］姑孤{～佬}佬菇□{快速大口喝}［3］裹古估牯鼓臌［5］故{变～}固雇顾过［7］谷骨{～灰盒儿}
kʰ	［1］箍枯［2］葫{～芦}跍{蹲}［3］苦［5］库裤［7］哭
x	［1］呼［2］湖胡{姓}糊{～涂}壶［3］火伙虎［5］戽{～水}［6］护户斛{禾～}互［7］忽［0］活{快～}
∅	［1］锅蜗{～牛}污乌诬［2］湖-禾-{～草：稻草}吴蜈{₂～蚣}无和{～尚}胡-{～须}狐{～狸}□{涂掉}［3］五伍武舞鹉{鹦～}［5］恶{厌～}［6］务雾误悟［7］屋握［0］卧{被～}
#y	
tɕ	［1］追{₁}猪诸居车{～马炮}蛛{蜘～}株珠朱拘锥{蜂蜇人}［3］煮举主矩{规～}［5］著据锯注句剧［7］橘局□{～菱角：袋子装菱角}
tɕʰ	［1］枢区吹炊渠{沟～}［2］渠{～道}除厨槌锤捶-橱垂储［3］处{～分}拄杵鼠{老～}［5］处{～所}去={～皮}［6］柱住逐具{～体；家～}［7］出屈
ȵ	［2］蜈{₁～ŋan0虫：蜈蚣}鱼渔愚娱［3］女{～家}家语［6］御
ɕ	［1］书舒虚输［2］薯{白～}殊［3］水暑署许［5］恕述术/{算～}［6］术{技～}竖树属
∅	［1］淤{～泥}吁盂{痰～}迂于{～是}［2］余如儒［3］吕与雨宇羽乳{～房}于{在～}旅{～社}［5］喂-{～饭}［6］誉遇寓芋榆逾愉愈浴预豫喻裕籰{线～：绕线工具}［7］玉疫役域日{₂星期～；喜～}
#a	
p	［1］吧{～啦一下儿}扳班{匠～师傅：手艺人}［3］摆板{₁楼～；脚～}［5］拜［7］百柏伯{～～}北八爸{～～}
pʰ	［2］排牌［5］派［6］败白［7］泊{梁山～}拍魄
m	［1］妈{姆～：妈妈}［2］埋□{大～个喉咙：很大的声音}□{没有（副词）}［3］买［6］麦脉卖迈［7］□{～～：奶奶}
f	［1］翻［2］烦［3］反［5］贩畈泛-{～起来}［6］饭犯
t	［1］呆{₂发～}［3］打［5］担{挑一～}戴带大={～夫}
tʰ	［1］胎［2］谈台抬苔{菜～；青～}［3］坦{～平：平坦}［5］太泰［6］大{～小}怠{～慢}待代态{₁～度}贷淡
n	［2］南难{～易}［3］奶{牛～}［6］耐奈难{苦～}［7］哪{～位子：哪里}
l	［2］蓝兰拦栏{牛～}来{₁}□{～尿：小孩子尿床}［3］懒［6］烂赖{～皮}癞［7］□{～人：被虫子咬或被热油烫过后皮肤产生灼热感}□{～开：裂开}
tʂ	［1］斋［3］盏展斩［5］债蘸［7］摘
tʂʰ	［1］掺钗差{出～}［2］柴［3］铲产［6］寨［7］拆
ʂ	［1］筛山鳃{鱼～}衫{～袖}［2］柴豺瀺?{流～：流口水}［5］晒［7］䅴{谷～：禾穗}［0］□{赖～：不干净}
ts	［1］灾栽［3］宰载{年～}□{～子：建筑用的碎石}［5］再载{～重}［7］侧{₁～倒望人}
tsʰ	［1］猜餐［2］才材财裁［3］彩采睬［5］菜蔡［6］在
s	［1］三［3］伞散{鞋带～着}［5］散{分～}赛［7］萨{拉～}
k	［1］街皆阶［2］咯{～～：鸡蛋、鸭蛋}［3］碱拣裥{打～：打褶}减解{～开；理～；无着～：没有办法}［5］概{₁}界芥戒解{～树：锯树}□{平斗斛的木片}［7］隔格［0］个{红～：红的}
kʰ	［1］揩［2］衔-{燕子～泥}［3］凯楷［5］嵌{₁}𬮿{挨着，靠着}［7］客
ŋ	［1］挨{～近}［2］岩埃呆{₁～子：傻子}挨{～到头}［3］矮眼{～珠：眼睛}［5］晏［6］艾碍外-
x	［1］憨哈{打～～}□{移动某物；打扰某人}［2］孩鞋咸{～淡}还{～有}闲［3］蟹{螃～}□{～米：簸米}［5］□{把饭菜热一下}［6］苋{～菜}［7］赫吓{～一跳}
∅	［1］阿{～姨；～胶}
#ia	
t	［3］嗲
tɕ	［3］解={～放军}［5］械届介［7］姐{₂～～}
tɕʰ	［7］吃{₁}
ɕ	［3］懈
∅	［5］□{鸡～：鸡屎粪}
#ua	
tʂ	［5］拽
tʂʰ	［3］揣踹
ʂ	［1］衰靴{₃}［3］甩耍［5］帅率{～领}［7］刷摔{～倒；～出去}□{打：～人；～一巴掌}
k	［1］乖关［3］拐［5］怪
kʰ	［5］会{～计}块快筷
x	［2］怀槐淮［3］□{～来～去：甩来甩去，摇摇晃晃}［6］坏［7］□{～开：开}
∅	［1］歪弯［2］还{～债}环{₁～子：耳环}［3］□{舀：～水，～米}［6］万外=［0］为?{难～：谢谢}
#ya	
ɕ	［1］靴{₄}
∅	［7］□{使劲喊}
#æ	
p	［1］搬［5］半绊
pʰ	［2］盘{～扣儿}［6］拌伴
m	［2］瞒［3］满［6］漫{水～出来}
t	［1］端灯{₁～芯，洋油～}［3］短等
tʰ	［2］团藤誊腾［6］段缎锻断{切～}
n	［3］暖
l	［3］冷卵［6］乱
tʂ	［1］沾踭{脚～：脚后跟}
tʂʰ	［2］缠
ʂ	［1］生={～日；～子：鸡下蛋；～个：生的}［3］省［5］搧{～风}［6］□{性格孤傲，难以相处}
ts	［1］争-钻{～mi6：潜水}［5］甑□{形容人很吝啬}钻{钢～；～石}
tsʰ	［1］氽{～汤}［2］曾{～孙}全{₁}层{₁}□{真～着你：多亏了你}［6］□{发～：身子颤抖，站不稳}旋{头发旋儿}
s	［1］酸［5］算
k	［1］跟根耕［3］哽埂亘□{～～一日：整整一天}
kʰ	［3］肯啃
ŋ	［6］硬
x	［3］狠很
#iæ	
p	［1］编鞭边［3］贬扁蝙{～蝠}［5］变
pʰ	［1］偏篇［2］便{～宜}［3］片{尿～}［5］骗遍［6］便{方～}
m	［2］棉眠{～梦：做梦}［6］面
t	［2］镰廉帘怜莲连联［3］脸敛点典［5］店［6］练炼楝{苦～子树}恋{₁～家}
tʰ	［1］天添［2］田填甜［3］舔［5］掭{～笔}［6］电{₁手～筒}垫□{～菜：荠菜}
tɕ	［1］尖煎肩坚［3］减=剪捡茧趼［5］剑箭见
tɕʰ	［1］签牵{～牛}谦{～文：客气}千铅=［2］钱前潜钳全{₂}泉{龙～；～水}挦{～鸡毛：拔鸡毛}［3］浅［5］欠牵?{挂念}［6］健件俭践
ȵ	［1］粘{～起来}□{～巴儿：马上}［2］严研言{₁}［3］染俨撵捻碾研{～磨}［6］念酽
ɕ	［1］鲜仙先掀［2］嫌贤咸{～丰}［3］险选癣擤{～鼻脓水：擤鼻涕}［5］线羡宪献现{～世}［6］馅现{～子：现在}
