	符號說明：-白，=文
#ɿ	
ts	[1]資姿咨茲滋之芝紫=[3]梓子仔
tsʰ	[1]輜{～重}[2]辭詞祠瓷糍{～粑}慈磁痔鋤雌紫-[3]此次巳{辰～}[6]自字牸{牝牛}寺飼
s	[1]梳疏蔬斯廝撕私思絲獅師司伺嗣[3]似史駛使祀[6]士仕柿俟事侍
k	[2]佢{他}
kʰ	[3]去
#a	
p	[1]巴芭疤笆爸叭[2]□{掛：背～鉤鐮}[3]把{～握}霸䎱垻壩{水～}
pʰ	[1]趴葩[2]爬杷耙琶筢潖扒[3]怕帕[6]罷稗
m	[1]媽馬碼[2]麻痳蔴嫲{婦人}蟆[6]罵
f	[1]花[2]華鏵樺劃華{～山}[3]化[6]畫話
v	[1]窪蛙
t	[3]打
tʰ	[1]他她它牠鉈
n	[1]挪[2]拿[3]哪[6]那
l	[1]拉啦罅{縫兒}[3]喇
ts	[1]渣查{姓}抓[3]詐榨炸乍蚱
tsʰ	[1]叉杈差{～別}岔釵滓[2]茶搽{塗抹}查{調～}楂{山～}茬
s	[1]沙砂紗痧莎鯊[3]耍灑
tʃ	[1]遮[3]者[6]蔗
tʃʰ	[1]車{馬～}奢賒[3]扯{撕～}[6]扠{拎}
ʃ	[1]社[2]蛇畲[3]舍捨赦[6]射麝
k	[1]家傢{～具}加痂枷嘉佳[3]架駕嫁稼假{真～，放～}價賈
ŋ	[1]我{我的}[2]牙伢芽衙蚜[3]雅{優～}[6]訝迓
h	[1]哈下-[2]蝦哈{～腰}霞瑕遐暇蛤{～蟆}[6]下=夏廈{～門，大～}
∅	[1]阿{～膠，～哥}鴉丫{～頭}椏{～杈}[3]啞
#e	
p	[2]跛{～腳}扒{划船}
pʰ	[1]批[3]痞{不正，歪}
m	[1]姆{母親}
v	[3]穢
t	[1]低[3]底
tʰ	[2]蹄啼[3]弟-替涕{鼻～}剃
n	[2]泥尼
l	[2]犁黎[3]□{邊}
ts	[3]縩{亂～，絲瓜}
tsʰ	[1]篩{～子}[3]砌脆
s	[1]嘶{叫喊}[3]洗細婿歲-
tʃʰ	[3]滯{停～}
ʃ	[1]舐[3]世勢
k	[1]街雞[3]解{鬆開}[6]□{（輕）撬～}
