ID	声	韵	调	字	注释	声母序	韵母序	带注释的字	韵母
1	ts	ɿ	1	知		12	1	知	#ɿ
2	ts	ɿ	1	蜘		12	1	蜘	#ɿ
3	ts	ɿ	1	之		12	1	之	#ɿ
4	ts	ɿ	1	芝		12	1	芝	#ɿ
5	ts	ɿ	1	资		12	1	资	#ɿ
6	ts	ɿ	1	姿		12	1	姿	#ɿ
7	ts	ɿ	1	咨		12	1	咨	#ɿ
8	ts	ɿ	1	兹		12	1	兹	#ɿ
9	ts	ɿ	1	滋		12	1	滋	#ɿ
10	ts	ɿ	1	脂	〜肪	12	1	脂{〜肪}	#ɿ
12	ts	ɿ	1	梓		12	1	梓	#ɿ
13	ts	ɿ	1	輺		12	1	輺	#ɿ
14	ts	ɿ	1	滓		12	1	滓	#ɿ
4591	ts	ɿ	1	□	油、水渗出	12	1	□{油、水渗出}	#ɿ
15	ts	ɿ	3	紫		12	1	紫	#ɿ
16	ts	ɿ	3	姊		12	1	姊	#ɿ
17	ts	ɿ	3	旨		12	1	旨	#ɿ
18	ts	ɿ	3	指		12	1	指	#ɿ
19	ts	ɿ	3	止		12	1	止	#ɿ
20	ts	ɿ	3	址		12	1	址	#ɿ
21	ts	ɿ	3	趾		12	1	趾	#ɿ
22	ts	ɿ	3	滓		12	1	滓	#ɿ
23	ts	ɿ	3	子		12	1	子	#ɿ
24	ts	ɿ	3	只		12	1	只	#ɿ
25	ts	ɿ	5	智		12	1	智	#ɿ
26	ts	ɿ	5	致		12	1	致	#ɿ
27	ts	ɿ	5	志		12	1	志	#ɿ
28	ts	ɿ	5	痣		12	1	痣	#ɿ
29	ts	ɿ	5	至		12	1	至	#ɿ
31	ts	ɿ	5	置		12	1	置	#ɿ
32	ts	ɿ	5	诘		12	1	诘	#ɿ
4592	ts	ɿ	5	□	从古就制定下的：重五吃粽子是老早就～起的	12	1	□{从古就制定下的：重五吃粽子是老早就～起的}	#ɿ
33	ts	ɿ	7	子	小而坚硬的块状物或粒状物：石头～	12	1	子{小而坚硬的块状物或粒状物：石头～}	#ɿ
34	tsʰ	ɿ	1	嗤		13	1	嗤	#ɿ
35	tsʰ	ɿ	1	痴		13	1	痴	#ɿ
36	tsʰ	ɿ	1	疵		13	1	疵	#ɿ
37	tsʰ	ɿ	1	雌		13	1	雌	#ɿ
38	tsʰ	ɿ	3	此		13	1	此	#ɿ
39	tsʰ	ɿ	3	齿		13	1	齿	#ɿ
40	tsʰ	ɿ	3	耻		13	1	耻	#ɿ
41	tsʰ	ɿ	3	侈		13	1	侈	#ɿ
42	tsʰ	ɿ	3	眵		13	1	眵	#ɿ
43	tsʰ	ɿ	3	础		13	1	础	#ɿ
