繁體	简体	聲韻	聲調	注釋		阴平324	阳平423
□	□	bã	423	跨		阴上53	阳上21
□	□	bu	423	朵		阴去55	阳去223
傍	傍	bɔ̃	423			阴入5	阳入24
坪	坪	biŋ	423			轻声0	
培	培	bei	423				
塳	塳	bəŋ	423	～塵：灰塵			
婆	婆	bu	423				
嫖	嫖	biɑɔ	423				
巴	巴	bo	423	下～			
平	平	biŋ	423				
彭	彭	bɛ	423				
憑	凭	biŋ	423				
排	排	bɑ	423				
旁	旁	bɔ̃	423				
朋	朋	bɛ	423				
杷	杷	bo	423				
枇	枇	bi	423				
棚	棚	bəŋ	423				
棚	棚	bɛ	423				
滂	滂	bɔ̃	423				
爬	爬	bo	423				
爿	爿	bã	423				
牌	牌	bɑ	423				
琵	琵	bi	423				
琶	琶	bo	423				
瓢	瓢	biɑɔ	423				
疲	疲	bi	423				
皮	皮	bi	423				
盆	盆	bɛ	423				
盤	盘	bɛ	423				
篷	篷	bəŋ	423				
簰	簰	bɑ	423				
緶	缏	bie	423				
肥	肥	bi	423	洋～皂			
脾	脾	bi	423				
膨	膨	bɛ	423				
菩	菩	bu	423				
蒲	蒲	bu	423				
蓬	蓬	bəŋ	423				
薸	薸	biɑɔ	423	浮萍			
螃	螃	bɔ̃	423				
袍	袍	bɑɔ	423				
評	评	biŋ	423				
貔	貔	bi	423	～貅：刺蝟			
貧	贫	biŋ	423				
賠	赔	bei	423				
鈀	钯	bo	423				
陪	陪	bei	423				
頻	频	biŋ	423				
龐	庞	bɔ̃	423				
□	□	duɛ	423	濕			
□	□	dəŋ	423	～雨：下雨			
亭	亭	diŋ	423				
停	停	diŋ	423				
同	同	doŋ	423				
唐	唐	dɔ̃	423				
啼	啼	di	423				
圖	图	du	423				
團	团	duɛ	423				
團	团	dəŋ	423	面精～			
堂	堂	dɔ̃	423				
堤	堤	di	423				
塗	涂	du	423				
塘	塘	dɔ̃	423				
屠	屠	du	423				
屯	屯	dəŋ	423				
庭	庭	diŋ	423				
廷	廷	diŋ	423				
徒	徒	du	423				
投	投	dəu	423				
抬	抬	da	423				
掏	掏	dɑɔ	423				
提	提	di	423				
桃	桃	dɑɔ	423				
桐	桐	doŋ	423				
條	条	diɑɔ	423				
棠	棠	dɔ̃	423				
淘	淘	dɑɔ	423				
滕	滕	dəŋ	423				
潭	潭	duɛ	423				
濤	涛	dɑɔ	423				
甜	甜	die	423				
田	田	die	423				
瞳	瞳	doŋ	423				
童	童	doŋ	423				
筒	筒	doŋ	423				
糖	糖	dɔ̃	423				
膛	膛	dɔ̃	423				
臀	臀	dəŋ	423				
臺	台	da	423	～灣			
舵	舵	du	423				
苔	苔	da	423	青～衣：青苔			
萄	萄	dɑɔ	423				
藤	藤	dəŋ	423				
蜓	蜓	diŋ	423				
螳	螳	dɔ̃	423				
調	调	diɑɔ	423	～和			
謄	誊	dəŋ	423				
謄	誊	dɛ	423				
豚	豚	dəŋ	423				
蹄	蹄	di	423				
逃	逃	dɑɔ	423				
途	途	du	423				
鈿	钿	die	423				
銅	铜	doŋ	423				
錢	钱	die	423	一～			
長	长	dɛ	423	～短			
陀	陀	du	423				
陶	陶	dɑɔ	423				
頭	头	dəu	423				
題	题	di	423				
飩	饨	dəŋ	423				
馱	驮	du	423				
駝	驼	du	423				
騰	腾	dəŋ	423				
騰	腾	dɛ	423				
□	□	guã	423	拎，提			
□	□	guəŋ	423	米粒完整飽滿			
□	□	gəu	423	刮			
懷	怀	guɑ	423	～裏			
渠	渠	gi	423	他			
狂	狂	gɔ̃	423				
癸	癸	guei	423				
繪	绘	guei	423				
葵	葵	guei	423				
軌	轨	guei	423				
