	注释：-白讀					
#a						
p	[1]巴芭笆疤[3]把飽-[5]霸壩豹[6]爸罷					
pʰ	[1]拋{~網}脬{~囊}[5]帕-[6]泡-					
b	[2]麻貓蝥-					
m	[2]麻[3]馬瑪螞媽碼[1]罵嗎					
t	[1]礁焦{訓，曝~}[5]罩					
l	[1]拉啦[2]蜊-[5]納{~涼}					
ts	[1]查{~埠，男；~畝，女}[3]早-[6]昨-					
tsʰ	[1]差[2]柴[3]吵炒[5]詫吒					
s	[1]沙{豆~}[2]傻					
k	[1]膠鉸-{~刀}[3]絞-[5]教-窖[6]咬-					
kʰ	[1]骹{腳}[3]巧[5]扣-					
h	[1]呵-{~氣}[5]孝-{帶~}					
∅	[1]阿鴉亞					
#aʔ						
pʰ	[7]拍					
b	[7]肉{訓}					
t	[7]答-{~應}搭[8]踏-					
tʰ	[7]塔-[8]疊-{重~}					
l	[8]蠟獵-臘皂{訓}					
ts	[8]閘鍘-					
tsʰ	[7]插					
k	[7]甲胛					
kʰ	[7]籗{捕魚籠}較{~好}					
h	[7]哈[8]合{~意}					
∅	[7]鴨押[8]匣					
#o						
p	[1]玻褒婆菠[2]婆[3]保堡褓寶[5]報簸[6]暴					
pʰ	[1]波坡頗[3]叵跛頗[5]破剖[6]抱粕-					
b	[2]無-[3]母拇[6]帽-磨-					
m	[1]摸[2]魔毛磨[6]耄冒瑁[7]麽[8]膜					
t	[1]多刀[2]逃駝砣陀掏萄陶濤[3]島倒搗禱[5]到[6]盜道導稻惰舵桌					
tʰ	[1]滔拖它韜弢叨[2]桃[3]討[5]套妥唾					
n	[1]娜[2]糯懦猱[3]娜[6]兩-					
l	[8]羅鑼牢勞蘿籮[3]老惱-{煩~}[6]嫪勞-{耳~}					
ts	[1]遭[2]曹槽[3]左早棗[5]做佐灶[6]坐座皂造					
tsʰ	[1]磋蹉搓臊操[3]草[5]錯糙操剉造					
s	[1]騷梭唆娑莎搔[3]鎖嫂瑣[5]掃燥躁[6]唆					
k	[1]哥歌高篙糕膏蓋皋[2]翗[3]果裹稿果縞[5]告過個					
kʰ	[1]科[3]考可洘{水幹}[5]靠誥課客[6]予-					
ɡ	[2]鵝鼇-訛俄[6]餓					
ŋ	[2]娥俄蛾訛[3]我[6]臥餓					
h	[1]薅蒿呵饕[2]和何河禾荷毫豪[3]好-[6]賀號禍					
∅	[1]窩阿屙蒿鏖媧倭[2]蠔[3]襖[5]澳懊					
#oʔ						
p	[7]搏-[8]薄-箔-					
l	[8]落-					
ts	[7]作-{種~}					
s	[7]索-[8]鐲-					
k	[7]閣胳					
h	[8]鶴					
∅	[7]惡-[8]學-					
#ɛ						
p	[1]扒{~飯}[2]爬耙琶杷-[3]把-[6]爸-					
pʰ	[5]帕					
b	[3]馬-碼					
m	[2]糜{稀飯}[5]妹					
t	[2]茶					
ts	[1]查楂渣[5]炸榨詐蚱債[6]寨砦					
tsʰ	[1]差{出~}叉岔[2]查-{~戶口}[5]廁-					
s	[1]紗裟沙些[3]灑					
k	[1]家加嘉佳[2]枷[3]假賈[5]嫁價架駕[6]下-					
ɡ	[2]牙芽衙[6]訝					
h	[2]霞蝦瑕遐[6]夏下廈暇					
∅	[3]啞-[6]下-					
#ɛʔ						
p	[7]百-柏-伯-[8]白-					
b	[8]麥-					
m	[7]咩					
tʰ	[8]宅					
ts	[7]績-{紡~}仄-雀{麥~}					
tsʰ	[7]冊-					
k	[7]隔-[8]逆-					
kʰ	[7]客-					
h	[7]赫嚇{威~}					
#e						
t	[1]低堤{崩~}[3]短-[6]袋-代-{朝~}					
tʰ	[1]釵推-{~托}胎-[5]退替					
l	[2]螺-					
ts	[3]姐[6]坐-					
tsʰ	[3]扯{~皮}[5]脆-					
s	[1]些					
ɡ	[5]個					
∅	[3]矮					
#eʔ						
p	[7]八-捌-[8]拔-					
l	[8]笠-					
ts	[7]節-[8]絕-					
s	[7]雪-[8]踅-褯{項~}					
k	[7]莢鍥					
kʰ	[7]篋					
h	[7]歇-					
∅	[8]狹-					
#ai						
p	[2]排牌[3]擺跛-[5]拜[6]敗					
pʰ	[5]派沛湃					
b	[2]埋眉-楣-[3]䆀{壞}					
m	[3]買[6]賣邁					
t	[1]呆[2]臺埋{訓}[3]滓-{油~}[5]戴帶[6]大代貸岱殆怠駘黛					
tʰ	[1]胎苔篩{~米}颱{風~}[3]汰[5]太泰態[6]待					
n	[3]乃奶迺[6]耐奈賴籟癩鼐瀨					
l	[2]來梨-萊[3]睞[6]裏利-					
ts	[1]栽災知-[2]才材財裁臍[3]宰指{手~}滓崽[5]再載[6]在載-{船~}					
tsʰ	[1]猜釵[2]柴才豺[3]采彩睬[5]菜蔡[6]祀-{~神}					
s	[1]師-獅-西-腮犀-[3]使-駛-屎[5]婿塞使[6]姒-{同~}侍{服~}					
k	[1]皆該偕階賅[3]改解[5]蓋介界戒芥丐屆疥					
kʰ	[1]開[3]楷凱[5]慨概愾溉					
ɡ	[2]崖涯獃[6]礙					
ŋ	[6]艾乂刈					
h	[1]唉[2]孩頦諧骸[3]海駭[6]害亥邂懈械蟹薤					
∅	[1]哀埃挨[3]藹矮毐[5]愛隘縊					
#au						
p	[1]包胞[2]苞匏庖刨鮑[3]飽					
pʰ	[1]拋刨[3]跑[5]泡炮袍[6]抱[8]雹					
b	[3]卯茆昴					
m	[2]矛茅蝥蟊鍪[6]貌					
t	[1]兜[2]投[3]斗-[5]晝-{日午}鬥-{相~戲}[6]豆-					
tʰ	[1]偷[2]頭-[5]透[6]毒{動詞，毒殺}					
n	[2]撓[3]腦惱[6]鬧					
l	[2]樓-劉-流-留-[3]老-{~練}[5]落-[6]漏-老-鬧-{~熱}					
ts	[1]糟笊[2]巢剿[3]走-蚤-[1]灶-奏[1]找					
tsʰ	[1]抄鈔操[3]草-炒吵[1]臭-湊-					
s	[1]掃-嗽哨					
k	[1]交蛟郊勾溝-鉤-[2]猴-侯-[3]狡-狗-九-[5]較夠-校{~對}教[6]呼					
kʰ	[1]鬮敲[5]扣叩-哭					
ŋ	[2]熬爻肴崤[6]藕					
h	[1]酵[2]候[3]吼[5]孝[6]劾鱟候後{生~}					
∅	[1]歐凹甌漚坳[2]喉-[3]嘔毆拗嫗-[3]後-					
#ou						
p	[1]埔晡埠[2]蒲莆匍[3]補黼[5]布佈怖傅[6]步捕哺部					
pʰ	[1]鋪{床~}[2]菩[3]普譜浦圃[5]鋪[6]簿					
b	[2]謀模牟眸漠嫫謨[3]某畝牡[6]茂暮幕慕貿					
t	[1]都[2]圖屠荼途塗[3]斗抖睹賭陡[5]鬥{戰~}妒蠹[6]度渡鍍豆肚逗					
tʰ	[1]偷[2]上塗塗{泥土}徐[3]土[1]吐兔菟透					
n	[2]奴[3]努[6]怒					
l	[2]盧蘆顱爐摟樓[3]魯櫓虜鹵[5]露[6]路璐漏陋賂					
ts	[1]鄒諏租陬芻[2]齟[3]祖阻走殂組咀[1]奏輳祚[6]助驟祚胙					
tsʰ	[1]粗[3]楚礎[5]醋措					
s	[1]蘇酥搜甦疏					
k	[1]姑菰辜孤枯觚鴣鉤溝[2]糊{~紙}[3]古鼓牯估構股蠱垢[5]顧雇固媾構故夠[6]怙詁					
kʰ	[1]箍[3]苦口許-{姓}[5]叩扣寇庫褲					
ɡ	[2]吳吾梧蜈[6]誤五-晤-寤-					
ŋ	[3]我伍五[6]悟					
h	[1]呼滹[2]侯猴篌喉狐瓠糊					
∅	[1]烏嗚謳漚鷗鄔[2]胡湖壺[3]嫗漚嘔[5]惡[6]芋-					
#ei						
p	[5]蔽					
pʰ	[1]批紕[3]陛睥[6]稗-					
b	[2]迷[3]買[6]賣袂					
t	[1]低羝隄堤[2]題蹄偍[3]底-抵-[5]帝締諦戴{姓}[6]地弟第遞娣悌棣					
tʰ	[1]梯釵推{~托}[2]提禔啼[3]體醴[5]啻替涕剃退-					
l	[2]黎犁藜[3]禮澧醴-蠡[6]麗荔厲隸戾儷					
ts	[1]擠儕躋賚齋[2]齊蠐臍[3]濟[5]祭際濟霽[6]多{訓}					
tsʰ	[1]妻萋棲初淒[5]妻					
s	[1]西犀疏-梳-[3]洗-所黍-[5]細					
k	[1]雞稽嵇街笄[2]鮭-[3]改-解-[5]計繼疥-[6]易-					
kʰ	[1]溪谿稽[3]啟[5]契喫					
ɡ	[2]倪猊霓[3]閱詣倪[6]藝羿					
h	[1]醢[2]奚俟蹊攜兮[6]系禊蟹					
∅	[1]挨-[2]鞋-[3]矮[6]解{-曉得}					
#ã						
pʰ	[5]冇{~穀，不飽滿的稻穀}怕					
t	[1]擔-{~穀}[3]打膽-[5]擔-{兩~}					
tʰ	[1]他					
n	[2]籃-藍-{姓}林-{樹~}岩{龍~，地名}[3]拿那[6]若-{~是}					
s	[1]衫-三-[7]□{~話，打斷別人的話}					
k	[1]監-{~獄}橄-[3]敢-[5]酵-{~母}					
kʰ	[1]坩-{飯~}					
h	[3]嚇{威脅人}					
∅	[6]餡-{豆~}					
#õ						
h	[3]火好[5]好貨					
#m						
h	[2]茅{黃~}					
∅	[3]姆[6]毋					
#ŋ						
p	[1]傍-{相~}[3]榜-[6]傍-{倚~}					
t	[1]當-[2]長-堂-唐-腸-[3]漲-[5]當-[6]丈-					
tʰ	[1]湯-[2]糖-[5]燙-[6]搪-					
n	[2]郎-榔-					
ts	[1]莊-妝-贓-裝-[6]狀-髒-					
tsʰ	[1]瘡-倉-艙-[2]床-					
s	[1]霜-喪-桑-[3]爽-{玩}					
k	[1]扛-					
kʰ	[1]糠-康-{姓}[5]囥{藏東西}					
∅	[1]央-秧-[3]蔭{訓}[5]向-					
#ãi						
pʰ	[3]否{~人}
#am						
t	[1]擔耽湛耽[2]談譚澹{訓，濕}[3]膽啖[5]擔[6]淡澹琰					
tʰ	[1]貪探[2]潭覃曇痰[3]忐[5]探					
l	[1]婪喃[2]男南喃藍楠嵐籃[3]覽欖攬[6]濫艦檻					
ts	[1]簪[3]斬嶄[5]蘸[6]站					
tsʰ	[1]參驂滲攙[2]慚巉讒[3]慘磣[5]懺					
s	[1]三衫杉三[3]摻糝[5]毿					
k	[1]甘柑泔疳監[2]含-[3]敢感橄[5]監贛鑒					
kʰ	[1]堪龕戡[3]砍坎[5]勘瞰坎					
h	[1]蚶酣邯頷-[2]咸含銜函[3]喊撼[6]陷餡憾					
∅	[1]庵諳[2]涵{~洞}[3]黯[5]暗[6]頷{頸}					
#ap						
t	[7]答搭[8]遝踏蹋					
tʰ	[7]榻塌塔遢					
l	[8]納臘衲獵蠟					
ts	[7]匝劄紮[8]雜什十-					
tsʰ	[7]扡歃					
s	[7]屑					
k	[7]蛤鴿					
kʰ	[7]恰郃闔[8]磕					
h	[7]洽[8]合					
∅	[7]壓[8]盒狎					
#an						
p	[1]班斑扳頒[2]瓶-[3]板版舨阪⑶扮辦瓣					
pʰ	[1]攀扳[2]盤[5]盼襻					
b	[2]蠻閩漫饅鰻[3]挽-[6]慢萬曼蔓漫幔					
t	[1]丹單鄲簞[2]陳-{姓}[3]等-[5]旦蛋誕[6]但憚					
tʰ	[1]灘攤癱蟶-[2]彈檀壇[3]坦亶疸毯趁[5]歎炭趁					
l	[1]趼-{疤痕}[2]難雯蘭攔欄鱗-[3]懶赧咱{訓}[6]難爛					
ts	[1]曾-{姓}[2]殘層-[3]盞趲[5]贊讚瓚纘[6]贈-					
tsʰ	[1]餐潺飡飱[2]蠶[5]燦					
s	[1]山刪珊[3]產散鏟㾪{瘦}[5]散線汕霰					
k	[1]間竿杆奸肝艱奸[3]幹簡趕柬稈杆[5]諫澗間					
kʰ	[1]刊看牽[3]侃肯-[5]看					
ɡ	[2]顏言-[3]眼研-[6]岸諺彥雁贗					
h	[1]頇[2]寒閑韓嫻[3]罕悍焊[5]漢暵[3]汗旱翰瀚					
∅	[1]安鞍鵪[5]按案晏[6]限					
#at						
p	[7]八捌[8]別-{~人}					
b	[7]別{認識}[8]密-					
t	[7]妲噠[8]達值-					
