来源：	《介休（张兰镇）方言音系研究》王树苗著  Vinchi录入增补
说明：	代表张兰音系
符号说明：	-白=文
调值	[1] 13  [3]523  [5]45  [7]13  [8]523
#ɿ	
n	[3]你-
ts	[1]支枝肢资姿咨瓷-｛搪～：洋～｝兹滋梓慈-之｛总~｝芝□｛~下：抬起某身体部位或抬起某容器，准备好去接某物｝[3]紫纸姊只｛~有｝脂旨指=｛~手画脚｝子｛棋～：~女｝止趾址[5]自至冀-｛村名：闫～堡｝字志 
tsʰ	[1]雌疵｛吹毛求～｝差｛参~｝眵｛脓~｝瓷=｛~器｝慈=磁｛~石｝辞词曲｛村名：小宋~｝[3]此齿[5]刺赐翅次伺 
nᶻ	[5]腻-｛形容人许久没有洗澡，身上油～重｝
s	[1]斯厮撕施匙｛汤～：钥～｝私师狮尸=嗜司丝思祠饲诗时肥-｛裤有点~｝□｛（tʃʰi[1]） ~：蜥蜴｝□｛～气：饭馊了｝[3]死｛～伤｝屎使史驶始[5]是氏四肆示视似祀巳｛辰~｝寺嗣士仕柿事试市恃侍费-｛太 ~水｝□｛水~婆：蜻蜓｝
#i	
p	[1]婆-｛~：丈夫的母亲｝皮-｛~脸｝[3]簸｛~—~｝蓖｛~麻｝彼鄙比秕｛~谷｝饼-｛摊煎~｝ [5]簸｛~箕｝蔽敝弊毙币闭箅｛~梳｝陛｛~下｝臂=被｛~子｝婢被避备篦病-□｛水（sɿ）~：蜻蜓｝
pʰ	[1]坡-批披皮=疲脾｛~气｝琵｛～琶｝枇｛～杷｝ [3]脾｛~胃｝痹｛麻～｝[5]破-｛~了｝庇屁拚｛~命｝劈-边-｛旁~ ｝
m	[1]魔-｛～子：疯子：～了：疯了｝磨-｛～刀：~面：熬～：痛苦地度过时间｝蘑｛~菇｝迷谜=糜｛粥｝弥靡眉楣明-｛~了：天亮了；~亮｝名-｛~字｝[3]米抹｛揩~｝[5]磨｛石~｝面｛这 ~~；北～子｝名-｛要~ ｝
t	[1]多-驼-｛骆~｝驮｛拿，～起来｝[5]大-｛~人 ：父母或长辈｝驮｛驴～~｝爹
tʰ	[1]拖-鐾｛~刀布:把刀~~｝堤提=｛～土旁｝[3]躺-[5]屉｛抽~｝
l	[1]罗-｛村名：～王庄｝锣-｛敲～～打鼓鼓｝箩｛～～；～面｝萝-｛～卜｝[3]□｛扭，～住胳膊｝
tɕ	[1]茄｛西村说法｝阶秸｛麦~｝街鸡骑-饥｛~ 饿｝肌几｛茶～：～乎｝基杞-｛枸～~｝机讥箕｛簸～｝[3]姐解｛~开｝己几｛~个｝[5]左-｛~手｝借介芥疥届戒械｛机～厂｝祭｛~祀｝荠稽计继寄技妓冀=痣纪记忌既季镜-｛映~子｝寂
tɕʰ	[1]搓-｛～鱼：一种面食：～脊背｝揩妻=齐=脐=栖=奇骑=岐祈鳍欺杞=｛～人忧天｝其棋期｛时~｝旗[3]且启起岂[5]笡契｛~ 约｝企器弃气汽泣 
ȵ	[1]挨-｛~掴｝泥倪宜-尼疑[3]你=[5]腻= 
ɕ	[1]些邪斜谐鞋=犀溪携畦｛菜~~｝徙牺嬉熙希稀兴-｛村名：～地村｝席夕[3] 写喜[5]泻卸谢懈解｛姓｝蟹系｛联~ ｝戏泄｛~漏｝屑｛不~｝灺-｛火～了：火灭了｝
k	[1]哥-｛大～：妻兄｝
kʰ	[1]□｛全：～这兀｝[3]可-｛～了：病情好转｝
ŋ	[1]蛾-讹-屙｛排泄（大便）：～屎｝[3]我- [5]饿｛~得不行了｝
x	 [1]河-孩-□｛水蒸气烫手:~人｝[3]荷-｛拿:~ 上东西再走｝
Ø	[1]爷崖-｛村名：后崖头｝宜=仪移伊夷姨医衣依遗揖｛作~｝蝇-｛～子｝贏-[3]耶也｛~~是｝野蚁倚椅=矣已以委-｛~托｝尾-｛~巴｝影-｛~ （xuʌʔ[1]）子｝[5]夜｛~来：昨天｝艺谊义议易｛难～：交～｝意异毅曳拖逸应-｛答~｝忆亿抑翼映-｛~～镜子｝亦液腋□｛跌~｝□｛一圪～：一会儿｝
#u	
p	[1]脯｛～子头｝葡｛～萄｝[3]堡-｛村名： 田～；穆家～｝补捕[5]布布怖｛恐~｝部簿步埠｛商~｝抱-｛~住｝菢｛~～鸡娃｝
pʰ	[1]铺｛～设｝菩｛~萨｝仆[3]谱普浦蒲脯｛杏～｝[5]铺｛店～｝
m	[1]模-｛~子：～范｝毛-｛~孩：小孩儿；～～：短毛｝谋物-{不~正业}[3]某亩母拇[5]暮慕墓募幕牧 
t	[1]朵-｛一圪～蒜｝都｛~城｝[3]肚｛猪～｝堵赌笃[5]妒杜肚｛腹~｝度渡踱
tʰ	[1]徒屠途涂｛～料｝图[3]土吐｛~痰; 呕～｝[5]兔
k	[1]姑孤箍牯菇咕[3]古估｛~计｝股 鼓[5]故固雇顾
kʰ	[1]枯[3]苦[5]库裤酷 
x	[1]呼胡湖狐壶乎葫=｛~芦｝胡瓠｛~子;～瓜｝肤敷｛~衍｝俘｛~虏｝孵｛～小鸡｝麸｛麦~子｝讣｛～告｝符扶芙｛~蓉｝佛｛仿~｝幅蝠｛蝙~｝蝴糊｛～窗子｝[3]虎府腑俯甫斧抚釜腐辅[5]浒｛水~｝户沪互护夫付赋傅赴父附富副妇负缚咐□｛~水：浑浊的水｝□｛凑～：可以｝
Ø	[1]吴蜈｛~蚣｝吾梧｛~桐｝乌污无巫诬侮 [3]午｛晌~:中~｝武舞[5]误悟鹉｛鹦~ ｝务雾戊勿=□｛信～：猫头鹰｝ 
#y	
t	[1]朵-｛耳～｝□｛～～：圆形物体｝□｛摔：～了｝ [3]朵-｛一～花｝躲-[5]剁｛~肉｝垛｛柴~｝ 
tʰ	[5]唾
tɕ	[1]居车｛~马炮｝渠-｛水~~｝拘驹瞿[3]举□｛给：～你｝[5]坐-座-据锯｛~子, 木头｝巨拒距聚俱矩｛规～｝句=｛~号｝具惧柜-｛~～：一种老式柜子｝剧｛～烈:戏～｝□｛量词： 一~牛｝
tɕʰ	[1]渠=趋枢区｛～域｝驱[3]去｛来~：～皮 ｝
ȵ	[1]鱼[3]女=语-
ɕ	[1]靴墟｛~市｝虚嘘｛吹～｝需=兄-｛～弟：弟弟｝ 戌隧-｛～道｝[3]梭-｛织布～｝锁-徐许[5] 畜=｛~牧｝
Ø	[1]渔於｛~此｝淤余馀愚虞娱吁迂于盂芋榆=逾偷围-｛~葱｝茔｛老～；～地｝[3] 语=与｛及：给~｝雨宇禹羽[5]御誉｛荣~ ｝预豫遇寓愈｛～好；病～｝喻裕喂-｛～饭｝郁育=玉欲=浴峪
#ɐr	
Ø	[1]儿而[3]尔耳饵[5]二贰｛~心｝
#ʮ	
ts	[1]猪除-｛~非｝诸诛蛛厨-｛~房；～子｝朱珠句｛年～下｝[3]阻煮杵拄｛~拐｝主帚｛笤～｝ [5]著｛显~｝助驻注柱住注蛀铸 
tsʰ	[1]除=储｛~蓄｝初锄=厨=｛~师｝触｛~电｝[3] 楚础｛柱下石｝处｛相～｝雏[5]处｛~所 ｝
nᶻ	[3]女
