繁体	简体	声韵	声调	注释		阴平：334	阳平：312
丕	丕	pʰi	334			阴上：423	阳上：312
偏	偏	pʰie	334			阴去：55	阳去：22
剖	剖	pʰo	334			阴入：5	阳入：2
噴	喷	pʰɤŋ	334				
坯	坯	pʰɛ	334				
姘	姘	pʰiɪŋ	334				
批	批	pʰi	334				
披	披	pʰi	334				
拋	抛	pʰao	334				
拼	拼	pʰiɪŋ	334				
攀	攀	pʰa	334				
泡	泡	pʰao	334				
漂	漂	pʰiao	334				
潘	潘	pʰø	334				
烹	烹	pʰã	334				
篇	篇	pʰie	334				
胚	胚	pʰɛ	334				
鋪	铺	pʰu	334				
頗	颇	pʰo	334				
飄	飘	pʰiao	334				
他	他	tʰa	334				
偷	偷	tʰɤu	334				
吞	吞	tʰɤŋ	334				
坍	坍	tʰa	334				
天	天	tʰie	334				
廳	厅	tʰiɪŋ	334				
拖	拖	tʰa	334	白			
拖	拖	tʰo	334	文			
挑	挑	tʰiao	334				
推	推	tʰɛ	334				
攤	摊	tʰa	334				
梯	梯	tʰi	334				
汀	汀	tʰiɪŋ	334				
添	添	tʰie	334				
湯	汤	tʰɔ̃	334				
滔	滔	tʰao	334				
灘	滩	tʰa	334				
聽	听	tʰiɪŋ	334				
胎	胎	tʰɛ	334				
台	台	tʰɛ	334	天～，～州			
苔	苔	tʰɛ	334	舌～			
貪	贪	tʰø	334				
通	通	tʰoŋ	334				
乖	乖	kua	334				
交	交	kao	334				
佳	佳	ko	334				
光	光	kuɔ̃	334				
公	公	koŋ	334				
冠	冠	kua	334	衣～			
剛	刚	kɔ̃	334				
功	功	koŋ	334				
加	加	ko	334				
勾	勾	kɤu	334				
君	君	kyøŋ	334				
哥	哥	ko	334				
嘉	嘉	ko	334				
圭	圭	kuɛ	334				
均	均	kyøŋ	334				
姑	姑	ku	334				
孤	孤	ku	334				
官	官	kua	334				
家	家	ko	334				
居	居	ky	334				
岡	冈	kɔ̃	334				
崗	岗	kɔ̃	334				
工	工	koŋ	334				
干	干	kie	334	～濕			
干	干	kie	334				
庚	庚	kã	334				
戈	戈	ko	334				
扛	扛	kɔ̃	334				
拘	拘	ky	334				
捐	捐	kyø	334				
更	更	kã	334	～换，五～			
柑	柑	kie	334				
根	根	kiɪŋ	334				
棺	棺	kua	334				
歌	歌	ko	334				
歸	归	ky	334				
江	江	kɔ̃	334				
泔	泔	kie	334				
溝	沟	kɤu	334				
瓜	瓜	ko	334				
甘	甘	kie	334				
篙	篙	kao	334				
粳	粳	kã	334				
糕	糕	kao	334				
綱	纲	kɔ̃	334				
缸	缸	kɔ̃	334				
羔	羔	kao	334				
羹	羹	kã	334				
耕	耕	kã	334				
肝	肝	kie	334				
膏	膏	kao	334				
膠	胶	kao	334				
蚣	蚣	koŋ	334				
規	规	kuɛ	334				
觀	观	kua	334	參～			
詭	诡	kuɛ	334				
該	该	kɛ	334				
豇	豇	kɔ̃	334				
跟	跟	kiɪŋ	334				
車	车	ky	334	～馬炮			
軍	军	kyøŋ	334				
郊	郊	kao	334				
鈞	钧	kyøŋ	334				
鉤	钩	kɤu	334				
鋼	钢	kɔ̃	334				
鍋	锅	ko	334				
閨	闺	kuɛ	334				
關	关	kua	334				
駒	驹	ky	334				
高	高	kao	334				
鰥	鳏	kua	334				
龜	龟	ky	334				
刊	刊	kʰø	334				
區	区	kʰy	334				
圈	圈	kʰyø	334	圓～			
坑	坑	kʰã	334				
坤	坤	kʰuɤŋ	334				
堪	堪	kʰø	334				
奎	奎	kʰuɛ	334				
寛	寛	kʰua	334				
崑	昆	kʰuɤŋ	334				
嵌	嵌	kʰa	334				
康	康	kʰɔ̃	334				
揩	揩	kʰa	334				
摳	抠	kʰɤu	334				
敲	敲	kʰao	334				
昆	昆	kʰuɤŋ	334				
枯	枯	kʰu	334				
棵	棵	kʰo	334				
樞	枢	kʰy	334				
盔	盔	kʰuɛ	334				
科	科	kʰo	334				
空	空	kʰoŋ	334				
窠	窠	kʰo	334				
箍	箍	kʰu	334				
糠	糠	kʰɔ̃	334				
