tsɿ	1	支枝肢資姿諮茲滋之芝
tsɿ	3	紫紙姊[～妹]脂旨指子梓滓止址
tsɿ	5a	制[～服]製[～造]智只[～有]致稚至置志誌痣
tsɿ	5b	□[舉]
tsʰɿ	1	雌嗤摛[～手：伸手]
tsʰɿ	3	此恥齒[(存疑)搭理]
tsʰɿ	5b	刺翅次秩賜滯[(存疑)吃～了：因難吃再也不願吃]
sɿ	1	斯廝撕施私師獅屍司絲思詩
sɿ	2	池馳瓷糍遲慈磁辭詞祠持時
sɿ	3	死屎矢使史駛始
sɿ	4	牸[～牛：母黃牛]是豉侍自-[～己]
sɿ	5a	世勢誓逝匙氏四肆示視嗜似祀士仕柿事試市恃式□[tsʰiəu33①～：經常]□[xi45⑤A～：炫耀]
sɿ	5b	□[～鼓崽：荸薺]自=[～然]巳飼伺治字=[～典]
sɿ	6	自-[～己]字-[寫～]痔
pi	1	屄[女陰]
pi	3	彼比
pi	5a	閉潷[擋住渣滓或泡着的東西把液體倒出的動作]陛痺
pi	5b	弊敝斃幣蓖筆畢必逼碧
pʰi	1	批披匹潷[擋住渣滓或泡着的東西把液體倒出的動作]
pʰi	3	鄙丕
pʰi	5b	蔽臂避[～開]屁庇弼僻璧壁
bi	4	鼻[～頭]
bi	5b	被[～打]備
mi	1	微[(存疑)～～唧：一點兒]
mi	2	迷
mi	3	米
mi	5a	蜜
mi	5b	泌謎
fi	1	非飛痱妃
fi	2	皮疲枇脾肥
fi	3	匪榧翡
fi	4	被[絮～：被子]鼻[～頭]篦
fi	5a	廢肺費
fi	5b	未[～時]櫃
fi	6	味[冇～：沒味]
ti	1	低
ti	3	底抵
ti	5a	帝的[目～]蒂[～坨：鍋蓋上的把手]
ti	5b	敵□[踮起腳尖：～起腳尖]
tʰi	1	梯
tʰi	3	體□[扯]
tʰi	5b	替涕剃隸嫡笛狄
di	2	題提=[～要求]蹄啼
di	5b	弟=[～弟]第遞地=[～區]
di	6	地-[～下]
li	1	粒[一～米]藜[(存疑)植物上的刺]捏[(存疑)用兩隻大拇指擠壓死蝨子類的動作]
li	2	堤[～壩]泥-[～巴]犁黎離璃[玻～]梨厘狸
li	3	弟-[老～]禮履[～行]李裡[屋～；～子]鯉
li	5a	麗利痢吏栗力荔立笠粒[一～米]歷[～史；日～]□[高～：上面]
li	5b	泥[～鰍]
tsi	1	擠稽追鯽-[～魚]
tsi	5a	祭際濟劑最績唧[詞綴，表小稱、愛稱等]
tsi	5b	即鯽=[～魚]積=[～極]跡脊績
tsʰi	1	妻七-[～十歲]漆膝
tsʰi	5a	戚[親～]
tsʰi	5b	趣砌脆翠粹集[～體]輯疾[帶～：形容人輕度殘疾或東西受到輕微損傷]籍積[疳～]七=[田～]
si	1	犀西[～方]
si	2	齊臍垂隨髓誰
si	3	洗水=[～泥]
si	5a	西[東～]細稅瑞
si	5b	習悉息熄媳析惜昔夕婿
tɕi	1	雞知飢[～餓]饑[～荒]肌基己紀[年～]杞幾[～乎]機譏織[～布]汁[出～：流膿]□[～·sɿ葉：紫蘇]
tɕi	3	幾[～個]紀渠[他]
tɕi	5a	鋸計繼繫[～鞋帶]冀記忌既季
tɕi	5b	蟄執級急=[着～]吸侄質吉職識擊激蜘[～蛛·tɕiəu.mᴀ̃13②·mᴀ̃：蜘蛛]
tɕʰi	1	欺溪[梁～：地名]炊[～事員]
tɕʰi	3	啟起[～屋：蓋房子]豈
tɕʰi	5b	去契器棄氣汽泣及[～格]直值極赤=[～道]
ɕi	1	兮犧熙希稀濕十[三～]□[～·tʰᴀ：不講衛生]
ɕi	2	奇騎祁鰭其棋期旗
ɕi	3	璽喜蟢
ɕi	4	徛[站立]繫[～子：桶、籃子等的提手]
ɕi	5a	係[關～]繫[聯～]戲十釋□[告～：告訴]
ɕi	5b	技妓失室石=[～灣：地名的新讀法]飾適實食日=[～本]□[～fε45⑤A：沒見過的新鮮東西]
i	1	伊醫衣依一-[～二三]易-[～得：容易]□[～·ᴀ：媽媽]
i	2	宜儀移尼[～姑]夷姨疑飴遺泥=[水～]
i	3	倚椅以□[近指代詞]
i	5a	藝縊誼義議易[姓；容～]毅意異憶億抑益譯佑[保～]熱[鬧～：熱鬧]
i	5b	一=[第～名]逆□[熄滅]
pʋ̩	3	補
pʋ̩	5a	布佈怖不簸[～一～]
pʰʋ̩	1	鋪[～開]捕覆-[碗口朝下放置]
pʰʋ̩	3	普譜簿[賬～]
pʰʋ̩	5b	鋪[～子]赴訃樸卜撲僕瀑[～布]伏[趴着]破-[～魚：治魚]
mʋ̩	5a	慕募墓暮
fʋ̩	1	呼夫[丈～]膚敷俘孵麩[～子肉：粉蒸肉]覆=[翻～：正反]
fʋ̩	2	蒲菩湖狐壺[～lʊ45⑤A：瓶子]葫糊=[～塗]胡[姓]符扶芙無□[量詞，用於大小便]
fʋ̩	3	虎滸府腑俯斧腐=[～敗]輔許
fʋ̩	4	部-[一～車]撫武舞
fʋ̩	5a	付賦傅附富副[一～]負服-[～侍：照顧]戽
fʋ̩	6	步[一～]霧[～露：霧水]
fʋ̩	5b	部=[～隊]戶父忽福復[～原]複[～習]互服=[～氣]
kʋ̩	1	姑孤箍穀-[擔～]過[燃～了：燃盡了]
kʋ̩	3	牯[～子：公羊]古股鼓估□[魚～鳥：翠鳥]
kʋ̩	5a	過-[～來]牯[黃～：黃牛]故固僱顧
kʋ̩	5b	穀=[～雨]䀦[瞪眼]
kʰʋ̩	1	枯哭
kʰʋ̩	3	苦
kʰʋ̩	5b	褲庫酷跍[蹲]
ʋ̩	1	烏巫誣屋
ʋ̩	2	禾吳[姓]蜈吾梧鵝[崖～子：老鷹]
ʋ̩	3	捂五伍午鵡
ʋ̩	5a	婆-[外～]悟誤[錯～]握[把～]務污[經～：耐髒]沃
ʋ̩	5b	鬍[～子]物握[～手]糊-[塗抹]
fy	1	書舒虛噓輸[～贏；運～]
fy	2	錘[一～：一拳]除儲如廚薯殊渠儒瞿櫥
fy	3	暑許水
fy	4	苧[～麻]汝柱豎[～起來]宇乳
fy	5a	鼠[老～子]庶恕術述
fy	5b	俱[傢～]具懼槌錘[～公：錘子]入
fy	6	住樹睡[tsʰiəu33①～：打瞌睡]
y	1	於淤盂芋[～子]
y	2	魚漁余餘愚虞娛榆逾愉愈
y	3	女語與雨禹羽
y	5a	御禦譽預豫遇寓喻裕域役疫欲浴慾玉□[～桶：尿桶]芋[洋～：馬鈴薯]餵
pe	5b	別=[區～]
pʰe	5b	別-[～人]□[～開：避開]撇[～開]
fe	1	血-[出～]□[捱～：磨嘰]
fe	3	否
fe	5b	說=[～明書]血=[～糖]
te	1	得-[～病]
te	5b	跌[～價]得=[～好處]德
tʰe	1	鐵-[～鍋]貼-[～被：鋪在下面的被子]天[～井]
tʰe	5b	帖[請～]碟諜蝶牒鐵=[～路]特
le	1	捩[歪]劣[很不聽話]
le	5b	列烈裂劣肋勒
tse	1	接節[過～]□[輕微跛腳]
tse	5b	節=[一～課]截責則絕=[～對]
tsʰe	1	切
tsʰe	5b	廁絕-[～種]賊側測澤擇=[選～]策冊
se	1	雪-[落～]澀塞[～倒：塞住]蝨嗇[～巴子：小氣鬼]
