序號	目次	聲	等	呼	韻部	調	反切	攝	字	古韻羅馬字	有女羅馬字	備註	正心擬音	推導拼音	小韻字數	hiunnOrder	平水韻目		說明：平聲31 上聲33 去聲15 入聲34
1	上平1東	端	一	開	東	平	德紅	通	東菄鶇䍶𠍀倲𩜍𢘐涷蝀凍鯟𢔅崠埬𧓕䰤	tung	tung		tuŋ	dong1	17	上01	東		
2	上平1東	定	一	開	東	平	徒紅	通	同仝童僮銅桐峒硐𦨴𧱁筒瞳㼧𤭁罿犝筩潼曈洞侗橦烔䴀挏酮鮦㼿𦏆𦍻眮蕫穜衕𩍅𢈉䆚哃𢏕絧𨝯𨚯𪔝𩦶𪒿	dung	dung		duŋ	tong2	45	上01	東		
3	上平1東	知	三	開	東	平	陟弓	通	中衷忠𦬕	triung	tiung		ʈɨuŋ	zhong1	4	上01	東		
4	上平1東	澄	三	開	東	平	直弓	通	蟲沖种盅爞𦬕翀	driung	diung		ɖɨuŋ	chong2	7	上01	東		
5	上平1東	章	三	開	東	平	職戎	通	終衆(眾)潨𣧩𧑄𩅧䝦䶱䈺螽鼨蔠柊鴤泈	cjung	tjung		tɕɨuŋ	zhong1	15	上01	東		
6	上平1東	徹	三	開	東	平	敕中	通	忡浺盅	thriung	thiung		ʈʰɨuŋ	chong1	3	上01	東		
7	上平1東	崇	三	開	東	平	鋤弓	通	崇崈㓽𩞉	zriung	drung		dʐɨuŋ	chong2	4	上01	東		
8	上平1東	心	三	開	東	平	息弓	通	嵩崧娀菘硹𪀚㣝𧊕𨱿	siung	siung		sɨuŋ	song1	9	上01	東		
9	上平1東	日	三	開	東	平	如融	通	戎𢦦㭜𥬪𠈋茙駥狨絨	njung	rung		ȵɨuŋ	rong2	9	上01	東		
10	上平1東	見	三	開	東	平	居戎	通	弓躳躬㴦宮匑	kiung	kiung		kɨuŋ	jiong1	6	上01	東		
11	上平1東	以	三	開	東	平	以戎	通	融肜瀜	jung	jung		ʝɨuŋ	yong2	3	上01	東		
12	上平1東	云	三	開	東	平	羽弓	通	雄熊	iung	hiung		ɦɨuŋ	yong2	2	上01	東		
13	上平1東	明	三	開	東	平	莫中	通	瞢夢懜𨞯𦫰𧲎	miung	miung		mɨuŋ	meng2	6	上01	東		
14	上平1東	溪	三	開	東	平	去宮	通	穹𢞏𦵡𥳎焪芎匑	khiung	qiung		kʰɨuŋ	qiong1	7	上01	東		
15	上平1東	群	三	開	東	平	渠弓	通	窮藭𥨪	giung	giung		ɡɨuŋ	qiong2	3	上01	東		
16	上平1東	並	三	開	東	平	房戎	通	馮堸汎芃𨝭渢梵	biung	biung		bɨuŋ	feng2	7	上01	東		
17	上平1東	幫	三	開	東	平	方戎	通	風飌楓猦偑檒𧆉|瘋|	piung	piung		pɨuŋ	feng1	7	上01	東		
18	上平1東	滂	三	開	東	平	敷空	通	豐酆蘴灃寷麷㒥𡾿	phiung	phiung		pʰɨuŋ	feng1	8	上01	東		
19	上平1東	昌	三	開	東	平	昌終	通	充珫茺㤝䘪𪎽㳘	chjung	tcung		tɕʰɨuŋ	chong1	7	上01	東		
20	上平1東	來	三	開	東	平	力中	通	隆癃𪔳㚅窿霳	liung	liung		ɭɨuŋ	long2	6	上01	東		
21	上平1東	溪	一	開	東	平	苦紅	通	空箜崆椌硿悾埪倥涳鵼䅝𦱇𢃐𧌆	khung	qung		qʰuŋ	kong1	14	上01	東		
22	上平1東	見	一	開	東	平	古紅	通	公功工疘蚣玒㓚釭魟攻愩碽篢	kung	kung		quŋ	gong1	13	上01	東		
23	上平1東	明	一	開	東	平	莫紅	通	蒙冡濛𩦺䰒艨朦矇饛檬𨢊䴿𢄐𨣘鸏幪罞髳蠓𦿏雺霿霧䀄懜霥[礞]	mung	mung		muŋ	meng2	26	上01	東		
24	上平1東	來	一	開	東	平	盧紅	通	籠豅㰍朧𡃡龓䪊瀧聾𨏠䆍礱𪚗嚨蘢櫳𤮨巃襱𧙥瓏曨蠪鸗𩟭㟅屸	lung	lung		luŋ	long2	27	上01	東		
25	上平1東	匣	一	開	東	平	戸公	通	紅!洪鉷訌虹仜鴻葒葓谼䉺䪦𦏼䫹𨾊烘洚渱𨹁䧆魟䂫	ghung	hung		ʁuŋ	hong2	22	上01	東		
26	上平1東	從	一	開	東	平	徂紅	通	叢藂䕺潨𥵫	zung	dzung		dzuŋ	cong2	5	上01	東		
27	上平1東	影	一	開	東	平	烏紅	通	翁螉䱵蓊䈵䩺㮬𩔚	qung	ung		ʔuŋ	weng1	8	上01	東		
28	上平1東	清	一	開	東	平	倉紅	通	怱[匆]忩葱(蔥)聦(聰)騘(驄)樬𨍉(䡯)(𦇎)𤧚(璁)𨣭(𨣼)鍯(鏓)㷓(熜)𢉛(𢊕)䗓(蟌)	chung	cung		tsʰuŋ	cong1	15	上01	東		
29	上平1東	透	一	開	東	平	他紅	通	通蓪侗恫痌曈俑𧳆𨀜	thung	thung		tʰuŋ	tong1	9	上01	東		
30	上平1東	精	一	開	東	平	子紅	通	葼嵕艐鬷猣鯼椶(棕)騣(鬃)𥓻翪緵㣭稯堫蝬鬉㚇豵䗥嵸𩮀	cung	zung		tsuŋ	zong1	21	上01	東		
31	上平1東	並	一	開	東	平	薄紅	通	蓬𥭗篷髼蜂芃𧚋韸䮾𩖛	bung	bung		buŋ	peng2	10	上01	東		
32	上平1東	曉	一	開	東	平	呼東	通	烘叿魟谾𩐠𩗄	hung	xung		χuŋ	hong1	6	上01	東		
33	上平1東	疑	一	開	東	平	五東	通	㟅	ngung	ngung		ɴuŋ	weng2	1	上01	東		
34	上平1東	心	一	開	東	平	蘇公	通	檧憽(忪)	sung	sung		suŋ	song1	3	上01	東		
35	上平2冬	端	一	開	冬	平	都宗	通	冬𠔙苳䳉笗𩂓𧲴	tuung	tvng		tɔŋ	dong1	7	上02	冬		
36	上平2冬	定	一	開	冬	平	徒冬	通	彤疼佟炵䳋鼕𢥞𢾮爞㤏痋䂈鉵𧹝𩦶浵䶱𠩁鉖𨜳㠽赨	duung	dvng		dɔŋ	tong2	22	上02	冬		
37	上平2冬	從	一	開	冬	平	藏宗	通	賨琮悰潨淙慒鬃㼻孮誴𢃏	zuung	dzvng		dzɔŋ	cong2	11	上02	冬		
38	上平2冬	泥	一	開	冬	平	奴冬	通	農䢉辳𨑋𩟊噥𩅽憹㺜儂𧗕膿	nuung	nvng		nɔŋ	nong2	12	上02	冬		
39	上平2冬	見	一	開	冬	平	古冬	通	攻釭	kuung	kvng		qɔŋ	gong1	2	上02	冬		
40	上平2冬	匣	一	開	冬	平	戸冬	通	䃔洚㗢𩘎	ghuung	hvng		ʁɔŋ	hong2	4	上02	冬		
41	上平2冬	來	一	開	冬	平	力冬	通	䃧䥢𣫣	luung	lvng		lɔŋ	long2	3	上02	冬		
42	上平2冬	精	一	開	冬	平	作冬	通	宗倧	cuung	zvng		tsɔŋ	zong1	2	上02	冬		
43	上平2冬	心	一	開	冬	平	私宗	通	鬆䯳	suung	svng		sɔŋ	song1	2	上02	冬		
44	上平2冬	透	一	開	冬	平	他冬	通	炵	thuung	thvng		tʰɔŋ	tong1	1	上02	冬		
45	上平3鍾	章	三	開	鍾	平	職容	通	鍾鐘蚣忪䇗蹱彸衳伀橦籦妐㕬𧢸炂𦬘𨳗鈆	cjyung	tjvng		tɕioŋ	zhong1	18	上03	冬		
46	上平3鍾	來	三	開	鍾	平	力鍾	通	龍𪚝躘鸗驡𪚠籠𦪽蘢	lyung	livng		ɭɨoŋ	long2	9	上03	冬		
47	上平3鍾	書	三	開	鍾	平	書容	通	舂摏蹖憃𧐍𪄻	sjyung	sjvng		ɕɨoŋ	shong1	6	上03	冬		
48	上平3鍾	邪	三	開	鍾	平	祥容	通	松㮤淞訟	zsyung	szivng		zɨoŋ	song2	4	上03	冬		
49	上平3鍾	昌	三	開	鍾	平	尺容	通	衝𧘂罿憧䡴艟潼褈𠟍𠝤䂌	chjyung	tcvng		tɕʰɨoŋ	chong1	11	上03	冬		
50	上平3鍾	以	三	開	鍾	平	餘封	通	容溶滽庸𦤘𧴄㺎𤛑墉鎔鏞銿鄘傭𪅟𤮇㼸鱅蓉䗤傛褣搈瑢䈶嵱頌㝐䡆㟾𨲟𪃾槦㣑𢧳	jyung	jvng		ʝɨoŋ	yong2	35	上03	冬		
51	上平3鍾	幫	三	開	鍾	平	府容	通	封𡉚犎葑崶|篈㜂	pyung	pivng		pɨoŋ	feng1	5	上03	冬		
52	上平3鍾	曉	三	開	鍾	平	許容	通	胸(胷)凶𣧑恟𧧗訩銎洶兇匈	hyung	xivng		hɨoŋ	xiong1	10	上03	冬		
53	上平3鍾	疑	三	開	鍾	平	魚容	通	顒𩤛鰅喁	ngyung	ngivng		ŋɨoŋ	yong2	4	上03	冬		
54	上平3鍾	影	三	開	鍾	平	於容	通	邕雍噰嗈郺澭灉癰罋廱饔壅雝𪄉㻾𧴗|蕹	qyung	ivng		ˀɨoŋ	yong1	16	上03	冬		
55	上平3鍾	娘	三	開	鍾	平	女容	通	濃!醲𨑊襛穠檂𪒬𨲳|㺜	nryung	nivng		ɳɨoŋ	nong2	8	上03	冬		
56	上平3鍾	澄	三	開	鍾	平	直容	通	重緟褈蝩穜䳯	dryung	divng		ɖɨoŋ	chong2	6	上03	冬		
