#备注：来源：https://www.zhihu.com/question/308701611/answer/2154682109				调类	名称		
#声调：[1]55 [2]21 [3]33 [5]42 [6]31 [7]44 [9]35				1.0	阴平		
汉字	音标	声调	备注	2.0	阳平		
我	ŋo	6		3.0	上声		
若	no	6		5.0	阴去阳入		
一	ji	7		6.0	阳去		
二	ne	7		7.0	阴入		
两	ko᷉	3		9.0	例外		
大	to	5					
长	tso᷉	2					
细	se	6					
女	jv̩᷉	3					
人	ji᷉	2					
子	tsɿ	3					
鱼	ɱ̍	1					
雀	tso	7	鸟				
犬	kʰuɑ᷉	3					
虱	ɕi	7					
树	tsɯ	6					
种	tsv̩᷉	3	种子				
叶	se	7					
藌	mi	7	根				
莲	ne	2					
柢	te	7	根				
皮	pe	2					
膎	kɛ	2	肉				
血	suɑ	7					
骨	kuɑ	7					
头	tɯ	2					
脂	tsɿ	1					
卵	se᷉	5	蛋				
尾	ɱ̍	3					
角	kv̩᷉	7					
毛	mɑ	2					
耳	jɯ᷉	3					
嘴	tɕui	3					
齿	tsɿ	3					
眼	ŋui	3					
闻	ɱ̩	2					
舌	tse	5					
脚	ko	7					
胯	kʰuɛ	6	腿				
手	sɯ	3					
腹	fv̩	7	肚子				
心	ɕi᷉	1					
肝	kɑ᷉	1					
饮	ɯ᷉	3	喝				
食	jɯ	7	吃				
咬	ŋɑ	7					
看	xɑ᷉	1					
听	tɕʰɛ᷉	1					
挺	tsʰɛ᷉	3	睡；躺				
死	ɕi	3					
杀	ɕɑ	7					
飞	fv̩	1					
来	ɣɯ	9					
踞	kv̩	5	坐				
尌	tsɯ	6	站				
饲	sɿ	6	给				
说	suɑ	7					
嚼	tso	7	说				
日	ji᷉	7					
片	pʰi᷉	6					
月	ŋuɑ	7					
星	ɕɛ᷉	1					
水	ɕui	3					
雨	vu	3					
石	tso	5					
块	kʰui	1					
沙	so	1					
地	tɕi	6					
云	ɱ̍	2					
燬	xui	3	火				
烧	xu	1					
道	tʰu	3	路				
赤	tsʰɛ	7	红				
绿	lv̩	7					
黄	ɱ̍	2					
白	pɛ	5					
黑	xɯ	7					
天	xe᷉	1					
暝	miɛ	5					
夜	jo	6					
温	ui᷉	1	热				
跔	kɯ	1	冷				
满	mɑ	3					
新	ɕi᷉	1					
好	xu	3					
圆	ŋui	2					
干	kɑ᷉	1					
名	miɛ	1					
负	vu	3	背				
坏	kuɛ	5					
哹	pʰɯ	1	吹				
数	sɯ	1					
斫	tso	7	砍				
夕	ɕɛ	7	一天，一日				
钝	tuɑ	6					
队	tuɑ	5	通“坠”，掉落				
惊	kɛ᷉	1	怕				
少	ɕu	3					
相	sɑ᷉	1					
打	tɛ᷉	7					
五	ɱ̍	3					
浮	pɯ	2					
流	kɯ	2					
花	xo	1					
雺	mɯ	2	雾				
露	ko᷉	5					
四	ɕi	7					
冻	tv̩᷉	7					
果	kʰo	3					
草	tsʰu	3					
肠	tso᷉	2					
秉	pɛ᷉	3	拿				
夫	po	1					
霜	so	1	冰				
在	tsɯ	3					
湖	ko	2					
笑	so	6					
裨	pi	1	左				
妈	mo	3					
窄	tsɛ	7					
近	tɕi᷉	3					
老	ku	3					
正	tsɛ	5	右				
江	kv̩᷉	1	河				
索	so	7					
湖	ko	2	海				
尖	tɕi᷉	1					
鯫	tsʰɯ	1	短				
平	pɛ᷉	2					
虺	kʰv̩	3	蛇				
雪	sui	7					
披	pʰe	1	撕裂				
刺	tɕʰi	6					
橛	kuɑ	5	棍子				
端	tui᷉	1	直				
䐜	tsʰɛ᷉	1	肿				
厚	kɯ᷉	3					
薄	po	7					
三	sɑ᷉	1					
饬	tsʰɯ	7	捆				
转	tsui᷉	5					
洗	se	3					
阔	kʰuɑ	7					
妇	vu	3					
风	pi	1					
重	tsv̩᷉	3					
木	ɱ̍	7					
虫	tsv̩᷉	2					
岁	suɑ	7					
