#a			
p	[1]巴疤爸芭{~蕉}□{pa³⁵~：八哥儿}[2]爬钯{~爪：耙子}耙{犁~}[3]把{一~刀}[5]把{刀~}壩霸□{~pa⁵³：八哥儿}		
pʰ	[5]怕[6]罢{~工}		
m	[1]孖{双~仔：孪生子}□{~望：希望}犸{~骝：猴子}[2]麻痳{~风佬：麻风病人}[4]马码蚂{~螂kɐŋ²¹：螳螂}[5]妈犸{~骝：猴子}[6]骂{打冇还手，~冇还口：打不还手，骂不还口}		
t	[3]打[4]舵{老的读法}		
tʰ	[1]他{其~}		
n	[1]□{谁}□{~neᵃŋ³⁵：连带，牵连}[2]拿{十~九稳}那{~琴：地名}[3]哪{~个：哪一个；谁}		
l	[1]□{kʰa⁵³~头：苤蓝}[2]锣箩{~筐}萝{~蔔}[5]□{瘟疫：鸡~}		
ts	[1]楂{山~}[2]茶搽查[5]左炸诈榨		
tsʰ	[1]搓{~手}叉差{~别}岔{~路}		
s	[1]沙纱痧{发~：中暑}[3]洒{花~}		
k	[1]歌{唱~：唱山歌}加家嘉[3]贾假{真~}[5]价嫁[6]□{卡：~颈}		
kʰ	[1]□{~la⁵³头：苤蓝}[3]假{放~}[5]架		
ŋ	[1]桠{木~：树桠}[2]鹅[4]我		
h	[1]虾{鱼~}哈{掹~：哮喘}[5]荷{薄~}		
Ø	[1]屙{~蛋：下蛋}鸦丫{~环}[3]哑阿{~妹}亚{~洲；~军}		
ŋi	[1]揸{抓}[2]牙芽[5]渣{甘蔗~}		
j	[1]丫{~环}[2]衙{~门}[3]雅{文~}[6]下{底~；~降}夏{春~}厦{~门}夜{喫~：吃晚饭}		
ku	[1]瓜[3]寡[5]卦挂		
kʰu	[1]夸{~大}跨[3]垮		
w	[1]花蛙{~泳}[2]华{中~}[4]瓦[5]化[6]画话		
#e			
p	[1]□{~手：六指儿}		
pʰ	[1]□{扑克}		
m	[5]孭{背负}□{揣入（口袋）}		
t	[1]爹		
l	[2]□{一种鱼网}[5]□{蛹类}		
ɬ	[1]□{鱼~：鱼网}[2]斜[3]写[5]泻		
ts	[1]遮[3]姐者[5]借		
tsʰ	[1]车[3]且扯[6]谢		
s	[3]捨[5]舍[6]射		
k	[2]茄{~瓜：茄子}		
ŋ	[4]惹嘢{东西}		
Ø	[5]□{æk⁴⁴~：腋窝}		
j	[2]爷耶{~菜}：圆白菜[4]野[6]夜{宵~}		
ku	[2]瘸[3]□{割}		
kʰu	[3]□{一种小青蛙}[5]□{扒拉（草等）}		
#i			
p	[3]□{pɐŋ²¹~：蜻蜓}		
m	[4]冇{不}		
n	[2]宜疑[6]尔{~个：那个}		
l	[1]璃{玻~}[4]□{lɐp²²~：萤火虫}		
ɬ	[1]撕		
ts	[1]知姿资之芝脂{胭~}[2]池瓷{~砖}迟磁{~带}词祠辞持饲昨{~日。训读，本字应为“谢”}[3]紫只指止址[5]蔗鹧{~鸪}智致稚{幼~}至志{~向}借		
tsʰ	[1]痴{~呆}[3]此耻取[4]似[5]笡趣次刺{~刀}[6]自字痔治雉{~鸡：野鸡}寺{少林~}		
s	[1]赊畲{荒~：荒地}施尸诗[2]蛇[3]屎[4]始社市[5]世试暑署{行政公~}[6]射誓是豉示视		
k	[2]奇期其棋祈[5]个		
ŋ	[1]儿{乞~佬：乞丐}[4]蚁[6]义二[5]议		
