#符号说明：-白=文/书*俗?待考	
#调值	[1]⁴⁴ [2]²¹ [3]³⁵³ [5]³⁵ [7]²
#ɿ	
ts	[1]蜘知支肢枝栀姿资咨脂兹滋之芝[3]挤紫纸只{~有}姊旨指子梓止趾址[5]祭际济剂制智自致稚至字痔治志痣
tsʰ	[1]妻痴[2]池驰匙{汤~}瓷糍迟磁持辞词祠[3]齐脐荠此耻齿[5]刺次
s	[1]西棲犀斯撕厮施私师狮尸司丝思诗[2]时匙{钥~}[3]矢屎使史驶始[5]细世势誓逝赐是氏豉饲四肆示视嗜伺似祀巳寺嗣士仕柿事试市侍

#i	
p	[3]俾譬鄙比[5]蔽闭箅敝备币弊毙篦陛被{~窝；~打}婢避泌庇痹
pʰ	[1]批披[2]皮疲脾啤[3]彼[5]屁
m	[1]眯[2]迷弥眉楣媚[3]米[5]谜
t	[1]低[3]底抵[5]帝弟第递地
tʰ	[1]梯[2]题提啼堤[3]体[5]替涕剃屉
l	[1]泥犁黎离篱璃尼梨厘狸[2]礼履你李里理鲤拟[5]例厉励腻利痢吏泪{流~}丽隶荔
ʃ	[1]奚兮
k	[1]鸡稽饥肌基讥机[3]几己纪计继系{~鞋带}髻寄徛{立}妓技冀忌既记季
kʰ	[1]溪欺乞[2]奇骑岐祁鳍其期棋旗祈沂[3]启起杞岂[5]契企器弃气汽泣讫
x	[1]畦牺嬉熙希稀[3]喜蟪[5]系戏
Ø	[1]蚁伊医衣依[2]饴移遗宜仪谊夷姨疑[3]倚椅已以[5]义议易肄异毅忆亿翼

#u	
p	[3]补[5]布怖怖部薄步伏{孵小鸡}
pʰ	[1]铺{~设}[2]蒲菩脯麸{麦~子}[3]谱铺{店~}普浦醭甫殕{食上生白毛}
m	[2]模摹[3]母拇[5]墓墓幕募暮
t	[1]都[3]堵赌肚{猪~}[5]妒杜肚{~子}度渡镀
tʰ	[2]徒屠途塗图涂[3]吐{~痰}土[5]吐{呕~}兔
l	[2]奴卢炉芦鸬鲁撸卤鹭庐[3]努[5]怒路赂露
ts	[1]租[3]祖组阻[5]助
tsʰ	[1]粗初[3]础楚[5]醋
s	[1]苏酥疏梳蔬宿{~舍}[3]数{动词}[5]素诉数{名词}漱
k	[1]姑孤[3]古估股鼓[5]故固锢雇顾
kʰ	[1]枯[3]苦[5]库裤
x	[1]乎呼夫肤[2]胡湖糊狐壶葫敷俘孵符扶芙[3]虎浒脯{杏~}斧[5]户沪互护付赋傅赴讣父釜腐附妇负阜富副
Ø	[1]乌污巫诬[2]吴吾梧无抚[3]五伍午武舞侮鹉[5]误悟务雾戊

#y	
l	[2]驴[3]女吕稆旅缕[5]虑滤屡
tʃ	[1]猪诸诛蛛株朱硃珠[3]煮主[5]著苧聚拄驻注柱住蛀铸
tʃʰ	[1]蛆[2]徐除厨锄[3]杵储{文读}取娶[5]处趣
ʃ	[1]书舒须需输[2]薯殊[3]储{~蓄}暑鼠黍署[5]塑序叙绪絮庶恕竖树
k	[1]居车{~马炮}拘驹[3]举矩[5]据锯巨拒距俱句具惧
kʰ	[1]渠佢{他}区{~城}驱
x	[1]虚嘘墟[3]许
Ø	[1]与{给~}迂逾域[2]娱娱如鱼渔余儒愚虞于盂愉榆[3]汝语乳雨宇羽禹[5]御誉预豫吁愈遇寓芋喻裕

#a	
p	[1]巴芭疤爸[3]把欛{~柄}[5]霸坝{堤~}罢
pʰ	[2]爬琶杷耙[5]怕帕
m	[1]妈[2]麻蟆[3]马蚂码[5]骂
t	[3]打[5]大
tʰ	[1]他
l	[3]哪[5]那
ts	[1]渣[5]诈榨炸
tsʰ	[1]叉杈差{~不多}[2]茶查岔[5]䖳{水母}
s	[1]沙纱[3]洒傻
kʰ	[1]恰掐[3]卡
