		1陰平24 2陽平213 3上聲55 5陰去52  6陽去31 7陰入32 8陽入24
ʦɿ1	咨	
ʦɿ1	资	
ʦɿ1	姿	
ʦɿ1	孜	
ʦɿ1	兹	
ʦɿ1	滋	
ʦɿ1	之	
ʦɿ1	芝	
ʦɿ1	支	
ʦɿ1	吱	
ʦɿ1	枝	
ʦɿ1	肢	
ʦɿ1	栀	
ʦɿ1	知	
ʦɿ1	蜘	
ʦɿ1	脂	
ʦɿ1	祇	
ʦɿ1	淄	
ʦɿ3	只	文
ʦɿ3	子	
ʦɿ3	仔	
ʦɿ3	籽	
ʦɿ3	紫	
ʦɿ3	旨	
ʦɿ3	脂	又
ʦɿ3	趾	
ʦɿ3	止	
ʦɿ3	址	
ʦɿ3	梓	
ʦɿ3	纸	
ʦɿ3	姊	
ʦɿ5	至	
ʦɿ5	郅	
ʦɿ5	桎	
ʦɿ5	窒	
ʦɿ5	置	
ʦɿ5	志	
ʦɿ5	痣	
ʦɿ5	炽	
ʦɿ5	帜	
ʦɿ5	翅	
ʦɿ5	稚	又
ʦʰɿ1	痴	
ʦʰɿ1	疵	
ʦʰɿ1	雌	
ʦʰɿ1	蚩	
ʦʰɿ1	□	脚步不稳
ʦʰɿ3	此	
ʦʰɿ3	耻	
ʦʰɿ3	齿	
ʦʰɿ3	侈	
ʦʰɿ5	次	
ʦʰɿ5	刺	
ʦʰɿ5	赐	
ʦʰɿ5	滞	
ʦʰɿ5	稚	
ʣɿ2	池	
ʣɿ2	弛	
ʣɿ2	驰	
ʣɿ2	迟	
ʣɿ2	治	用刀切
ʣɿ6	治	
ʣɿ6	痔	
sɿ1	司	
sɿ1	私	
sɿ1	丝	
sɿ1	斯	
sɿ1	厮	
sɿ1	撕	
sɿ1	思	
sɿ1	诗	
sɿ1	尸	
sɿ1	师	
sɿ1	狮	
sɿ1	施	
sɿ3	死	
sɿ3	史	
sɿ3	使	
sɿ3	始	
sɿ3	驶	
sɿ3	屎	
sɿ5	四	
sɿ5	泗	
sɿ5	驷	
sɿ5	矢	
sɿ5	世	
sɿ5	势	
sɿ5	肆	
sɿ5	试	
sɿ5	逝	
sɿ5	视	
zɿ2	瓷	
zɿ2	慈	
zɿ2	磁	
zɿ2	辞	
zɿ2	词	
zɿ2	祠	
zɿ2	饲	
zɿ2	嗣	
zɿ2	时	
zɿ2	鲥	
zɿ2	茨	
zɿ2	持	
zɿ6	士	
zɿ6	仕	
zɿ6	示	
zɿ6	氏	
zɿ6	似	
zɿ6	寺	
zɿ6	侍	
zɿ6	市	
zɿ6	柿	
zɿ6	字	
zɿ6	事	
pi1	屄	
pi3	比	
pi3	鄙	
pi3	彼	
pi5	闭	
pi5	秘	
pi5	毖	
pi5	毙	又
pʰi1	披	
pʰi1	批	
pʰi1	砒	
pʰi1	纰	
pʰi3	庇	
pʰi3	痞	
pʰi3	毙	
pʰi5	屁	
bi2	皮	
bi2	疲	
bi2	脾	
bi2	痞	又
