字表		1陰平24 2陽平213 3上聲55 5陰去52  6陽去31 7陰入32 8陽入24	聲母	韻母	聲調
tsɿ1	咨		ts	ɿ	1
tsɿ1	资		ts	ɿ	1
tsɿ1	姿		ts	ɿ	1
tsɿ1	孜		ts	ɿ	1
tsɿ1	兹		ts	ɿ	1
tsɿ1	滋		ts	ɿ	1
tsɿ1	之		ts	ɿ	1
tsɿ1	芝		ts	ɿ	1
tsɿ1	支		ts	ɿ	1
tsɿ1	吱		ts	ɿ	1
tsɿ1	枝		ts	ɿ	1
tsɿ1	肢		ts	ɿ	1
tsɿ1	栀		ts	ɿ	1
tsɿ1	知		ts	ɿ	1
tsɿ1	蜘		ts	ɿ	1
tsɿ1	脂		ts	ɿ	1
tsɿ1	祇		ts	ɿ	1
tsɿ1	淄		ts	ɿ	1
tsɿ3	只	文	ts	ɿ	3
tsɿ3	子		ts	ɿ	3
tsɿ3	仔		ts	ɿ	3
tsɿ3	籽		ts	ɿ	3
tsɿ3	紫		ts	ɿ	3
tsɿ3	旨		ts	ɿ	3
tsɿ3	脂	又	ts	ɿ	3
tsɿ3	趾		ts	ɿ	3
tsɿ3	止		ts	ɿ	3
tsɿ3	址		ts	ɿ	3
tsɿ3	梓		ts	ɿ	3
tsɿ3	纸		ts	ɿ	3
tsɿ3	姊		ts	ɿ	3
tsɿ5	至		ts	ɿ	5
tsɿ5	郅		ts	ɿ	5
tsɿ5	桎		ts	ɿ	5
tsɿ5	窒		ts	ɿ	5
tsɿ5	置		ts	ɿ	5
tsɿ5	志		ts	ɿ	5
tsɿ5	痣		ts	ɿ	5
tsɿ5	炽		ts	ɿ	5
tsɿ5	帜		ts	ɿ	5
tsɿ5	翅		ts	ɿ	5
tsɿ5	稚	又	ts	ɿ	5
tsʰɿ1	痴		tsʰ	ɿ	1
tsʰɿ1	疵		tsʰ	ɿ	1
tsʰɿ1	雌		tsʰ	ɿ	1
tsʰɿ1	蚩		tsʰ	ɿ	1
tsʰɿ1	□	脚步不稳	tsʰ	ɿ	1
tsʰɿ3	此		tsʰ	ɿ	3
tsʰɿ3	耻		tsʰ	ɿ	3
tsʰɿ3	齿		tsʰ	ɿ	3
tsʰɿ3	侈		tsʰ	ɿ	3
tsʰɿ5	次		tsʰ	ɿ	5
tsʰɿ5	刺		tsʰ	ɿ	5
tsʰɿ5	赐		tsʰ	ɿ	5
tsʰɿ5	滞		tsʰ	ɿ	5
tsʰɿ5	稚		tsʰ	ɿ	5
dzɿ2	池		dz	ɿ	2
dzɿ2	弛		dz	ɿ	2
dzɿ2	驰		dz	ɿ	2
dzɿ2	迟		dz	ɿ	2
dzɿ2	治	用刀切	dz	ɿ	2
dzɿ6	治		dz	ɿ	6
dzɿ6	痔		dz	ɿ	6
sɿ1	司		s	ɿ	1
sɿ1	私		s	ɿ	1
sɿ1	丝		s	ɿ	1
sɿ1	斯		s	ɿ	1
sɿ1	厮		s	ɿ	1
sɿ1	撕		s	ɿ	1
sɿ1	思		s	ɿ	1
sɿ1	诗		s	ɿ	1
sɿ1	尸		s	ɿ	1
sɿ1	师		s	ɿ	1
sɿ1	狮		s	ɿ	1
sɿ1	施		s	ɿ	1
sɿ3	死		s	ɿ	3
sɿ3	史		s	ɿ	3
sɿ3	使		s	ɿ	3
sɿ3	始		s	ɿ	3
sɿ3	驶		s	ɿ	3
sɿ3	屎		s	ɿ	3
sɿ5	四		s	ɿ	5
sɿ5	泗		s	ɿ	5
sɿ5	驷		s	ɿ	5
sɿ5	矢		s	ɿ	5
sɿ5	世		s	ɿ	5
sɿ5	势		s	ɿ	5
sɿ5	肆		s	ɿ	5
sɿ5	试		s	ɿ	5
sɿ5	逝		s	ɿ	5
sɿ5	视		s	ɿ	5
zɿ2	瓷		z	ɿ	2
zɿ2	慈		z	ɿ	2
zɿ2	磁		z	ɿ	2
zɿ2	辞		z	ɿ	2
zɿ2	词		z	ɿ	2
zɿ2	祠		z	ɿ	2
zɿ2	饲		z	ɿ	2
zɿ2	嗣		z	ɿ	2
zɿ2	时		z	ɿ	2
zɿ2	鲥		z	ɿ	2
zɿ2	茨		z	ɿ	2
zɿ2	持		z	ɿ	2
zɿ6	士		z	ɿ	6
zɿ6	仕		z	ɿ	6
zɿ6	示		z	ɿ	6
zɿ6	氏		z	ɿ	6
zɿ6	似		z	ɿ	6
zɿ6	寺		z	ɿ	6
zɿ6	侍		z	ɿ	6
zɿ6	市		z	ɿ	6
zɿ6	柿		z	ɿ	6
zɿ6	字		z	ɿ	6
zɿ6	事		z	ɿ	6
pi1	屄		p	i	1
pi3	比		p	i	3
pi3	鄙		p	i	3
pi3	彼		p	i	3
pi5	闭		p	i	5
pi5	秘		p	i	5
pi5	毖		p	i	5
pi5	毙	又	p	i	5
pʰi1	披		pʰ	i	1
pʰi1	批		pʰ	i	1
pʰi1	砒		pʰ	i	1
pʰi1	纰		pʰ	i	1
pʰi3	庇		pʰ	i	3
pʰi3	痞		pʰ	i	3
pʰi3	毙		pʰ	i	3
pʰi5	屁		pʰ	i	5
bi2	皮		b	i	2
bi2	疲		b	i	2
bi2	脾		b	i	2
bi2	痞	又	b	i	2
bi6	币		b	i	6
bi6	敝		b	i	6
bi6	蔽		b	i	6
bi6	弊		b	i	6
bi6	避		b	i	6
bi6	坒	砖	b	i	6
bi6	鐾	剃刀	b	i	6
bi6	被		b	i	6
mi1	眯		m	i	1
mi1	渳		m	i	1
mi2	迷		m	i	2
mi2	弥		m	i	2
mi2	麋		m	i	2
mi2	靡		m	i	2
mi2	眉		m	i	2
mi3	米		m	i	3
ti1	低		t	i	1
ti3	底		t	i	3
ti3	抵		t	i	3
ti3	坻		t	i	3
ti5	帝		t	i	5
ti5	蒂		t	i	5
ti5	缔		t	i	5
tʰi1	梯		tʰ	i	1
tʰi3	体		tʰ	i	3
tʰi3	□	把东西分开	tʰ	i	3
tʰi5	替		tʰ	i	5
tʰi5	涕		tʰ	i	5
tʰi5	剃		tʰ	i	5
tʰi5	递		tʰ	i	5
tʰi5	嚏		tʰ	i	5
di2	提		d	i	2
di2	堤		d	i	2
di2	题		d	i	2
di2	啼		d	i	2
di2	蹄		d	i	2
di6	弟		d	i	6
di6	娣		d	i	6
di6	第		d	i	6
di6	地		d	i	6
li2	厘		l	i	2
li2	黎		l	i	2
li2	犁		l	i	2
li2	梨		l	i	2
li2	离		l	i	2
li2	篱		l	i	2
li3	李		l	i	3
li3	礼		l	i	3
li3	里		l	i	3
li3	理		l	i	3
li3	鲤		l	i	3
li6	丽		l	i	6
li6	吏		l	i	6
li6	厉		l	i	6
li6	励		l	i	6
li6	利		l	i	6
li6	莉		l	i	6
li6	痢		l	i	6
li6	例		l	i	6
li6	隶		l	i	6
tɕi1	机		tɕ	i	1
tɕi1	肌		tɕ	i	1
tɕi1	饥		tɕ	i	1
tɕi1	讥		tɕ	i	1
tɕi1	鸡		tɕ	i	1
tɕi1	基		tɕ	i	1
tɕi1	簊		tɕ	i	1
tɕi3	几		tɕ	i	3
tɕi3	己		tɕ	i	3
tɕi3	挤		tɕ	i	3
tɕi5	计		tɕ	i	5
tɕi5	记		tɕ	i	5
tɕi5	纪		tɕ	i	5
tɕi5	季		tɕ	i	5
tɕi5	悸		tɕ	i	5
tɕi5	寄		tɕ	i	5
tɕi5	剂		tɕ	i	5
tɕi5	既		tɕ	i	5
tɕi5	冀		tɕ	i	5
tɕi5	骥		tɕ	i	5
tɕi5	继		tɕ	i	5
tɕi5	系	~鞋带	tɕ	i	5
tɕʰi1	欺		tɕʰ	i	1
tɕʰi1	溪		tɕʰ	i	1
tɕʰi1	蹊		tɕʰ	i	1
tɕʰi1	期		tɕʰ	i	1
tɕʰi3	企		tɕʰ	i	3
tɕʰi3	启		tɕʰ	i	3
tɕʰi3	起		tɕʰ	i	3
tɕʰi3	企	又	tɕʰ	i	3
tɕʰi3	岂		tɕʰ	i	3
tɕʰi5	气		tɕʰ	i	5
tɕʰi5	汽		tɕʰ	i	5
tɕʰi5	弃		tɕʰ	i	5
tɕʰi5	器		tɕʰ	i	5
dʑi2	其		dʑ	i	2
dʑi2	棋		dʑ	i	2
dʑi2	琪		dʑ	i	2
dʑi2	祺		dʑ	i	2
dʑi2	旗		dʑ	i	2
dʑi2	麒		dʑ	i	2
dʑi2	杞		dʑ	i	2
dʑi2	奇		dʑ	i	2
dʑi2	骑		dʑ	i	2
dʑi2	祁		dʑ	i	2
dʑi2	祈		dʑ	i	2
dʑi2	齐		dʑ	i	2
dʑi2	荠	文	dʑ	i	2
dʑi6	忌		dʑ	i	6
dʑi6	技		dʑ	i	6
dʑi6	妓		dʑ	i	6
dʑi6	伎		dʑ	i	6
dʑi6	及	白，来不及，本字为洎	dʑ	i	6
ȵi2	倪		ȵ	i	2
ȵi2	尼		ȵ	i	2
ȵi2	泥		ȵ	i	2
ȵi2	呢	~制服	ȵ	i	2
ȵi6	腻		ȵ	i	6
ȵi6	义	~气：厚道	ȵ	i	6
ɕi1	希		ɕ	i	1
ɕi1	稀		ɕ	i	1
ɕi1	西		ɕ	i	1
ɕi1	牺		ɕ	i	1
ɕi1	嘻		ɕ	i	1
ɕi1	熙		ɕ	i	1
ɕi1	羲		ɕ	i	1
ɕi3	喜		ɕ	i	3
ɕi3	禧		ɕ	i	3
ɕi3	洗		ɕ	i	3
ɕi3	孟	姓，来源不明待考	ɕ	i	3
ɕi5	戏		ɕ	i	5
ɕi5	细		ɕ	i	5
kʰi5	去	白	kʰ	i	5
i1	衣			i	1
i1	依			i	1
i1	铱			i	1
i1	医			i	1
i2	宜			i	2
i2	异			i	2
i2	移			i	2
i2	遗			i	2
i2	夷			i	2
i2	姨			i	2
i2	疑			i	2
i2	仪			i	2
i3	已			i	3
i3	椅			i	3
i3	倚			i	3
i3	以			i	3
i3	亿			i	3
i3	忆			i	3
i3	意			i	3
i3	臆			i	3
i3	奚			i	3
i3	易			i	3
i3	勚			i	3
i3	艺			i	3
i3	毅			i	3
i3	义			i	3
i3	议			i	3
i3	蚁			i	3
i3	翼			i	3
pu1	补		p	u	1
pʰu5	布		pʰ	u	5
pʰu5	怖		pʰ	u	5
pʰu3	铺	铺天盖地	pʰ	u	3
pʰu3	潽	因沸而溢	pʰ	u	3
pʰu3	埠		pʰ	u	3
pʰu3	甫		pʰ	u	3
pʰu3	脯		pʰ	u	3
pʰu3	圃		pʰ	u	3
pʰu3	浦		pʰ	u	3
pʰu3	辅		pʰ	u	3
pʰu3	埔		pʰ	u	3
pʰu3	普		pʰ	u	3
pʰu3	谱		pʰ	u	3
pʰu5	铺	~床	pʰ	u	5
bu2	蒲	菖蒲	b	u	2
bu2	菩		b	u	2
bu6	步		b	u	6
bu6	部		b	u	6
bu6	簿		b	u	6
bu6	孵	白	b	u	6
fu1	夫		f	u	1
fu1	肤		f	u	1
fu1	麸		f	u	1
fu3	府		f	u	3
fu3	俯		f	u	3
fu3	腑		f	u	3
fu3	斧		f	u	3
fu3	釜		f	u	3
fu3	孵	文	f	u	3
fu5	付		f	u	5
fu5	副		f	u	5
fu5	富		f	u	5
fu5	赋		f	u	5
fu5	赴		f	u	5
fu5	讣		f	u	5
fu5	阜		f	u	5
fu5	傅		f	u	5
vu2	扶		v	u	2
vu2	抚		v	u	2
vu2	符		v	u	2
vu2	诬		v	u	2
vu2	浮		v	u	2
vu6	父		v	u	6
vu6	戊	又	v	u	6
tu1	都		t	u	1
tu1	嘟		t	u	1
tu3	赌		t	u	3
tu3	肚		t	u	3
tu3	堍		t	u	3
tu5	妒		t	u	5
tu5	堵		t	u	5
tu5	睹		t	u	5
tu5	蠹		t	u	5
tʰu3	土		tʰ	u	3
tʰu3	吐		tʰ	u	3
tʰu5	兔		tʰ	u	5
tʰu5	唾		tʰ	u	5
du2	图		d	u	2
du2	途		d	u	2
du2	涂		d	u	2
du2	徒		d	u	2
du2	屠		d	u	2
du6	度		d	u	6
du6	渡		d	u	6
du6	镀		d	u	6
du6	杜		d	u	6
lu2	如		l	u	2
lu2	茹		l	u	2
lu2	卢		l	u	2
lu2	芦		l	u	2
lu2	庐		l	u	2
lu2	炉		l	u	2
lu2	颅		l	u	2
lu3	汝		l	u	3
lu3	鲁		l	u	3
lu3	橹		l	u	3
lu3	卤		l	u	3
lu6	路		l	u	6
lu6	露		l	u	6
lu6	赂		l	u	6
tsu1	租		ts	u	1
tsu1	朱		ts	u	1
tsu1	株		ts	u	1
tsu1	茱		ts	u	1
tsu1	诛		ts	u	1
tsu1	蛛		ts	u	1
tsu1	珠		ts	u	1
