聲調：陰平[44] 陽平[11] 陰上[35] 陽上陰去[13] 陽去[42] 陰入[5] 陽入[2] 高平變調[55]																																																	
1.i 2.u 3.y 4.a 5.ɛ 6.ɔ 7.œ 8.ə 9.ui 10.iu 11.ai 12.au 13.ɛi 14.iɛu 15.ɔi 16.əø 17.im 18.am  19.iɛm 20.in 21.un 22.an 23.iɛn 24.ɔn 25.yœn 26.aŋ 27.iaŋ 28.ɔŋ 29.yœŋ 30.əŋ 31.eŋ  32.ip 33.ap 34.iɛp 35.it 36.ut 37.at 38.iɛt 39.ɔt 40.yœt 41.ak 42.iak 43.ɔk 44.yœk 45.ək  46.ek 47.m																																																	
聲母：p pʰ m v t tʰ n l ʦ ʦʰ s ɬ k kʰ ŋ h j w ø																																																	
聲韻母	聲調																																																
#i																																																	
p	[44]悲卑碑	[35]比鄙彼肶俾畀	[13]泌秘痺庇																																														
pʰ	[44]披丕	[11]皮疲脾琵枇	[13]屁譬被被單避	[42]備鼻被被迫																																													
m	[44]咪	[11]眉楣麋靡糜微	[13]美尾	[42]媚寐未味																																													
v	[44]飛非妃	[11]肥	[35]匪	[13]翡																																													
t	[44]知	[35]弟																																															
tʰ	[42]地																																																
n	[11]尼	[42]膩																																															
l	[44]璃	[11]梨狸釐離籬璃	[35]梨	[13]履李里裡鯉理旅呂	[42]厲利吏濾																																												
ʦ	[44]茲滋姿咨資知蜘之芝支肢枝脂豬	[35]只紙姊止址趾指紫子籽梓滓煮	[13]智置志誌痣致至注																																														
ʦʰ	[44]癡雌蚩	[11]雌又持遲磁慈糍辭詞祠瓷匙（湯~）池臍馳徐又除	[35]恥此侈齒矢又始娶	[13]刺次翅廁賜似	[42]自稚字飼寺嗣痔治住又聚																																												
s	[44]施尸屍	[11]匙鑰匙時鰣殊	[35]豕屎矢鼠	[13]試市	[42]是氏豉示視嗜恃																																												
ɬ	[44]斯撕廝似司絲思需	[35]死	[13]四肆																																														
k	[44]肌飢几基幾機饑譏居又拘	[35]己紀幾杞矩又舉	[13]寄冀記既句又據																																														
kʰ	[44]區	[11]奇畸騎歧祁鰭其棋期旗祈佢	[35]企	[13]徛	[42]技妓忌	[55]佢他們																																											
ŋ	[11]兒誼而移又	[35]耳又	[13]你爾耳餌	[42]二貳議又遇又	[55]你你們																																												
h	[44]犧嬉熙欺希稀墟又虛又	[35]喜起豈許又	[13]器棄戲汽氣去																																														
j	[11]兒又宜誼儀移夷姨疑	[13]擬已以	[42]義議易異																																														
ø	[44]伊醫衣依	[35]倚椅依又	[42]意																																														
#u																																																	
p	[44]孵	[35]斧（打~頭）補捕	[13]布佈怖																																														
pʰ	[44]鋪	[11]菩葡莆蒲脯（胸~）扶	[35]普浦輔	[13]埔舖(鋪)	[42]部簿步埠																																												
m	[11]模摹無巫誣	[35]武（~功）舞（跳~，~嘢）侮拇		[13]武（~術，~松）舞（~蹈）鵡母姆	[42]暮慕募墓務霧																																												
t	[44]都嘟	[35]堵賭睹肚（豬~）	[13]妒																																														
tʰ	[11]圖徒屠途涂塗荼	[35]土	[13]吐兔	[42]杜肚（~量）度渡鍍																																													
n	[11]奴孥	[35]努	[13]弩	[42]怒																																													
l	[44]嚕擼	[11]盧蘆廬爐驢	[35]爐	[13]魯櫓擄鹵滷擼	[42]路賂露鷺璐																																												
ʦ	[44]租	[35]祖組子	[13]做																																														
ʦʰ	[44]粗	[11]雛	[13]醋措																																														
s	[35]數（動詞）	[13]數（名詞）																																															
ɬ	[44]蘇酥甦鬚	[13]素愫訴																																															
k	[44]姑孤	[35]古估牯股鼓	[13]固故錮雇僱																																														
kʰ	[44]箍枯																																																
ŋ	[11]吳蜈吾梧	[35]五午	[13]伍忤	[42]誤悟																																													
h	[44]呼夫膚敷孵俘	[11]胡湖狐乎葫鬍符苻扶芙	[35]苦虎琥滸府俯甫斧撫釜腐	[13]庫褲付咐又賦傅副（一~）婦	[42]戶滬互護赴父富附副（~作用）負咐	[55]傅																																											
ø	[44]污烏塢	[13]惡（可~）																																															
#y																																																	
l	[13]呂侶旅	[42]慮濾屢																																															
ʦ	[44]豬諸誅蛛株朱珠侏茱	[35]煮拄主沮	[13]著（顯~）駐註注蛀炷鑄																																														
