来源：	邢红文 2019《古县（尧店）方言音系及其与周边方言声调的比较研究》；Hynuza, Skanda 整理录入
说明：
#符号说明：	-白=文*俗?待考
#调值	［1］21［2］24［3］53［5］33
#ɿ
ts	［1］资咨姿滋{～味}芝汁支枝肢之［3］指紫纸只姊自子籽怎{～么了}趾止址字=［5］做志制
tsʰ	［1］呲{批评}滋{喷射：往外～水}雌［2］瓷磁慈词辞词［3］齿{～轮}字-［5］刺次赐翅伺{～候}
s	［1］斯撕私司丝师诗施尸识适燍{～气：馊了}思式［2］匙时厮{～儿：男孩}［3］使史饲死似屎是氏柿誓视示驶寺士仕事市［5］四肆世势试饲
#ʅ
tʂ	［1］蜘知肢执质职栀织［2］直植职秩治值=侄=［5］痣智制致至
tʂʰ	［1］痴吃尺［2］池值-侄-迟［3］耻
ʂ	［1］失湿室识适饰释［2］十石食实
ʐ	［1］日
#ər
Ø	［2］儿［3］耳二贰饵{～子}
#i
p	［1］必逼毕滗{挡着渣滓或泡着的东西把液体倒出}壁碧［2］鼻=［3］秕彼备-比弊敝婢币避=［5］闭庇={掩护：包～}泌蔽箅
pʰ	［1］披批劈匹蓖霹［2］鼻-脾皮枇啤琵［3］被-避-［5］譬庇-{掩护：～护}屁痹背{偏僻：～静}鐾{～刀}
m	［1］蜜密秘觅［2］迷糜弥谜眉-［3］米咪眯
t	［1］低堤鸡-的{目～}滴［2］笛迪敌狄□{～脑：头}［3］底抵弟=第=递=地=［5］帝
tʰ	［1］梯踢剔［2］题提蹄啼［3］第-地-弟-递-体［5］替涕剃屉嚏
n	［1］衣逆溺［2］尼泥疑-宜-［3］拟椅-腻［5］你
l	［1］立粒栗力历［2］璃离犁梨狸黎篱俚［3］丽里荔李理礼利例厉隶吏励
tɕ	［1］肌饥基激机级吉稽畸姬积击脊稷绩迹讥今-鸡=即［2］急辑籍集及疾极寂［3］己几妓技挤纪荠忌给{供～}［5］冀记计寄祭既季系{～鞋带}髻继际骥戒-{戒除}
tɕʰ	［1］欺妻戚七漆凄［2］奇骑棋旗齐脐期其祁淇祈麒琦［3］剂{面～子}起企{～业}启岂［5］器{才能；人才：成～}气汽去-契砌弃企{～图}
ɕ	［1］悉熙希稀西溪析吸膝熄息惜昔嬉嘻些-［2］夕畦习袭席［3］喜洗系{联～}擤-［5］细戏
Ø	［1］医依乙揖{作～}亿忆益抑衣=疫役逸翼［2］怡译易{交～}姨仪宜=一移疑=［3］尾-以已蚁义议仪谊毅易{做起来不费事的}椅=艺异［5］意
#u
p	［2］不［3］堡{用于地名}补捕簿哺步=部=［5］怖布
pʰ	［1］铺扑朴卜［2］瀑蒲菩脯仆葡［3］普浦部-{～门}菢-步-谱坌{尘土飞扬}溥圃
m	［1］木目牧［2］模{～子}没-{没有}［3］牡母慕亩拇墓暮慕募
f	［1］夫跗{脚背：～面}敷俘孵麸书输{～赢}福幅蝠腹肤叔-［2］芙扶符谁-浮熟-{熟悉}殊赎-属-伏复佛{仿～}服［3］辅府父甫斧附负腹水-暑鼠睡-薯腐［5］赴输{运～}付富赋傅副
v	［1］褥-{～子}物肉-入-［2］梧巫诬无吴［3］武午舞五误鹉务雾擩{插;～进去}侮
t	［1］都督［2］犊读毒=独=［3］赌妒堵杜肚={鱼～}渡镀度{计量单位名称：～数}
tʰ	［1］秃［2］徒屠图毒-独-突途涂凸［3］肚-{～子}土吐{使东西从嘴里出来：～痰}［5］兔吐{呕～}
ts	［1］足租=［2］族
tsʰ	［1］促粗=
tʂ	［1］猪诛蛛株朱烛祝竹珠嘱筑［3］拄煮主柱=住{居住；住宿}［5］注{用文字解释：标～}著蛀驻
tʂʰ	［1］椿-{～树}吹-触出畜{家畜}初=［2］除厨锄=［3］处{相～}杵楚柱-［5］处住{停～}
ʂ	［1］舒疏叔=［2］熟=赎=属=淑［3］竖［5］恕
ʐ	［1］入=褥=［2］如儒［3］乳
k	［1］姑孤箍谷辜骨菇［3］估古股鼓［5］故雇顾固锢
kʰ	［1］枯哭酷窟［3］苦［5］库裤
x	［1］忽［2］乎胡湖狐壶核葫{～芦}糊［3］虎浒户互护瓠{～子}唬
#y
n	［3］女雨-语-{言～}
l	［1］捋绿率律六-［2］驴［3］吕缕旅缕虑侣铝屡滤泪
