tsɿ	3	33	紫支肢只(～有)资姿姊脂=(～肪)旨=(圣～)指子=(～弟)梓(～木：地名)巳滓之芝=(～麻)止趾址榨-(油～下：地名)宅-1(田～下：地名)庄1-(下～：地名)□(□kɛ212～：抓阄)□(～间：厢房)
tsɿ	2	21	置至1=(～少)□(～箱：针线筐)
tsɿ	5	13	制(控～；～服)自=(～留地)致寺=(少林～)饲=(～养员)治志(同～；县～)至2=(不～于)痔
tsʰɿ	2	212	瓷糍磁慈=(～母)
tsʰɿ	3	33	此耻痴齿=(～轮)
tsʰɿ	2	21	辞词祠砌脐兹滋字牸(牛～：未生牛犊的母牛)池似迟=(～到)持赤=(～卫队)自-(～家)寺-(～庙)饲-(猪～料)
tsʰɿ	2	212	次刺
sɿ	1	45	撕氏私师1(～父)狮丝诗1=(写～)
sɿ	2	212	茨(毛～：茨菇，慈姑是俗写)
sɿ	3	33	施诗2=(唐～)死屎司思(～想)使史驶始1(～终)师2(老～)□(告～：告诉)□(毛大～：婴儿)
sɿ	2	21	始2(开～)四1(一二三～)思(好意～)柿事试侍时=(～间)□(～箕：撮箕)
sɿ	5	13	示士仕市世=(～界)誓=(宣～)四2(～人帮)肆视饰=(首～)
pi	1	45	陂(石～头：地名)碑溪-(～头下：地名)
pi	2	212	皮-(肉～)脾琵枇坪1(路下～：地名)□(扁；～嘴巴：噘嘴)
pi	3	33	被(垫～：褥子)鞭1(牛～：驱赶牛用的鞭子)坪2(坦～墟：地名)□(小～人：小气鬼)
pi	2	21	备鼻篦坪3(桃园～：地名)
pi	5	13	币毙闭避秘-(～书)痹=(小儿麻～症)碧=(雪～)被(～打)
pʰi	1	45	批1=(一～货)披□(典当房子等）
pʰi	3	33	蓖=(～麻籽)彼批2=(～评)
pʰi	2	21	庇疲屁皮=□(mau212～芋：马铃薯)
bi	3	33	米比痱(痧～：痱子)蓖-(毛～崽崽：蓖麻籽)尾1(田～洞：地名)
bi	2	21	味-(～道)痹-(手脚发麻)
mi	1	45	眯咪(～一口：抿一口)□(～开：㪗开)□(～毛：小气)
mi	2	212	霉=(～豆腐：豆腐乳)迷谜眉弥
mi	3	33	□(□ɔ45～：蜻蜓)
mi	2	21	□(□tsʰɔ21～：蚂蚱)
mi	5	13	秘=(～密)
fi	1	45	飞
fi	2	212	肥-(～肉)
fi	2	21	肺-(猪～)
ti	2	212	题(出～)蹄啼
ti	3	33	弟田1(秧～村：地名)亭-(慕～下：地名)□(□tʰãŋ21～：台阶)
ti	2	21	帝地1(坟墓)第1(～一)
ti	5	13	地2(～主)第2(书香门～)
tʰi	1	45	锑(～锅子：铝锅)□(砍)
tʰi	3	33	梯体剔
tʰi	2	21	替剃提=(～拔)题=(问～)
tʰi	5	13	递隶
di	1	45	低钉(铁～)□(挠,痒痒)□(晚个～：小拇指)
di	2	212	泥-(～巴)犁黎篱梨厘狸璃
di	3	33	底抵礼李里(公～)里=(～头)理鲤鸟栗鼎(炆～：煮饭、烧水的锅)尾2(～巴)
di	2	21	厉离(～婚；～开)利1(～钱)痢泪脷(～头：舌头)赁酽1(茶浓)
di	5	13	丽利2(吉～)吏励荔
tsi	1	45	櫼楔子
tsi	3	33	挤
tsi	2	21	祭剂1(一～药)
tsi	5	13	际济剂2(调～)
tsʰi	3	33	妻
tsʰi	2	21	齐=(整～)
si	1	45	西犀星-(火～)□(胳～：腋下)□(耳～：耳环)□(～～□a21：天牛)
si	2	212	匙(锁～：钥匙)
si	3	33	洗惜1=(可～1)先1(家～：家里的祖宗牌位)□(烟～眼：窗户)□(中～人：中间人；介绍人)
si	2	21	细惜-(悭～：节省)
tʃi	1	45	鸡枝饥(肚～得：饿了)机今(～日：今天)
