汉字	IPA	注释
阿	a1	~公，~妈
哑	a3	病~，哑巴
下	a4	
鸭	a5	
麦	ba1	
麻	ba2	~椒，辣椒
妈	ba3	老~，妻子
马	ba3	
芽	ɡa2	
河	ha2	~溪，银河
夏	ha5	
家	ka1	
豭	ka1	豨~，种猪
胶	ka1	
铰	ka1	剪
咬	ka4	
教	ka5	
骹	kʰa1	脚，腿
巧	kʰa3	怪
客	kʰa5	
敲	kʰa5	
拉	la2	~尿床，尿床；腹肚~，泻肚子
□	la2	~ li3，文作“喇狸”，麻脸
蜡	la4	肥皂
□	pa1	lɯ1 ~，忘记
把	pa3	量词
白	pa4	
伯	pa4	师~公，道士
百	pa5	
柏	pa5	
脬	pʰa1	
煠	sa4	清水中煮
燋	ta1	干；嘴老~，口渴
打	ta3	汝行~头，你前点走；~堘，种田
塔	tʰa5	
炒	tsʰa3	
插	tsʰa5	
雅	ŋã3	
井	tsã3	
援	ɐ4	背（小孩）
角	kɐ5	牛~
北	pɐ5	
作	tsɐ5	
恶	ɒ5	凶
沃	ɒ5	浇
墨	bɒ1	~盘，砚台
目	bɒ1	
核	hɒ1	核儿
学	hɒ1	
法	hɒ5	
福	hɒ5	
合	hɒ5	
谷	kɒ5	
固	kɒ5	伊比我~悬，他比我高
甲	kɒ5	
角	kɒ5	四~，壁~
□	kɒ5	~自，文作“各自”，自己
级	kʰɒ5	岭~，台阶
壳	kʰɒ5	信~，信封
曲	kʰɒ5	~驼，驼背
去	kʰɒ5	通~，到处
纳	lɒ1	
□	lɒ2	tso5 ki1 ~，蛤蟆
路	lɒ5	
漉	lɒ5	涉（水）
露	lɒ5	雾
怒	lɒ5	
拔	pɒ1	
腹	pɒ5	~肚，肚子
曝	pʰɒ1	晒
覆	pʰɒ5	
□	pʰɒ5	~水，开水
十	sɒ1	
锡	sɒ5	
达	tɒ1	
毒	tɒ1	~毒
肚	tɒ3	腹~，肚子
答	tɒ5	
墿	tɒ5	
读	tʰɒ1	
塗	tʰɒ2	泥土
脱	tʰɒ5	
截	tsɒ5	
□	tsɒ5	拧（毛巾）
贼	tsɒ5	
漆	tsʰɒ5	
絚	ɐ̃2	拫，紧
妈	bɐ̃3	阿~，祖母，婆婆
骂	bɐ̃5	斗~，吵嘴
颈	kɐ̃3	脰~，脖子
歌	kɐ̃9	山歌
公	kɐ̃9	爷爷（爱称）
坑	kʰɐ̃1	屎~，茅坑
骹	kʰɐ̃9	小腿儿，小喽啰（文作“啰喽”）
篮	lɐ̃2	
那	lɐ̃3	越（说）越（多）
病	pɐ̃5	
泛	pʰɐ̃5	不实
衫	sɐ̃1	上衣
衫	sɐ̃9	小童衣，苎麻作的小褂子
郑	tɐ̃5	
撑	tʰɐ̃1	撑（船）
青	tsʰɐ̃1	
生	tsʰɐ̃1	不熟
醒	tsʰɐ̃3	
饮	aŋ3	饭~，米汤
岸	aŋ5	
冥	baŋ2	~昏（头），夜晚
亡	baŋ2	
万	baŋ5	
犯	haŋ4	
范	haŋ4	
限	haŋ4	
项	haŋ4	
赶	kaŋ3	追
□	kaŋ3	⿱冖贛，盖
刊	kʰaŋ1	
堪	kʰaŋ1	
勘	kʰaŋ5	向
篮	laŋ2	
南	laŋ2	
赧	laŋ3	丑陋
㴷	taŋ2	湿
潭	tʰaŋ2	
江	kɔŋ1	
敢	kɔŋ3	毋~，别（去）
囥	kʰɔŋ5	藏
郎	lɔŋ2	婿~，女婿
桑	sɔŋ1	
伤	sɔŋ1	
霜	sɔŋ1	~冰，冰
裳	sɔŋ2	
尚	sɔŋ5	
肠	tɔŋ2	
堂	tɔŋ2	
长	tɔŋ2	(长短)
糖	tʰɔŋ5	~蜂，蜜蜂
常	tsʰɔŋ2	
床	tsʰɔŋ2	桌~，桌子
□	tsʰɔŋ2	⿺走从，跑
盒	e1	
闲	e2	忙
音	dʒe1	
嫌	he2	
行	he2	~动
形	he2	
滑	ke1	
咸	ke2	
紧	ke3	
锦	ke3	
景	ke3	
妗	ke4	
觉	ke5	
琴	kʰe2	
邻	le2	
林	le2	姓
鳞	le2	
灵	le2	
铃	le2	
冰	pe1	霜~，冰
贫	pe2	
瓶	pe2	
身	se1	
娠	se1	有~，怀孕
心	se1	
芯	se1	芽儿
新	se1	
星	se1	
蝇	se2	
信	se5	
盐	se5	以赡切，腌
使	ʃe3	阿~，女儿
□	te1	扔（石子）
尘	te2	
沉	te2	
陈	te2	
程	te2	
藤	te2	
亭	te2	
定	te5	
镇	te5	
天	tʰe1	
櫼	tse1	楔子
晶	tse1	
精	tse1	
增	tse1	（粥）稀
贞	tʃe1	
针	tʃe1	
珍	tʃe1	
真	tʃe1	
堘	tsʰe2	水田
凊	tsʰe5	寒冷
秤	tʃʰe5	
含	kẽ2	
钳	kʰei2	
棉	beĩ1	~瓜，丝瓜
挽	beĩ4	摘（果子）
面	beĩ5	脸
□	beĩ5	~ dʒɛ2，文作“么其”，什么；~侬，~ lõ2，文作“么侬”，谁
昏	heĩ1	冥~（头），夜晚
间	keĩ1	灶~，厨房
肩	keĩ1	
仁	leĩ2	目珠~
软	leĩ3	
边	peĩ1	
先	seĩ1	
前	seĩ5	
䧘	teĩ4	门~，门坎
店	teĩ5	
橂	teĩ5	硬实
前	tseĩ2	
剪	tseĩ3	
千	tsʰeĩ1	
蚕	tsʰeĩ2	~虫，蚕
筅	tsʰeĩ3	刷
得	dʒɛ	文作“格”，bi5 食 ~，吃不得
□	dʒɛ2	beĩ5 ~，文作“么其”，什么
害	hɛ5	
其	kɛ2	“若何”~，lua5 ~，什么
改	kɛ3	
界	kɛ5	
概	kʰɛ5	
□	lɛ3	~伙，我们
败	pɛ5	
拜	pɛ5	
否	pʰɛ3	坏
派	pʰɛ5	
屎	sɛ3	~坑，茅坑
婿	sɛ5	
师	ʃɛ1	~伯公，道士
狮	ʃɛ1	
使	ʃɛ3	
台	tɛ2	
代	tɛ5	
带	tɛ5	
事	tɛ5	
筛	tʰɛ1	
胎	tʰɛ1	
齐	tsɛ2	
脐	tsɛ2	
在	tsɛ4	所~，地方
济	tsɛ5	~工，帮忙
猜	tsʰɛ1	
菜	tsʰɛ5	
蔡	tsʰɛ5	
红	ɤ2	
瓮	ɤ5	瓶子
丰	hɤ1	
风	hɤ1	
封	hɤ1	
轰	hɤ1	
烘	hɤ1	
工	kɤ1	全~，整天
弓	kɤ1	
公	kɤ1	祖父；老~，丈夫；师伯~，道士
宫	kɤ1	
间	kɤ1	中~
穷	kɤ2	
港	kɤ3	
空	kʰɤ1	火薰~，烟囱(文作“烟窗”，似有误)
侬	lɤ2	
蜂	pɤ1	
房	pɤ2	
缝	pɤ2	动词
棚	pɤ2	
放	pɤ5	
双	sɤ1	
鬆	sɤ1	轻~
颂	sɤ5	穿着
刀	tɤ1	
东	tɤ1	
同	tɤ2	
重	tɤ4	
冻	tɤ5	
栋	tɤ5	
洞	tɤ5	
通	tʰɤ1	~去，到处；毋~，别（说）
虫	tʰɤ2	
舂	tsɤ1	
终	tsɤ1	
盅	tsɤ1	
钟	tsɤ1	
宗	tsɤ1	
棕	tsɤ1	
松	tsɤ5	
空	kʰɤ1	
衣	i1	囝~，胎盘
鞋	i2	
矮	i3	
伊	i3	
椅	i3	倚~，交椅
解	i4	会，能
狭	i4	窄
买	bi3	
篾	bi4	
□	bi5	⿰勿会，表否定，~食 dʒɛ，吃不得
味	bi5	
义	dʒi5	
蟹	hi4	
戏	hi5	
系	hi5	
鸡	ki1	
街	ki1	
□	ki1	tso5 ~ lɒ2，蛤蟆
溪	kʰi1	
骑	kʰi2	
齿	kʰi3	喙~，牙齿
起	kʰi3	
柿	kʰi4	西红~
乞	kʰi5	汝~伊讲，你告诉他
阕	kʰi5	闭眼
汝	li3	
□	li3	la2 ~，文作“喇狸”，麻脸
笠	li4	
二	li5	
利	li5	
腻	li5	
排	pi2	
比	pi3	
痹	pi5	
弊	pi5	
蝠	pi5	文作“壁”，~婆，蝙蝠
批	pʰi1	
疕	pʰi3	痂
鼻	pʰi5	鼻子，鼻涕
西	si1	~红柿
黍	si3	番~，玉米
四	si5	
细	si5	小
池	ti2	
底	ti3	前~，外面
弟	ti4	
地	ti5	
事	ti5	物~，东西
啼	tʰi2	哭
餈	tsi2	餈巴
齐	tsi5	在诣切，多
自	tsi5	□~，文作“各自”，自己
债	tʃi5	
寨	tʃi5	
制	tʃi5	
妻	tsʰi1	
凄	tsʰi1	
圆	dʒĩ2	
下	kia4	低
□	kʰia1	端，拿
𥷒	lia4	晒竹席
烈	lia5	快
壁	pia5	
