#备注：《如皋方言研究》 吴凤山			
#调值	[6]21 [2]35 [3]213 [5]44 [7]44 [8]35 [0]44/21		
#符号说明：-白=文			
#ɿ			
ts	[6]支{凑近、凑上，本字未知，俗写支}知1蜘咨{~询}支枝肢栀资姿脂1{~油，俗写猪}兹滋{~水儿(伤口流出的黄黏水)、~汁，本字疻}辎之芝䐈{头发黏臭；油~啊}㿳{肤黑：黑~~}龇卮{请春~：请春酒}[2]吱{转门声，~滑}[3]紫纸只={~有}姊旨指1{~示，手~}脂2{~肪}子梓滓止址趾1[5]䍉{器痕：碗上有块~}积1{草~：草垛}𢴠{~儿：等长标识物}制製智翅至致窒1{塞：~缝口}置志痣渍啧2{~嘴：无奈、叹息时的嘴部动作、~~滋味}□{湿~~：略湿}豸[0]持{坚~，後字濁化}齿{牙~，疑为子}		
tsʰ	[6]巳自1治1雌跐{~滑板}差3{参~}雉字牸{~牛：母水牛}寺痔嗤□{热锅快炒，热即盛起}施2{~食：佛事。~坏}黐{膏药~：一种黏胶}莳恣痴□{过熟：饭煮啊~啊}士2{白蒲区、薛窑区口音}仕2{白蒲区、薛窑区口音}[2]池驰舐匙瓷糍{~巴：~底(粘锅)}迟茨慈磁祠词辞嗣饲持恃漦{~沫：口吐白沫}治2{~鱼：剖鱼腹}□{脸部较大的色斑}[3]此咨{另读。~询}耻齿始-[5]滞□{伤饱之积剩}刺赐眵侍2{~候}侈豕-次稚		
s	[6]自2斯廝撕䲉{䱀~}施1{布~}是氏私师狮尸司丝思似祀士1仕1市柿诗侍1{~奉}[2]时鲥弛{~空：陡然失去支持}[3]死矢屎史使驶豕=始=自{南乡音}[5]世势誓逝四肆示视嗜俟试肆{~误，本字不明}是{熟~人，本字不明}弛{~空⁵：陡然失去支持(河口镇音)}思{意~}[0]豉{药：豆~。輕聲，本調陽平}		
#ʝ			
p	[6]屄1婢={老~巷(地名)}[2]□{象声词}[3]彼比=[5]毙=闭=鄙泌祕蓖=		
pʰ	[6]批□{炉~子：炉底“册”状铁}篦坯背-{~书、~后}焙炒干痞2{贼~}披=帔-被避鐾{~刀布}痱疕{瘌~儿疮}□{薄切}[2]陪-赔-皮鮍{鳑~儿}疲痞{另读。地~}俾脾痹琵裴-便-1{~宜}[3]庇胚丕癖{怪瘾：纸~(吃纸)}[5]配-屁		
m	[6]妹-{~子}昧-{~心}眯1{小睡}[2]咪1{~~：唤猫声}迷谜眯2{眼睑微合：笑~~}媒-靡弥=眉-楣-霉-黴-梅-脢-{~条肉}棉-1{~花，北乡音}[3]□{寻：~花生、斜视：~着他}美-米眯3{物入目中}咪2{~猫：母猫}蝆{蚂~：蚂蚁}蚁{蚂~，俗写蝆}[5]渳1{略饮：~一口酒}眯1{小睡}		
t	[6]低嘀1{~咑}[2]嘀2{~咑}[3]抵底[5]帝		
tʰ	[6]弟地1第涕{另读。鼻~}特{[训]~为}[2]堤提1啼蹄题[3]体[5]替涕剃屜遞□{~熟：圆满、彻底}绨{另读。线~}替{和、跟、同，本字不明}[0]帝{皇~}		
n	[6]贰1{~毛}腻1{炒菜下~子}□{打~：打趣}䛏[2]尼泥□{涂抹}呢1{~绒}倪[3]□{事或人，本字不明，起祸~儿，祸事的根源；ʝ5~儿，刚开始就终止的事情}[5]拟腻2{油~}匿=昵[0]呢{助词}		
l	[6]史2{姓，避同音字“死”讳改音“吏”}吏例厉励丽隶离1{距离：~他三尺}荔利痢哩1{~~拉拉}[2]犁棃黎离2{~别}篱漓璃-釐狸=1{海~}[3]礼狸-3{~猫、《~猫换太子》}李1{姓}里=理=鲤娌椅2{城西区、城东区、磨头区、白蒲区西北部、石庄镇口音}		
tɕ	[6]穄{另读。芦~}□{赌~：耍无赖}鸡期1{周年}蜞{蚂~、蟛~}几1{~乎}机叽{~咕}饥肌讥基箕屐忌-2怕如{~鬼}□{鹹也}□{副词只修饰“酸枯sɔ⁴⁴(咸味)涩”等味：~苦的}荠1{荸~}奇2知2{~了儿：小蝉}□{~花：酱油上的白醭}[2]叽{另读。~嗗}[3]姐=挤几2{茶~}虮己纪1{姓；~律}[5]祭际穄{~子：一种小米}济剂={~量}计{~算}继系1{~带子}寄冀纪2{世~、~念}檵{枸~}记□{色斑}既季□{幼儿多病，据说因母有孕}鯚{~婆子：鳜}嫉1{~妬}□{门转~儿：门的转轴}		
tɕʰ	[6]妻剂-{单位量：药~子、馒头~子}栖溪{古~(地名)}蹊{~跷}企□{眯~：眯缝}岐技妓欺期2忌-{~嘴}及{来不~，本字暨或洎}暨{来不~，俗写及}洎{来不~，俗写及}嘁{呵~，喷嚏声}[2]其棋旗齐脐{肚~}奚溪-{~水}畦携-奇1骑祁祈鳍提{另读。毫~：秤纽}□{六丫面饼}[3]砌啟岂起[5]契器弃忌={猜~}气汽吃{~力，本字不明}技{活~}[0]纪{另读。年~}疾3{暗~毛病}计{另读。伙~}戚2{亲~}		
