#符号：-白=文	
#ɿ	
ts	[1]资姿咨兹滋知支枝肢吱栀脂之芝淄[3]紫姊子梓{~槎：婺源地名}滓{渣~}纸只1{~要}旨指止趾址籽仔{牛~裤}[5]智致至志痣置1{安~；添~}[6]质执汁蛰{惊~：二十四节气之一}织职帜
tsʰ	[1]痴1{~呆症}[2]雌瓷慈磁辞词祠池驰迟持糍{麻~}鹚{鸬~}□{~着人：形容很粘人，有“纠缠”义}[3]此耻侈齿[5]刺{~杀}次赐厕翅置2{位~}□{打~：打喷嚏}[6]自字直值湿殖植侄治牸{水~：母水牛}
s	[1]斯厮撕私司丝思师狮施尸诗嘶蛳{螺~}[2]匙时[3]死使史驶屎始[4]士仕柿是氏市寺嗣饲[5]四肆试[6]事示豉{豆~}视侍十拾实失室食蚀识式饰=1{装~}虱莳{移植，栽种：~田}
#i	
p	[1]碑卑悲逼-1{动词，~水：沥干水分}[3]彼鄙比[5]贝{宝~}闭臂庇痹[6]备笔毕必
pʰ	[1]披劈砒[2]皮疲脾琵枇鼻啤[3]匹痞疕{名词，指伤口处结的痂}[4]被{~窝}[5]屁[6]僻避䏘{名词，指女阴}
m	[1]眯咪[2]迷眉楣媚[3]美[4]米尾-1{~巴}[5]□{酸~~：形容味道很酸}[6]谜密蜜秘
f	[1]非飞妃菲霏扉[2]肥[3]匪榧{香~}[5]肺费废[6]吠
v	[1]威微危薇[2]为1{作~；认~}维唯惟违围[3]尾=2{收~}萎痿委伟苇纬伪[5]喂1{~饭}[6]卫为2{因~}位未味魏畏慰胃谓□{~菜：把每个碗里的剩菜划拉进一个碗里放好}
t	[1]滴=1{十~水}[4]□{~[to53]：指人说话结巴或发音不标准}[5]□{逗弄小孩时发出的声音}[6]滴-2{打点滴}的=1{打~：打出租车}
tʰ	[6]地递=1{快~}□{~开：常指衣服开线了}
l	[1]□{做~：干什么、做什么}[2]离篱璃梨狸痢{瘌~头}犁{~耙}黎[3]旅理1{道~；~由}礼=1{典~}[4]女吕{姓}李里鲤理2{整~}耳-1{~朵}[5]劙{动词，“切割”义：~一刀}[6]虑滤例=1{~字}厉励=1{~志}丽莉荔利吏泪立笠粒栗
ts	[1]椎{颈~}𡎺{~紧：塞紧}□{动词，把物体朝一边倾斜：头~一下}[3]挤嘴[5]醉缀{~纽：给衣服缝上纽扣}□{动词，逗弄：~小孩}[6]坠
tsʰ	[1]蛆痴2{~不戳戳：骂人话}[2]随[3]取{~钱}娶[4]聚{~会}痔[5]□{动词，“刮擦”义：头发~着了}[6]七漆集习-1{复~}涩{指食物的口感不顺滑或苦涩}□{形容词，指爱撒娇：女儿~得很}
s	[1]须-1{胡~}尿[3]髓[5]絮[6]饰-2{耳~}□{“堵塞”义，耳朵洞~了}□{~静：格外寂静}□{~~：安慰被吓坏的人时说的口头禅}
tɕ	[1]饥肌基几1{~乎}机箕姬{人名}[3]几2{茶~}几3{~个；~只}己纪虮{虱~：虱子的卵}癸1{~酉年}□{~样：记号、标记}麂{角~：常在山野中出现的一种野生动物}济=1{~南}[4]徛{站立}[5]寄记季忌[6]既急级极吉叽{老鼠的叫声}
tɕʰ	[1]欺期=1{~望；~限}□{动词，鬼鬼祟祟地偷看}[2]奇骑岐歧祁{地名：~云山}鳍其棋期-2{学~}旗祈蜞{水蛭}琪{人名}琦{人名}[3]企起杞岂启汜{大~：婺源地名}[5]器弃气汽[6]技疾及乞{讨饭~：乞丐}泣缉{用绳索勒住}□{乌~~：形容很黑}
ȵ	[1]妮{人名}[2]尼{~姑}呢{~子大衣}疑宜倪{姓}鲵{娃娃鱼}[3]拟[4]蚁[6]腻日逆义-1{~气；~乌：浙江地名}谊{~情}毅匿
ɕ	[1]嬉熙希稀嘻犀□{撩~：一种捕鱼的小网}[2]习=2{姓}[3]喜[5]戏[6]牺袭吸兮{用于词尾：攋~、囥~}
∅	[1]伊{~里：这里}医衣依[2]仪{~器}移遗夷姨胰[3]倚椅已以乙[5]忆亿抑[6]艺=1{综~}议易1{网~：互联网技术公司名}意义=2{意~}异揖一逸
#u	
p	[3]补捕□{拟声词，婴儿放屁的声音}[4]簿部[5]布怖[6]步卜{萝~}仆-1{倒，趴下}
pʰ	[1]铺1{动词}扑1{~锅：溢锅}[2]葡蒲菩脯1{胸~}伏1{老鼠~翼：蝙蝠}仆=2{~人}□{成块状的物体}□{~[liau24]：阴茎}[3]谱普朴殕{~毛：食上生白毛}[4]□{~亲客，指帮助男方上女方家迎亲的人}[5]铺2{名词}脯2{鸡~；肉~}[6]扑=2{~克}伏1{~小鸡：孵小鸡}
m	[2]模[3]姆=1{保~}[4]亩牡母拇[6]暮慕墓募幕木目穆牧
