#调值	[1]33 [2]31 [3]242 [5]214 [6]35 [7]411
p	
pa214 坝	
pa31 拔	
pa33 巴芭疤笆吧杷琶钯	
pa35 把罢耙	
pa411 八爸	
pai214 拜	
pai242 摆宝	
pai35 败稗	
pan214 半扮	
pan242 板版□{形容人或动物挣扎、打闹}	
pan33 扳班般斑搬颁	
pan35 伴办瓣畔	
pɑŋ242 绑榜	
pɑŋ33 邦浜帮	
pɑŋ35 蚌棒傍谤	
pau214 豹菢报爆	
pau242 保堡饱	
pau31 薄	
pau33 包胞褒雹	
pau35 抱刨暴鲍	
pɛ31 白	
pɛ411 百柏北伯泊	
pi214 背陛闭璧	
pi242 比彼俾	
pi31 鼻	
pi33 屄	
pi35 被婢弼蓖箅弊篦壁避毙	
pi411 逼笔必毕滗泌	
pei214 贝臂	
pei33 杯卑悲碑	
pei35 倍狈被备焙辈蔽币	
pən242 本畚	
pən31 彭	
pən33 奔崩	
pən35 笨	
pian 便	
pian214 汴辩变	
pian33 编鞭边	
pian35 蝙扁匾贬辨辫	
piau33 彪标膘	
piau35 表婊表	
piɛ214 憋别	
piɛ242 秕	
piɛ33 鳖	
piɛ35 瘪	
piɛ411 别	
pin214 鬓	
pin33 彬宾滨槟殡冰兵	
pin35 丙秉柄禀饼并病	
po214 播簸	
po31 钹	
po33 波玻菠	
po35 跛	
po411 剥钵拨饽帛勃脖博驳檗擘	
poŋ33 绷	
poŋ214 迸蹦	
pu214 布怖	
pu242 补	
pu35 捕步部埠簿	
pu411 不	
pʰ	
pʰa214 帕怕	
pʰa31 爬	
pʰai214 派	
pʰai31 排徘排牌	
pʰan214 绊盼襻	
pʰan242 拌	
pʰan31 判盘	
pʰan33 潘攀	
pʰan35 叛	
pʰɑŋ214 胖	
pʰɑŋ31 滂旁螃庞脬	
pʰau214 泡炮	
pʰau31 刨袍跑	
pʰau33 抛	
pʰɛ411 拍迫珀魄	
pʰei214 沛佩配	
pʰei31 培裴	
pʰei33 坯	
pʰei35 丕	
pʰi214 屁譬辟	
pʰi242 鄙	
pʰi31 陪赔皮枇疲琵脾匹癖	
pʰi33 批披	
pʰi35 庇敝痹痞	
pʰi411 碧劈霹僻	
pʰən33 烹	
pʰən214□{倚靠}	
pʰən31 盆	
pʰian214 遍片骗	
pʰian31 便	
pʰian33 偏篇	
pʰiau214 漂票	
pʰiau31 嫖瓢朴	
pʰiau33 鳔漂飘	
pʰiɛ214 蹩	
pʰiɛ411 撇	
pʰin31 贫频平坪屏瓶萍评凭苹	
pʰin33 拚	
pʰin35 并品聘	
pʰo214 破	
pʰo31 婆	
pʰo33 坡颇	
pʰo35 剖	
pʰo411 泼	
pʰoŋ214 碰	
pʰoŋ242 捧	
pʰoŋ31 朋棚蓬膨	
pʰu214 扑铺	
pʰu242 甫浦普谱	
pʰu31 菩脯葡蒲	
pʰu411 卜仆朴瀑曝	
m	
ma242 马码蚂	
ma31 麻痳蟆抹	
ma33 妈	
ma35 骂	
mai242 买	
mai31 埋	
mai35 卖迈	
man31 瞒馒鳗蛮	
man35 满蔓幔漫慢	
mɑŋ242 莽蟒	
mɑŋ31 芒忙盲氓茫	
mɑŋ35 芒	
mau242 卯牡	
mau31 毛矛茅锚	
mau33 猫	
mau35 茂冒帽贸	
mɛ411 脉麦陌墨默	
mi242 米	
mi31 眉梅媒弥靡	
mi35 妹	
mi411 迷谜糜秘觅密蜜	
mei242 每美	
mei31 玫枚莓楣煤	
