	参考资料	《枞阳方言研究》，整理于东乡日常。									
	#调值	[1]³² [2]⁵⁵ [3]⁵² [5]³¹ [7]入声韵分aʔ ㄹ oʔ ㅂ ɪʔ ㄷ əʔ ㄱ ，根据韵不同调值不同，关于nl不分，整理得大部分n+细音，洪音+l.									
#ɿ 으											
	ts 쯔	[1]资姿咨兹滋辎知支枝肢脂之芝桂（白，桂圆）[3]紫姊子梓纸旨指止趾址[5]自字滞制智致稚至置治痔志痣窒柿									
	tsʰ 쓰	[1]疵侈眙 （看着）[2]雌瓷慈磁辞词祠池驰匙迟持治{~鱼}[3]此齿[5]刺赐次伺翅									
	s 스	[1]斯厮撕私师狮司丝思施尸诗[2]时鲥[3]死矢屎始使史驶[5]寺嗣饲四肆似祀巳事士俟侍世誓逝势是氏示视嗜市恃式试									
#i 이											
	Ø 이	[1]医衣依揖[2]宜谊仪移夷姨疑怡[3]椅已以[5]义议艺呓诣易懿肄意异毅忆亿邑									
	p 삐	[1]屄（送气phi入声）[3]彼鄙比[5]蔽（文）币（文）弊毙臂（文）陛闭（文）裨婢秘{秘鲁，国家名}弼庇									
	pʰ 비	[1]批披丕劈坯[2]皮疲脾琵匹[3]痞[5]屁霹									
	m 미	[1]眯咪[2]迷（文）梅(白)眉(白)谜（文）弥靡[3]米（文）美(白)									
	t 띠	[1]低堤（文）堆（白）[3]底抵[5]帝第递弟地对{白}兑{白}									
	tʰ 디	[1]梯推（白）[2]提题蹄啼涕堤（白）[3]体腿{白}[5]替退{白}									
	n 니	[1]内{表示钻}[2]泥倪尼呢黎犁离璃梨厘离雷{白}[3]拟礼李里理鲤[5]丽腻例厉励隶荔利痢吏昵匿溺类{白}累{白}									
	tɕ 지	[1]鸡稽羁饥肌基姬几{~乎}机讥[3]挤几{~个，茶~}己纪给供给嘴{白}[5]祭济计继系{~扣子}寄技妓冀记忌既季 稷醉{白}罪{白}									
	tɕʰ 치	[1]蛆妻凄栖（文）溪（白）欺期{~盼}[2]徐（白）豉齐脐奇骑岐祁耆鳍其期{~期}棋旗祈随{白}[3]祈启企起杞取{白}娶{白}[5]去(白，做动词，～哪海)砌契器弃气汽泣趣{白}									
