#来源：湖南省宜章县栗源镇土话语音研究，作者：王颖，湖南师范大学硕士论文，2018年6月，导师：罗昕如 教授			
#转录者：DaiDzao			
IPA	調號	調值	單字
ʦɿ	1	35	知=资姿=芝
ʦɿ	3	55	紫纸姊指止趾
ʦɿ	5	22	痔志痣
ʦʰɿ	1	35	字治牸[未生育的母牛]
ʦʰɿ	2	41	雌池瓷迟次慈磁辞词祠嗣
ʦʰɿ	5	22	自齿
sɿ	1	35	撕私师狮司丝诗是士事试
sɿ	2	41	时石=
sɿ	3	55	死屎史始
sɿ	5	22	鼓四示市柿试
pi	3	55	比
pi	5	22	毙滗[把水分滤出]
pʰi	1	35	批披鼻
pʰi	2	41	皮疲枇
pʰi	3	55	痞
pʰi	5	22	被[~窝:被子]屁
mi	2	41	谜
mi	3	55	米
mi	5	22	尾-
fi	1	35	非[~洲]飞-
fi	2	41	肥
fi	5	22	肺-费-
ti	1	35	低
ti	2	41	□[ti41~头:里面]
ti	3	55	底抵
tʰi	1	35	地□[ti35~头:坟墓]
tʰi	2	41	题提
tʰi	3	55	体
tʰi	5	22	帝替剃屉第梯
li	1	35	利
li	2	41	犁离梨鲤鱼栗=
li	3	55	礼
li	5	22	例厉荔
ʨi	1	35	技鸡基机饥
ʨi	3	55	挤
ʨi	5	22	祭寄记剂妓
ʨʰi	1	35	倚
ʨʰi	2	41	齐脐奇骑棋
ʨʰi	3	55	杞
ʨʰi	5	22	气汽
ȵi	1	35	你
ȵi	2	41	泥宜[~章:地名]尼
ɕi	1	35	西犀希
ɕi	3	55	洗喜起系[关~]
ɕi	5	22	细系[联~]戏
Øi	1	35	毅
Øi	2	41	移谊姨
Øi	3	55	椅以衣
Øi	5	22	意
pu	1	35	□[打~：亲吻]
pu	2	41	□[~进去:抱进去]
pu	3	55	补
pu	5	22	部步布
pʰu	1	35	铺[~设]蒲
pʰu	2	41	菩
pʰu	3	55	谱普
mu	1	35	木
mu	2	41	模
mu	3	55	亩拇母
mu	5	22	墓
fu	2	41	符扶福幅蝠
fu	3	55	斧府辅
fu	5	22	服戽
tu	1	35	度
tu	2	41	独毒[名词]
tu	3	55	赌堵嘟
tʰu	1	35	肚秃
tʰu	2	41	徒涂图
tʰu	3	55	土
tʰu	5	22	吐兔读毒[形容词]
nu	2	41	奴
nu	3	55	努=
lu	1	35	路
lu	2	41	卢炉芦
lu	3	55	卤
lu	5	22	露
