#i		
p	[1]碑卑悲[2]皮疲脾琵{琵琶}枇{枇杷}[3]比{比較}秕{秕子，秕穀}[4]被{被臥，被子}[5]蓖{蓖麻}臂秘泌痹{麻痹}[6]被{被打、被迫}避備鼻婢	
pʰ	[1]丕披[3]彼俾鄙[5]譬{譬喻}屁	
m	[2]糜{粥}靡眉楣微[4]美尾[6]未味	
f	[1]非飛妃[2]肥[3]匪翡{翡翠}[5]廢肺痱{痱子}費{費用}	
t	[1]雌資姿咨茲滋[3]紫姊子梓[6]地	
tʰ	[3]此[5]刺次廁	
n	[2]尼[4]你[6]膩	
ɬ	[1]斯廝私司絲思[2]瓷瓷器秘格巴慈磁磁石辭詞祠[3]死[4]似巳{辰巳}[5]四肆伺[6]自字寺嗣飼牸{牝牛}	
l	[1]璃{玻璃}撕[2]離{離別，離開半寸}籬梨厘狸{狸貓}[4]理鯉李裏里[6]利痢吏	
tʃ	[1]知蜘{蜘蛛}支枝肢梔{梔子花}脂之芝[2]池馳匙{湯匙，鑰匙}遲持時{白}鰣[3]紙只旨指止趾址[4]是{白}士[5]智致至置志誌痣[6]稚{幼稚}痔治	
tʃʰ	[1]差{參差}眵{眼眵}癡嗤{嗤笑}[3]侈奢侈恥齒始矢[5]翅	
ȵ	[1]兒{小稱}[2]宜儀而疑兒[4]爾議耳擬[6]餌義二貳{貳心}誼	
ʃ	[1]施師獅屍詩[2]時{文}[3]屎使{文}史[4]是{文}士{的士}市[5]試[6]豉{豆豉}示視柿俟事侍	
k	[1]飢肌基幾{幾乎}機譏饑[2]奇岐祈鰭其棋期{時期}旗祈[3]企徛{立}己杞幾{幾個}[5]寄紀{紀律，世紀，年紀}記既[6]技妓忌	
kʰ	[5]冀	
h	[1]犧欺嬉熙希稀[3]起喜蟢{蟢子}豈[5]戲器棄氣汽	
∅	[1]伊醫衣依[2]移夷姨[3]倚椅[4]以矣已[5]意[6]易{難易}異肄{肄業}	
#u		
p	[2]蒲菩{菩薩}[3]補[4]簿[5]布佈怖{恐怖}[6]部步埠{商埠}	
pʰ	[1]鋪{鋪設}[3]譜浦甫脯{杏脯}普[5]鋪{店鋪}	
m	[1]誣模{模子}巫摹{摹仿}[2]模{模範}無[4]武舞侮鵡{鸚鵡}母拇[6]暮慕墓募務霧戊	
f	[1]枯呼夫膚跗{跗面}敷俘{俘虜}孵{孵小雞}麩{麥麩子}[2]符扶芙{芙蓉}[3]苦虎滸{水滸}府腑俯斧撫[4]傅父釜婦[5]庫褲戽{戽水}賦富副[6]付腐輔附負阜	
t	[1]都{都城，都是}租[2]徒屠途塗圖[3]堵賭祖組[4]肚{魚肚，豬肚，腹肚}[5]做[6]妒度渡鍍杜	
tʰ	[1]粗[3]土[5]兔醋措措施吐{吐痰，呕吐}	
n	[2]奴[3]努怒	
ɬ	[1]蘇酥[5]素訴嗦{鳥嗦子}	
l	[2]盧爐蘆{蘆葦}鸕{鸕鷀}廬{茅廬，廬山}[4]魯櫓虜鹵[6]路露鷺{鷺鷥}	
k	[1]姑孤[3]古估{估計}䀇{䀇子}牯股鼓[5]故固錮{錮露鍋}雇顧	
kʰ	[1]箍	
∅	[1]烏汙塢[2]芋{文}胡湖狐壺乎葫{葫蘆}胡[4]戶滬[6]互護芋{白}	
#y		
t	[1]趨	
tʰ	[1]蛆{生蛆}[3]取[5]趣	
n	[4]女	
ɬ	[2]徐[4]序敘緒娶	
l	[2]驢[4]呂旅裏[6]慮濾	
tʃ	[1]豬諸[2]除薯{白薯}[3]煮[5]著{顯著}[6]苧{苧麻}	
tʃʰ	[3]杵餐[5]處相處處處所	
ȵ	[2]虞如魚漁愚娛[4]汝語[6]遇禦御寓	
ʃ	[1]書舒[3]暑鼠[4]署{專署}[5]恕	
k	[1]居車{車馬炮}[2]渠{他}[3]舉[4]拒距[5]據鋸{鋸子，鋸木頭}[6]巨具懼	
h	[1]墟{城市}虛噓{吹噓}[3]許[5]去{來去，去皮}	
∅	[1]於淤迂于[2]余餘盂榆逾愉[4]與{及，給與}雨宇禹羽[6]譽{榮譽}預豫愈{愈好，病癒}喻裕	
#a		
p	[1]巴芭疤爸{我～}[2]爬琶{琵琶}杷{枇杷}鈀{鈀子}耙{犁耙，耙地}[3]把{把握，把守，一把，把柄}[5]霸壩垻[6]罷	
pʰ	[5]怕	
m	[1]媽[2]麻痳[4]馬碼{碼子}[6]罵	
f	[1]花[5]化	
t	[3]打	
tʰ	[1]他	
n	[2]拿[6]那	
tʃ	[1]渣抓楂{山楂}[2]茶搽查{調查}[5]詐榨{榨油}炸{炸彈，用油炸}	
tʃʰ	[1]叉杈{枝杈}差{差別，差不多}[5]岔{三岔路}	
ʃ	[1]莎{莎草}沙紗[3]灑耍	
k	[1]家加嘉傢[3]假{真假}賈{姓}[5]假{放假}架駕嫁稼價	
ŋ	[2]牙芽衙崖{山崖}[4]雅瓦	
h	[1]蝦{魚蝦}蛤{蛤蟆}[2]霞瑕遐暇[4]下{底下}[6]夏{姓，春夏}廈{廈門}下{下降}	
∅	[1]鴉丫{丫頭}椏{椏杈}[3]啞[5]亞	
#ua		
k	[1]瓜[3]寡剮[5]掛卦	
kʰ	[1]誇垮[5]跨	
∅	[1]蛙窪[2]華{中華}鏵樺{樺樹}[6]畫話	
#ɛ		
t	[3]姐[5]借	
ɬ	[1]些[2]邪斜[3]且寫[5]瀉卸[6]謝	
tʃ	[1]遮[2]蛇[3]者[5]蔗[6]射麝{麝香}	
tʃʰ	[1]車{馬車}[3]扯[5]萱斜	
ʃ	[1]賒[3]捨[4]社[5]赦舍	
k	[2]茄{茄子}騎	
#iɛ		
ȵ	[4]惹	
∅	[1]爺{君爺}[2]耶爺{阿爺}[4]野[6]夜	
#œ		
t	[3]朵躲	
k	[2]瘸{瘸腿}	
h	[1]靴	
#ɔ		
p	[1]波菠{菠萊}坡玻{玻璃}[2]婆[5]簸{簸一簸，簸箕}	
pʰ	[1]頗棵[5]破	
m	[1]魔摩[2]磨{磨刀}[6]磨{磨面，石磨}	
f	[1]科[3]火夥伙[5]課貨	
t	[1]多[2]駝{馱拿，馱起來}舵{名詞}馱{馱子}[3]左[5]佐[4]妥舵{動詞}[6]惰	
tʰ	[1]拖[5]錯{錯雜}[3]橢{橢圓}	
n	[2]挪[6]糯{糯米}	
ɬ	[1]蓑梭{織布梭}唆嗦{啰嗦}[3]鎖瑣{瑣碎}[4]坐[6]座	
l	[1]啰{啰唆}[2]羅鑼籮騾螺{螺螄}腡{手指紋}[3]裸{裸體}	
tʃ	[3]阻[6]助	
tʃʰ	[1]初[3]楚礎{柱下石}	
ʃ	[1]梳{梳頭}疏{疏遠}蔬[3]所[5]疏{注疏，文疏}[6]傻	
k	[1]歌胡戈[5]個{個人}[3]個{量詞}	
ŋ	[2]蛾鵝俄[4]我[6]餓臥	
h	[2]荷{薄荷，荷花}河何[3]可[6]賀	
∅	[1]阿{阿膠，阿哥}	
#uɔ		
k	[3]果裹竦[5]過	
∅	[1]鍋倭窩[2]和{和氣}禾[4]禍涴{弄髒}[6]和{和麵}	
#ai		
p	[2]排牌[3]擺[5]拜[6]敗	
pʰ	[5]派	
m	[2]埋[4]買[6]賣邁	
f	[5]快筷[3]塊	
t	[5]戴帶[6]大{大夫；大黃，藥名}	
tʰ	[5]態貸太泰	
n	[4]乃奶	
l	[1]拉[5]癩[6]賴	
tʃ	[1]齋[2]豺柴[5]債[4]舐{以舌取物}[6]寨	
tʃʰ	[1]猜釵差{出差}	
ʃ	[5]曬	
k	[1]皆階楷佳街[3]解{講解，解開，曉也}[5]介界芥尬{尷尬}疥屆戒	
ŋ	[2]挨{挨打，挨罵}[6]艾{文}	
h	[1]揩諧[2]鞋[4]蟹械懈	
∅	[1]挨{挨近，挨住}埃{塵埃}[3]矮[5]隘	
#uai		
k	[1]乖[3]拐[5]怪	
∅	[1]歪{文}[2]懷槐淮[6]壞	
#ʌi		
t	[1]低[2]堤題提蹄啼[3]底抵[4]弟[5]祭際帝濟[6]第遞	
tʰ	[1]梯[3]體[5]替涕{鼻涕}剃砌	
n	[2]泥	
ɬ	[1]西犀[2]齊[3]洗[5]細婿{女婿}	
l	[2]犁黎[4]禮[6]麗{美麗}荔{荔枝}	
tʃ	[5]制製劑{一劑藥，面劑子}[6]滯{停滯，積滯}誓	
ʃ	[1]篩{篩子}[3]駛[5]世勢	
k	[1]雞[5]計繼髻	
kʰ	[1]稽溪[3]啟[5]契{契約}	
ŋ	[2]危[4]蚊[6]藝毅偽魏	
h	[6]繫{系鞋帶}系{連系}係	
#uʌi		
p	[1]跛{跛足}[5]閉[6]稗弊斃幣	
pʰ	[1]批	
m	[2]迷謎[4]米[5]覓	
f	[1]揮輝徽[5]諱匹[3]毀	
k	[1]龜歸[2]攜癸逵葵[3]詭軌鬼[5]鱖{鱖魚}桂季貴[6]跪櫃	
kʰ	[1]規虧窺[3]愧	
∅	[1]威[2]為{作為}維惟遺唯違圍[3]萎{氣萎，買賣萎}委[4]胃蝟偉葦{蘆葦}緯衛[5]喂畏慰[6]惠慧為{為什麼}位謂	
#iui		
ȵ	[4]蕊	
∅	[6]銳	
#ui		
p	[1]杯[2]培陪賠裴[4]倍[5]貝輩背{背誦}[6]吠{白}	
pʰ	[5]沛配佩	
m	[2]梅枚媒煤[4]每[6]妹味	
f	[1]恢灰[5]晦悔	
t	[1]災栽堆[2]臺{天臺，臺州}苔{白}抬[3]宰嘴[4]待[5]再載{載重，滿載}對碓兌最醉[6]代袋隊	
tʰ	[1]胎推催崔{姓}[2]苔{文}[3]彩采睬腿[5]菜賽蔡退蛻{蛇蛻皮，蟬蛻}脆翠褪{文}	
n	[6]耐奈內	
ɬ	[1]腮鰓雖[2]才材財裁隨綏[3]髓[4]在罪[5]碎歲粹{純粹}[6]瑞遂隧{隧道}穗	
l	[2]來雷[3]儡{傀儡}累{極困}[4]累{累積，連累}壘類[6]淚	
tʃ	[1]追錐[2]垂槌錘[6]贅睡墜	
tʃʰ	[1]吹炊	
ʃ	[1]衰[3]水[5]稅帥	
k	[1]該[3]改[5]蓋	
kʰ	[5]概溉慨{慷慨，感慨}丐{乞丐}	
ŋ	[2]獃[6]礙艾{白}外	
h	[1]開[3]海[4]亥[6]害	
∅	[1]煨[2]回茴{茴香}[3]凱藹{和藹}[4]會{會不會}[5]愛[6]匯彙會{會計，開會}繪匯	
au		
p	[1]包胞鮑{姓，鮑魚}[2]刨[3]飽[5]豹{文}爆	
pʰ	[1]拋[3]跑[5]泡炮{槍炮}豹{白}	
m	[2]茅矛[4]卯牡[6]貌	
n	[6]鬧[2]錨	
l	[1]撈{撈佬}笊{笊籬}[2]撈{打撈}	
tʃ	[2]巢[3]找[5]罩[6]棹{槳}驟	
tʃʰ	[1]抄{掠取，抄寫}[3]炒[5]吵抄{抄家}鈔{錢鈔}	
