	注释：白-，文=
#ɿ	
ts	[1]资姿咨兹滋租[3]祖组阻紫子=走{跑}[5]灶[7]卒仔-{～細}
tsʰ	[1]粗雌[5]刺[8]族族拭{～桌}
s	[1]苏酥私师蛳思司斯撕=茨[2]瓷餈辞词祠磁[3]死史使驶此束=速[5]何祀次赐诉塑素{菜}扫-[6]寺饲似已祀士仕侍自=字[8]术束-
#i	
p	[1]卑婢碑悲蚍{乌～：臭虫}拔-[3]比妣彼臂笔毕逼碧壁-[5]闭庳秘箅痱背贝狈[7]斧弼[8]匕
pʰ	[1]坯=胚批=被{～动}[2]皮=疲脾肥枇琶[3]疕鄙癖僻[5]屁庇鼻毙[6]备币避=敝毖吠[8]劈
m	[1]咪眯谜[2]迷弥猕枚糜=眉楣梅[3]米美镁[5]觅泌[6]沕{～水：潜水}[8]密蜜
f	[1]非菲飞=妃恢辉挥徽嬉{玩}[2]回茴蛔迴[3]匪诽毁燬贿[5]费废肺慧惠悔诲卉[6]会绘烩汇[8]沸=
v	[1]威微煨[2]为{作～}唯维惟韦违围遗[3]委委伟纬尾=伪[5]畏喂尉蔚慰[6]为{～了}位未味胃谓渭猬卫
t	[1]低嘀知蜘[3]底抵敌[5]帝缔置智的={我～}[7]滴的{目～}
tʰ	[1]梯涕屉[2]提题蹄=池驰迟持[3]体踢=[5]替剃蒂秩稚[6]弟=第地=治滞[7]啼[8]笛迪递蛰直=值植殖侄惕
l	[1]哩[2]离篱璃漓梨黎犁厘狸泥来-[3]李礼里理鲤你[5]俚[6]利痢俐莉厉励腻蜊[8]丽荔吏立粒笠=力历=沥曆栗逆
ts	[1]鲫=唧[3]姊籽积迹绩脊稷即[5]祭际济剂仔{囝～}[7]仔{鸭～}[8]挤
tsʰ	[1]妻妻凄[2]齐脐=荠糍[3]柒漆膝[5]砌粞{米～}[6]自-[7]脐[8]集疾戚辑缉寂藉
s	[1]西犀丝栖[3]徙死-息媳熄昔惜[5]四细肆[7]咝[8]习席蓆=袭析夕悉蟋隙
tʃ	[1]支枝肢吱脂之芝[3]旨指止扯芷趾只职织执挚汁窒质
tʃʰ	[1]痴嗤[3]齿=耻尺=赤=[5]试[7]吃
ʃ	[1]施诗尸熙希稀栖熹嬉=奚=兮畦嗜[2]时[3]屎始喜失悉-识释适湿=室[5]世逝势试=戏[6]是示豉市柿=氏视誓系係[7]式[8]十拾食石=实蚀
k	[1]鸡=技枝-肌饥=机讥基姬稽[3]渠{他}几纪杞急级吉击激=[5]计记忌寄继既[8]激-
kʰ	[1]溪欹{歪}欺[2]骑奇棋旗期祈祁蜞[3]启起岂[5]气契汽喫[6]忌{～讳}[7]桔柿-[8]及吸极汲圾泣
ŋ	[2]宜谊倪疑仪尼凝[3]拟[5]日[6]艺呓义议蚁二贰毅[8]入慝
∅	[1]衣依医铱[2]夷姨移恰贻奚=颐寅伊[3]以已椅矣乙益邑一壹[5]意忆亿薏亦肄[8]易异逸翼译抑翌裔绎冀揖
#u	
p	[3]补=不[5]布=佈怖[7]腹[8]勃渤
pʰ	[1]铺{～设}哺[2]脯{胸～}菩莆蒲葡[3]普谱浦脯{肉～}辅甫簿卜扑[5]铺{店～}[6]步部捕[7]覆=[8]袱
m	[2]模{～子}[3]母姆牳[5]目[7]姆{大～}[8]木沐穆牧睦
f	[1]夫肤麸=驸呼[2]扶抚符孚俘芙敷乎呼胡湖糊葫壶狐弧瓠鬍[3]府俯腑腐{～烂}福蝠斧虎[5]付咐附富副幅讣赴赋负戽傅{姓}沪[6]父腐{豆～}妇孵傅{师～}侮户护互[8]佛腹=覆=服伏袱=复複忽获
t	[1]都嘟[3]赌堵睹督贮{～饭}[5]昼-妒[7]肚
tʰ	[2]途途徒图屠[3]土吐{～痰}[5]兔吐{呕～}[6]度渡镀杜[7]途[8]读犊独毒秃突
l	[1]噜[2]奴卢炉芦庐农{～民}[3]鲁橹虏卤滷[6]怒路赂露[7]漉{揽拌}[8]鹿禄碌录
tsʰ	[5]醋[8]促
tʃ	[3]筑祝烛嘱[7]粥竹=竺
tʃʰ	[1]初[2]锄[3]楚础触[6]助
ʃ	[1]梳疏蔬[3]黍数{～一下}叔菽畜[5]数{～目}六-[7]刷[8]熟蜀赎属
k	[1]姑菇=孤鸪辜[3]古估鼓谷国骨[5]故固锢雇顾[6]跔{蹲}[7]牯股
kʰ	[1]枯[3]苦虎-哭[5]库裤酷[7]窟
∅	[1]乌呜污[2]无芜巫诬毋鬍[3]菇{杂～}舞侮{～辱}武鹉屋[5]务雾戊恶{可～}[6]骛婺{～剧}[8]勿物滑{～倒}
#y	
pʰ	[1]麸-[2]瓠-[3]补{～鼎}殕{霉}醭{长白～}妇-{新～}[5]铺{～瓦}[6]孵-{～鸡仔}[7]沸-
f	[3]许{姓}雨-后-{～门}[6]腐-{豆～}
t	[1]堆-猪-{豪～}[3]拄
tʰ	[1]筛-[2]除=厨橱[3]苎[6]著住-贮-{～腹}[7]锤-除-{～毛：拔毛}
l	[2]驴雷=擂={推}[3]吕垒侣铝旅屡缕榈履[6]虑滤内[7]篓[8]律率
tsʰ	[1]蛆-趋崔[2]徐[3]取娶[5]趣[6]聚
s	[1]须需鬚[6]序[7]□{～包：腿肉}
tʃ	[1]诸朱珠蛛猪=株[3]煮主拄=[5]注蛀柱=住=驻著铸赘
tʃʰ	[1]吹=炊[3]鼠出[5]处树-[7]□{背后讨论}
ʃ	[1]书舒虚输殊储[2]贮=薯[3]署许=水畜蓄[5]树=恕竖[6]瑞
k	[1]居车=驹拘{～礼}[3]举矩[5]锯=剧句拘巨拒距苣炬[7]□{捕鱼竹具}
kʰ	[1]区驱躯[2]渠瞿[5]去=[6]旧具俱惧[7]曲[8]掘屈
ŋ	[2]鱼=渔=愚牛-娱虞[3]女汝乳[6]寓遇御
∅	[1]吁迂{～回}淤瘀[2]余于孟如俞瑜[3]雨=屿与羽字禹舆熨{～斗}[5]煨-[6]喻芋聿预豫[8]疫域郁誉俞裕浴=预役愉
#a	
p	[1]爸=巴芭疤粑笆拔={～草}[3]把八捌北百柏陌靶[5]坝壩霸[6]爸-罢[7]把{一～草}[8]跋拔
pʰ	[1]啪[2]爬扒杷琶耙{禾～}[3]迫魄拍{打～}□{模子}[5]怕帕[6]耙{犁～}[7]拍{～水}□{～子：李子}啪[8]白帛泊粕□{萝卜}
m	[1]妈吗[2]麻麻蟆[3]马码玛[5]骂[7]嬷{唔～：祖母}蚂□{凹下}[8]墨麦脉𢫦{打}
f	[1]花哗[2]华样哗[3]法发髪血划{～标}[5]化[6]话=画华{姓}划{计～}[8]乏猾=滑伐阀罚或惑
v	[6]话-{～事：说话}[8]越曰阅悦粤
t	[1]嗒[3]答得德打[7]搭褡得{给予}
tʰ	[1]他它她哒[3]塔贴-铁-踢-[5]沓{重～}[7]沓{一～纸}榻帖叠踏{糟～}[8]塌踏碟直-达
l	[1]拿拉啦垃[2]哪{～吒}剌{～痢}痢[3]□{高举长根击}[5]那哪[7]□{一瘸一瘸}[8]纳蜡腊猎勒辣捺钠呐
ts	[3]节{竹～、季～}[7]煠{煎一下}[8]砸铡
tsʰ	[1]差嚓[3]擦测厕侧[5]贼[8]截-□{蟑螂}
s	[3]撒锡萨煞塞{蓬蓬～：杂草丛生}[5]飒[7]杀[8]塞{瓶～}
tʃ	[1]渣遮吒咋{～呼}喳楂[3]责隻者[5]榨蔗诈炸[7]扎仄榨[8]眨闸札紥
tʃʰ	[1]岔叉车杈[2]茶查[3]拆策册赤-插察[5]勺-垞[7]戳[8]择泽宅
ʃ	[1]纱沙=赊奢傻裟鲨砂[2]□{～俚：男人}[3]啥涩虱色霎□{肩扛}[5]赦笠-[6]射社舍麝力-{～力：勤劳}
k	[1]家佳加嘉枷傢伽[3]假贾甲钾革荚{豆～}[5]架驾嫁稼价[7]夹{名词}峡岬格隔膈蛤{～蜊}嘎[8]夹{动词}
kʰ	[1]咖□{一～菜}[3]刻客克咳[7]卡[8]揢{～鱼}
ŋ	[2]牙蚜讶芽[3]雅[6]伢-{～子}[8]额
x	[1]哈[2]蛤{～蟆}遐暇瑕[3]下{～山}黑[6]下{山～}厦夏[7]瞎霞虾鲑{～油}吓[8]狭侠辖核匣
∅	[1]阿鸦啊[3]鸭押压[5]亚娅[7]哑
#ia	
p	[3]壁[7]□{一小堆}
pʰ	[3]□[8]啪
t	[1]爹{背称父}[3]摘-{～茶}
tʰ	[5]籴{～米}[7]□{绑}
l	[8]□{竹编圆形晒具}历-{官～}
ts	[3]姐-{大～}脊-{背～}[5]借藉{～口}[7]鲫{～𤖯，鲫鱼}[8]□{踏于水}
tsʰ	[2]斜{歪～}[3]且迹-{足～}[5]斜-{微陡}[6]谢榭[8]籍-{～贯}
s	[1]□{竹～：竹枝}[2]邪[3]写[5]泻[7]□{煎～：炸糍饺}
k	[1]迦{释迦牟尼佛}[3]□{味涩}[7]□{敏捷}
kʰ	[2]骑-{跨上}[3]□{打赌、欺诈}[7]喫{～人：欺诈}[8]屐
ŋ	[3]惹𱳅{～目}
∅	[1]丫呀[7]爷耶椰[3]野冶□{抓、握}也喏{唱～}[6]夜
#ua	
ʃ	[3]耍
tʃ	[1]抓
k	[1]瓜呱[3]寡括剐刮{～胡子}[5]卦挂褂[7]刮{搜～}
kʰ	[1]誇夸垮挎=跨[7]□{一～痰}
ŋ	[3]瓦佤
∅	[1]漥挖娃哇洼蛙
#o	
p	[1]波玻菠包[3]博膊[5]簸{～箩}播{广～}[7]驳笸砵拨
pʰ	[1]坡[2]婆鄱[3]泼[5]破雹-[8]薄朴钹箔{锡～}
m	[1]摸馍[2]磨{～刀}魔摩蘑[3]抹[5]袜[6]磨{石～}[8]末膜莫漠沫茉寞
f	[2]和[3]火伙{～计}[5]货[6]祸霍藿[7]伙{～伴}[8]活
