	注释：-白读，=文读
#a	
p	[1]巴芭疤爸[2]爬[3]把[5]霸坝[6]耙[7]伯擘[8]白
pʰ	[5]怕帕
m	[1]妈{爸～}[2]麻蔴痳蟆[3]马码妈(祖母)[6]骂[8]𢫦{打}麦
β	[3]□{狭窄}[5]罢琶瓦-[8]划
t	[1]爹[2]茶[7]搭答[8]踏碟
tʰ	[1]叉杈差{～别}岔奢[7]插册
n	[7]□{凹下}[8]拿纳
l	[1]拉查[8]杂铡闸窄蜡猎腊
ts	[1]渣[5]乍做-[7]札扎紥
s	[1]沙-纱傻[7]栅塞-
k	[1]家加佳嘉[3]贾{姓}[5]架价驾嫁[7]甲裌觉隔-[8]夹
kʰ	[1]掐[3]揩[5]卡[7]客恰
ŋ	[2]牙芽讶[3]雅[8]乐{音～}
x	[2]虾霞暇遐[5]下=[6]夏厦[6]匣[8]峡洽学辖侠
h	[1]他[3]假=[7]塌塔榻贴[8]叠-
∅	[1]阿-鸦丫[3]哑假-[5]亚下-{～面}[7]鸭押压轭
#ia	
p	[7]壁
t	[6]地-[7]摘[8]籴
l	[5]斜[6]籍谢射[8]历□{竹编晒器}
ts	[1]嗟遮[3]者[5]诈炸榨蔗[7]只[8]勺
tsʰ	[1]佘赊[3]且扯[7]赤
s	[2]邪蛇=[3]写捨[5]舍赦卸泻[7]削[8]趿
ŋ	[3]惹[8]额
x	[7]吓
h	[7]拆-
∅	[2]耶爷椰[3]野也冶[6]夜[8]疫役
j	[5]社[8]屐
#ua	
s	[3]耍徙
k	[1]瓜[3]赛别[5]挂褂卦
kʰ	[1]夸誇垮跨
x	[1]花[2]华铧[5]化[6]昼话=[7]法发{头～}
∅	[1]蛙娃窪挖[5]瓦=[6]话-{～事：说话}
#o	
p	[1]波坡玻[2]婆=[5]播簸=[7]博驳剥脖勃缚=
m	[1]摸[2]磨=摩度[5]磨{石～}[7]膜寞幕沫[8]莫
β	[2]婆-[8]薄泊帛箔
t	[1]多[3]朵[7]卓桌涿啄绰铎
tʰ	[1]搓[5]措错锉[7]戳
n	[2]挪[6]糯[8]诺
l	[2]罗箩=锣啰螺=骡陀舵=[3]裸昨[5]驼坐=[6]座惰挫[8]浊落凿垃{～圾}
ts	[3]左[5]做=[7]作
s	[1]唆梭蓑[3]锁[7]朔溯索缩圾{垃～}[8]硕镯
k	[1]哥歌戈锅[3]果裹[5]个过[7]鸽蛤各阁胳郭廓
kʰ	[1]柯舸苛科窠棵[3]可[5]课[7]磕确扩
ŋ	[2]蛾俄鹅讹[3]我=[6]俄[8]鄂颚虐
x	[2]和何河[3]伙夥贿[5]货祸[6]荷贺[7]霍豁喝渴[8]合鹤
h	[3]妥颇[5]破[7]托託诧仆朴扑
∅	[1]阿={～胶}蜗倭窝[7]恶沃握
#yo	
t	[8]着
l	[6]□{路}[8]略掠
ts	[7]借-爵嚼酌炙[8]石-
tsʰ	[5]厝{房子}[7]尺雀鹊惜-{好～：可爱}
s	[2]佘畲[7]屑削[8]芍蓆
kʰ	[7]怯却
ŋ	[8]箬{叶子}
x	[1]靴
∅	[7]约跃[8]药
j	[2]茄[3]若补-
#i	
p	[5]臂[6]避[7]屄{女阴}
pʰ	[1]披批[3]鄙=[7]劈撇[8]别{～人}
m	[3]尾[6]妹[8]灭篾
β	[8]别{区～}
t	[7]笛叠=迭
l	[6]例离{～开}[7]劣[8]历列裂烈粒=蝶牒谍
ts	[1]之芝支肢[2]匙[3]只旨指脂止址趾[5]制志痣至蛰[8]接捷执揩汁折浙节=质织职哲
tsʰ	[1]尸痴[3]齿耻侈[5]试-[6]豉市[7]妾切=砌湿沏撤拆=[8]蠘{梭子蟹}
s	[1]诗施撕[2]时[3]始矢屎豕[5]试=世势誓逝是氏示视嗜[6]饲=[7]失室饰识式拭适释设[8]十涉拾舌=石={姓}实食蚀
k	[1]基机讥肌饥姬稽羁=[3]几己纪杞[5]计寄冀记既[7]急级给吉洁结揭孑棘戟激击
kʰ	[1]欺欹{不正}[3]启起岂企[5]弃器气汽[6]柿[7]泣乞
ŋ	[2]宜谊仪疑霓[3]拟蚁=[6]义仪毅艺[7]聂摄孽[8]叶{姓}业
x	[1]嘻嬉牺熙希稀[2]携兮奚[3]喜[5]戏[6]系係[7]级桔隙[8]穴腋{～臭：狐臭}协挟
h	[2]啼[5]剃[7]帖贴=铁
∅	[1]衣依伊医[3]椅[5]意亿忆翳懿[7]一乙盐抑黾肄[8]亦翼液腋=译易{交～}食{吃}
j	[2]移夷姨怡贻沂儿而祁耆奇其期析祈[3]尔耳=已以热=[5]旗棋骑[6]异易{容～}技妓忌[8]及杰极竭
#u	
p	[3]补=[5]布佈怖[7]卜腹=[8]缚-
pʰ	[3]埔甫浦谱普捕脯哺
m	[2]模[3]母拇姆[6]墓暮慕募戊[8]木沐目牧穆
β	[2]糊-[3]舞武侮鹉喉-狗枯[5]部簿[6]步务务
t	[1]都[3]苎贮[5]妒蠹昼-{～前：上午}[6]度渡镀[7]笃督□{底}
tʰ	[1]粗初雌疵[3]此楚础[5]醋次刺[7]觑{看}[8]秃
n	[2]奴[3]努[6]怒
l	[2]卢芦炉庐涂途徒磁瓷慈[3]鲁橹滷虏赌[5]肚苎屠[6]路露=赂脰自-助[7]簏[8]禄漉毒读独犊族
ts	[1]租资姿咨辎兹滋[3]祖阻组紫[7]撮
s	[1]苏酥疏梳蔬斯私师思司[2]词祠辞芦-[3]所史驶使{假～}[5]数素诉塑似赐巳祀嗣使{大～}[6]露-肆{放～}士仕事=侍[7]束速肃[8]六-
k	[1]姑枯[3]古估鼓股贾{商～}垢[5]故固顾雇[7]角桷谷毂
kʰ	[1]箍[3]虎苦[5]库裤[7]哭酷
ŋ	[2]吴吾梧[3]五=午伍[5]五-[6]误
x	[1]夫虏呼俘[2]扶符孵诬糊=湖胡狐乎壶瓠=[3]浒斧=府腑俯釜[5]戽富副付赋父傅妇=[6]赴讣附驸腐復负阜户沪护互[7]福辐腹=複覆[8]伏復服斛
h	[1]铺[2]图[3]蒲土[5]吐兔
∅	[5]恶{可～}[7]屋
#y	
t	[7]掇辍缀
l	[6]住=[8]绝
ts	[1]猪诸朱珠蛛=硃锥[2]薯[3]褚主[5]注蛀铸[7]拙绌黜烛嘱祝粥□{吻}[8]秫
tsʰ	[1]吹炊[3]鼠[5]处[7]出啜
s	[1]书舒输[2]殊垂箠谁睡[3]水髓[5]署庶恕墅署戍说{游～}税[6]竖树[7]瘁雪说叔淑[8]术述熟=蜀属
k	[5]鳜[7]决诀抉
kʰ	[1]开-[7]厥阙獗缺
ŋ	[8]月越
x	[5]岁[6]讳[7]血□{击}
h	[2]皮疲[5]被-{棉～}
j	[5]蕨[8]悦越阅
#ai	
p	[3]摆[5]拜湃[7]八[8]拔
m	[2]埋[3]买[6]卖迈
β	[2]牌排[3]发-{～嗝}[6]败
t	[1]獃[2]蹄[3]底-滓
tʰ	[1]猜钗差{出～}[7]切{勤劳}
n	[3]乃奶[6]耐奈
l	[2]台抬来=豺犁苔-[5]在怠殆[6]代贷袋=寨□{多}
ts	[1]栽=斋[5]债[7]节{过～}[8]截
s	[1]西犀腮筛=[3]洗玺[5]赛晒细[7]萨
k	[1]该街皆阶偕鸡[3]改解=[5]界介芥疥届丐戒盖=
kʰ	[1]溪[3]凯恺楷[5]概溉慨契
ŋ	[2]呆挨倪涯崖[6]碍艾=
x	[2]孩谐鞋=[3]骇□{东西}[6]械蟹懈[7]瞎
h	[1]胎苔{毛～}[5]态替箅[6]稗
∅	[1]唉埃羁-{拴住}[3]矮霭蔼噎[5]解-{会}[7]哎
#uai	
p	[5]簸-[7]泼{活～}
m	[2]磨-{～刀}[7]抹觅-[8]末袜
β	[1]过-{菜老}[8]钹跋
t	[5]带戴={爱～}㿃[6]大=
tʰ	[3]彩采[5]蔡
l	[2]才财裁[5]舵-待[6]赖大-[8]□{蟑螂}辣达
ts	[1]灾栽-[3]宰载{年～}[5]再载{～货}[8]坐-
s	[1]沙-[3]洒-[5]帅率[7]撒
k	[1]乖[3]拐[5]盖-[7]割刮括葛
kʰ	[1]开[5]块刽会-计[7]阔
ŋ	[3]我
x	[2]怀准槐[3]海[6]客亥坏[7]发=[8]活滑猾罚伐乏
h	[1]拖[5]太寨杮{木片}[7]獭挞
∅	[1]哀[5]爱={～人}
#yai	
ts	[3]纸
tsʰ	[7]察擦
s	[2]箩-[5]濑-{浅滩}[7]杀煞
k	[5]怪
kʰ	[5]快
ŋ	[2]鹅-[5]蚁-[6]艾-外[8]热-
x	[7]歇-
∅	[1]歪
j	[2]蛇-[3]曰[5]俺[6]□{～灰：撒灰}[8]舌-
#ei	
p	[1]卑碑裨俾[3]比彼匕[5]蔽痺袐泌庇[6]婢[7]必毕笔逼碧弼
pʰ	[1]丕
m	[2]迷糜弥尼-{～姑}[3]美[5]米[6]媚寐[8]密蜜
β	[2]维惟帷唯微薇[5]陛被={～动}琵脾[6]蹩敝弊备未=味=
t	[1]知[3]低抵底=[5]帝智置致[6]事{话～：说话}[7]敌滴的嫡
tʰ	[1]妻凄栖[7]七戚缉辑
n	[2]尼=呢[3]你[6]二饵溺[7]匿暱[8]入日
l	[2]厘离{～别}篱璃丽{高～}堤提齐池驰迟持[3]李里理裡履秩寂[5]隶梨鲤题弟第治雉稚滞[6]丽厉励蛎利痢吏地=寺寿恃字[8]立笠=力粒=狄集疾侄直值籍藉
ts	[1]挤[2]瓷[3]姊[5]祭际穄荠济[6]自=[7]即鲫积迹脊稷渍
s	[1]丝[3]死[5]四婿[7]悉息膝媳昔惜=[8]席习袭夕
h	[1]梯筛-[3]体疕鄙[6]鼻涕[7]匹疋癖僻霹辟剔
#ie	
p	[6]篦[7]北百
pʰ	[7]拍{～子}[8]瞥
m	[2]眉楣[6]沕{潜水}[7]觅=[8]陌墨默脉
β	[8]帛
t	[7]得德熟-[8]跌{～鼓：丢脸}
n	[6]腻
l	[2]来-[8]栗勒特宅泽择
ts	[1]栽-[7]则责栉
tsʰ	[2]脐[5]菜[7]测侧恻策漆厕[8]贼
s	[1]狮[7]瑟虱色啬锡[8]塞=笠-
k	[7]革格隔=
kʰ	[7]克刻客=咳□{翅膀}
x	[7]黑赫[8]核=劾
h	[7]迫泊魄踢
∅	[5]厄扼轭
#uɛ	
β	[2]枇{～杷}[6]未-味-
k	[3]粿[5]髻
