#调值	［1］44［2］13［3］52［5］325
#ɿ	
ʦ [1]只{一~}知蜘支枝肢栀资姿咨兹滋辎之芝[3]紫纸姊脂旨指子梓滓止趾址 [5]掷炙滞制智只{~有}自致雉稚至字置痣治志痣执汁侄质直值织职殖植	
ʦʰ [1]疵差{参~}痴[2]池驰瓷糍迟慈磁辞词祠持[3]雌此侈耻嗤齿[5]赤斥尺刺赐翅次秩	
s [1]斯厮撕施匙私师狮尸司丝思诗[2]时[3]舐豉死矢屎使史驶[5]适释石世势誓逝是氏四肆示视嗜伺似祀巳寺嗣饲士仕柿事试市恃侍湿十什{~物}拾实失室食蚀识式饰	
#ʅ	
ɹ [5]日	
#i	
p [1]逼[3]彼鄙比[5]璧壁蔽弊毙币闭陛臂婢避庇痹笔毕必弼碧	
pʰ [1]批披丕匹[2]皮疲脾琵枇[5]僻辟劈屁鼻	
m [2]迷谜糜弥靡[3]米[5]觅秘泌密蜜	
t [1]低[3]底抵[5]的{目~}滴嫡笛敌狄帝弟第递地	
tʰ [1]梯[2]题提蹄[3]体[5]踢剔替涕剃屉啼	
l [2]犁黎离篱璃梨厘狸[3]旅礼李履里理鲤[5]历例厉励丽隶荔利痢吏立笠粒栗力	
ʨ [5]积迹脊籍藉绩寂击激祭际济剂稽计继系{~鞋带}髻寄技几妓冀记忌既季集辑急级及疾吉即鲫极戟	
ʨʰ [1]妻栖欺[2]齐脐奇骑岐其棋期旗[3]启企起岂祈[5]戚吃砌契器弃气汽泣七漆乞	
ȵ [2]泥倪尼[3]你拟[5]溺艺腻匿逆	
ɕ [1]西犀溪奚兮牺嬉熙希稀[3]洗徙喜[5]惜昔席夕锡析细婿系{关~}玺戏习袭吸悉膝息熄媳	
Ǿ [1]倚伊医衣依[2]宜仪移夷姨疑饴遗[3]蚁椅矣已以[5]益亦译易意异毅揖乙一逸忆亿抑翼疫役	
#ʊ	
p [3]补[5]布怖部簿步不	
pʰ [1]铺{~设}[2]蒲菩[3]谱普浦脯捕[5]铺{店~}埠讣朴卜扑仆瀑	
f [1]呼乎夫肤敷[2]胡湖狐壶葫胡俘符扶芙[3]虎浒府腑俯甫斧抚釜腐辅 [5]户沪互护付赋傅赴父附富副妇负复忽佛缚福幅蝠腹覆服伏	
ʋ [1]乌污巫诬[2]吴蜈吾梧无[3]五伍午悟武舞侮鹉[5]误恶{可~}务雾物勿	
k [1]姑孤箍估[3]古股鼓[5]故固锢雇顾骨谷	
kʰ [1]枯窟[3]苦[5]库裤哭酷	
Ǿ [5]屋	
#y	
l [2]驴[3]吕[5]虑滤律率{速~ }	
ʨ [1]猪诸居诛蛛株朱珠拘驹俱[3]煮举主矩[5]著据锯巨拒距聚驻注柱住蛀铸句具惧橘剧菊局	
ʨʰ [1]蛆趋区驱曲[2]褚除储渠厨瞿[3]杵取娶拄[5]处去趣出屈	
ɕ [1]书舒墟虚嘘须需枢输殊[2]徐[3]暑鼠署薯许[5]絮序叙绪庶恕续戍竖树戌恤术述	
Ǿ [1]淤吁迂[2]如鱼渔余儒愚虞娱于盂榆逾愉[3]女吕汝语与乳雨宇羽[5]御誉预豫遇寓禹芋愈喻裕入域郁育玉狱浴	
#ɚ	
Ǿ [2]儿而[3]尔耳饵[5]二贰	
#ɑ	
p [1]巴疤爸[3]把{~守}[5]霸把{~柄}坝八拔	
pʰ [2]爬琶耙[5]怕帕	
m [1]妈[2]麻[3]蟆马码[5]骂抹	
f [2]华{~山}滑[5]划法乏发伐筏罚	
t [3]打[5]大答搭达	
tʰ [1]他[5]踏塔榻塌	
l [1]拉[2]拿[3]哪[5]那纳腊蜡捺辣	
ʦ [1]渣[3]乍[5]诈榨炸杂扎眨闸炸扎轧铡栅	
ʦʰ [1]叉杈差{~别}[2]茶搽查察[5]岔插擦	
