繁体字	简体字	国际音标	吴语拼音	备注	调类	调值					
多	多	tɯ53	tou1	【文读】	1	53		t	ou	t	ɯ
多	多	tɑ53	ta1	【白读】	1	53		t	a	t	ɑ
拖	拖	tʰɯ53	thou1	【文读】	1	53		th	ou	tʰ	ɯ
拖	拖	tʰɑ53	tha1	【白读】	1	53		th	a	tʰ	ɑ
他	他	tʰɑ53	tha1		1	53		th	a	tʰ	ɑ
駝	驼	dɯ24	dou2		2	24		d	ou	d	ɯ
馱	驮	dɯ24	dou2		2	24		d	ou	d	ɯ
舵	舵	dɯ31	dou4		4	31		d	ou	d	ɯ
大	大	dɯ213	dou6	【白读】~小；~门。	6	213		d	ou	d	ɯ
大	大	dɑ213	da6	【文读】~学；~蒜。	6	213		d	a	d	ɑ
羅	罗	lɯ24	lou2		2	24		l	ou	l	ɯ
鑼	锣	lɯ24	lou2		2	24		l	ou	l	ɯ
籮	箩	lɯ24	lou2		2	24		l	ou	l	ɯ
蘿	萝	lɯ24	lou2	藤~；菠~。	2	24		l	ou	l	ɯ
蘿	萝	lɔ24	lau2	~卜。	2	24		l	au	l	ɔ
左	左	tsɯ44	tsou3		3	44		ts	ou	ts	ɯ
左	左	tsi423	tsi5		5	423		ts	i	ts	i
做	做	tsɯ423	tsou5		5	423		ts	ou	ts	ɯ
搓	搓	tsʰɯ53	tshou1		1	53		tsh	ou	tsʰ	ɯ
歌	歌	kɯ53	kou1		1	53		k	ou	k	ɯ
哥	哥	kɯ53	kou1		1	53		k	ou	k	ɯ
個	个	kɯ423	kou5	~人。	5	423		k	ou	k	ɯ
個	个	kᴇʔ5	keq7	量词；助词，相当于普通话的“的”。	7	5		k	eq	k	ᴇʔ
可	可	kʰɯ44	khou3		3	44		kh	ou	kʰ	ɯ
鵝	鹅	ŋɯ24	ngou2		2	24		ng	ou	ŋ	ɯ
蛾	蛾	ŋɯ24	ngou2		2	24		ng	ou	ŋ	ɯ
俄	俄	ŋɯ24	ngou2		2	24		ng	ou	ŋ	ɯ
我	我	ŋɯ31	ngou4		4	31		ng	ou	ŋ	ɯ
餓	饿	ŋɯ213	ngou6		6	213		ng	ou	ŋ	ɯ
何	何	ɦɯ24	ghou2	姓。	2	24		gh	ou	ɦ	ɯ
何	何	ɦɑ24	gha2	疑问词。	2	24		gh	a	ɦ	ɑ
荷	荷	ɦɯ24	ghou2	~花。	2	24		gh	ou	ɦ	ɯ
荷	荷	hɯ423	hou5	薄~。	5	423		h	ou	h	ɯ
荷	荷	ɦɯ31	ghou4	负~；~载；电~。	4	31		gh	ou	ɦ	ɯ
賀	贺	ɦɯ213	ghou6		6	213		gh	ou	ɦ	ɯ
阿	阿	ɯ53	ou1	~胶；~弥陀佛。	1	53			ou		ɯ
阿	阿	ɑ53	a1	人称前缀：~姨。	1	53			a		ɑ
阿	阿	aʔ5	aeq7	人称前缀：~姐；~哥；~叔；~三。	7	5			aeq		aʔ
茄	茄	gɑ24	ga2	~子；番~。	2	24		g	a	g	ɑ
茄	茄	dʑiɑ24	jia2	~克衫。	2	24		j	ia	dʑ	iɑ
波	波	pu53	pu1		1	53		p	u	p	u
波	波	poʔ5	poq7	宁~（浙江地名）。	7	5		p	oq	p	oʔ
菠	菠	pu53	pu1		1	53		p	u	p	u
頗	颇	pʰu53	phu1		1	53		ph	u	pʰ	u
破	破	pʰu423	phu5		5	423		ph	u	pʰ	u
婆	婆	bu24	bu2		2	24		b	u	b	u
爸	爸	pɑ53	pa1		1	53		p	a	p	ɑ
摩	摩	mu24	mu2		2	24		m	u	m	u
磨	磨	mu24	mu2	动词：~刀。	2	24		m	u	m	u
磨	磨	mu213	mu6	名词：石~。	6	213		m	u	m	u
魔	魔	mu24	mu2		2	24		m	u	m	u
朵	朵	tɯ44	tou3		3	44		t	ou	t	ɯ
妥	妥	tʰɯ44	thou3		3	44		th	ou	tʰ	ɯ
惰	惰	dɯ213	dou6		6	213		d	ou	d	ɯ
惰	惰	dɯ31	dou4		4	31		d	ou	d	ɯ
糯	糯	nɯ213	nou6		6	213		n	ou	n	ɯ
螺	螺	lɯ24	lou2		2	24		l	ou	l	ɯ
坐	坐	zɯ31	zou4		4	31		z	ou	z	ɯ
座	座	zɯ213	zou6		6	213		z	ou	z	ɯ
蓑	蓑	sɯ53	sou1		1	53		s	ou	s	ɯ
梭	梭	sɯ53	sou1		1	53		s	ou	s	ɯ
鎖	锁	sɯ44	sou3		3	44		s	ou	s	ɯ
瑣	琐	sɯ44	sou3		3	44		s	ou	s	ɯ
過	过	kɯ423	kou5		5	423		k	ou	k	ɯ
鍋	锅	kɯ53	kou1		1	53		k	ou	k	ɯ
戈	戈	kɯ53	kou1		1	53		k	ou	k	ɯ
果	果	kɯ44	kou3		3	44		k	ou	k	ɯ
裹	裹	kɯ44	kou3		3	44		k	ou	k	ɯ
科	科	kʰɯ53	khou1		1	53		kh	ou	kʰ	ɯ
裸	裸	lɯ31	lou4		4	31		l	ou	l	ɯ
顆	颗	kʰɯ53	khou1		1	53		kh	ou	kʰ	ɯ
課	课	kʰɯ423	khou5		5	423		kh	ou	kʰ	ɯ
臥	卧	ŋɯ213	ngou6		6	213		ng	ou	ŋ	ɯ
火	火	hɯ44	hou3		3	44		h	ou	h	ɯ
貨	货	hɯ423	hou5		5	423		h	ou	h	ɯ
和	和	ɦɯ24	ghou2		2	24		gh	ou	ɦ	ɯ
禍	祸	ɦɯ31	ghou4		4	31		gh	ou	ɦ	ɯ
窠	窠	kʰɯ53	khou1		1	53		kh	ou	kʰ	ɯ
窩	窝	ɯ53	ou1		1	53			ou		ɯ
靴	靴	ɕio53	shio1		1	53		sh	io	ɕ	io
瘸	瘸	dʑio24	jio2		2	24		j	io	dʑ	io
巴	巴	pu53	pu1	【白读】嘴~；尾~；~城（江苏昆山地名）。	1	53		p	u	p	u
巴	巴	pɑ53	pa1	【文读】~西；~士。	1	53		p	a	p	ɑ
疤	疤	pu53	pu1		1	53		p	u	p	u
芭	芭	pu53	pu1	【白读】~蕉。	1	53		p	u	p	u
芭	芭	pɑ53	pa1	【文读】~蕾。	1	53		p	a	p	ɑ
吧	吧	bɑ	ba	外语bar的音译：酒~。				b	a	b	ɑ
把	把	pu44	pu3		3	44		p	u	p	u
把	把	pɑ44	pa3	【文读】（只在读书时用）	3	44		p	a	p	ɑ
霸	霸	pu423	pu5		5	423		p	u	p	u
怕	怕	pʰu423	phu5		5	423		ph	u	pʰ	u
爬	爬	bu24	bu2		2	24		b	u	b	u
杷	杷	bu24	bu2		2	24		b	u	b	u
媽	妈	mɑ53	ma1		1	53		m	a	m	ɑ
麻	麻	mu24	mu2		2	24		m	u	m	u
馬	马	mu31	mu4	【白读】	4	31		m	u	m	u
馬	马	mɑ31	ma4	【文读】	4	31		m	a	m	ɑ
馬	马	mɑ53	ma1	【文读】~虎。	1	53		m	a	m	ɑ
瑪	玛	mu31	mu4	【白读】~瑙。	4	31		m	u	m	u
瑪	玛	mɑ31	ma4	【文读】多用于外语音译的人名、地名。	4	31		m	a	m	ɑ
碼	码	mu31	mu4		4	31		m	u	m	u
罵	骂	mu213	mu6		6	213		m	u	m	u
拿	拿	nu24	nu2	【白读】	2	24		n	u	n	u
拿	拿	nɑ24	na2	【文读】加~大。	2	24		n	a	n	ɑ
茶	茶	dzu24	dzu2		2	24		dz	u	dz	u
渣	渣	tsu53	tsu1		1	53		ts	u	ts	u
詐	诈	tsu423	tsu5		5	423		ts	u	ts	u
