聲韻	調類	調值	
ʦɯ	1	443	资姿咨恣兹滋辎租
ʦɯ	3	35	紫姊子籽仔梓滓祖组阻
ʦɯ	5	554	埘做
ʦʱɯ	1	443	差（参～）疵玼初粗
ʦʱɯ	2	14	瓷餈兹糍慈磁词祠辞雌雏锄
ʦʱɯ	3	35	此楚础杵
ʦʱɯ	4	11	柿跐
ʦʱɯ	5	554	次刺嗣饲伺厕醋措
ʦʱɯ	6	223	自字牸寺峙巳祀士仕似俟助
sɯ	1	443	师狮蛳斯撕嘶厮厕私思丝司苏酥稣梳蔬
sɯ	3	35	死
sɯ	5	554	四泗肆赐伺（又）思素数诉
sɯ	6	223	事
ʧɨ	1	443	知蜘之芝支枝肢吱栀脂
ʧɨ	3	35	纸旨指止趾址
ʧɨ	5	554	至致志痣制智置翅
ʧʱɨ	1	443	蚩嗤痴璃眵鸱雉
ʧʱɨ	2	14	池弛驰迟持
ʧʱɨ	3	35	齿耻侈
ʧʱɨ	5	554	滞窒稚
ʧʱɨ	6	223	治痔
ʃɨ	1	443	诗施尸豉
ʃɨ	2	14	时鰣匙
ʃɨ	3	35	史驶使始豕屎
ʃɨ	4	11	是柿
ʃɨ	5	554	式试氏势世嗜舐（文）□（祈使句尾语气词也）
ʃɨ	6	223	市示视恃侍（～公/婆/啧，言曾祖辈也）痔（又）逝誓
pi	1	443	蓖卑碑（文）悲屄（文）
pi	3	35	彼比
pi	5	554	蔽闭毙秘泌滗痹辈背（文）臂贝
pʱi	1	443	批秕㓟披蓖丕屄（训：麻～）
pʱi	2	14	皮疲枇琵俾脾婢郫羆裴培（文）陪
pʱi	3	35	鄙秕庇否痞
pʱi	4	11	被（白：～窝）
pʱi	5	554	屁譬辔配（文）佩
pʱi	6	223	币陛箅敝弊篦鐾被备珮
mi	1	443	咪眯䊳
mi	2	14	迷糜弥猕眉媚楣湄嵋梅（文）霉（文）枚（文）
mi	3	35	□（言食物刚变质也）
mi	4	11	米美每芈
mi	5	554	尾（白）魅眯（笑～著）
mi	6	223	谜寐妹（文）昧沕
fi	1	443	飞非妃灰（文）恢（文）挥辉麾徽
fi	2	14	肥回（文）茴蛔薯（白）
fi	3	35	匪菲翡贿䵋悔毁
fi	5	554	痱肺沸废费吠晦诲秽卉讳
fi	6	223	会（文）绘汇惠穗慧彗
ti	1	443	低爹（文）的（官：结构助词也）
ti	3	35	底抵
ti	5	554	帝蒂缔谛对（文）
tʱi	1	443	梯推（文）
tʱi	2	14	提（文）隄堤题啼蹄（文）
tʱi	3	35	体弟（老～）剔（训：剔除也）
tʱi	5	554	涕悌锑剃替屉退（文）蜕（文）
tʱi	6	223	弟第递地
ni	1	443	里（夜～、内～）哩俚□（滚动）
ni	2	14	梨犁黎离璃篱厘驴（白）雷（文）擂
