#a		
p	[1]巴芭疤爸{文，阿爸}[2]爬琶杷鈀耙[3]把[4]□{水流聲}[5]霸壩垻爸{白，吾～}[6]罷	
pʰ	[1]趴[5]怕	
m	[1]孖媽[2]麻痳[4]馬碼	
f	[1]花[5]化	
t	[3]打	
tʰ	[1]他	
n	[1]□{傷疤}[2]拿[3]乸{婆～}[6]乸{老～}	
l	[1]啦[4]□{擬聲詞}[5]□{摸著找}	
k	[1]家加痂嘉傢[3]假賈[5]架勾嫁稼價	
kʰ	[1]卡{動詞}[3]卡{量詞}	
ŋ	[2]牙芽衙伢涯崖[4]雅瓦[6]砑{～路}	
h	[1]蝦哈	
tʃ	[1]查渣抓[2]茶搽查[5]蛇詐榨炸乍[6]□{收、藏起來}	
tʃʰ	[1]叉差{考～}釵[5]杈岔	
ʃ	[1]沙紗[3]灑[5]耍{去～}	
∅	[1]阿鴉丫[3]啞[4]F[5]亞[6]霞瑕遐夏廈暇	
#ia		
ȵ	[1]□{拿著}	
∅	[1]呀[4]有	
#ua		
k	[1]瓜[2]□{爬}[3]寡剮[4]□{亂抓}[5]掛卦	
kʰ	[1]誇[3]傳垮[5]跨	
∅	[1]蛙窪[2]華鏵[4]哇[6]樺畫	
#ai		
p	[1]掰[2]排牌簰[3]擺[4]□{扒}[5]拜韛[6]敗	
pʰ	[5]派	
m	[2]埋[3]□{歪}[4]買米{穀～}[6]賣邁	
f	[5]快筷	
t	[1]姼{外婆}呆[3]底[5]戴帶[6]大	
tʰ	[1]呔[3]□{放養}[5]態貸太泰	
n	[3]□{～軟}[4]乃奶	
I	[1]拉[5]癩[6]賴攋	
k	[1]皆階佳街[3]解[5]介界芥尬疥屆戒	
ŋ	[1]□{雙手搓}[2]捱{～苦}[5]□{靠近}[6]艾	
h	[1]揩[6]駭	
tʃ	[1]齋[2]豺柴[3]仔[4]□{舔}[5]債[6]寨	
tʃʰ	[1]猜差[3]踩{文}	
ʃ	[1]㩄{浪費}嘥[3]洗璽[5]曬	
∅	[1]埃挨[2]鞋[3]矮[4]蟹[6]諧械懈	
#iai		
ȵ	[3]踩{白}	
∅	[5]□{潑水}[6]□{用刀反向剖}	
#uai		
k	[1]乖[3]拐[5]怪	
kʰ	[5]塊蒯	
∅	[1]歪{文}[2]懷槐淮[6]壞	
#au		
p	[1]包胞[2]刨[3]飽[5]鮑豹爆鉋	
pʰ	[1]拋[3]跑[5]炮	
m	[1]貓{文}[2]茅錨矛[4]卯牡[6]貌	
t	[5]□{翻、倒}	
n	[3]扭[4]紐[6]鬧	
l	[1]撈{文}[4]柳[6]□{～kau21：難管教}	
k	[1]交郊膠[3]絞狡餃攪搞餃[5]教較酵窖覺校{～對}澆臼	
kʰ	[5]靠犒	
ŋ	[1]撓[2]熬肴淆[3]拗[4]咬[5]坳	
h	[1]敲烤[3]考巧[5]孝	
tʃ	[1]□{死的俗稱}[2]巢[3]找酒[5]罩笊[6]棹	
tʃʰ	[1]抄鈔[3]炒醜丑[5]鈸{訓讀}	
ʃ	[1]梢捎稍[5]湘[6]□{看、理會}	
∅	[1]凹[2]□{風騷}[5]詏{爭辯}[6]校{學～}效	
#iau		
ȵ	[3]爪	
∅	[3]□{大口吃，敞開吃}[4]友	
#am		
p	[2]凡帆[4]犯[6]範	
t	[1]耽擔[2]潭譚談痰[3]膽[4]淡[5]擔[6]啖	
tʰ	[1]貪坍[5]探	
n	[2]南男[4]腩	
l	[1]籃{竹～}[2]藍籃{～球}[3]覽攬欖[5]□{跨過}[6]濫纜艦	
k	[1]監{坐～}[3]減[4]檻[5]尷鑒鑑監{太～}[6]□{伸開手掌拇指和中指間的距離}	
h	[3]喊	
ŋ	[1]啱{巧，正好}[2]岩[3]□{凹進去}	
tʃ	[1]簪[2]蠶慚[3]斬[4]□{玻璃紮到}[5]湛[6]暫站	
tʃʰ	[1]參攙[3]慘[5]杉	
ʃ	[1]三衫	
∅	[1]□{逼迫}[2]鹹[6]陷餡	
#iam		
∅	[5]□{滲水，浸染}	
#an		
p	[1]班斑頒扳[2]煩礬繁[3]板版[5]□{用棍子或扁擔打}[6]扮辦飯	
pʰ	[1]攀[5]盼襻	
m	[1]□{扳過來}[2]蠻饅[4]晚[6]慢漫幔萬蔓	
f	[1]翻番[3]反[5]販	
t	[1]丹單[2]檀壇彈{～琴}[5]誕旦[6]但彈{子～}蛋	
tʰ	[1]灘攤[3]坦[5]炭歎	
n	[1]□{～白，慘白}[2]難{好～}[6]難{苦～}	
l	[1]□{滾開，走開}[2]蘭攔欄[4]懶[6]爛	
