#符号说明：-白=文/书*俗?待考	
#调值	［1］21［2］35［3］212［5］53 ［7］5
#ɿ	
ts	[1]资姿咨孜兹滋之芝支肢知蜘栀只[3]子仔姊紫止址趾只旨指纸脂[5]字自志痣智至致痔制置滞稚治寺柿
tsʰ	[1]疵痴[2]词祠辞慈瓷茨池驰弛迟持匙饲[3]此耻齿[5]次刺伺赐翅
s	[1]私思司斯嘶撕厮丝蛳尸诗师狮施[2]时鲥[3]死史使驶矢始屎[5]四似巳肆是士仕示视世市柿侍恃试誓逝事势嗜式
#i	
p	[1]屄[3]比彼鄙[5]闭毙毖蓖篦陛敝蔽幣币秘泌
pʰ	[1]批披[2]皮疲脾啤枇琵庇痹[3]痞丕鄙[5]屁
m	[1]眯[2]迷谜靡弥[3]米[5]秘泌
t	[1]低爹[3]底抵[5]弟递第帝蒂缔地
tʰ	[1]梯[2]提题堤啼蹄[3]体[5]替涕剃屉嚏
l	[2]离篱漓梨犁厘狸尼呢泥倪霓璃[3]礼李里理鲤拟[5]利俐莉痢例荔厉励丽吏腻离
tɕ	[1]基箕肌饥机讥鸡稽姬[3]几己挤纪-姐虮[5]季悸技伎纪=记忌寄既计继系冀祭际剂济借妓
tɕʰ	[1]欺期妻凄栖[2]其旗棋奇骑崎歧祈齐脐荠祁畸[3]起岂启企且[5]气汽契弃器砌
ɕ	[1]希稀奚溪嘻兮熙西牺犀些[3]喜洗徙玺嘻写[5]戏系细泻卸谢
	[1]衣依伊医[2]移夷姨胰宜怡饴疑仪彝遗爷[3]椅以蚁已矣野[5]易意义议诣异裔毅艺肄谊亿忆屹亦夜液腋
#u	
p	[3]补[5]布怖步部埠簿
pʰ	[1]铺[2]葡蒲菩[3]普谱浦圃脯哺捕甫[5]铺
f	[1]夫肤麸敷[2]扶芙符浮俘蜉[3]府俯腐腑斧釜阜[5]付附咐赴讣妇负父副富傅赋缚
t	[1]都[3]堵赌睹肚[5]杜肚度渡镀妒
