#慕禃整理自《江蘇省志·方言志》
#①213②45③35⑤42

#ɿ
ts	①資姿咨諮恣茲滋孳嗞淄孜輜緇滓梓梔漬之芝支枝肢吱只指（手～）蹠跖③子（～女）仔籽紫秭止址紙旨脂指（～示）咫⑤字自志誌恣（舒服）
tsʰ	①刺（諷～）差（參～ ～牙子）□（沖，用水噴射）疵（～毛茨嗤眵（眼屎：～目糊）②瓷慈磁詞祠辭此遲匙（湯～）治（～魚）③跐齒⑤次伺（～候）刺（魚～）翅雌
s	①斯澌撕嘶廝詩思私司絲鷥師獅虱尸屍施②時③死始屎史使（舊）駛（舊）⑤四泗駟俟肆飼嗣伺巳祀汜士仕是事嗜市柿視諡示試筮噬氏似（～的）

#ʅ
tʂ	①汁隻織幟職知蜘擲躑執摯鷙質礩躓鑕②直植値值殖埴置侄⑤峙痣痔滯至窒膣桎致櫛制治智秩帙稚雉炙
tʂʰ	①喫赤魑癡踟尺熾②持池③恥馳弛侈⑤斥叱敕
ʂ	①失矢濕室式拭軾釋飾適豕②實石什塒鰣食蝕拾③駛（新）使（新）⑤恃侍（服～）世誓逝勢
ʐ	①日入

#i
p	①逼屄②鼻荸鳧鄙畢嗶（～嘰）愎婢③比秕（～子）砒妣匕彼必脾弼譬⑤敝蔽弊秘（舊）裨碧潷幣薜嬖壁璧僻（～靜）斃蓖篦陛狴（～犴）貝（～殼）狽被（舊）備輩倍背
pʰ	①丕坯邳胚披披𤿎（物破裂而未斷離）批劈（～頭蓋臉）霹闢癖擗匹痞痹（麻～大意）②皮陂疲脾啤裴枇琵③劈（～開）披（～白菜幫子）㱟（折斷）仳毗蚍否（～極泰來）⑤屁庇
m	①泌秘（～書）宓謐密蜜覓汨冪②靡迷眯糜麋醚彌瀰獼③米⑤謎
f	①飛妃非菲扉霏蜚緋翡（舊）②肥淝③匪誹⑤費沸廢肺吠痱
v	②微（舊）薇（舊）惟（舊）唯（舊）維（舊）⑤未（舊）
t	①低堤提（～苗兒）滴嫡②笛迪敵糴滌嘀鏑狄獲提（～婁）③底詆砥柢抵坻邸的（無～放矢）⑤地帝蒂諦締弟遞娣第
tʰ	①梯踢剔②啼蹄提題醍③體軆①涕剃鬄悌銻替嚏屜惕
ȵ	①妮②尼泥呢昵旎倪霓擬③你爾⑤逆膩匿溺泥（～子）□（用腳踩住搓）
l	①力立粒栗礫②離灕漓溧驪鸝梨棃犁黎藜黧蠡厘③裏里涅理哩（海～）鋰鯉俚娌澧醴李禮籬⑤麗蒞戾唳吏歷曆厲瀝勵靂櫪礪利莉俐痢例劙剺（割）荔隸詈
tɕ	①跡蹟迹擊績姬基箕笄屐奇（～數）稽緝楫輯輯積乩羈激嵇几（茶～）譏機磯嘰璣饑肌圾級畿雞脊瘠吉佶髻棘急疾疾即卽戟寂稷鯽臍②集藉籍亟及汲極岌嫉急（～人）③幾蜆己擠⑤濟劑薺（～菜）霽計際技菱伎妓寄冀驥祭覬薊繼記忌旣既季悸繫（～鞋帶）
tɕʰ	①欺欺七柒漆戚槭妻淒萋悽緝（～鞵口）祈乞迄泣②齊祁其淇麒旗琪棋祺騏奇琦騎綺歧岐跂耆鬐鰭企豈③起杞啓啟祈⑤氣汽棄契器沏（～茶）訖憩
ɕ	①西硒栖棲犧羲曦熹夕汐熙昔惜息熄媳螅膝析淅晰皙蜥希稀烯唏晞兮悉窸蟋吸翕犀樨錫裼隙②習席奚溪蹊畦徙③喜禧嘻（～皮笑臉）僖嬉璽葸洗洒徙襲⑤細系係繫戲檄
ø	①一衣乙壹醫揖咿椅②宜誼移夷姨胰咦痍遺儀沂疑怡眙貽飴迤彝蛇（委～）③椅（～柅）猗倚旖伊蟻已以尾（～巴）依銥裔⑤意臆癔翼翌翊羿熠亦奕弈義議弋益溢縊鎰嗌殪易蜴邑挹懌譯山罩嶧驛繹刈艾（自怨自～）泆軼昳屹劓逸役疫毅抑藝億憶囈詣疑佾頤胰（～子）逆（舊）

#u
p	①不卜②𡋯餑拔（～婁）③補⑤部步布飾簿
pʰ	①撲仆僕噗鋪（～開）捕②菩蒲匍葡瀑③普譜樸蹼甫（舊）浦埔溥輔脯哺阜堡⑤鋪（店～）堡（十里～）
m	①牟穆木沐目苜（～蓿）牡②摸（～婁）模（～範）沒（～落）眸謀鏊③畝姥母拇姆⑤睦墓幕暮募慕牧
f	①夫膚麩敷福輻幅複復腹蝮覆馥②芙扶孚浮孵桴蜉俘伏茯服鳧弗拂悱怫佛③斧釜芾（米～）府俯腑腐匐苻符輔撫缶⑤父甫（神～）傅縛富訃赴付附駙負婦副
t	①都（首～）督②毒獨瀆黷犢牘櫝③堵睹賭篤肚（豬～子）讀⑤度渡鍍杜肚吐妒蠹
tʰ	①突凸禿②圖徒塗途荼③土吐途屠⑤兔塊菟（～絲）
n	②奴弩孥駑⑤怒
l	①鹿漉麓轆錄碌祿𢫫捋②盧瀘爐蘆廬顱壚鱸螻③鹵滷虜擄魯櫓乳（舊）⑤陸六（六合縣）賂路璐略鷺戮
ts	①租足祝築觸③阻組祖筑
tsʰ	①麤粗觕促蹴簇雛⑤醋蹙猝
s	①蘇窣束速觫酥穌肅縮疏蔬②俗（～氣）⑤朔溯塑素嗉（雞～子）愫粟謖訴夙戍恕庶
tʂ	①諸豬瀦朱株珠洙誅蛛銖燭竹竺矚囑佇杼②軸③主麈拄煮煑渚⑤注註柱駐炷（一～香）住蛀鑄助
tʂʰ	①出舒（～坦）縮（～小）束（～腰）輸（～錢）②廚櫥鋤躇儲殊（特～）除蜍滁③楚褚楮杵礎處（相～）鼠（滅～）⑤處畜矗憷（打～）絀黜
ʂ	①梳輸樞書姝淑舒杼紓②殊孰熟塾贖術沭述秫署暑曙蜀黍屬③鼠薯數（～不淸）叔菽倏倐⑤尌樹澍漱豎墅屬（～虎）
ʐ	①辱入②如茹銣③汝儒孺嚅濡襦擩
k	①沽咕（～嘰）辜蛄鴣姑菇箍骨觚谷穀轂②□（～擰：扭動蠕動）故（出～～）③古估詁牯鈷鼓瞽汩賈（商～）蠱股鵠（～的）孤⑤故固痼錮崮辜（無～）梏顧雇僱
kʰ	①枯骷哭窟②□（～刺：刮）③苦酷⑤庫褲絝嚳
x	①乎呼歑戲烀忽惚㧾（用手掌打）②胡湖瑚蝴猢糊鵠（～立）壺觳核（吐～兒）弧③虎唬琥狐滸攉⑤戶滬護扈簄怙互糊（～弄）瓠笏蠖鑊
ø	①汙汚洿巫誣嗚鎢鄔塢屋於（～菟）忤迕杌侮勿物倭齷②無蕪吳蜈梧③武鵡午五伍捂憮嫵⑤惡（厭～）吾悟晤焐寤誤戊務霧鶩

#y
ȵ	③女
l	①緑率（利～）律②驢③呂侶鋁閭旅膂屢褸縷僂捋（～鬍子）履⑤慮濾
tɕ	①車（棋子名）雎菊掬拘駒居裾据橘鋦（～子）②局拒（回絕或頂撞）③舉櫸矩（～形）鞠疽⑤巨拒矩距聚遽醵具俱懼颶犋句窶劇倨據踞鋸（～子）苣（萵～）
tɕʰ	①區驅嶇軀曲蛐蛆詘屈趨②渠瞿癯衢氍鸜朐③取娶齲黢（～黑）⑤去祛趣覷闃
ɕ	①需吁虛噓墟戌須胥婿（夫～）畜（～牧）蓄旭煦宿蓿②徐俗（風～）③許栩詡⑤敘漵序緒續絮恤酗
ø	①淤浴峪獄②於于吁竽盂迂（～迴）與歟余餘禺愚喁俞兪楡榆魚漁予妤虞③宇語雨禹瑀羽嶼臾萸諛腴域喩喻籲⑤譽昱煜玉鈺芋馭蜮鬻郁鬱育寓遇愈癒諭覦渝愉瑜逾揄欲慾預豫娛隅裕

#a
p	①巴芭疤粑八叭扒捌②父拔跋③靶把（～門）⑤把耙壩罷霸
pʰ	①趴帕②爬耙（～子）扒（～草）筢⑤怕怖
m	①母螞（～蚱）瀎②麻麼（甚～）③馬碼瑪嗎（～啡）母⑤罵
f	①發法砝琺②乏罰伐垡筏閥
t	①答嗒搭褡瘩（～背）耷打（一～）②達韃靼妲怛笪遝沓（一～）③打⑤大
tʰ	①它他塌溻榻蹋沓踏趿塔獺撻闥拓
n	①捺納呐鈉衲娜②拿③哪若⑤那若
l	①拉拖垃（～圾）邋蠟臘剌辢辣瘌②拉（割開）落（丟三～四，角～）③喇□（兩腿張開、分開）
