来源：北柯，前锋修订			
说明：代表徐沟镇音系			
#符号说明：-白=文；写不出来的字用“□”表示；“~”代替所注的字			
#调值：［1］21［3］53［5］24［7］ʔ2［8］ʔ54			
#ɒ			
p	［1］巴芭疤笆吧趴邦帮梆爬-耙-{~地}旁-{~人}	［3］把靶榜膀绑	［5］爸霸罢把坝棒蚌谤磅
pʰ	［1］爬=耙=杷琶乓旁=螃庞	[3]耪	［5］怕帕胖
m	［1］妈麻蟆忙盲氓芒茫虻	［3］马码玛莽蟒	［5］骂
f	[1]方坊房防芳妨肪	[3]仿纺访	[5]放
v	［1］哇娃洼挖汪王亡	［3］瓦往枉网	[5]忘妄望旺
t	［1］爹-{~}当裆糖-	［3］打党档挡	［5］大=荡□{尘土飞扬：~了人一身土}当宕
tʰ	［1］他她它汤唐塘堂棠螳	[3]倘躺淌	[5]烫趟
n	［1］拿囊	［3］哪攮	[5]齉
l	［1］拉啦郎狼廊螂琅	[3]朗	[5]浪
k	[1]钢缸肛刚纲冈	[3]港岗	[5]杠
kʰ	[1]康糠慷	[3]抗扛	[5]炕
x	[1]夯杭航行		［5］巷-{~道}项-{一~~}下-{~雨}吓-{~了一跳}夏-{~天}
ŋ	［1］鸦-{黑老～}肮昂	[3]哑{~巴}	[5]□{~腰：弯下腰来}
ts	［1］楂渣咱张赃章彰樟将-{黑~来}长-{~短}肠-脏	［3］拃长涨掌	［5］榨诈乍炸栅帐障葬丈藏仗杖胀
tsʰ	［1］差茶搽查叉仓昌娼长=肠=常=苍藏	［3］镲场氅敞	［5］岔诧差唱昌畅倡
s	［1］沙砂纱茬霎伤商墒桑丧尝常-	［3］洒傻撒晌嗓赏	［5］厦萨沙尚上绱裳
z	［1］瓤	［3］嚷壤	［5］让
∅	［1］啊阿		
#iɒ			
ȵ	［1］牙芽鸦娘	［3］哑仰	［5］压酿
l	[1]良凉量粮梁	［3］两俩	[5]谅晾亮辆量
tɕ	［1］加嘉家=佳枷江豇姜疆僵将=缰墙-{院～}	［3］假贾讲奖浆蒋耩	［5］稼嫁驾价假架降酱匠将虹-{起~}
tɕʰ	［1］□{抱：~娃子}腔枪强墙=	［3］卡抢	[5]呛
ɕ	［1］虾霞暇遐瑕香乡相镶降祥厢箱详祥襄翔	[3]享响想饷	［5］下=吓=夏=厦向巷=项=象相
∅	［1］丫衙呀央秧羊洋阳扬杨	［3］雅亚养氧痒	［5］讶样恙漾
#uɒ			
k	［1］瓜光	［3］寡剐广	［5］挂卦褂逛
kʰ	［1］夸筐狂框匡	［3］垮侉	［5］挎跨胯况矿框旷矿眶
x	［1］花华铧荒慌皇黄	[3]晃恍谎幌	［5］画话桦划化晃
ts	［1］抓庄装妆桩	［3］爪	[5]壮状
tsʰ	[1]窗疮床=	[3]闯	[5]创撞
s	[1]双霜窗孀□{剪：把头发~得齐了些}床-{~床：板凳}	［3］耍爽	
#uɤɯ			
t		［3］朵躲	［5］垛惰剁堕
tʰ		［3］妥	［5］唾吐-{~痰}
k	［1］锅	［3］果裹	［5］过
kʰ	［1］科棵颗窠		［5］课
x	［1］和{～面}	［3］火伙	［5］货祸
ts			［5］坐座
tsʰ			［5］错锉
s	［1］唆梭	[3]所锁琐	
#iɛ			
