a	1	55	阿(～哥)		
a	2	213	啊(表疑问)		
a	5	35	啊(表惊讶)		
ɑ̃	1	55	貳二		
ai	2	213	兒(～子)而		
ai	3	21	餌耳(文)爾		
ɕia	1	55	蝦(文)夏(春～)瞎(文)		
ɕia	2	213	霞瑕遐蝦(～蟆)峽匣(文)轄(管～)		
ɕia	3	21	寫(白)		
ɕia	5	35	瀉(白)下(文)厦(～门)		
ɕiɑ̃	1	55	相(互～)箱厢湘襄鑲香鄉星(白)腥(白)		
ɕiɑ̃	2	213	降(投～)翔		
ɕiɑ̃	3	21	想享響晌醒(白)		
ɕiɑ̃	5	35	象像(文)橡(～树)相(～貌)向項(文)巷(文)		
ɕiau	1	55	淆消宵霄硝銷囂蕭簫屑(木～)		
ɕiau	3	21	小曉		
ɕiau	5	35	笑酵孝(文)效校(～对)		
ɕiəu	1	55	修羞休		
ɕiəu	2	213	畜(～牧)		
ɕiəu	3	21	朽曉		
ɕiəu	5	35	秀繡鏽		
ɕiɛ	1	55	歇蠍些		
ɕiɛ	2	213	諧肋協穴(白)斜(文)		
ɕiɛ	3	21	寫(文)		
ɕiɛ	5	35	榭械(文)瀉(文)謝泄(～露)蟹(文)解(姓)		
ɕiɛ̃	1	55	陷餡仙先現((白)～飯：剩飯)		
ɕiɛ̃	2	213	鹹(文)銜(文)嫌閑(文)涎賢弦(文)		
ɕiɛ̃	3	21	顯險		
ɕiɛ̃	5	35	線獻憲羨現(文)縣		
ɕin	1	55	辛薪欣興腥(文)馨		
ɕin	2	213	行(～為)形型刑		
ɕin	3	21	醒(文)		
ɕin	5	35	訊杏幸性		
ɕio	1	55	削		
ɕio	2	213	學		
ɕioŋ	1	55	兄胸凶		
ɕioŋ	2	213	熊雄		
ɕioŋ	5	35	嗅(用鼻～)		
ɕɿ	1	55	西栖犀奚兮犧嬉熙希稀悉夕吸(文)		
ɕɿ	2	213	席(～子)習襲息熄媳		
ɕɿ	3	21	洗喜蟢(～子)璽徙		
ɕɿ	5	35	謝(花～了)細系(～鞋带)(聯～)惜昔錫析		
ɕy	1	55	書舒虛噓(吹～)須需輸殊戌樹		
ɕy	2	213	徐庶		
ɕy	3	21	暑許豎水(白)鼠(老～)		
ɕy	5	35	序敘緒絮恕續嗉(鸟～子)恤蓄(积～)歲(白)		
ɕya	1	55	靴		
ɕyɛ	1	55	雪血		
ɕyɛ	2	213	穴(文)薛		
ɕyɛ̃	1	55	軒掀鮮(新～)宣喧		
ɕyɛ̃	2	213	弦旋玄懸眩		
ɕyɛ̃	3	21	癬選		
ɕyɛ̃	5	35	楦(鞋～)		
ɕyn	1	55	熏勳薰		
ɕyn	2	213	荀旬循巡徇純		
ɕyn	5	35	遜訓舜迅順衅(挑～)		
fa	1	55	法(方～)發髮		
fa	2	213	法(冇得～)伐筏罰		
fɑ̃	1	55	方芳		
fɑ̃	2	213	肪(脂～)妨(～碍)房防		
fɑ̃	3	21	仿紡訪		
fɑ̃	5	35	放		
fæ̃	1	55	翻番藩(～王)飯		
fæ̃	2	213	礬繁煩藩凡帆		
fæ̃	3	21	反		
fæ̃	5	35	範犯泛乏販		
fei	1	55	非飛妃		
fei	2	213	肥		
fei	3	21	匪翡		
fei	5	35	廢肺吠痱(～子)費(～钱)		
fen	1	55	分(～开)芬紛		
fen	2	213	焚墳		
fen	3	21	粉		
fen	5	35	糞奮憤忿份(一～)		
fəu	3	21	否		
foŋ	1	55	風楓瘋豐封峰蜂鋒俸		
foŋ	2	213	逢縫(～衣服)		
foŋ	3	21	諷		
foŋ	5	35	鳳奉		
fu	1	55	呼互瓠(～瓜)夫膚跗(～面)敷俘(～虏)麩(麦～)父附		
fu	2	213	胡湖狐壺乎符扶芙浮(文)复忽佛(仿～)縛斛福幅蝠(蝙～)腹覆(翻～)服伏栿(房梁)		
fu	3	21	虎滸(水～)府俯腑甫脯(杏～)斧撫釜輔腐		
fu	5	35	戶滬付賦傅富婦負阜副		
ia	1	55	夜(白)鴉(文)丫(～头)鴨(文)押壓(文)		
ia	2	213	爺(白)涯(天～)牙(文)崖(文)芽伢衙亞(～洲)		
ia	3	21	雅啞(文)也(白)野(白)		
ia	5	35	亞		
iɑ̃	1	55	央秧殃樣		
iɑ̃	2	213	羊洋烊(融化)楊陽揚瘍(溃～)贏(白)		
iɑ̃	3	21	養癢		
iau	1	55	妖邀腰要(～求)么吆(～喝)		
iau	2	213	肴鷂(～鹰)搖謠窑姚堯		
iau	3	21	咬(文)舀(～水)		
iau	5	35	要(想～)耀躍(文)		
iəu	1	55	憂優祐(文)悠幽又右		
iəu	2	213	尤郵酉(～时)由油遊猶		
iəu	3	21	有友		
iəu	5	35	誘幼柚釉育(白)		
iɛ	1	55	耶噎(～住了)		
iɛ	2	213	爺(文)		
iɛ	3	21	也(文)野(文)		
iɛ	5	35	夜(文)液腋葉頁		
iɛ̃	1	55	淹閹焉(心不在～)湮		
iɛ̃	2	213	岩(文)炎鹽簷顏延言		
iɛ̃	3	21	掩眼(文)演		
iɛ̃	5	35	魘厭豔焰雁諺堰燕宴		
in	1	55	認(白)音陰蔭因姻洇殷鷹鶯鸚(～鵡)櫻英嬰纓		
in	2	213	銀寅蠅迎盈贏(文)		
in	3	21	飲引隱影(文)穎		
in	5	35	窨(地～子)印應映		
io	2	213	約鑰略弱(文)		
io	5	35	藥嶽樂(音～)		
ioŋ	1	55	雍痛庸擁用		
ioŋ	2	213	戎絨容融蓉鎔茸		
ioŋ	3	21	甬勇湧		
ka	1	55	夾(白)家(白)痂(白)		
ka	2	213	□(肉)		
ka	5	35	架(白)嫁(白)尬		
kɑ̃	1	55	岡崗剛綱鋼缸江(白)豇(～豆)		
kɑ̃	3	21	講港(～口)		
kɑ̃	5	35	杠扛虹((白)龙～)		
kæ̃	1	55	甘柑泔(～水)尷(～尬)監((白)～察)幹(文)肝(文)艱(白)間((白)空～)皆((存疑)全部，都)肩(白)		
kæ̃	3	21	杆擀(～面)稈(稻～)感敢(文)橄(～榄)减(白)竿(竹～)		
kæ̃	5	35	监((白)国子～)鉴(白)间((白)～断)		
kai	1	55	該階(白)械(白)街(白)		
kai	3	21	改解(白)		
kai	5	35	蓋介(白)界(白)芥(白)届(白)戒(白)		
kau	1	55	高膏蒿(～船)羔糕		
kau	3	21	稿搞		
kau	5	35	告觉((白)困～)教((白)～书)窖		
kei	3	21	給(～予)		
ken	1	55	跟根庚羹耕		
ken	3	21	哽埂(田～)梗耿粳(～米)		
ken	5	35	更(～加)		
kəu	1	55	鉤溝勾(～当)鬮((白)抓～)		
kəu	3	21	狗苟		
kəu	5	35	夠構購		
kʰa	1	55	掐(白)		
kʰɑ̃	1	55	康糠坑(白)		
kʰɑ̃	2	213	扛		
kʰɑ̃	3	21	慷(～慨)		
kʰɑ̃	5	35	抗炕		
kʰæ̃	1	55	堪龕勘(～探)嵌刊		
kʰæ̃	3	21	砍坎(文)		
kʰæ̃	5	35	看((文)～守)		
kʰai	1	55	開揩		
kʰai	2	213	刻(时～)克		
kʰai	3	21	凱楷		
kʰai	5	35	慨(慷～)概溉		
kʰau	1	55	敲(白)		
kʰau	3	21	考烤		
kʰau	5	35	靠犒		
kʰen	1	55	坑(文)		
kʰen	3	21	咳(白)肯懇墾		
kʰəu	1	55	摳瞘(眼～)		
kʰəu	3	21	口		
kʰəu	5	35	叩(～头)扣(～住)寇		
kʰi	5	35	去(白)		
kʰiɛ	2	213	客		
kʰo	1	55	科窠磕殼(白)		
kʰo	2	213	殼(文)		
kʰo	3	21	顆可棵		
kʰo	5	35	課渴闊擴(～大)		
kʰoŋ	1	55	空(～虚)共(白)		
kʰoŋ	3	21	孔恐		
kʰoŋ	5	35	控空(～缺)		
kʰu	1	55	枯窟(～窿)哭		
kʰu	3	21	苦		
kʰu	5	35	庫褲絝酷		
kʰua	1	55	侉夸跨(文)		
kʰua	3	21	垮		
kʰuɑ̃	1	55	匡筐眶(眼～)		
kʰuɑ̃	2	213	狂		
kʰuɑ̃	5	35	曠况礦		
kʰuæ̃	1	55	寬		
kʰuæ̃	3	21	款坎((白)田～)		
kʰuæ̃	5	35	看((白)～牛)		
kʰuen	1	55	昆坤		
kʰuen	3	21	捆		
kʰuen	5	35	困		
kʰui	1	55	盔魁虧窺愧逵葵		
kʰui	3	21	櫃跪(白)		
kʰui	5	35	潰奎		
ki	3	21	渠(第三人称代词)		
ki	5	35	鋸(白)		
kiɛ	1	55	格((白)～子)隔(白)		
kiɛ	2	213	格(文)革隔		
ko	1	55	歌哥鍋戈鴿割葛胳(～臂)		
ko	2	213	各阁搁郭廓		
ko	3	21	果裹		
ko	5	35	個過		
koŋ	1	55	公蚣(蜈～)工功攻弓躬宮恭		
koŋ	3	21	汞拱(～手)鞏(～固)		
koŋ	5	35	貢		
koŋ	5	35	供共(文)		
ku	1	55	姑孤箍估(～计)牯穀		
ku	2	213	□(蹲)		
ku	3	21	古股鼓骨(文)		
ku	5	35	故固錮雇顧		
kua	1	55	瓜刮		
kua	3	21	寡剮括(包～)		
kua	5	35	卦掛		
kuɑ̃	1	55	光		
kuɑ̃	3	21	廣		
kuɑ̃	5	35	逛		
kuæ̃	1	55	官棺觀(参～)冠(衣～)干(白)肝(白)鰥關		
kuæ̃	3	21	管館敢(白)		
kuæ̃	5	35	貫灌罐冠慣		
kuai	1	55	乖		
kuai	2	213	國		
kuai	3	21	拐		
kuai	5	35	怪		
kuen	3	21	滾		
kuen	5	35	棍		
kui	1	55	圭閨規龜歸骨(白)		
kui	3	21	軌鬼詭		
kui	5	35	鱖(～鱼)桂癸貴跪(文)		
la	1	55	拉捺(撇～)納咬(训读)		
la	2	213	拿蠟納臘爬(白)𤔀(爬)		
la	3	21	哪惹(～禍)		
la	5	35	辣那		
lɑ̃	1	55	讓晾(～衣衫)䁁(看；～见)䀶(看；～见)		
lɑ̃	2	213	囊郎廊狼蜋瓤(瓜～)		
lɑ̃	3	21	冷(白)朗壤(土～)攘嚷		
lɑ̃	5	35	浪		
læ̃	1	55	濫爛		
læ̃	2	213	南男藍籃難(～易)蘭攔欄然(文)燃(文)		
læ̃	3	21	覽攬欖(橄～)纜染(文)冉懶		
læ̃	5	35	難(患～)		
lai	1	55	奶奈(～何)		
lai	2	213	來(文)		
lai	3	21	乃		
lai	5	35	耐賴癩瘌		
lau	2	213	勞撈牢嘮(～叨)澇(洪～)饒撓橈(桨)繞(围～)		
lau	3	21	腦惱老擾		
lau	5	35	鬧		
len	1	55	嫩		
len	2	213	壬任(姓)人(文)仁能零(白)		
len	3	21	忍冷(文)		
len	5	35	任(责～)刃認(文)韌楞仍扔另		
li	2	213	黎犁離(～别)籬璃(玻～)荔(～枝)梨厘狸來(白)		
li	3	21	禮李裏理鯉		
li	5	35	例粒厲勵麗(美～)隸利痢吏立笠粒栗力曆		
lia	2	213	苶((存疑)累)		
lia	3	21	舔(以舌取物)		
liɑ̃	1	55	亮		
liɑ̃	2	213	良凉量糧梁粱		
liɑ̃	3	21	兩(～个)輛領(白)		
liɑ̃	5	35	諒量(数～)		
liau	1	55	料廖(姓)		
liau	2	213	燎療聊遼撩(～起来)瞭		
liau	3	21	了(～结)		
liau	5	35	寥		
liəu	1	55	溜餾漏		
liəu	2	213	樓流劉留榴(石～)硫(～磺)琉(～璃)柔(白)揉(白)簍摟		
liəu	3	21	柳裏(～頭)陋六綠((白)～豆)		
liɛ	1	55	𠢠(刺)		
