#参考资料	《怀宁石牌方言语音系统》
#符号	“□”表示写不出来的字
#调值	[1]阴平31[2]阳平44[3]上声42[5]阴去35[6]阳去33
#ɿ	
ts	[1]资姿咨兹滋孜淄齜吱之支知枝芝脂肢栀[3]子紫梓籽姊滓纸指止址旨祉[5]志至只窒质制智致置织汁执趾挚稚帜咫
tsʰ	[1]呲疵差眙痴嗤[2]词辞磁慈瓷雌祠糍饲迟池驰持匙[3]此耻豉[5]次刺{刺猬}赐伺尺斥赤炽翅[6]字刺值职直秩治痣植侄殖峙
s	[1]丝思司私斯撕厮狮尸师诗施[2]时[3]死屎史矢使始驶[5]寺已似肆祀湿世式势饰试视适恃室逝释嗜噬[6]十石识实食蚀士氏示仕市事侍柿是誓
z	[5]日
#a	
p	[1]爸巴扒芭疤笆粑杷[3]把靶[5]八叭[6]坝霸
pʰ	[1]趴啪葩琶[2]爬扒毳[3]拔跋罢怕
m	[1]妈[2]麻[3]马码蚂拇[5]抹蟆[6]骂
f	[5]法发[6]罚乏阀
t	[5]哒搭耷答打[6]大
tʰ	[1]他她它[5]塔趿塌遢踏拓[6]达
n	[2]拿[3]哪[5]娜纳那捺
l	[1]拉垃啦叽[3]喇[5]辣蜡腊癞
k	[1]家嘎咖胳稼[5]夹[6]架嫁尬
kʰ	[1]咔咖[2]跨蛤[3]咳[5]掐[6]胯{人的下身裆部，男女通用}
x	[1]哈虾[2]还[3]下{傻、笨：你许～哟}[6]下
ŋ	[1]丫[2]伢牙[3]哑[5]压押鸭[6]轧
ts	[1]渣吒查{姓}揸喳楂[3]榨[5]扎闸眨砸杂[6]炸铡诈
tsʰ	[1]差{好～}叉杈[2]茶查检搽察[5]插踏馇衩岔擦
s	[1]沙杉纱砂莎痧鲨[3]傻撒[5]杀刹
Ø	[1]啊阿
#o	
p	[1]波玻菠卜[3]跛[5]播拨剥钵驳亳脖博搏
pʰ	[1]坡[2]婆鄱膊[3]剖[5]泼颇魄檗[6]破
m	[1]摸[2]魔馍模仿摹膜摩磨粉蘑[3]某么抹[5]摸末沫没茉陌寞[6]莫磨漠
f	[2]佛[3]否
t	[1]多哆[3]躲[5]朵柘堕[6]剁垛草舵惰跺
tʰ	[1]拖[2]陀驼驮佗陀坨驼鸵跎[3]妥椭[5]托脱拓唾[6]夺
n	[2]挪娜[5]躇懦[6]糯诺
l	[1]啰[2]锣罗萝逻骡螺[3]裸[5]乐洛骆络[6]落摞
k	[1]哥戈歌锅聒咯[3]果裏[5]搁割疙鸽郭[6]过个各
kʰ	[1]颗棵苛科稞窠蝌[3]可渴[5]磕瞌壳扩阔廓[6]课
x	[1]豁[2]河禾和合何荷[3]火伙[5]喝褐霍藿豁[6]盒贺赫鹤壑货祸惑
ŋ	[1]阿婀[2]额鹅讹俄峨蛾娥[3]我恶[5]扼噩[6]恶饿鳄
ts	[1]啄嘬[3]左佐[5]茁桌镯卓浊捉灼啄琢撮[6]作做
tsʰ	[1]搓磋[5]戳啜绰辍龊[6]坐座措错
s	[1]蓑嗦[5]朔烁硕[3]所锁索唢琐[5]嗍唆梭缩
z	[5]弱若
Ø	[1]哦
#æ	
x	[5]黑瞎吓
ts	[1]遮蛰则责[3]者褶[5]摘折蛰哲浙甘择窄则责
tsʰ	[1]车[3]扯[5]拆彻撤澈册测厕侧策择泽色涩啬糁{饭～}[6]贼
s	[1]赊奢[2]蛇舌[3]舍[5]设摄[6]社射涉赦慑
z	[3]惹[5]热
Ø	[2]儿而[3]耳尔饵珥洱迩[6]二
#n̩	
Ø	[1]嗯[3]你
#ai	
p	[1]掰[3]摆[5]拜
pʰ	[2]排牌[5]派[6]败
m	[2]埋霾[3]买[6]卖迈
t	[1]呆待[3]歹逮住傣[5]带戴黛
tʰ	[1]胎苔苦[2]抬苔台跆[5]太态泰[6]待{对～}逮{～捕}大{～夫}代贷怠
n	[1]奶{祖母}[3]乃奶[6]耐奈
l	[2]莱[6]赖癞籁
k	[1]该街[3]解改[5]介丐芥钙盖概溉截戒
kʰ	[1]开[3]楷凯铠慨
x	[1]嗨[2]鞋[3]海[6]害亥
ŋ	[1]挨哀埃[2]挨癌[3]矮蔼[5]爱[6]艾碍
