#符号说明：-白=文/书*俗?待考	
#调值	［1］35［2］314［3］42［5］11［6］13
#ɿ	
ʦ [1]资滋咨姿兹龇埘{鸭~，鸡窝}[3]紫籽姊{~妹}子{禽蛋，~孙}梓{~树}滓{渣~}	
ʦʰ [1]疵[2]磁慈瓷辞词祠糍{~粑}□{挠，抓}[3]此[5]赐刺{~猬}[6]字次寺-牸{特指雌性牲畜，与“牯”相对}自={~家：自己}巳-{~时}	
s [1]师斯撕私狮司丝思饲{~料}蛳{螺~}[3]史使死{去~；又副词，~傲：很骄傲}驶{驾~证}[5]四肆{大~：字牌数字}[6]事士寺=自-{~家：自己}巳={~时}侍{服~}	
#ʅ	
tʂ [1]知蜘支枝脂之芝吱肢[3]纸旨指止址趾耻-{陈雪耻：人名}[5]智致至置制志痣滞	
tʂʰ [1]痴嗤{顽皮，懵~，~皮}翅{鱼~}[2]迟池驰持弛[3]齿耻=侈{奢~}□{理睬}[6]痔治□{农作物上长出 的一种害虫}	
ʂ [1]施尸诗是□{模拟燃烧火药时发出的声音}[2]时[3]屎矢始[5]豉{豆~}氏示试逝世誓势视匙{锁~}市柿=[6]柿-	
#i	
p [1]逼笔毕必碧陂{江坝}弼{~马温}痱-{晒~子：痱子}壁={墙~}[2]痹-{~子手：手无力}[3]比彼[5]闭蔽痹={麻~症}	
pʰ [1]批披蓖{~麻}僻劈=[2]脾皮疲琵枇啤妣[3]痞={讲~话：说脏话}[5]屁备-{准~}避={躲~}[6]被{~窝}避-{~风}鼻币庇毙{枪~}	
m [1]眯咪□{~一口：抿一口}[2]眉媚迷糜猕{~猴}[3]米蚁-{~蚣：蚂蚁}洣{~水河}弥{过得阿~陀佛：生活不易。}[6]谜尾-{~巴}沕{沉入水中。钻~：潜水}	
f [1]非飞妃菲绯{~红：很红}扉{~子：票据}[2]肥[3]匪翡[5]废费肺[6]吠	
v [1]微-[2]维-唯-[3]尾={结~}[6]未味	
t [1]低堤嘀[3]底抵[5]笛={~~， 喇叭声，代指车}□{~一下：停留一会儿}	
tʰ [1]梯踢={~球}[2]题蹄提={~问题}屉{~子}[3]体剔{~毛：将动物的毛刮掉}[5]替涕{眼~：眼泪}帝{皇~}剃{~脑：剪头发}弟={~~}[6]第弟-{老~：弟弟}地{坟}	
