来源：	韩昆瑜 2020《山西文水开栅方言语音研究》；Hynuza, Skanda 整理录入
说明：
#符号说明：	-白=文*俗?待考
#调值	［1］22［3］312［5］45［7］3［8］423
#ɿ
p	［1］屄{女阴，骂人词}［3］彼鄙比{～较}秕{～子，～谷}饼-{～子}［5］蔽敝弊币毙蓖{～麻}陛{～下}闭箅被{～子}婢被{～打，～迫}臂避庇备弼={～马温}病-{害～}
pʰ	［1］披皮纰琵{～琶}枇{～杷}啤痹{麻～}砒［3］疲脾批［5］譬{～喻}屁
m	［1］迷谜糜{粥}弥靡{奢～}眉楣鸣-{打～}明-{～亮}名-{～字}眯咪［3］米［5］命-{要～}□{把东西递给别人}
ts	［1］脐鸡知={～识}蜘{～蛛}支枝肢眵{眼～}骑奇{～数}资姿咨瓷-{～板}饥{～饿}肌几{茶～}兹滋磁-{有～了}之芝基几{～乎}机讥饥{～荒}睁-{～眼}茎{圪～～}精-{～明}睛-{眼～儿}菁{蔓～}□{～静：安静}［3］挤济{～南}紫纸只{～有}姊脂旨指={～示}子={～女}梓止趾址几{～个}井-{～儿}［5］祭际穄{～子}济{接～}剂{一～药，面～子}滞{停～，积～}制计继系{～鞋带}髻智技妓寄自致稚{幼～}至冀字痔置治={～理}志痣纪{～律，世～，年～}记忌既季镜-{～儿}净-{干～}掷翅-{～膀}
tsʰ	［1］妻栖齐荠雌疵{吹毛求～}池驰差{参～}侈{奢～}奇{～怪}岐绮瓷={陶～}祁慈磁={～铁}辞词祠={～堂}痴={～呆症}持欺其棋期{时～}旗祈轻-{～省：形容东西轻}青-{黑～}倾-{直～：形容雨下得大}稀-{～单单：形容稀饭稀}迟={～到}［3］启此豉{豆～}企耻齿起杞岂［5］砌契刺赐翅={鸡～}次器弃伺气汽泣
nz	［1］泥倪尼［3］拟［5］腻
s	［1］西犀溪奚兮斯厮撕施匙{汤～，钥～}牺{～牲}私师狮尸司丝思饲诗时嬉熙希稀={～有}肥-{鞋～}生-{～肉}甥-{外～子}栅-{开～，地名}星-{～宿}腥-{～气}祠-{晋～}息-{出～}［3］洗玺徙擤死屎使史驶始喜［5］细婿{女～子}世={～界}势逝系{连～}是氏戏四肆示视嗜似祀{祭～}巳{辰～}寺嗣士仕柿俟事试市恃侍饰={～品}
Ø	［1］宜仪移伊夷姨疑医饴{高粱～}沂{～河}衣依遗应-{答～}蝇-{～子}赢{～了}易{交～}营-{～儿，地名}怡［3］倚椅蚁矣已以尾-{～巴}影-{～糊糊}［5］艺谊义议易意异毅映-{～出来}忆亿翼薏{～米}
#i
p	［3］□{圪～：故意和某人作对}
pʰ	［3］苤{～蓝}
t	［1］爹堤提-{～起来}蹄-{～～}钉-{～～}疔{～儿}［3］低底抵顶-{～针儿}［5］弟帝第递钉{～住}定-{安～，地名}□{～□sɿ312：思考}地
tʰ	［1］提={～高}听-{～见}梯停-{～～地}题蹄={马～莲}啼［3］体［5］替涕{鼻～}剃屉{抽～，笼～}
l	［1］犁黎离{～别}篱璃{玻～}梨厘狸{～猫}零-{～头头}铃-{～～}陵-{武～村，地名}凌-{冻～}□{圪～：挠痒痒}［3］礼李里理鲤垒-{～塔塔火}娌{妯～}［5］例厉励丽{美～}隶离{～开半寸}利痢吏另-{～外}
tɕ	［1］茄-{～子}皆阶稭{麦～}街［3］姐解{讲～，～开}［5］左-{～手}借介界芥疥届戒械
tɕʰ	［1］茄={～盒}揩{擦}［3］且［5］笡{斜着，错开}
ȵ	［1］崖-{～底，地名}捱{～打，～骂}□{～家：你家}□{发呆}
ɕ	［1］些邪斜谐鞋={绣花～}［3］写［5］泻卸谢懈解{姓}蟹泄{～露}屑{不～}
Ø	［1］耶爷［3］也野［5］夜液腋
#y
l	［1］驴［3］吕旅缕{丝～}屡履［5］虑滤
tɕ	［1］居车{～马炮}渠-{～儿}拘{～束}驹卒{兵～}［3］举［5］巨拒距据锯{～儿}聚俱矩{规～}句具惧剧
tɕʰ	［1］蛆{生～}渠={～道}趋{～势}区{～域}驱瞿［3］取趣［5］去{来～，～皮}
ȵ	［1］鱼渔［3］女={～人}
ɕ	［1］靴徐{清～，地名}墟{～市}虚嘘{吹～}须需兄-{弟～}荽{芫～}［3］徐{～家镇，地名}许［5］序叙绪絮
