漢字	拼音	IPA	注釋		語系	語片	方言	地理	政區	分佈	位點	人口	相關	作者	名牌									
多	to				漢藏語系	〔現〕上麗片-上山小片 〔原〕處衢片-龍衢小片	沙溪腔 （方言自稱）	鄱陽湖水系信江流域上游地區支流沙溪	江西省上饒市	信州區：沙溪、秦峰鎮	沙溪鎮龍頭村	沙溪、秦峰鎮約為二十萬	靈溪腔臨湖腔	信州儂	信饒沙溪									
他	tʰa				漢語族			江南丘林中部信江盆地中部		廣豐區：壺嶠、湖豐鎮	鄭家底	壺嶠、湖豐鎮約為五萬左右	煌固腔八都腔											
舵	do				吳語支			東經118.10度北緯28.57度	贛東北部	玉山縣：下塘鄉部分廣信區：煌固鎮部分	柴後街	其他鄉鎮約為千余左右	玉山腔廣豐腔											
大	da		da大象da大學																					
大	dai		dai大夫dai大王dai大蒜																					
大	do		do大腹do大小																					
拖	tʰo		tʰo拖拉機																					
拖	tʰai		tʰai拖手																					
駝	do																							
陀	do		阿彌陀do佛																					
陀	dɐɯ		普陀dɐɯ山																					
馱	do																							
挪	no																							
羅	lo																							
鑼	lo																							
籮	la		箕籮la																					
籮	lo		簸籮lo																					
左	tso																							
佐	tso																							
做	tso		tso做事																					
做	tsu		tsu做作業																					
搓	tsʰo																							
娑	so		婆娑so																					
娑	sa		sa娑婆訶																					
歌	ko																							
哥	ko																							
個	kɐʔ		孰個kɐʔ																					
個	keʔ		是個keʔ																					
個	kai		半個kai																					
個	ɡo		ɡo個儂																					
軻	ko																							
可	ko		ko可樂																					
可	kue		弗可kue																					
蛾	ŋo																							
鵝	ŋo																							
俄	ŋo																							
我	ŋa		ŋa我儂																					
我	ŋaa		ŋaa我儂（我們）																					
餓	ŋo		ŋo餓撈																					
餓	uai		uai餓腹																					
何	ɦo																							
河	ɦo																							
荷	ɦo																							
苛	kʰa		kʰa苛責																					
苛	kʰo		kʰo苛稅																					
苛	xɐʔ		xɐʔ苛斥																					
荷	xɐʔ		負荷xɐʔ																					
荷	xo		薄荷xo																					
賀	ɦo																							
阿	a		阿（虛詞）																					
阿	o		o阿膠																					
阿	ŋa		ŋa阿開（張開）																					
阿	o		o阿彌陀佛																					
阿	a		a阿嘴（開口）																					
茄	ɡie		茄																					
茄	ka		雪茄																					
波	po		寧波po																					
波	po		po波及																					
