汉字	拼音	拼音	IPA	注释
多	to1	to①	to˦˥	
他	tha1	tha①	tʰa˦˥	
舵	tua6	tua④	tua˨˥	
拖	thua1	thua①	tʰua˦˥	
駝	thoh8	thoh⑧	tʰoʔ˥˦	
陀	tho5	tho②	tʰo˥˥	
挪	no5	no②	no˥˥	
馱	tho5	tho②	tʰo˥˥	
羅	lo5	lo②	lo˥˥	
鑼	lo5	lo②	lo˥˥	
籮	lo5	lo②	lo˥˥	文
籮	lua5	lua②	lua˥˥	白
蘿	lo5	lo②	lo˥˥	
左	tso2	tso③	tso˥˧	
佐	tso2	tso③	tso˥˧	
做	tso3	tso⑤	tso˨˩˨	
搓	tsho1	tsho①	tsʰo˦˥	
娑	so1	so①	so˦˥	
歌	ko1	ko①	ko˦˥	文
歌	kua1	kua①	kua˦˥	白
哥	ko1	ko①	ko˦˥	
個	ko6	ko④	ko˨˥	文
個	kai5	kai②	kai˥˥	訓
軻	kho1	kho①	kʰo˦˥	
柯	kho1	kho①	kʰo˦˥	文
柯	kua1	kua①	kua˦˥	白
可	kho2	kho③	kʰo˥˧	
可	khiok4	khiok⑦	kʰiok˧˨	~汗
坷	kho1	kho①	kʰo˦˥	
蛾	ngo5	ngo②	ŋo˥˥	
鵝	go5	go②	go˥˥	
俄	ngo5	ngo②	ŋo˥˥	
我	ngo2	ngo③	ŋo˥˧	文
我	ua2	ua③	ua˥˧	白
餓	go7	go⑥	go˨˨	
何	ho5	ho②	ho˥˥	文
何	ua5	ua②	ua˥˥	白
河	ho5	ho②	ho˥˥	
荷	ho5	ho②	ho˥˥	
荷	o3	o⑤	o˨˩˨	又
苛	kho1	kho①	kʰo˦˥	
荷	o6	o④	o˨˥	
賀	ho7	ho⑥	ho˨˨	
阿	o1	o①	o˦˥	文
阿	a1	a①	a˦˥	
茄	kia1	kia①	kia˦˥	
茄	kio5	kio②	kio˥˥	
枷	ke5	ke②	kɛ˥˥	
波	po1	po①	po˦˥	
播	pua3	pua⑤	pua˨˩˨	
簸	pua3	pua⑤	pua˨˩˨	
坡	po1	po①	po˦˥	
玻	po1	po①	po˦˥	
頗	pho2	pho③	pʰo˥˧	文
頗	phuann2	phuann③	pʰuã˥˧	白
破	phua3	phua⑤	pʰua˨˩˨	
婆	phua5	phua②	pʰua˥˥	
婆	po5	po②	po˥˥	
魔	mo1	mo①	mo˦˥	
魔	mo5	mo②	mo˥˥	
磨	bo7	bo⑥	bo˨˨	
磨	bua5	bua②	bua˥˥	
摩	mo1	mo①	mo˦˥	文
摩	bua5	bua②	bua˥˥	白
朵	to5	to②	to˥˥	
躲	to5	to②	to˥˥	
剁	to5	to②	to˥˥	
妥	tho2	tho③	tʰo˥˧	
惰	tuann6	tuann④	tuã˨˥	訓
墮	tui7	tui⑥	tui˨˨	俗
囉	lo1	lo①	lo˦˥	
騾	lo5	lo②	lo˥˥	
螺	lo5	lo②	lo˥˥	
腡	lo5	lo②	lo˥˥	
裸	lo2	lo③	lo˥˧	
銼	tsho3	tsho⑤	tsʰo˨˩˨	
矬	tsho5	tsho②	tsʰo˥˥	
坐	tso6	tso④	tso˨˥	
坐	tsho4	tsho⑦	tsʰo˨˨	替，裝
座	tso7	tso⑥	tso˨˨	
蓑	so1	so①	so˦˥	
梭	so1	so①	so˦˥	
唆	so1	so①	so˦˥	
鎖	so2	so③	so˥˧	
瑣	so2	so③	so˥˧	
鍋	ue1	ue①	ue˦˥	
過	kua1	kua①	kua˦˥	替
過	ua1	ua①	ua˦˥	替，又
戈	kho1	kho①	kʰo˦˥	
果	kuann2	kuann③	kuã˥˧	文
果	kue2	kue③	kue˥˧	白
裹	ko2	ko③	ko˥˧	
裹	kue2	kue③	kue˥˧	替
過	kue3	kue⑤	kue˨˩˨	
科	khue1	khue①	kʰue˦˥	
棵	kho1	kho①	kʰo˦˥	
顆	kho2	kho③	kʰo˥˧	
課	khue3	khue⑤	kʰue˨˩˨	
訛	ho3	ho⑤	ho˨˩˨	
臥	o3	o⑤	o˨˩˨	
火	ho2	ho③	ho˥˧	文
火	hue2	hue③	hue˥˧	白
夥	hue2	hue③	hue˥˧	
夥	ua6	ua④	ua˨˥	替，多
貨	hue3	hue⑤	hue˨˩˨	
禾	o5	o②	o˨˩˨	
禾	ta5	ta②	ta˥˥	訓
和	hua5	hua②	hua˥˥	文
和	ho5	ho②	ho˥˥	文
和	ho6	ho④	ho˨˥	文
和	hue5	hue②	hue˥˥	白，~尚
禍	hua6	hua④	hua˨˥	
倭	oi2	oi③	oi˥˧	俗
窩	o1	o①	o˦˥	
瘸	khue5	khue②	kʰue˥˥	
靴	hia1	hia①	hia˦˥	
巴	pa1	pa①	pa˦˥	
疤	pa1	pa①	pa˦˥	
芭	pa1	pa①	pa˦˥	
把	pa2	pa③	pa˥˧	文
把	pe2	pe③	pɛ˥˧	白
爸	pa1	pa①	pa˦˥	
爸	pe6	pe④	pɛ˨˥	白
欛	pa3	pa⑤	pa˨˩˨	
壩	pa3	pa⑤	pa˨˩˨	
垻	pa3	pa⑤	pa˨˩˨	
霸	pa3	pa⑤	pa˨˩˨	
怕	phann3	phann⑤	pʰã˨˩˨	
琶	pe5	pe②	pɛ˥˥	
爬	pe5	pe②	pɛ˥˥	
麻	ba5	ba②	ba˥˥	
麻	mua5	mua②	mua˥˥	白
蟆	mo1	mo①	mo˦˥	俗
媽	ma1	ma①	ma˦˥	
媽	ma5	ma②	ma˥˥	
媽	ma2	ma③	ma˥˧	
馬	ma1	ma①	ma˦˥	~虎
馬	ma2	ma③	ma˥˧	文
馬	be2	be③	bɛ˥˧	白
碼	be2	be③	bɛ˥˧	
罵	me7	me⑥	mɛ˨˨	
拿	na2	na③	nã˥˧	
茶	te5	te②	tɛ˥˥	
查	tsa1	tsa①	tsa˦˥	
渣	tsa1	tsa①	tsa˦˥	
詐	tsa3	tsa⑤	tsa˨˩˨	
榨	tsa3	tsa⑤	tsa˨˩˨	
炸	tsa3	tsa⑤	tsa˨˩˨	
叉	tshe1	tshe①	tsʰɛ˦˥	
杈	tshe1	tshe①	tsʰɛ˦˥	
差	tsha1	tsha①	tsʰa˦˥	文
差	tshe1	tshe①	tsʰɛ˦˥	白
岔	tsha1	tsha①	tsʰa˦˥	文
岔	tshe1	tshe①	tsʰɛ˦˥	白
查	tshe5	tshe②	tsʰɛ˥˥	
乍	tsann3	tsann⑤	tsã˨˩˨	
沙	sa1	sa①	sa˦˥	文
沙	sua1	sua①	sua˦˥	白
紗	sa1	sa①	sa˦˥	文
紗	se1	se①	sɛ˦˥	白
砂	sa1	sa①	sa˦˥	
鯊	sua1	sua①	sua˦˥	
嘉	kia1	kia①	kia˦˥	
家	ke1	ke①	kɛ˦˥	
傢	ke1	ke①	kɛ˦˥	
加	kia1	kia①	kia˦˥	文
加	ke1	ke①	kɛ˦˥	白
假	kia2	kia③	kia˥˧	文
假	kiann2	kiann③	kiã˥˧	又
假	ke2	ke③	kɛ˥˧	白
賈	kia2	kia③	kia˥˧	
稼	ke3	ke⑤	kɛ˨˩˨	
價	ke3	ke⑤	kɛ˨˩˨	
架	ke3	ke⑤	kɛ˨˩˨	
駕	ke3	ke⑤	kɛ˨˩˨	
嫁	ke3	ke⑤	kɛ˨˩˨	
牙	ge5	ge②	gɛ˥˥	
芽	ge5	ge②	gɛ˥˥	
衙	ge5	ge②	gɛ˥˥	
雅	ngia2	ngia③	ŋia˥˧	
訝	gia5	gia②	gia˥˥	
霞	hia5	hia②	hia˥˥	文
霞	he5	he②	hɛ˥˥	白
遐	hia5	hia②	hia˥˥	
瑕	hia5	hia②	hia˥˥	
蝦	he5	he②	hɛ˥˥	
下	hia6	hia④	hia˨˥	文
下	he6	he④	hɛ˨˥	白，動詞
下	e6	e④	ɛ˨˥	白，方位
下	e7	e⑥	ɛ˨˨	白，名词
下	ke6	ke④	kɛ˨˥	白，低矮
廈	he7	he⑥	hɛ˨˨	
暇	hia5	hia②	hia˥˥	
夏	he7	he⑥	hɛ˨˨	
丫	a1	a①	a˦˥	
鴉	a1	a①	a˦˥	
啞	e2	e③	ɛ˥˧	
亞	a3	a⑤	a˨˩˨	
亞	a1	a①	a˦˥	又
嗟	tsa1	tsa①	tsa˦˥	
姐	tse2	tse③	tsɛ˥˧	
姐	tsia2	tsia③	tsia˥˧	小~
且	tshiann2	tshiann③	tsʰiã˥˧	
藉	tsia6	tsia④	tsia˨˥	
些	se1	se①	sɛ˦˥	
寫	sia2	sia③	sia˥˧	
瀉	sia3	sia⑤	sia˨˩˨	
卸	sia3	sia⑤	sia˨˩˨	
邪	sia5	sia②	sia˥˥	
斜	sia5	sia②	sia˥˥	文
斜	sia1	sia①	sia˦˥	白
謝	sia7	sia⑥	sia˨˨	文
謝	tsia7	tsia⑥	tsia˨˨	白，姓氏
爹	tia1	tia①	tia˦˥	
遮	tsia1	tsia①	tsia˦˥	
者	tsia2	tsia③	tsia˥˧	
蔗	tsia3	tsia⑤	tsia˨˩˨	
車	tshia1	tshia①	tsʰia˦˥	
扯	tshe2	tshe③	tsʰɛ˥˧	
蛇	tsua5	tsua②	tsua˥˥	
射	sia7	sia⑥	sia˨˨	
奢	tshia1	tshia①	tsʰia˦˥	
捨	sia3	sia⑤	sia˨˩˨	
赦	sia3	sia⑤	sia˨˩˨	
舍	sia3	sia⑤	sia˨˩˨	
社	sia6	sia④	sia˨˥	
惹	jia2	jia③	dzia˥˧	
耶	ia1	ia①	ia˦˥	
椰	ia5	ia②	ia˥˥	
爺	ia5	ia②	ia˥˥	
冶	ia2	ia③	ia˥˧	
也	ia2	ia③	ia˥˧	
野	ia2	ia③	ia˥˧	
夜	me3	me⑤	mɛ̃˨˩˨	俗，又
夜	me5	me②	mɛ̃˥˥	訓“暝”
傻	sa6	sa④	sa˨˥	
耍	sng2	sng③	sŋ˥˧	訓“爽”
瓜	kue1	kue①	kue˦˥	
蝸	o1	o①	o˦˥	俗
蝸	ua1	ua①	ua˦˥	俗，又
寡	kua2	kua③	kua˥˧	
咵	khua1	khua①	kʰua˦˥	
垮	khua1	khua①	kʰua˦˥	
跨	khua1	khua①	kʰua˦˥	
娃	ua1	ua①	ua˦˥	
瓦	ua1	ua①	ua˦˥	文
瓦	hia6	hia④	hia˨˥	白
花	hua1	hua①	hua˦˥	文
花	hue1	hue①	hue˦˥	白
化	hua1	hua①	hua˦˥	替
化	hue3	hue⑤	hue˨˩˨	
華	hua1	hua①	hua˦˥	
華	hua5	hua②	hua˥˥	
划	hua5	hua②	hua˥˥	划算
划	ko3	ko⑤	ko˨˩˨	~船
蛙	ua1	ua①	ua˦˥	
洼	ua1	ua①	ua˦˥	
補	pou2	pou③	pou˥˧	
譜	phou2	phou③	pʰou˥˧	
布	pou3	pou⑤	pou˨˩˨	
佈	pu3	pu⑤	pu˨˩˨	文
佈	pou3	pou⑤	pou˨˩˨	~田
鋪	phou1	phou①	pʰou˦˥	
普	phou2	phou③	pʰou˥˧	
浦	phou2	phou③	pʰou˥˧	
鋪	phou3	phou⑤	pʰou˨˩˨	
怖	pu3	pu⑤	pu˨˩˨	
菩	phu5	phu②	pʰu˥˥	
蒲	phu5	phu②	pʰu˥˥	
脯	pou2	pou③	pou˥˧	
部	pou6	pou④	pou˨˥	
簿	phou6	phou④	pʰou˨˥	
步	pou7	pou⑥	pou˨˨	
捕	pu1	pu①	pu˦˥	
埠	pou1	pou①	pou˦˥	
模	mo1	mo①	mo˦˥	文
模	mo5	mo②	mo˥˥	文，又
模	bou5	bou②	bou˥˥	
暮	mo6	mo④	mo˨˥	
墓	mo6	mo④	mo˨˥	
募	mo6	mo④	mo˨˥	
慕	mo6	mo④	mo˨˥	
都	tou1	tou①	tou˦˥	
都	to1	to①	to˦˥	口語
堵	tu2	tu③	tu˥˧	
賭	tu2	tu③	tu˥˧	
肚	tou2	tou③	tou˥˧	
妒	kou3	kou⑤	kou˨˩˨	俗
土	thou2	thou③	tʰou˥˧	
土	to6	to④	to˨˥	~糞
兔	thou3	thou⑤	tʰou˨˩˨	
途	thu5	thu②	tʰu˥˥	
屠	tou5	tou②	tou˥˥	
圖	thu5	thu②	tʰu˥˥	文
圖	tou5	tou②	tou˥˥	
徒	thu5	thu②	tʰu˥˥	
塗	thu5	thu②	tʰu˥˥	文
塗	tou5	tou②	tou˥˥	
塗	thou5	thou②	tʰou˥˥	白
肚	tou6	tou④	tou˨˥	
杜	tou6	tou④	tou˨˥	
度	tou7	tou⑥	tou˨˨	
渡	tou7	tou⑥	tou˨˨	
鍍	tou7	tou⑥	tou˨˨	
奴	nou5	nou②	nou˥˥	
孥	nong1	nong①	noŋ˦˥	
孥	nou5	nou②	nou˥˥	
努	no3	no⑤	no˨˩˨	
怒	no3	no⑤	nõ˨˩˨	文
怒	lou2	lou③	lou˥˧	白
盧	lou5	lou②	lou˥˥	
爐	lou5	lou②	lou˥˥	
鹵	lou2	lou③	lou˥˧	
鹵	lou6	lou④	lou˨˥	
魯	lu2	lu③	lu˥˧	
櫓	lu2	lu③	lu˥˧	
虜	lu2	lu③	lu˥˧	
露	lou3	lou⑤	lou˨˩˨	
露	lou7	lou⑥	lou˨˨	名詞
路	lou7	lou⑥	lou˨˨	
賂	lu6	lu④	lu˨˥	
租	tsou1	tsou①	tsou˦˥	
祖	tsou2	tsou③	tsou˥˧	
組	tsu1	tsu①	tsu˦˥	
粗	tshou1	tshou①	tsʰou˦˥	
醋	tshou3	tshou⑤	tsʰou˨˩˨	
錯	tsho3	tsho⑤	tsʰo˨˩˨	
措	tshu3	tshu⑤	tsʰu˨˩˨	
厝	tshu3	tshu⑤	tsʰu˨˩˨	替
蘇	sou1	sou①	sou˦˥	
酥	sou1	sou①	sou˦˥	
素	su3	su⑤	su˨˩˨	文
素	sou3	sou⑤	sou˨˩˨	味~
塑	sok4	sok⑦	sok˧˨	俗
塑	suak4	suak⑦	suak˧˨	俗，又
訴	su3	su⑤	su˨˩˨	
辜	ku1	ku①	ku˦˥	文
辜	kou1	kou①	kou˦˥	
孤	kou1	kou①	kou˦˥	
箍	khou1	khou①	kʰou˦˥	
姑	kou1	kou①	kou˦˥	
估	kou2	kou③	kou˥˧	
古	kou2	kou③	kou˥˧	
股	kou2	kou③	kou˥˧	
鼓	kou2	kou③	kou˥˧	
故	ku3	ku⑤	ku˨˩˨	
故	ku7	ku⑥	ku˨˨	訓“舊”
顧	ku3	ku⑤	ku˨˩˨	文
顧	kou3	kou⑤	kou˨˩˨	
固	ku3	ku⑤	ku˨˩˨	
雇	kou3	kou⑤	kou˨˩˨	
枯	kou1	kou①	kou˦˥	
苦	khou2	khou③	kʰou˥˧	
庫	khou3	khou⑤	kʰou˨˩˨	
褲	khou3	khou⑤	kʰou˨˩˨	
梧	ngo5	ngo②	ŋo˥˥	
吾	u5	u②	u˥˥	
吳	gou5	gou②	gou˥˥	
五	u2	u③	u˥˧	文，二一添作~
五	ngou2	ngou③	ŋou˥˧	文
五	ngou6	ngou④	ŋou˨˥	白
午	ngou2	ngou③	ŋou˥˧	文
午	ngou6	ngou④	ŋou˨˥	白，地支
伍	ngou2	ngou③	ŋou˥˧	
悟	ngo6	ngo④	ŋo˨˥	
悟	ngo5	ngo②	ŋo˥˥	又，孫~空
誤	gou7	gou⑥	gou˨˨	
呼	u1	u①	u˦˥	文
呼	hu1	hu①	hu˦˥	文，又
呼	hou1	hou①	hou˦˥	招~
呼	khou1	khou①	kʰou˦˥	白
虎	hu1	hu①	hu˦˥	馬~
虎	hounn2	hounn③	hõu˥˧	
滸	hu2	hu③	hu˥˧	
滸	hur2	hur③	hɯ˥˧	
戽	hou3	hou⑤	hou˨˩˨	
乎	hu1	hu①	hu˦˥	
壺	hu5	hu②	hu˥˥	
胡	hu5	hu②	hu˥˥	文
胡	hou5	hou②	hou˥˥	
胡	ou5	ou②	ou˥˥	白，姓氏
鬍	hou5	hou②	hou˥˥	
狐	hu5	hu②	hu˥˥	文
狐	hou5	hou②	hou˥˥	
湖	ou5	ou②	ou˥˥	
糊	hu5	hu②	hu˥˥	文
糊	kou5	kou②	kou˥˥	白
戶	hou6	hou④	hou˨˥	
滬	hu6	hu④	hu˨˥	
互	hu6	hu④	hu˨˥	文
互	hou7	hou⑥	hou˨˨	
護	hu6	hu④	hu˨˥	
烏	ou1	ou①	ou˦˥	
污	u1	u①	u˦˥	
惡	u3	u⑤	u˨˩˨	
女	ni2	ni③	ni˥˧	文，口語
女	nng2	nng③	nŋ˥˧	
廬	lu5	lu②	lu˥˥	文
廬	lou5	lou②	lou˥˥	~山
驢	lur5	lur②	lɯ˥˥	
呂	lur6	lur④	lɯ˨˥	
侶	lur6	lur④	lɯ˨˥	
旅	li2	li③	li˥˧	
慮	lur6	lur④	lɯ˨˥	
濾	lur6	lur④	lɯ˨˥	
蛆	tsu1	tsu①	tsu˦˥	俗
疽	tsu1	tsu①	tsu˦˥	俗
胥	su1	su①	su˦˥	
絮	su3	su⑤	su˨˩˨	文
絮	tsheu3	tsheu⑤	tsʰɛu˨˩˨	替
徐	sur5	sur②	sɯ˥˥	
徐	tshur5	tshur②	tsʰɯ˥˥	白
序	su6	su④	su˨˥	
緒	su2	su③	su˥˧	
叙	su6	su④	su˨˥	
豬	tur1	tur①	tɯ˦˥	
貯	teu2	teu③	tɛu˥˧	
著	tu3	tu⑤	tu˨˩˨	
褚	su2	su③	su˥˧	
除	tur5	tur②	tɯ˥˥	
儲	thu5	thu②	tʰu˥˥	
苧	teu6	teu④	tɛu˨˥	
箸	tur7	tur⑥	tɯ˨˨	
阻	tso2	tso③	tso˥˧	
初	tsho1	tsho①	tsʰo˦˥	文
初	tsheu1	tsheu①	tsʰɛu˦˥	白
楚	tsho2	tsho③	tsʰo˥˧	
鋤	tsho5	tsho②	tsʰo˥˥	文
鋤	tur5	tur②	tɯ˥˥	~頭
鋤	thur5	thur②	tʰɯ˥˥	~草
疏	so1	so①	so˦˥	文
疏	so3	so⑤	so˨˩˨	文
疏	seu1	seu①	sɛu˦˥	白
蔬	so1	so①	so˦˥	
梳	su1	su①	su˦˥	文
梳	seu1	seu①	sɛu˦˥	白
所	so2	so③	so˥˧	
諸	tsu1	tsu①	tsu˦˥	
煮	tsur2	tsur③	tsɯ˥˧	
處	tshu3	tshu⑤	tsʰu˨˩˨	
處	tshur3	tshur⑤	tsʰɯ˨˩˨	位~
書	tsur1	tsur①	tsɯ˦˥	
舒	su1	su①	su˦˥	文
舒	tshur1	tshur①	tsʰɯ˦˥	白，鋪
鼠	tshur2	tshur③	tsʰɯ˥˧	
暑	su2	su③	su˥˧	
黍	su2	su③	su˥˧	
黍	seu2	siu③	siu˥˧	替
庶	su3	su⑤	su˨˩˨	
恕	su3	su⑤	su˨˩˨	
墅	su2	su③	su˥˧	
薯	tsur5	tsur②	tsɯ˥˥	
