汉字	拼音	IPA	注释		
多	to1	to˧˧			
他	tha1	tʰa˧˧			
舵	tua4	tua˨˥			
拖	thua1	tʰua˧˧			
駝	thoh8	tʰoʔ˥˦			
陀	tho2	tʰo˥˥			
挪	no2	no˥˥			
馱	tho2	tʰo˥˥			
羅	lo2	lo˥˥			
鑼	lo2	lo˥˥			
籮	lo2	lo˥˥	文		
籮	lua2	lua˥˥	白		
蘿	lo2	lo˥˥			
左	tso3	tso˥˩			
佐	tso3	tso˥˩			
做	tso5	tso˨˩˨			
搓	tsho1	tsʰo˧˧			
娑	so1	so˧˧			
歌	ko1	ko˧˧	文		
歌	kua1	kua˧˧	白		
哥	ko1	ko˧˧			
個	ko4	ko˨˥	文		
個	kai2	kai˥˥	訓		
軻	kho1	kʰo˧˧			
柯	kho1	kʰo˧˧	文		
柯	kua1	kua˧˧	白		
可	kho3	kʰo˥˩			
可	khiok7	kʰiok˨	~汗		
坷	kho1	kʰo˧˧			
蛾	ngo2	ŋo˥˥			
鵝	go2	go˥˥			
俄	ngo2	ŋo˥˥			
我	ua3	ua˥˩			
餓	go6	go˨˩			
何	ho2	ho˥˥	文		
何	ua2	ua˥˥	白		
河	ho2	ho˥˥			
荷	ho2	ho˥˥			
荷	o5	o˨˩˨	又		
苛	kho1	kʰo˧˧			
荷	o4	o˨˥			
賀	ho6	ho˨˩			
阿	o1	o˧˧	文		
阿	a1	a˧˧			
茄	kia1	kia˧˧			
茄	kio2	kio˥˥			
枷	ke2	kɛ˥˥			
波	po1	po˧˧			
播	pua5	pua˨˩˨			
簸	pua5	pua˨˩˨			
坡	po1	po˧˧			
玻	po1	po˧˧			
頗	pho3	pʰo˥˩	文		
頗	phuann3	pʰuã˥˩	白		
破	phua5	pʰua˨˩˨			
婆	po2	po˥˥	文		
婆	phua2	pʰua˥˥			
魔	mo1	mo˧˧			
魔	mo2	mo˥˥	又		
磨	bo6	bo˨˩			
磨	bua2	bua˥˥			
摩	mo1	mo˧˧	文		
摩	bua2	bua˥˥	白		
朵	to2	to˥˥			
躲	to2	to˥˥			
剁	to2	to˥˥			
妥	tho3	tʰo˥˩			
惰	tuann4	tuã˨˥	訓		
墮	tui6	tui˨˩	俗		
囉	lo1	lo˧˧			
騾	lo2	lo˥˥			
螺	lo2	lo˥˥			
腡	lo2	lo˥˥			
裸	lo3	lo˥˩			
銼	tsho5	tsʰo˨˩˨			
矬	tsho2	tsʰo˥˥			
坐	tso4	tso˨˥			
座	tso6	tso˨˩			
蓑	so1	so˧˧			
梭	so1	so˧˧			
唆	so1	so˧˧			
鎖	so3	so˥˩			
瑣	so3	so˥˩			
鍋	ue1	ue˧˧			
過	kua1	kua˧˧			
過	ua1	ua˧˧	又		
戈	kho1	kʰo˧˧			
果	kuann3	kuã˥˩	文		
果	kue3	kue˥˩	白		
裹	kue3	kue˥˩			
過	kua5	kua˨˩˨	再~		
過	ko5	ko˨˩˨	再~		
過	kue5	kue˨˩˨	白		
科	khue1	kʰue˧˧			
棵	kho1	kʰo˧˧			
顆	kho3	kʰo˥˩			
課	khue5	kʰue˨˩˨			
訛	ho5	ho˨˩˨			
臥	o5	o˨˩˨			
火	hue3	hue˥˩			
夥	hue3	hue˥˩			
夥	ua4	ua˨˥	多		
貨	hue5	hue˨˩˨			
禾	ta2	ta˥˥	訓		
和	hua2	hua˥˥	文		
和	ho4	ho˨˥	文		
和	hue2	hue˥˥	白，~尚		
禍	hua4	hua˨˥			
倭	oi3	oi˥˩	俗		
窩	o1	o˧˧			
瘸	khue2	kʰue˥˥			
靴	hia1	hia˧˧			
巴	pa1	pa˧˧			
疤	pa1	pa˧˧			
芭	pa1	pa˧˧			
把	pa3	pa˥˩	文		
把	pe3	pɛ˥˩	白		
爸	pa1	pa˧˧			
爸	pe4	pɛ˨˥	白		
欛	pa5	pa˨˩˨			
壩	pa5	pa˨˩˨			
垻	pa5	pa˨˩˨			
霸	pa5	pa˨˩˨			
怕	phann5	pʰã˨˩˨			
琶	pe2	pɛ˥˥			
爬	pe2	pɛ˥˥			
麻	ba2	ba˥˥			
麻	mua2	mua˥˥	白		
蟆	mo1	mo˧˧	俗		
媽	ma1	ma˧˧			
媽	ma2	ma˥˥	又		
媽	ma3	ma˥˩	祖母		
馬	ma1	ma˧˧	~虎		
馬	ma3	ma˥˩	文，~上		
馬	be3	bɛ˥˩	白		
碼	be3	bɛ˥˩			
罵	me6	mɛ˨˩			
拿	na3	na˥˩			
茶	te2	tɛ˥˥			
查	tsa1	tsa˧˧			
渣	tsa1	tsa˧˧			
詐	tsann5	tsã˨˩˨			
榨	tsann5	tsã˨˩˨			
炸	tsann5	tsã˨˩˨			
叉	tshe1	tsʰɛ˧˧			
杈	tshe1	tsʰɛ˧˧			
差	tsha1	tsʰa˧˧	文		
差	tshe1	tsʰɛ˧˧	白		
