tsɿ	1	资姿咨滋
tsɿ	3	雌紫=姊[～妹]纸脂旨指[动词；量词：几～膘]子籽梓[～木树]止趾
tsɿ	5	做翅[翼～：翅膀]指[手～崽：手指头]痣
tsʰɿ	1	摛[伸]差[参～]侈[奢～]
tsʰɿ	2	池=[～塘]慈=[～悲]磁词迟=[～到]持秩=赤=[～脚医生]斥
tsʰɿ	3	紫-此耻址齿
tsʰɿ	5	刺赐次伺
dzɿ	2	池-[～子]瓷糍慈-[～姑]迟-[来～]祠秩-□[打～：带游戏性质的法事，洒水根据水花溅出方向来判别东西丢失方向]
dzɿ	3	是
dzɿ	5	匙-[锁～：钥匙]自字牸[～牛：幼小雌性黄牛]巳[干支]柿-[～花：柿子]侍
sɿ	1	斯撕私师狮尸司丝思
sɿ	2	屎[(1)～痂：排泄和分泌物；渣滓]
sɿ	3	死
sɿ	5	四似寺[(1)]饲士事
tʂʅ	1	鸡知支枝肢栀[黄～槎：黄栀子]只[～有]痴[～呆]之芝[～麻]箕[簸～]机-[缝纫～]织-[～布]
tʂʅ	3	举-[(2)～手]几[～个]
tʂʅ	5	制系[～鞋带]智致至置治志纪-[年～]记-[～倒：记得]继-[拜～]季-[春～]蛰[惊～]炙=[～热]
tʂʅ	7	执汁侄质织=[～女]直=[～接]值[(3)～班]职殖植质
tʂʰʅ	1	欺-[莫～渠]值-[(2)～价：有骨气，不轻易屈就]
tʂʰʅ	3	举-[(1)～起]启-[～發]起
tʂʰʅ	5	契气-[臭～]汽-[～水]泣直-[耿～]值-[(1)～好多钱]
tʂʰʅ	7	尺=[～寸]
dʐʅ	2	脐-[～带]荠[田～：荸荠]奇-[～怪]骑旗棋
dʐʅ	3	徛[站；立]
dʐʅ	5	痔[～疮]忌-[～倒：忌讳]
ʂʅ	1	施[姓]诗湿-[打～]
ʂʅ	3	屎[(2)单说]史使驶始喜-[欢～]
ʂʅ	5	世势誓氏豉[豆～]示视柿=[～子]试寺[(2)]市饰式十-食-[猪～]
ʂʅ	7	湿=[潮～]十=什[～么]拾实失室食=[～品]识适释石=[～榴]
ʐʅ	1	衣-[(2)着～]
ʐʅ	2	时=[～间]
ʐʅ	7	时-[平班～辈]衣-[(1)单说]日=[～曆]
pi	1	屄[阴门]
pi	3	譬比匕
pi	5	蔽[隐～]陛[～下]闭箅[～子]滗[～米汤]
pi	7	蓖[～麻]笔毕必秕[～壳]弼[～马温]逼碧壁=[隔～]
pʰi	1	批=[～准]砒[～霜]披劈=[天打雷～]
pʰi	2	痹[麻～]皮=[～肤]疲=[～倦]脾=[～胃]啤
pʰi	3	彼鄙痞噼
pʰi	5	屁辟[开～]纰[～漏]
pʰi	7	僻
bi	2	皮-[(2)～带]疲-[拖～]脾-[～气]琵枇匹[一～山]
bi	5	弊币毙[枪～]被=[～迫]避庇[包～]备
bi	7	被[～窝]鼻皮-[(1)～～：外皮；皮屑]
