#ɿ			
ts	[1]資姿咨滋茲[2]自字[3]紫姊子梓滓		
tsʰ	[1]差{參～}[2]雌瓷糍慈磁鶿辭詞祠飼柿伺寺嗣[3]此[4]似[5]刺賜次疵		
s	[1]私師獅螄斯廝撕司絲思[2]士仕事[3]史死[5]四肆		
#i			
p	[1]蓖碑悲篦鄙啤[2]被{～迫}避備鼻憊[3]比畀秘髀[5]泌庇痹潷臂匕		
pʰ	[1]披紕[2]皮疲脾琵枇[3]彼[4]卑婢被{棉～}[5]屁譬		
m	[1]咪眯□{塘～～，蜻蜓}[2]昧糜{～子，～爛}眉楣媚寐微未味湄薇[4]美尾[5]沕{潛水}		
f	[1]非飛妃菲霏痱[2]肥吠[3]匪翡扉緋誹[5]廢肺費		
t	[1]啲[2]地		
n	[2]彌尼呢膩妮倪獼[4]爾你		
l	[1]璃痢[2]離{別～，距～}籬梨蜊利厘狸吏漓莉履脷[4]李里{公～}裏{家～}理鯉		
tʃ	[1]知蜘支枝肢梔脂之芝孜孳嗞[2]稚治[3]紙只旨指止趾址[5]智致至置志		
tʃʰ	[1]恣癡嗤黐{～線，發神經}[2]池馳遲持痔恃侍[3]侈恥齒始[5]翅矢		
ȵ	[1]兒{小稱}[2]兒{～童}宜儀誼義二貳而疑[4]耳餌擬議		
ʃ	[1]施屍詩[2]匙{鑰～，湯～}是氏豉示視嗜時蒔[3]眵屎[4]市試		
k	[1]饑頂肌几基幾機譏饑[2]技忌妓[3]己紀杞幾[5]寄記既暨		
kʰ	[2]奇{～怪}岐歧祁鰭其棋期旗麒祈芪[4]企徛		
h	[1]犧欺嬉熙希稀曦熹嘻[3]起喜豈禧[5]戲器棄氣汽		
∅	[1]伊醫衣依[2]移易{容～}夷沂異姨怡頤胰[3]倚椅[4]矣已以[5]意薏		
#u			
p	[2]部簿步[3]補[5]布{藍～}佈{宣～}怖		
pʰ	[1]鋪{床～}[2]葡浮{水浮}[3]脯{胸～，果～}輔譜圃普浦蒲捕埔甫[4]婦{新婦}[5]鋪{店～}		
m	[1]摹模{勞～，～子}巫誣[2]暮慕墓募無務霧戊[4]武舞鵡牡母拇姆侮冇		
f	[1]呼乎夫膚敷孵麩俘[2]付駙赴賦傅符扶芙父腐附負[3]撫苦虎滸府腑俯斧釜[4]婦[5]庫褲戽咐富副		
t	[1]都{首～，全～}冬嘟[2]妒杜度渡鍍[3]堵賭睹		
tʰ	[2]徒屠途塗圖[4]土肚{豬～，～子}[5]吐{～痰}兔		
n	[2]奴怒[4]努		
l	[2]盧爐蘆鸕顱路賂露{顯～,～水}鷺廬鱸璐驢[4]魯櫓虜鹵		
s	[1]蘇酥[5]素訴漱		
tʃ	[1]租[3]祖組[5]做{～工}		
tʃʰ	[1]粗[5]醋措		
ʃ	[3]數{～錢}[5]數{～次，～目}		
k	[1]姑孤鵠辜估咕菇沽[3]古盬牯股鼓蠱[5]故固錮雇顧		
kʰ	[1]箍枯[2]葫		
∅	[1]烏汙嗚鄔鎢[2]胡湖狐壺鬍蝴互護芋糊[4]戶滬		
#y			
n	[2]魚漁[4]女汝		
l	[2]慮濾[4]呂旅縷屢閭櫚侶		
s	[1]鬚需須		
tʃ	[1]豬諸誅蛛株朱硃珠[2]箸住序敘[3]煮主[5]著註注蛀鑄		
tʃʰ	[1]蛆[2]徐除廚櫥[3]取娶褚[4]儲苧杵柱拄駐[5]處{到～，相～}趣		
ȵ	[4]語		
ʃ	[1]書舒輸{賭～，運～}[2]薯殊豎樹{～立，松～}[3]暑鼠黍曙[4]緒[5]絮庶署戍		
k	[1]居車{～馬炮}駒[2]具懼瞿巨俱[3]舉炬[5]據鋸句		
kʰ	[1]樞區驅拘軀趨[2]雛渠[3]矩[4]佢拒距		
h	[1]圩虛噓[2]俞瑜[3]許[5]嶼去{離～，除～}		
∅	[1]於纖于[2]禹如禦余餘譽預豫儒愚虞娛遇寓盂榆逾愉愈喻裕迂茹[3]淤[4]與雨宇羽		
#a			
p	[1]巴吧芭疤笆爸[2]罷壩片[3]靶把{～握，刀～}[5]霸壩{水～}		
pʰ	5[7]葩[2]爬琶杷耙扒[5]怕啪		
m	[1]媽[2]麻{黃～}罵嘛[4]馬碼螞瑪[5]蟆		
f	[1]花[5]化		
t	[1]打{～打}[3]打{擊～}		
tʰ	[1]他它她		
n	[1]□{和}□{疤痕}□{粘}[2]拿娜[3]哪乸[4]那		
l	[1]啦喇{～叭，～嘛}		
tʃ	[1]楂渣抓喳[5]詐榨炸{爆～，油～}乍		
tʃʰ	[1]叉衩杈差{～別}[2]茶搽查[5]岔		
ʃ	[1]沙紗砂鯊莎裟痧[3]耍灑		
k	[1]家{～庭}加痂嘉袈枷伽咖[3]假{真～}賈[5]假{放～}架駕嫁稼價曱{～甴，蟑螂}		
kʰ	[1]卡揢		
ŋ	[2]牙芽衙訝[4]雅瓦{磚～，鋪～}		
h	[1]□{欺負}蝦蛤{蛤蟆}哈{笑～～}[2]廈霞遐下夏暇瑕		
∅	[1]鴉丫椏[3]啞[5]亞啊阿{～哥}		
#ua			
k	[1]瓜呱[3]寡剮[5]掛卦褂		
kʰ	[1]誇垮跨胯挎		
∅	[1]蛙{青～}窪[2]華{中～，姓～}樺畫話嘩		
#ɛ			
pʰ	[1]牌		
m	[1]咩孭{背}□{嗩～}		
f	[2]□{（用槍）射} □咖啡		
t	[1]爹		
n	[2]□{這樣}		
l	[5]罅		
s	[1]些[3]寫[5]卸泄瀉赦		
tʃ	[1]遮[2]謝[3]姐者[5]鷓蔗借		
tʃʰ	[1]車{單～}[2]笡邪斜[3]且扯□{走}		
ʃ	[1]賒餘奢[2]麝蛇射{放～}[3]捨{～得}[4]社[5]舍{宿～}		
kʰ	[2]茄騎		
#iɛ			
ȵ	[3]□{貓膩}[4]惹嘢		
∅	[2]椰爺夜耶[4]也野冶		
#œ			
t	[3]朵{一～}		
ȵ	[5]擩		
h	[1]靴		
#ɔ			
p	[1]波菠玻□{球鞋}[5]簸{～米}播		
pʰ	[1]坡[2]婆菩[3]頗[5]破		
m	[1]魔摩饃摸[2]蘑磨{～刀，石～}		
f	[1]科蝌[3]火{～計}伙{～食}[5]課貨		
t	[1]多哆[2]惰[3]朵{花～}躲[5]墮		
tʰ	[1]拖[2]舵橢駝紽鴕坨馱{～起}馱{～運（貨物）}[3]妥		
n	[1]挼[2]挪糯懦		
l	[1]啰□{屁股}[2]羅鑼籮蘿{菠～，～蔔}騾螺邏腡[4]裸[5]旯		
s	[1]蓑梭唆[3]鎖瑣所		
tʃ	[2]助[3]左佐阻		
tʃʰ	[1]搓初[2]鋤[3]楚礎[4]坐座[5]挫銼錯{寫～，交～}		
ʃ	[1]梳疏蔬[2]傻[3]嗩		
k	[1]歌哥鍋戈[3]果裹[5]旮個過{記～}		
ŋ	[2]蛾鵝俄餓臥娥峨[4]我		
h	[2]荷{薄～，～花}河何賀□{～呐}[3]可[5]坷		
∅	[1]阿{～膠}屙		
#uɔ			
∅	[1]窩渦萵涴蝸撾哦[2]和{～氣，～泥，～聲}禾[4]禍		
ai			
p	[1]掰[2]稗敗[3]擺[5]拜湃		
pʰ	[2]排牌篺徘[5]派		
m	[2]埋賣邁[4]買		
f	[5]塊{一～（石頭）}快筷		
t	[1]呆{書～子}歹[2]大{老～，～夫}[5]戴帶		
tʰ	[1]呔{領帶}[5]態太泰貸汰肽		
n	[4]乃奶氖迺{人名用字}		
s	[1]嘥{浪費}㩄[4]徙[5]賽曬		
l	[1]拉孻{最小的}[2]賴攋瀨籟癩		
tʃ	[1]齋[2]寨[5]債		
tʃʰ	[1]猜釵差{出～}[2]豺柴[4]踩		
ȵ	[3]踩		
k	[1]皆階佳街楷[3]解{～放，姓～，了～，押～}[5]介界芥尬疥屆戒誡		
ŋ	[1]挨{～近}[2]艾涯崖挨{～打}		
h	[1]揩嗨[2]孩諧鞋[4]械懈蟹骸		
∅	[1]埃		
#iai			
∅	[5]□{嚼}		
#uai			
k	[1]乖[3]拐傀[5]怪		
∅	[1]歪[2]懷槐淮壞		
#ɐi			
p	[1]跛[2]弊幣斃陛[5]蔽敝閉		
pʰ	[1]批		
m	[1]□{削東西}[2]迷謎{猜～}[4]米靡美		
t	[1]低[2]逮第遞弟隸[3]底抵{～押}詆邸砥[5]帝蒂諦締		
tʰ	[1]梯銻[2]堤題提蹄啼[3]體睇[5]嚏替涕剃		
l	[2]泥{水～，（糊牆）～子}		
s	[1]西犀荽[4]洗[5]細婿		
l	[2]例厲勵犁黎麗荔[4]禮		
tʃ	[1]擠劑[2]滯[3]崽仔[5]制製祭際濟掣		
tʃ	[1]妻淒棲萋[2]齊臍[5]砌		
ʃ	[1]篩[2]誓逝使{大～}[3]使{好～}駛[5]世勢		
k	[1]雞[5]計繼髻		
k	[1]稽溪奚[3]啟[5]契楔		
n	[2]藝桅危偽魏霓毅巍[4]蟻		
h	[1]閪{女性生殖器}[3]喺[2]系繫係		
∅	[3]矮		
#uɐi			
f	[1]魁		
k	[1]圭閨龜歸矽[2]跪櫃[3]詭軌鬼傀[5]鱖桂季貴瑰		
