#ɿ	
ts	①资姿咨兹滋②姊③紫子梓仔籽⑤自字柠
tsʰ	①差{参～}龇□{液体从孔中喷出}呲{批评：他找我呲了一顿。}②雌瓷慈磁辞词祠次③此跐{蹬～}⑤刺赐次{～序}伺侍
s	①斯厮撕私丝思司③死⑤四肆似祀巳寺嗣饲
#ʅ	
tʂ	①支枝肢栀之芝③纸只{～有}脂旨指止趾址帜⑤至志痣
tʂʰ	①眵②哧{拟声词}③齿⑤翅
ʂ	①施尸尻诗狮师②时③豕屎矢使史驶始虱⑤是氏示视嗜士仕柿事试市恃0匙{钥～}
#ɚ	
Ø	①儿③耳饵尔⑤二贰
#i	
p	①屄②鼻必③蓖彼鄙比秕笔毕逼匕辟⑤蔽闭箅敝弊币毙避痹碧弼璧壁
pʰ	①批丕匹坯②皮疲脾{～气}琵枇啤⑤僻劈癖痞辟{又音}庇脾{～脏}屁
m	①泥{～土}弥眯{笑～～}②迷谜秘③米靡密⑤泌蜜觅眯{～着眼}□{～虫}
t	①低堤提{～东西}②蹄笛狄涤嫡迪的{～确}③底抵的{目～}滴敌蒂{～把}⑤帝弟第递地
tʰ	①梯剃剔②题啼提{～纲儿}③体踢⑤替涕屉嚏
n	①泥{水～}尼②倪呢{～子}逆③你拟⑤腻匿
l	①犁离梨厘狸□{用刀划}②黎篱③礼李里理鲤襄立⑤丽{美～}力例厉励隶栗荔利厣厝痢笠粒蛎
ts	①鸡{驴～}唧{～～，形容人很挑剔并哼哼唧唧的}②嫉疾寂③际挤济剂鲫积迹脊藉籍绩集{～合}辑⑤荠集{赶～}系{～鞋带儿}
tsʰ	①妻栖凄戚②齐脐□{～～人，形容小孩老在人人眼前玩闹很烦人}③七漆□{面朝下栽倒}⑤砌沏□{～出，把一部分东西从整体中分离出}
s	①西②媳席袭③犀洗膝悉熄息锡析玺徙习蜥⑤细席{入～}
tʃ	①知蜘②侄③质秩织职掷执汁□{用锨铲}⑤制裂直值殖植智致稚置治挚□{～人，形容小孩太难看管}
tʃʰ	①痴②池持{主～}迟斥{～山，地名}③耻侈尺吃赤{～脚儿}
ʃ	②实室{教～}适{合～}石拾③食蚀识式适{～合}失湿⑤世势誓逝十食{鸡～}
c	①鸡饥肌几{茶～子}技妓基机讥级屐姬②骑纪{～律}③吉极击激己幾{～个}幾{～何，学科名}急及虮{～子，虱卵}给{供～}⑤计继祭寄冀纪{世～}记忌既季
cʰ	①欺期蹊②祈鳍其棋旗奇骑③启起杞岂乞企给{送～}⑤契气汽泣器弃
ç	①溪熙希稀③喜螬吸⑤戏系{中文～}繫{连～}隙嬉
Ø	①移疑医衣依揖姨{～父}胰{～子，肥皂}②艺{～术}亿夷饴沂日{～头}逆{～向，又音}③以一乙姨已倚椅蚁日{～子}⑤缢忆益易译肄意异义议毅逸疫
#u	
p	①□{用手拨弄}③补不卜哺⑤部簿布怖步埠
pʰ	①扑{～腾}铺{动词}②菩蒲葡□{～噜}③脯谱普浦捕朴仆{～倒}扑{往身上～}⑤瀑铺{名词}
m	①牟{～平，地名}模{～子、劳～}②木{～头}③母亩牡拇某⑤墓暮慕募幕目穆牧沐睦
f	①夫肤麸妇②俘孵{～小鸡}扶芙浮服伏③符府俯甫斧釜辅腐副仆{前～后继}福幅腹⑤附父付赋富负缚覆0袱{包～}
t	①都{首～}督②独毒犊③赌堵肚{猪～子}睹读⑤肚{～子}杜渡度镀妒
tʰ	②徒图途屠突□{～撸，用开水烫}③土吐{动词}突⑤唾{～沫}兔
n	②奴怒③努
l	①炉卢芦漉②庐{～山}□{过～子：坐车坐过～子了}③鲁橹虏卤鹿禄捋{～起袖子}麓录戮蝼{～蛄}辱{耻～}⑤路露陆0辘{轱～}赂{贿～}
ts	①租组③祖阻卒族足{瓶塞}
tsʰ	①粗③猝族{又音}促簇□{直接撞到硬物上而受损：手～了}
s	①苏酥肃②俗⑤诉素塑粟嗉速
tʂ	③烛嘱竹⑤助筑祝
tʂʰ	①初②锄畜③楚础触⑤怵
ʂ	①梳疏蔬②熟{～人}③属淑束数{动词}⑤漱数{名词}
k	①姑孤箍辜②骨{～头}③古估股鼓谷榖穀骨{排～}⑤故固雇顾0蛄{蠦～，爬虫}
kʰ	①枯窟酷③苦哭⑤库裤
x	①呼互忽□{黏、贴或靠近：别老～～着我。}烀{～地瓜}②胡湖狐壶糊蝴③虎浒□{和、与：我～俺妈一堆去赶集。}⑤沪户瓠核{果～}
Ø	①吴蜈梧乌污巫诬屋侮②吴{东～}③五午伍无舞捂武鹉⑤误悟恶{烦～，惹人讨厌}物勿务雾焐杌
#y	
n	③女
l	①驴③吕旅屡缕绿铝履侣⑤虑滤律率{效～}□{～～荡荡}
ts	⑤聚
tsʰ	①蛆趋③取娶⑤趣黢{～黑}
s	①须鬚需②徐③宿{一～}⑤序叙绪絮续0婿{女～}
tʃ	①猪诸株誅蛛朱硃珠③煮拄{～拐}主注{～意}⑤著驻註柱住蛀注{～射}0帚{扫～}
tʃʰ	①椿□{啜泣：～答}②除厨③处{相～}出褚储
ʃ	①书舒枢殊输抒②赎③暑鼠黍署薯叔⑤庶恕竖树术熟{煮～}術述
c	①居车{象棋的棋子}距{老么~远}驹□{管着：他学习不好你得好生～～。}②渠距橘剧局拘③举菊沮鞠莒⑤据锯巨矩拒句具惧俱
cʰ	①区驱躯②渠③屈曲⑤去
ç	①墟虚嘘吁③许吸又音畜{～牧业}蓄{储～}
Ø	①鱼渔淤迂于盂榆②如余儒愚③汝语与乳雨宇禹羽入屿熨{～贴}⑤御誉预豫寓遇芋愈喻裕域育玉欲褥浴
#a	
p	①巴芭疤粑{～～，玉米饼子}扒②爬爸拔③把{一～儿}靶八剥{～皮儿}⑤霸欛坝罢鲅把{刀～儿}
pʰ	①趴□{～猫儿，捉迷藏}②爬钯耙⑤怕帕
m	①妈麻{腿～了}②麻{～绳儿}③麻{～袋}马码抹{～布}⑤骂0蟆{蛤～}
f	②罚伐阀③法发
t	①耷②沓③答搭达打⑤大
tʰ	①他她它③塔獭塌溻踏{～实}
n	①拿②哪{～儿}捺娜纳{出～}③倷{第二人称代词}
l	①拉{～屎}邋{～遢}砬{石头～子}②落{大～，玩扑克牌输了的一种说法}□{～～蔓子，一种植物}腊{～月}③拉{～车}蜡辣□{～忽，形容人丢三落四}⑤落0旯{旮～}
