#注释	永嘉县志，落橙抄
#声调	[1]44[2]31[3]45[4]34[5]52[6]22[7]323[8]212
#a	
p	[1]爸班斑颁扳[2]摆扳{又}版反-[5]拜扮绊{鞋〜}𨧸{𨧸桶〜}[7]百柏伯迫檗
Pʰ	[1]攀[5]破-派盼瓣襻-版[7]拍魄擘-掰
b	[1]排牌𥱼{竹𥱼}爿[6]败办[8]白帛
m	[1]迈{慢行}[2]蛮顽{〜皮}蔓漫[3]妈挽[4]买晚[5]慢-{〜〜走}[6]慢骂卖迈{又}万-[8]陌麦脉陌
f	[1]番翻[3]反[5]泛番{几〜}贩阪㽹{〜心}
v	[2]怀槐淮凡帆顽{开〜笑}还环宦藩烦矾樊繁[4]范犯晚枉-{冤〜}[6]坏或-患饭万换[8]惑获划
t	[1]丹担单眈[3]胆婵□{舐也}[5]带担{挑〜}旦诞[7]答{〜应}搭
tʰ	[1]摊滩坍瘫趿[3]毯坦{〜白}[5]太泰炭叹[7]塔拓榻塌獭
d	[2]谭燂{〜〜暖}谈痰檀坛弹{〜琴}淡拕{枝藤蔓延}䈆[6]大汏坦{平地}但弹蛋[8]踏达
n	[1]奶{乳房、母}[2]难[3]哪那乃挪[4]奶[6]奈难{患难}[8]拿捺
l	[1]拉[2]蓝篮兰拦栏[4]赖览揽榄懒[6]赖-癞滥缆烂[8]腊蜡镴辣
ts	[1]斋[3]斩盏崭[5]炸{油〜}债蘸赞绽[7]眨轧札扎窄摘责箦
tsʰ	[1]差{出〜}差{〜不多}钗搀餐[3]产铲[5]蔡灿[7]插擦察拆㿭策册
dz	[2]惭残[4]赚[6]寨惭{又}站赚{错也}栈[8]炸{〜鱼}泽择宅
s	[1]三山筛栅删珊潸杉衫疝[3]驶-散{松开}伞产-傻[5]晒洒帅撒散{分〜}[7]杀萨栅-
z	[2]柴豺谗馋[4]𩻣[6]寨{立〜}㾹[8]闸煠侧
k	[1]皆阶街乖监{〜视}艰间奸鳏关尬[3]解拐槌铰{〜剪}减硷简裥柬拣涧锏[5]介界芥尬疥疥戒怪拐肴-{〜配}硷鉴监间{〜接}惯[7]夹荚峡甲胛挟{〜茶}括刮格革隔
kʰ	[1]揩宽铅[3]楷筷舰[5]快嵌[7]恰掐阔客
ɡ	[2]茄{番〜}衔[4]擐{驮}[6]馅掼甩{门〜}[8]轧{挤、〜妹头}𠩘
ŋ	[2]摨{研细}涯崖岩颜[4]蚁-眼[6]骇捱雁[8]额𦉟
h	[1]哈[3]蟹喊{呐〜}稴[5]喊㺖{狗叫}匄[7]蛤呷瞎辖赫吓欱{喝}譀{说谎}㾎{低陷}
