#声调	1阴平24 2阳平21 3阴上阳去31 5阴去52 7阴入32 8阳入5
#注释	*训=文-白
#资料来源	《永定县志》，语保永定，《福建省永定凰城客家话研究》
#a	
p	[1]巴芭笆疤[2]背*{～小孩}粑{大便}[3]把[5]坝罢霸
pʰ	[1]扒{～饭}[2]扒爬粑杷琶[3]稗[5]怕帕
m	[1]马码[2]麻嫲{雌性动物}蔴麻[5]骂
f	[1]花[2]划{～算}华[3]画话=[5]化
v	[1]蛙洼[2]哗{喧哗}[3]话-{劝说}
t	[1]爹{祖父}[3]打
tʰ	[1]他=它=她=
n	[1]拿
l	[1]拉[2]逻*{拜访}蜘*[3]搅*{搅拌}[5]靓*{漂亮}
ts	[1]抓渣遮[3]者[5]蔗炸诈{装作}
tsʰ	[1]差叉权车钗[2]查茶搽[3]扯[5]岔
s	[1]沙痧纱砂[2]蛇侪{人}[3]射舍{～得}酒麝[5]舍{宿～}赦
k	[1]家佳嘉加痂豭{蚊~：蚊子}[2]卡{毛～了、发卡}[3]假贾[5]嫁架驾稼价
kʰ	[1]揩[2]卡[5]胯{小孩夹～}
ŋ	[1]丫*{开}[2]牙芽衙颅*{头~：头}[3]雅瓦[5]傻*
x	[1]下{～来}[2]虾霞[3]下{一～}[5]哈{哈气}
0	[1]阿鸦丫[3]哑亚[8]阿{称呼前缀：~哥}
#aʔ	
p	[7]百伯擘{掰}[6]□{～纽，揿纽}
pʰ	[7]泊[8]白{~目：瞎眼}柏
m	[7]脉物{～个、什么}[8]麦拍*{用木棍打：~死你}
f	[7]拨*{拨动、摆动}
v	[5]划*{用棍子拨东西}[8]划{计～}
tʰ	[7]绑*
n	[7]呐*{竭力叫喊}
l	[7]坜{小沟}套*{套下}裂*{必~}[8] 裂*{划开}
ts	[7]砸只摘笮{压}[8]□{折断竹木的象声词}
tsʰ	[7]拆赤尺册[8]栅
s	[7]析*{碎片}[8]石
k	[7]隔格-{~子}[8]隔{～板，即说唱块板用的竹片}
kʰ	[7]客[8]揢{抓}
x	[7]吓[8]核{雄性动物阴囊}颌{~ŋaŋ1：下巴}
0	[7]轭{牛~}扼{~手：握手}
#ɔ̃	
p	[1]帮[3]磅绑榜绑{配饭、下酒：～饭、～酒}[5]谤捧蚌
pʰ	[1]搒*{用手使劲打}[2]旁滂傍[3]傍{倚靠：～势}[5] □{副词～轻}
m	[2]忙芒茫亡[3]望-{希望}枉{姑且、权且；～去一趟}
f	[1]方芳=荒慌[2]防房皇肪妨楻{斛桶}[3]纺晃仿访[5]放=
v	[1]汪[2]王黄[3]望=旺往枉
t	[1]当[2]铛{～锤子}[3]党挡[5]当{典～}
tʰ	[1]汤[2]糖塘唐堂棠[3]躺[5]荡趟荡{打滑}
n	[1]瓤[2]囊囊*{耗时间}[5]浪{～时间}
l	[2]狼郎廊[5]朗浪
ts	[1]张庄章装妆樟桩[3]长{～大}掌[5]涨胀葬仗怅账壮状障
tsʰ	[1]昌仓苍疮丈-[2]长{～短}场床藏{隐～}肠[3]厂像-{相～}藏{西藏}脏{肝～}撞[5]唱倡畅创丈=杖
s	[1]伤霜桑媚商上[2]床-{眠~：床，笼~：蒸笼}常偿[3]上{～下}爽嗓丧晌赏尚
k	[1]刚扛岗纲缸光江钢[3]讲广港[5]钢{～铁}杠降{下降}
kʰ	[1]康糠慷[2]狂[3]霉*{霉米似的臭味}[5]囥{藏}抗矿
ŋ	[1]戇{呆}[2]昂
x	[2]航行{银～}杭[3]巷项上{桌~}项[5]亢{～起：起来}
0	[1]央-{中~心：中间}哦*{打招呼}[3]哦*{打招呼}
#uɔ̃	
kʰ	[1]筐
#ɔʔ	
p	[7]驳{接上}发{～痧、～疮}博剥[8]搏*{用脚踢}
pʰ	[7]拍[8]薄雹
m	[7]膜幕寞[8]莫
f	[7]霍
v	[7]握沃=[8]镬
t	[7]守*{守候}掇{端}[8]剁
tʰ	[7]托拓[8]择-{挑选}
l	[7]络*{找：～食、"～人"为偷汉子}[8]乐落烙骆洛络
ts	[7]桌卓捉作着{着衫}酌斫{砍}
tsʰ	[7]亍{小步：用脚趴拉}给*{无偿给予}镯[8]凿着{～急、～火}着{正确}
s	[7]索{绳子}芍塑[8]杓{~子}勺
k	[7]各郭觉角阁阁*{碰撞}桷{~枋：椽子}
kʰ	[7]扩确壳搉{煎}[8]搉{敲}
ŋ	[7]愕{傻、愕}[8]岳乐{音～}
x	[8]学鹤
0	[7]恶
#ɛ̃	
p	[1]班斑=般搬颁冰崩{~蓬：断崖}[3]板=版扳叛[5]半扮
pʰ	[1]伴攀潘拌{摔打}[2]盘朋[3]办凭{靠}[5]盼襻{纽～}判
m	[1]满*{水～了}满{小~}[2]蛮馒[3]慢漫幔满{~意}㿸
f	[1]番翻欢[2]凡烦帆环[3]范犯泛=唤焕患[5]幻販
v	[1]弯湾[2]还{归还}完玩丸{弹～}[3]挽碗换晚万豌[5]院{医～}
t	[1]担丹单丁灯疔耽钉[3]等胆顶鼎[5]凳旦订
tʰ	[1]厅汀贪淡滩摊听[2]停亭婷潭谈弹{～琴}檀坛廷庭蜓藤[3]定毯坦蛋但弹{子~}挺艇[5]趁{帮忙～手}探炭
n	[1]懒[2]难南宁男能[5]奶
l	[1]冷澜{口水}[2]兰栏篮栏{牛~：牛棚}零灵-{～验}咙{喉~}伶{~俐：干净}蓝凌{~冰：冰}[3]澜烂览揽榄炼*{闪电}
ts	[1]曾增憎争=砧簪僧[3]斩展盏[5]占战站{车～}赞辗{擀}
tsʰ	[1]参[2]缠蚕惭残层[3]惨赚灿产铲栈{客~：旅馆}[5]杉
s	[1]山衫{衣服}三参{人～}删性生={～活}杉珊星腥新{~妇}鳝[2]森[3]闪伞善膳省{～长}散糁{米粒}[5]扇擤
k	[1]斤根跟甘柑监筋巾-羹[3]敢橄减简梗[5]更鑑
kʰ	[1]堪近-勘[2]盖*{罩子}[3]凝*{凝结}垦恳肯[5]坎
ŋ	[1]碰*{碰：～生对死}[2]顽岩颜龈癌银[3]眼韧-[5]乏*{指人乏力，没劲儿}
x	[1]亨很[2]衡衔含函咸闲衔旺*{火旺}痕涵{管道}行=恒{紧}[3]恨陷限苋幸杏[5]憾喊
0	[1]恩庵[3]揞{小石子压脚}[5]暗岸应
#ɛʔ	
p	[7]北八逼拨[8]泼*{用力拂打。大鱼会～人。衫尾～死人}
pʰ	[7]泼迫
m	[7]抹袜脉[8]墨末沫密-
f	[7]发=法[8]罚乏活或
v	[8]滑猾
t	[7]答笪搭得[8]溻{重物下坠}
tʰ	[7]踢塔[8]籴踏达
n	[7]掐*{掐菜，～花}捏*{掐菜，～花}[8]纳抱*{抱：～小孩}
l	[7]艻{刺，名词}癞[8]腊蜡辣□{~tsɛʔ8：脏}
ts	[7]阐札浙哲责折{挽袖子}侧[8]□{lɛʔ8~：脏}
tsʰ	[7]插擦{~菜：腌菜}察策塞-测[8]贼杂撤彻择=泽蚻{黄~：蟑螂}闸
s	[7]色塞=杀涩煞{~把：勤奋}虱[8]舌折{～本}煠{煮}
k	[7]革鸽格=甲䘥{背心}结-{系}[8]□{液体晃荡}
kʰ	[7]克刻乞恰盖*
ŋ	[7]扼
x	[7]翕{热敷}黑[8]合盒狭-核{～对}
0	[7]压鸭押
#ɿ	
ts	[1]资知=之芝支枝肢脂姿咨蜘滋淄撕[3]子纸指止祉趾旨仔姊紫[5]至志致痣制智
tsʰ	[1]痴堆疵初-{年~}[2]磁词饲=瓷糍慈鹚辞池弛驰迟齐={整～}持治{～鸡杀鸭}徐祠[3]自滞饲-{喂饭}字寺[5]次试-刺赐絮{~牙子：刷牙}
s	[1]诗思尸师=狮施斯司丝西须梳-疏-{菜种得疏}[2]时匙齐-{人称复数}[3]史驶使始屎士示市事=视是誓仕氏豉{豆~}死柿莳[5]世势四肆试=
#ia	
p	[2]□{副词，粥很稀烂、～烂}
pʰ	[1]披*{散开，～开来}[5]□{枪声}
m	[1]□{副词～醉、烂醉}
f	[5]洒*{用手洒水}
v	[1]搲{挖}[2]□{叫喊}[3]搲{用手抓物}
tɕ	[1]□{手残废}[3]姐{哀~：祖母或外祖母}[4]借
tɕʰ	[1]□{～姆，亲家母合音}帚*{炊帚}[2]斜畲蛛*擎[3]谢且[5]笡{斜}
ɕ	[1]些[2]邪[3]写[5]泻{～肚}卸
ɲ	[1]惹[5]翘*{翘起}
0	[1]野{形容词}也[2]爷椰椰*{吃芋子麻舌头}[3]夜野{名词}
#iaʔ	
p	[7]壁[8]□{用手掌打人}
pʰ	[7]劈[8]劈
tɕ	[7]迹{位~：位置}脊[8]雀
tɕʰ	[7]刺{～洋毛：织毛衣}剧[8]席屐{屐鞋：木屐}
ɕ	[7]惜{疼爱}锡[8]谑{~号}
ɲ	[7]额{～头}[8]逆
0	
#iɔ̃	
p	[1]枋[5]放-
m	[3]网
l	[1]两={三～}[2]凉良[3]亮两-{～个}谅量
ɲ	[2]娘{夫~子人：已婚妇女}
tɕ	[1]浆将疆僵姜薑缰[3]蒋奖奖[5]酱将{大～}
