#ɿ	
ts	[24]知支枝肢资姿咨芝之吱滋呲㧗{用手指甲抓人}[31]指紫纸子旨止趾址齿仔脂籽稚[51]制致至置志痣治
tsʰ	[24]痴嗤{嗤嗤声；往热锅里加点水}[21]池驰瓷迟慈辞饲词持嗣㓾{拔鸡鸭等毛}茨{茅~：厕所}□{席子等物长的小虫子}[31]此侈耻[51]字翅次痔刺□{~饭：喂饭}
s	[24]撕施私师狮尸司丝思诗俬龇[21]时[31]死屎史使驶匙始[51]世势逝誓氏四示视似祀士仕事市试侍寺柿恃{倚~：指望，指靠}莳
#i	
p	[24]碑蓖陂[31]比髀[51]毙币痹闭弊箅痱□{蒂}
pʰ	[24]批被披丕□{削}[21]皮脾琵枇啤疲□{片}[51]屁鼻备庇
m	[24]尾蚁眯□{抿住嘴}沕{打洽~：潜水}[21]迷眉弥猕[31]米[51]秘泌{把汁滤出}
f	[24]飞非妃□{理发用推子推}[21]肥[51]肺费废
t	[24]低嘀{表示指示作用的叹词}[21]犁梨□{低下头}[31]礼{礼数}理{理会}李抵底[51]痢利{锋利}
tʰ	[24]梯弟[21]题提啼[31]体[51]替地剃屉第递
n	[24]你[21]泥尼仪疑拟[31]女耳语[51]二腻
l	[24]鲤[21]离璃黎狸泪[31]理{~解}礼{~貌}[51]利{~息}莉
tɕ	[24]鸡饥机基箕萁肌挤脐拘车{象棋的一子}居[21]渠{第三人称}[31]几己麂姊枸矩举[51]锯醉聚具纪继句际季计记寄祭济既妓
tɕʰ	[24]蛆区欺徛{立}崎{陡}[21]期棋奇旗祁骑芪蜞麒荠齐[31]启取企[51]气{小~}器汽技剧戏契弃忌觑
ɕ	[24]西圩须熙嬉希稀溪□{眯眼}[31]洗喜起[51]气{生气}细岁系{关系}序叙絮绪熻{稍蒸一下}
Ø	[24]衣依医迂[21]移姨胰渔遗于宇愚余宜娱[31]羽以倚椅已禹与[51]亿毅肄议抑意义谊艺异裕喻芋寓豫易誉御易
#u	
p	[24]□{蹲}晡[31]补[51]布怖□{喷口水}
pʰ	[24]铺潽{溢}簿[21]菩扶蒲瓠葡□{量词，丛、撮}□{焚烧}□{风~：风疹}[31]普谱辅埠餔{鱼~：鱼饼}哺[51]步部
m	[21]模[31]母姆牡[51]幕慕募墓
f	[24]肤俘敷麸呼[21]胡湖符芙狐壶[31]苦虎斧腐府腑浒俯[51]副付傅富裤护赋赴附讣戽
v	[24]乌污[21]吴坞{小坑}梧抚糊[31]舞武[51]务误悟恶雾
t	[24]都嘟[31]赌肚堵[51]妒
tʰ	[24]肚[21]图徒屠途涂[31]土[51]吐兔杜度镀渡
n	[21]奴[31]努[51]怒
