来源：	岳俊丽 2012《晋语沁源县王陶话语音研究》；Hynuza 整理录入
说明：	
#符号说明：-白=文*俗?待考	
#调值	［1］33［3］413［5］35［7］21［8］41
#ʅ	
tʂ	［1］蜘制製［5］智
tʂʰ	［1］池驰
ʂ	［5］逝
#i	
p	［1］陛婆［5］簸{~箕}
pʰ	［1］坡［5］破
m	［1］摩磨魔
t	［1］爹多驮驼［5］大{~的}
tʰ	［3］躺
l	［1］萝锣箩
tɕ	［1］车{~马炮}荷?皆秸街芥届界疥茄械遮［3］姐解［5］介戒借左
tɕʰ	［1］车{汽~}蛇［3］扯且
ɕ	［1］孩射些邪挟［3］挪写［5］系泄泻卸屑谢懈蟹
k	［1］歌
kʰ	［3］可
ŋ	［1］讹蛾我
Ø	［1］爷［3］惹椰也野［5］夜液腋易
#u	
p	［1］葡［3］堡补捕谱［5］抱布步部埠簿
pʰ	［1］菩［3］蒲圃浦普［5］怖舖{~子}
m	［1］毛模谋［3］某母亩拇［5］牧募墓幕慕暮
t	［1］都{首~}［3］堵赌［5］妒杜肚度渡镀
tʰ	［1］图徒涂途屠［3］土吐［5］兔
k	［1］姑孤鸪辜箍锢［3］估古股鼓［5］間敞顾雇
kʰ	［1］枯［3］苦［5］库裤酷
x	［1］夫肤麸孵敷扶芙浮符抚乎呼狐胡壶湖葫糊蝴浒［3］否府斧俯釜辅腑腐虎［5］俘嶇父讣付妇负附咐驸赴副傅富赋互户护沪
Ø	［1］乌污巫无吴梧蜈坞侮鹉戊［3］诬五午伍武舞［5］恶务误悟雾
#y	
t	［3］朵躲［5］剁
tʰ	［5］唾
l	［1］骡［5］摞
tsʰ	［1］趋［3］取
tɕ	［5］坐座
ɕ	［1］梭斜靴［3］和?火伙{~~，表一起}锁［5］货祸
k	［1］锅［3］果{~子}裹［5］过
kʰ	［1］株颗
Ø	［1］窝［5］卧
#ɿ	
p	［1］彼币毙敝弊篦［3］比秕篦瘪［5］备被闭痹蔽避
pʰ	［1］批披皮枇疲琵脾［3］痞［5］庇屁
m	［1］眉弥迷谜糜靡［3］米
nᶻ	［1］尼泥倪霓仪宜疑谊尹?{原文注释：伊？}［3］你拟［5］腻义议
ts	［1］瓷磁讥饥杌肌鸡基稽饑己计济骑支芝枝肢纸志誌兹咨姿资滋［3］几之脂止旨址指趾子姊紫［5］记纪妓技际剂既继冀镜至痣字自
tsʰ	［1］词慈雌寄奇歧［3］此祈岂启［5］翅次刺赐祁企气弃汽器伺□{锈}
s	［1］匙祠辞师诗施狮时示嗜丝司私思斯撕寺希牺溪［3］史使始驶屎死玺［5］尸士氏仕市事视试恃是柿巳四似祀饲嗣肆戏
z	［1］衣医依夷姨移遗易翼蝇赢［3］沂已以蚁椅影［5］亿忆艺异译逸意
ʂ	［5］社麝
tɕ	［1］忌［5］季寂
tɕʰ	［1］缉辑期欺其棋旗麒［3］杞起［5］讫
ɕ	［1］熙［3］喜
#ʮ	
nᶻ	［1］鱼渔［3］女
ts	［1］居拘驸矩巨俱惧距渠梳帚朱诛株珠诸猪狲蛛铸［3］举主拄煮［5］句拒具剧据锯聚住注驻柱著蛀注
tsʰ	［1］除厨橱褚瞿区驱蛆［5］处去趣
s	［1］锄书枢殊舒输蔬戍荽穗兄须需鬚［3］储暑黍署鼠蜀薯数{~一~}粟属［5］树竖
z	［1］如儒慰淤余於馀与郁预欲［3］给{~你}语［5］玉浴誉豫
ɕ	［1］虚墟徐序叙绪［3］许［5］絮
Ø	［1］迂于盂娱愉逾愚榆芋寓裕［3］宇羽雨禹［5］餵喻遇
#a	
p	［1］巴芭疤笆爬耙［3］把［5］坝爸罢霸蚌棒
pʰ	［1］杷琶［5］怕
m	［1］麻蟆馒盲茫氓虻馍蚌［3］马码［5］骂
t	［3］打
tʰ	［1］他它
l	［1］拉哪
ts	［1］搽渣楂眨诈栅炸榨［3］钗乍
tsʰ	［1］叉杈查岔差{~別}［5］茶差{~错}
s	［1］沙纱莎［3］撒洒［5］萨
tʂ	［1］睁
ʂ	［1］赊生甥［3］舍
kʰ	［3］卡
x	［1］哈［5］下吓夏嚇
Ø	［1］阿
#ia	
ȵ	［1］压押牙芽衙
tɕ	［1］加佳家痂嘉［3］贾假［5］傢价驾架嫁稼
tɕʰ	［5］洽
ɕ	［1］虾侠辖霞［5］杏
