繁体	简体	声母	韵母	聲調	拼音无调	拼音	IPA	备注		
阿	阿	x	aa	1h	aa	aa1h	a⁵⁵	~哥。		
阿	阿	x	o	1h	o	o1h	ɔ⁵⁵	~胶。		
哀	哀	x	aai	1h	aai	aai1h	ai⁵⁵			
埃	埃	x	aai	1h	aai	aai1h	ai⁵⁵			
挨	挨	x	aai	1h	aai	aai1h	ai⁵⁵	~住。		
捱	捱	ng	aai	2	ngaai	ngaai2	ŋai²¹			
矮	矮	x	aai	3	aai	aai3	ai¹¹			
藹	蔼	x	ui	6	ui	ui6	ui³²			
艾	艾	ng	aai	5	ngaai	ngaai5	ŋai²⁴			
硋	硋	ng	ui	6	ngui	ngui6	ŋui³²			
隘	隘	x	ai	5	ai	ai5	ɐi²⁴			
愛	爱	x	ui	5	ui	ui5	ui²⁴			
礙	碍	ng	ui	6	ngui	ngui6	ŋui³²			
安	安	w	un	2	wun	wun2	wun²¹			
庵	庵	x	aang	1h	aang	aang1h	aŋ⁵⁵			
鞌	鞌	w	un	1h	wun	wun1h	wun⁵⁵			
揞	揞	ng	ang	3	ngang	ngang3	ŋɐŋ¹¹	~住。		
岸	岸	w	un	5	wun	wun5	wun²⁴			
按	按	w	un	5	wun	wun5	wun²⁴			
案	案	w	un	5	wun	wun5	wun²⁴			
暗	暗	x	aang	5	aang	aang5	aŋ²⁴			
骯	骯	x	ong	1h	ong	ong1h	ɔŋ⁵⁵			
昂	昂	ng	ong	2	ngong	ngong2	ŋɔŋ²¹			
熬	熬	ng	ou	2	ngou	ngou2	ŋou²¹			
襖	袄	x	ou	1	ou	ou1	ou³⁵			
坳	坳	x	aau	5	aau	aau5	au²⁴			
傲	傲	ng	ou	6	ngou	ngou6	ŋou³²			
奧	奥	x	ou	1	ou	ou1	ou³⁵			
懊	懊	x	ou	1	ou	ou1	ou³⁵			
八	八	b	ae	1	bae	bae1	pæ³⁵			
巴	巴	b	aa	1h	baa	baa1h	pa⁵⁵			
芭	芭	b	aa	1h	baa	baa1h	pa⁵⁵			
疤	疤	b	aa	1h	baa	baa1h	pa⁵⁵			
拔	拔	b	aeq	8	baeq	baeq8	pæʔ²¹¹			
把	把	b	aa	3	baa	baa3	pa¹¹	~手。		
爸	爸	b	aa	1h	baa	baa1h	pa⁵⁵			
爸	爸	b	aa	1	baa	baa1	pa³⁵			
垻	坝	b	aa	5	baa	baa5	pa²⁴	平川。		
罷	罢	b	aa	6	baa	baa6	pa³²			
霸	霸	b	aa	5	baa	baa5	pa²⁴			
壩	坝	b	aa	5	baa	baa5	pa²⁴			
欛	欛	b	aa	5	baa	baa5	pa²⁴	柄。		
白	白	b	aeq	8	baeq	baeq8	pæʔ²¹¹			
百	百	b	ae	1	bae	bae1	pæ³⁵			
柏	柏	b	ae	1	bae	bae1	pæ³⁵			
捭	捭	p	aai	3	paai	paai3	pʰai¹¹			
擺	摆	b	aai	3	baai	baai3	pai¹¹			
拜	拜	p	aai	5	paai	paai5	pʰai²⁴			
敗	败	b	aai	6	baai	baai6	pai³²			
稗	稗	b	ai	6	bai	bai6	pɐi³²			
扳	扳	b	aeng	2	baeng	baeng2	pæŋ²¹			
班	班	b	aeng	1h	baeng	baeng1h	pæŋ⁵⁵			
般	般	b	un	1	bun	bun1	pun³⁵			
般	般	b	un	1h	bun	bun1h	pun⁵⁵			
斑	斑	b	aeng	1h	baeng	baeng1h	pæŋ⁵⁵			
搬	搬	b	un	1	bun	bun1	pun³⁵			
搬	搬	b	un	1h	bun	bun1h	pun⁵⁵			
頒	颁	b	aeng	1h	baeng	baeng1h	pæŋ⁵⁵			
辬	辬	b	aeng	1h	baeng	baeng1h	pæŋ⁵⁵			
板	板	b	aeng	3	baeng	baeng3	pæŋ¹¹			
版	版	b	aeng	3	baeng	baeng3	pæŋ¹¹			
半	半	b	un	5	bun	bun5	pun²⁴			
伴	伴	p	un	3	pun	pun3	pʰun¹¹			
