来源：	sainirwuu 整理录入
说明：	代表城关音系。
#符号说明：	-白=文*俗?待考r儿化
#调值	［1］213［2］33［3］213［5］53［7］3
#i
p	［3］比彼秕俾鄙［5］备被币闭陛毙婢敝蓖弊箅蔽篦避
pʰ	［1］庇痹丕批坯披疲邳脾譬［2］砒{～信：砒霜}皮枇琵痞啤铍［3］毗圮蝙{夜～蝠儿：蝙蝠}蚍［5］屁
m	［2］眉楣弥迷={～信}谜=糜靡明-{黏～：以后很长时间}［3］米每-{～番价：过去}［5］迷{～糊，脑～}劘{代字，拿刀捅}
t	［1］低堤［3］底抵［5］地弟帝递第
tʰ	［1］梯［2］啼提题蹄屉［3］体［5］剃涕替
n	［2］尼泥倪［3］你{第二人称单数}［5］腻泥{～匙子：一种农具，栽秧子时候用}
l	［1］哩{嗬～倒楞：拟声词。形容动静很大}［2］厘梨狸离犁璃黎篱［3］礼李锂里理鲤［5］厉吏丽利励例隶荔栗痢离{松动}
tɕ	［1］讥饥机肌鸡屐基稽［3］几己挤［5］计记纪妓忌技际剂季既济继寄祭冀系{～安全带}荠
tɕʰ	［1］妻栖期欺凄［2］祁齐其奇脐畦骑棋旗鳍葵-{大蜀～：蜀葵花}情-{尽管}［3］祈企岂启杞起［5］气弃汽契砌器
ɕ	［1］兮西希奚牺犀稀溪熙嬉徙［2］嬆{代字。可～：形容人长得好看}［3］玺洗喜携［5］系{联～}戏细婿
k	［3］给{～东西}［5］给{句尾做补语}
Ø	［1］衣{～裳}医依［2］伊仪夷沂宜遗饴姨移疑谊营-{务～：抚养、经营}［3］已以矣蚁倚椅尾-{～棹：船尾的棹}委-{～付：委托}影-{～住：遮住}［5］义亿刈忆艺议异易意缢肄毅翼衣{生～：生锈}映-{～影影：用镜子反光}应-{当……时候。～你来了：当你来时候}
#u
p	［3］堡补捕［5］布步怖部埠簿
pʰ	［1］铺{～盖}浦剖［2］脯{～心股：胸口}菩蒲［3］普谱［5］铺{饭～：饭馆}
m	［2］摹模谋毛猫茅矛=［3］某母亩牡拇=铆峁［5］牧募墓=幕慕暮务-{～住：作为目标}
f	［1］夫麸跗孵［2］肤敷扶芙俘苻蜉浮符妇{媳～}傅{师～}［3］抚甫否府斧俯釜脯{果～}辅腑腐［5］父讣付妇负附阜赴副傅{姓}富赋
v	［1］乌污［2］无吴梧悟{孙～空}蜈如-{～今：现在}［3］五午伍武侮鹉舞吾［5］恶巫诬坞务=戊误悟{～性}雾邬
t	［1］都［3］堵赌肚{胃}［5］妒杜肚度渡镀踱
tʰ	［2］图徒涂途屠［3］土吐［5］兔□{把人激怒}
l	［2］芦{葫～}［5］𡀔{代字。忽～：“糊”的分音词。糊涂之意}
ts	［1］租［3］阻组祖
tsʰ	［1］粗［2］觑-{～价：看望}［5］醋凑-{～红火}
s	［1］苏酥［5］漱诉素嗉塑粟
tʂ	［1］帚朱诛株珠诸猪珠蛛［3］主拄煮［5］住助注驻柱著蛀铸箸
tʂʰ	［1］初［2］除厨锄雏橱［3］杵础储楚褚处{～理}［5］处{～所}除{代字：擦掉}
ʂ	［1］书枢殊梳疏舒输蔬［3］暑黍署鼠薯数［5］戍树竖恕庶数
ʐ	［1］擩{～手：伸手}［2］茹如=［3］儒汝乳孺蠕{～动}［5］擩{～嘛撒圪捣：贬义词，形容棍状物阻挡视线或者拦路的样子}蠕{圪～圪～：虫子爬的样子}
k	［1］估姑孤箍锅{又读。老牛驮沙～：蜗牛}［3］古股牯鼓［5］固故顾雇
kʰ	［1］枯［3］苦［5］库裤
x	［1］呼乎糊{～上：沾上}［2］狐斛煳胡壶湖葫糊蝴瓠［3］琥虎浒唬{诈～}［5］互户护沪糊{～脑怂：骂人脑子糊了}
#y
n	［1］女
l	［2］驴闾［3］吕旅屡缕履铝［5］滤虑=
tɕ	［1］车{～马炮}居拘驹［3］举咀={～嚼}咀-{黄反～，地名}［5］句巨拒具剧惧据距锯聚矩俱
tɕʰ	［1］区驱蛆樗［2］瞿渠［3］趋取娶［5］去=趣觑=曲{～峪，地名。系临县曲峪镇口音读“曲峪”的合音，明代临县曲峪的一支移民迁来此地，仍名“曲峪”，连同读音一并带入}
ɕ	［1］虚嘘墟［2］随-{～当：立即}隋-{～炀帝}须需徐［3］许［5］序叙绪续絮
Ø	［2］迂淤于余舁{二人抬}於盂鱼渔娱愉=逾愚榆虞芋［3］与宇羽雨禹语峪{大～，地名}［5］娱-愉-玉吁预喻寓御遇愈誉
#ɿ
ts	［1］脂之支芝枝肢栀兹姿籽资滋［3］子姊梓紫止只{～有}址纸趾指=［5］至志痣字自牸制
