#a				
p	[1]巴{～結}芭疤[2]杷{枇～}[3]飽霸[5]罷爸百			
pʰ	[5]拍			
b	[2]麻			
t	[1]焦{幹，與濕相對}			
tʰ	[1]疊{壘，～磚}[5]塔踏			
l	[1]拉{～琴，～關係}獵{打～}[5]臘{～肉}蠟			
ts	[1]鋤閘{～口}楂{山～}查[3]詐{～騙}榨{～油}炸早			
tsʰ	[1]叉[2]柴[3]炒吵[5]插			
s	[5]撒薩			
k	[1]胛膠佳加嘉傢{～具}駕{～駛}[3]假{放～}[5]甲{～天下，裝～}咬尬教{～書}			
kʰ	[1]骹{腳}[5]揩敲□{扔}			
ɡ	[3]雅			
h	[2]轄{直～市}霞[5]夏{～至}下{～降}夏{～天}			
∅	[1]匣盒丫[5]鴨亞壓押{～嫁妝，畫押}也			
#ə				
p	[1]缽波菠玻薄[2]婆[3]保{擔～}寶堡{雕～}[5]報薄{～荷}			
pʰ	[1]坡頗[5]粕抱□{～小雞}			
b	[2]無[5]冒帽			
t	[1]刀[3]倒{樹～了}躺{訓}[5]倒{～水}桌			
tʰ	[2]桃萄[3]討[5]套			
l	[1]賂[2]濁鑼羅啰算裸[3]腦惱{～火}			
ts	[1]鍘[2]槽{鑿～}[3]棗[5]造			
tsʰ	[1]措差{～不多}[5]錯{～雜}			
s	[1]蓑梭{織布～}唆鐲[3]鎖嫂[5]索{繩}			
k	[1]鍋膏糕[3]稿梗{莖，菜～}[5]告			
kʰ	[1]可科[3]渚{稠，粥太～}[5]課			
h	[2]荷{～葉}河毫何和[3]好{～壞}[5]號{取名字；呼～，～數}			
∅	[1]歐甌{建～}			
#e				
p	[1]鱉飛{動詞}壩垻[2]賠耙{梨～}飩爬蟆{蝦～}[3]尾把{一～柴}[5]蔽{隱～}弊{舞～}幣斃			
pʰ	[2]皮[5]被{被子}			
b	[3]碼馬			
t	[2]堤茶[3]蛻[5]塊帝蒂第袋			
tʰ	[1]馱{拿，馱起來}□{拿}[2]提{～藍子，～出}[3]體[5]替退褪			
l	[2]璃黎螺{～螄}膈[3]禮[5]例勵麗隸吏{奴～}			
