聲	呼	等	韻	調	組	攝	單字	多音	罕度	檢	原註	新註	聲母	韻母	聲調	次 聲母	次 韻母	次 聲調	分韻(1782)	英華(1856)	分部(1914)	道漢(1939)	穗書	穗習	IPA 聲母	IPA 韻母	IPA 聲調
並	開	一	歌	上	幫	果	爸	#REF!	0	0			b	aa	1				-	baa1	baa1	baa1	baa1		p	a	55
幫	開	二	麻	平	幫	假	巴	0	0	0			b	aa	1				baa1	baa1	baa1	baa1	baa1		p	a	55
幫	開	二	麻	平	幫	假	笆	0	1	0			b	aa	1				-	baa1	-	baa1	baa1		p	a	55
幫	開	二	麻	平	幫	假	芭	0	1	0			b	aa	1				baa1	baa1	baa1	baa1	baa1		p	a	55
滂	開	二	麻	平	幫	假	吧	0	0	1	酒吧		b	aa	1				-	baa1	-	baa1	baa1		p	a	55
-	-	-	-	-	-	-	疤	0	0	0			b	aa	1				baa1	baa1	baa1	baa1	baa1		p	a	55
-	-	-	-	-	-	-	粑	0	2	0			b	aa	1				-	-	-	-	baa1		p	a	55
-	-	-	-	-	-	-	峇	0	3	0			b	aa	1				-	-	-	-	baa1		p	a	55
-	-	-	-	-	-	-	叭	0	1	0			b	aa	1				-	-	-	baa1	baa1		p	a	55
幫	開	二	麻	上	幫	假	把	0	0	0			b	aa	2				paa4	baa2	baa2	baa2	baa2		p	a	35
幫	開	二	麻	去	幫	假	靶	0	1	0			b	aa	2				baa3	baa3	baa2	baa2	baa3	baa2	p	a	35
幫	開	二	麻	去	幫	假	霸	0	0	0			b	aa	3				baa3	baa3	baa3	baa3	baa3		p	a	33
							伯	0	0	1	春秋五伯		b	aa	3				baa3	baa3			baa3		p	a	33
-	-	-	-	-	-	-	壩	0	0	0			b	aa	3				baa3	baa3	baa3	baa3	baa3		p	a	33
並	開	一	歌	上	幫	果	爸	0	0	0			b	aa	4				-	baa1	baa1	baa1	baa1		p	a	21
並	開	三	支B	平	幫	止	罷	0	0	0			b	aa	6				pi4	baa6	baa6	pei4	baa6		p	a	32
							吧	0	0	1	語助詞		b	aa	6								baa6		p	a	32
幫	開	三	支B	平	幫	止	襬	0	0	0			b	aai	2				-	-	-	baai2	baai2		p	ai	35
幫	開	二	佳	上	幫	蟹	擺	0	0	0			b	aai	2				baai2	baai2	baai2	baai2	baai2		p	ai	35
幫	開	二	皆	去	幫	蟹	拜	0	0	0			b	aai	3				baai3	baai3	baai3	baai3	baai3		p	ai	33
滂	開	二	皆	去	幫	蟹	湃	0	1	0			b	aai	3				-	baai3	-	baai3	baai3		p	ai	33
並	開	二	夬	去	幫	蟹	敗	0	0	0			b	aai	6				baai6	baai6	baai6	baai6	baai6		p	ai	32
並	合	三	文	平	幫	臻	頒	0	1	0			b	aan	1				baan1	baan1	-	baan1	baan1		p	an	55
