單字	粵拼	聲母_定	韻母_定	聲調_定	IPA	聲母_定	韻母_定	聲調_定	備註
阿			aa	1		ʔ	a	23	阿文
啊			aa	1		ʔ	a	23	
唉			aai	2		ʔ	ai	45	
欸			aai	2		ʔ	ai	45	
哎			aai	2		ʔ	ai	45	
霸		b	aa	1		p	a	23	
壩		b	aa	1		p	a	23	
峇		b	aa	1		p	a	23	
伯		b	aa	1		p	a	23	春秋五伯
巴		b	aa	2		p	a	45	
芭		b	aa	2		p	a	45	
笆		b	aa	2		p	a	45	
靶		b	aa	2		p	a	45	
把		b	aa	2		p	a	45	
疤		b	aa	2		p	a	45	
粑		b	aa	2		p	a	45	
爸		b	aa	5		p	a	21	
罷		b	aa	6		p	a	32	
罢		b	aa	6		p	a	32	
吧		b	aa	6		p	a	32	
拜		b	aai	1		p	ai	23	
湃		b	aai	1		p	ai	23	
襬		b	aai	2		p	ai	45	
擺		b	aai	2		p	ai	45	
摆		b	aai	2		p	ai	45	
敗		b	aai	6		p	ai	32	
败		b	aai	6		p	ai	32	
頒		b	aan	1		p	an	23	
班		b	aan	1		p	an	23	
斑		b	aan	1		p	an	23	
阪		b	aan	2		p	an	45	
板		b	aan	2		p	an	45	
版		b	aan	2		p	an	45	
粄		b	aan	2		p	an	45	
闆		b	aan	2		p	an	45	
扮		b	aan	6		p	an	32	
辦		b	aan	6		p	an	32	
八		b	aat	7A		p	at	45	八卦
褒		b	aau	1		p	au	23	
報		b	aau	1		p	au	23	
煲		b	aau	1		p	au	23	
保		b	aau	2		p	au	45	
葆		b	aau	2		p	au	45	
堡		b	aau	2		p	au	45	
褓		b	aau	2		p	au	45	
寶		b	aau	2		p	au	45	
煲		b	aau	5		p	au	21	煲仔，變調
暴		b	aau	6		p	au	32	凶暴
伯		b	ak	8		p	ɐk	32	
白		b	ak	8		p	ɐk	32	
帛		b	ak	8		p	ɐk	32	
蔔		b	ak	8		p	ɐk	32	
卜		b	ak	8		p	ɐk	32	萝卜
伯		b	ak	9		p	ɐk	21	阿伯
北		b	ak	7A		p	ɐk	45	
百		b	ak	7A		p	ɐk	45	百厭
百		b	ak	7B		p	ɐk	23	一百
伯		b	ak	7B		p	ɐk	23	伯爺
乓		b	am	1		p	ɐm	23	
賓		b	an	1		p	ɐn	23	
濱		b	an	1		p	ɐn	23	
檳		b	an	1		p	ɐn	23	
鬢		b	an	1		p	ɐn	23	
臏		b	an	1		p	ɐn	23	
繽		b	an	1		p	ɐn	23	
彬		b	an	1		p	ɐn	23	
奔		b	an	1		p	ɐn	23	
稟		b	an	2		p	ɐn	45	
品		b	an	2		p	ɐn	45	
鬢		b	an	6		p	ɐn	32	
笨		b	an	6		p	ɐn	32	
繃		b	ang	1		p	ɐŋ	23	繃帶
崩		b	ang	1		p	ɐŋ	23	
蹦		b	ang	2		p	ɐŋ	45	
拔		b	at	8		p	ɐt	32	
跋		b	at	8		p	ɐt	32	
畢		b	at	7A		p	ɐt	45	
筆		b	at	7A		p	ɐt	45	
不		b	at	7A		p	ɐt	45	
