單字	聲紐	攝	韻部	呼	等	聲調	組	(斗山墟) 聲母	(斗山墟) 韻母	(斗山墟) 聲調號	(斗山墟) 聲調名	IPA	備註						
啊	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		aa	1(3)		(ʔ)a³³							
阿									aa	1(3)		(ʔ)a³³							
哎	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		aai	1(3)		(ʔ)ai³³							
哎									aai	2		(ʔ)ai⁵⁵							
唉	影	蟹	咍	開	一	平	影		aai	1(3)		(ʔ)ai³³							
埃	影	蟹	咍	開	一	平	影		aai	1(3)		(ʔ)ai³³							
挨	影	蟹	皆	開	二	上	影	ng	aai	4		ŋai²²							
捱	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	ng	aai	4		ŋai²²	『捱』同『挨』。						
癌	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	ng	aam	4		ŋam²²							
矮	影	蟹	佳	開	二	上	影		aai	2		(ʔ)ai⁵⁵							
愛	影	蟹	咍	開	一	去	影		uoi	1(3)		(ʔ)uɔi³³							
礙	疑	蟹	咍	開	一	去	見	ng	uoi	5(6)		ŋuɔi¹¹							
艾	疑	蟹	泰	開	一	去	見	ng	aai	5(6)		ŋai¹¹							
安	影	山	寒	開	一	平	影		uon	1(3)		(ʔ)uɔn³³							
庵	影	咸	覃	開	一	平	影		aam	1(3)		(ʔ)am³³							
諳	影	咸	覃	開	一	平	影		aam	1(3)		(ʔ)am³³							
鞍	影	山	寒	開	一	平	影		uon	1(3)		(ʔ)uɔn³³							
鵪	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		aam	1(3)		(ʔ)am³³	鵪鶉(ʔ)am³³ sun¹¹⁵						
岸	疑	山	寒	開	一	去	見	ng	uon	5(6)		ŋuɔn¹¹							
按	影	山	寒	開	一	去	影		uon	1(3)		(ʔ)uɔn³³							
暗	影	咸	覃	開	一	去	影		aam	2		(ʔ)am⁵⁵							
案	影	山	寒	開	一	去	影		uon	1(3)		(ʔ)uɔn³³							
黯	影	咸	咸	開	二	平	影												
黯	影	咸	咸	開	二	上	影		aam	2		(ʔ)am⁵⁵							
凹	影	咸	咸	開	二	入	影	n	ep	8		nɛp³	訓讀，本字不明。下陰入。						
凹									aau	5(6)		(ʔ)au¹¹	地名用詞。						
傲	疑	效	豪	開	一	去	見	ng	ou	5(6)		ŋɔu¹¹							
奧	影	效	豪	開	一	去	影		ou	1(3)		(ʔ)ɔu³³							
懊	影	效	豪	開	一	上	影												
懊	影	效	豪	開	一	去	影		ou	1(3)		(ʔ)ɔu³³							
澳	影	效	豪	開	一	去	影		ou	1(3)		(ʔ)ɔu³³	澳門讀(ʔ)ɔŋ³³ muɔn²²⁵						
吧	滂	假	麻	開	二	平	幫	b	aa	1(3)		pa³³							
八	幫	山	山	開	二	入	幫	b	aat	8		pat³							
八								b	aat	7		pat⁵	八珍、八角、八卦						
叭	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	b	aa	2		pa⁵⁵	喇叭la³³ pa⁵⁵						
巴	幫	假	麻	開	二	平	幫	b	aa	1(3)		pa³³							
巴	幫	假	麻	開	二	平	幫	b	aa	2		pa⁵⁵	巴士pa⁵⁵ si¹¹⁵						
扒								p	aa	4		pʰa²²	扒飯，扒手						
捌	幫	山	山	開	二	入	幫	b	aat	8		pat³							
疤	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	b	aa	1(3)		pa³³							
笆	幫	假	麻	開	二	平	幫	b	aa	1(3)		pa³³							
粑	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A												
芭	幫	假	麻	開	二	平	幫	b	aa	1(3)		pa³³							
拔	並	山	元	合	三	入	幫	b	aat	9		pat¹							
拔								b	et	9		pɛt¹	象拔						
跋	並	山	寒	開	一	入	幫	b	aat	9		pat¹							
把	幫	假	麻	開	二	上	幫	b	aa	2		pa⁵⁵							
靶	幫	假	麻	開	二	去	幫	b	aa	1(3)		pa³³							
壩	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	b	aa	1(3)		pa³³							
爸	並	果	歌	開	一	上	幫	b	aa	2		pa⁵⁵							
罷	並	止	支B	開	三	平	幫	b	aa	5(6)		pa¹¹							
霸	幫	假	麻	開	二	去	幫	b	aa	1(3)		pa³³							
白	並	梗	庚	開	二	入	幫	b	aak	9		pak¹							
佰	明	梗	庚	開	二	入	幫	b	aak	8		pak³							
擺	幫	蟹	佳	開	二	上	幫	b	aai	2		pai⁵⁵							
百	幫	梗	庚	開	二	入	幫	b	aak	8		pak³							
百								b	aak	7		pak⁵	百家姓						
襬	幫	止	支B	開	三	平	幫												
拜	幫	蟹	皆	開	二	去	幫	b	aai	1(3)		pai³³							
