正體	簡體	聲母	韻母	聲調	詞例	声母音标	韵母音标	調值
吖	吖	ng	a	1		ŋ	a	21
阿	阿		u	1	阿膠		ʊ	21
阿	阿		ah	7	阿哥		aʔ	4
錒	锕	ng	a	1		ŋ	a	21
嗄	嗄	sh	a	5	聲音嘶啞	ʂ	a	44
啊	啊		a	0	語氣詞		a	
哎	哎	ng	ae	0		ŋ	ɛ	
哀	哀	ng	ae	1		ŋ	ɛ	21
埃	埃	ng	ae	1		ŋ	ɛ	21
挨	挨	ng	ae	1	挨近	ŋ	ɛ	21
捱	挨	ng	ae	2	捱餓，捱打	ŋ	ɛ	24
唉	唉		ae	1	語氣詞		ɛ	21
唉	唉	ng	ae	1	唉聲歎氣	ŋ	ɛ	21
鎄	锿	ng	ae	1		ŋ	ɛ	21
皚	皑	ng	ae	2		ŋ	ɛ	24
癌	癌	ng	aen	2		ŋ	ɛ̃	24
毐	毐	ng	ae	3		ŋ	ɛ	31
噯	嗳	ng	ae	5		ŋ	ɛ	44
矮	矮	ng	ae	3		ŋ	ɛ	31
藹	蔼	ng	ae	3		ŋ	ɛ	31
靄	霭	ng	ae	3		ŋ	ɛ	31
艾	艾	ng	ae	6		ŋ	ɛ	33
砹	砹	ng	ae	6		ŋ	ɛ	33
愛	爱	ng	ae	5		ŋ	ɛ	44
隘	隘	ng	ae	5		ŋ	ɛ	44
礙	碍	ng	ae	6		ŋ	ɛ	33
璦	瑷	ng	ae	5		ŋ	ɛ	44
曖	暧	ng	ae	5		ŋ	ɛ	44
安	安		un	1			ʊ̃	21
桉	桉		un	1			ʊ̃	21
氨	氨		un	1			ʊ̃	21
庵	庵		un	1			ʊ̃	21
鵪	鹌		un	1			ʊ̃	21
鞍	鞍		un	1			ʊ̃	21
盦	盦		uh	7	覆蓋		ʊʔ	4
揞	揞		un	3	手覆		ʊ̃	31
岸	岸		un	6			ʊ̃	33
按	按		un	5			ʊ̃	44
胺	胺		un	5			ʊ̃	44
案	案		un	5			ʊ̃	44
暗	暗		un	5			ʊ̃	44
黯	黯		un	5			ʊ̃	44
骯	骯	ng	an	1		ŋ	ã	21
昂	昂	ng	an	2		ŋ	ã	24
盎	盎	ng	an	5		ŋ	ã	44
凹	凹	ng	o	1		ŋ	ɔ	21
凹	凹	v	a	5		ʋ	a	44
凹	凹	v	ah	7		ʋ	aʔ	4
爊	爊	ng	o	1		ŋ	ɔ	21
敖	敖	ng	o	2		ŋ	ɔ	24
遨	遨	ng	o	2		ŋ	ɔ	24
嗷	嗷	ng	o	2		ŋ	ɔ	24
熬	熬	ng	o	2		ŋ	ɔ	24
翱	翱	ng	o	2		ŋ	ɔ	24
