#i	
p	[1]碑卑椑婢□{牛～：一種牛身上的蟲子，比蝨子更大}□{～□pɔ33：蝙蝠}[3]彼比□{扇仔～：肩胛骨}[5]算秘{1，～密}庇痹□{吹～仔：吹□哨}[6]蔽幣弊斃被{～迫}備篦[7]筆潷畢必逼碧□{□du42～：螞蜂}
pʰ	[1]蓖{～麻籽}[3]疕{痂}鄙匪{土～：強盗}[5]屁{2，托馬～：拍馬屁}[6]脾{2，～氣}鼻{1，～頭：鼻子}[7]匹疋辟
b	[2]脾{1，～氣}琵枇微啤□{～□ɕi53：一種用來罩在菜碗上面的罩子}[6]鼻{2，聞；親嘴}未{地支之一}味{2}
m	[2]目{1，～珠：眼睛}[3]米{2，長度單位}美[5]迷米{1，糯～}謎彌[6]味{1}□{～仔：一點兒}□{禾～仔：麻雀}[7]秘{2，～方}密{2}蜜覓
t	[1]知[3]低{讀字}底{2，鑽～去：鑽進去}抵{2，～抗}[5]底{3，外～：外面，床～：床上}帝蒂智置[6]事{1，事情；工作；話}[7]逮{3，～捕}遞{讀字}地{2，慢慢～}侄的滴嫡笛敵狄翟
tʰ	[1]篩{篩子}士{1，博～：木匠}[3]體[5]治{直之切，殺}[7]剔{2}
d	[2]題提第池馳遲持治{政～}値殖植{逐力切}蟄□{雞虱}[5]弟{2，徒～}鯉[6]痔
n	[2]你{1}入日{1}[3]爾邇[5]尼耳[6]二若{1，哪；□ki45～：怎麼}□{聽～：聽}[7]你{2，～多人：你們}[0]呢
l	[2]狸{2，狐～}立笠{2}[3]禮履李{～仔；姓}里{距離單位}理[5]黎籬{笊～}璃梨痢{2，瘌～頭}厘□{□liŋ33～：穿山甲}[6]厲勵利痢{1，赤～}俐{刁～：聰明}吏□{□lai33～：乾淨}□{赤膊□ki45～：裸體}[7]歷
tɕ	[1]疾{1，痛}[3]姊旨指{2}止址□{摁}[5]薺{□məŋ21～：荸薺}糍致至鷲之志誌痣[6]自{1，獨～：自己}牸{牛～仔：小母牛}□{～仔：乳汁}[7]只{～有}輯執汁質即鯽織職積績
tɕʰ	[1]妻淒棲屍癡□{鴨子啄物}[3]恥齒[5]試[6]豉市□{閉眼}[7]七刺{七跡切，2}戚
dʑ	[2]齊{2，整～}集疾{2，～病}[6]字寺
ɕ	[1]是{1，繫詞：在}私{1，家～：工具}絲鷥詩侍{1，陪～}十實{1，扎～}食{2，扁～：餛飩}席{主～}石{2，～榴}□{□bi42～：一種用來罩在菜碗上面的罩子}[3]死屎始[5]四時[6]氏示飼{～豨：養豬}蒔{～塍：插秧}[7]是{2，讀字}視習悉蟋實{3，老～}失室息熄媳識式飾惜{2，可～}昔夕適釋析
k	[1]雞{2，讀字}稽枝{1，樹～}飢肌几{茶～}基箕機譏舅{2，～翁：祖母的兄弟}□{□ʔiau53～：夏布}[3]麂己紀杞幾{～多}[5]計{2，夥～}繼寄記{～住}既[6]妓及{1，我～你：咱們}□{～若：怎麼}□{赤膊～□li45：裸體}[7]急{2}級及{2}吉桔{～梗}極擊激
kʰ	[1]㩻{傾斜、歪}崎{～嶇}欺柿[3]啓起{2，～泡}豈[5]企{～業}器棄蟣{□lɔ33～：螞蟥}氣汽[7]乞{2，給；被}
ɡ	[2]奇{～怪}騎歧祈其棋期旗[6]技忌□{叮}
ŋ	[3]擬[5]倪宜儀誼疑閻{～王}[6]藝義議毅
x	[1]兮犧嬉{玩兒}熙希稀[3]喜蟢[5]戲[6]系係[7]吸熻{～飯：在鍋裡燜飯}橘
