	說明：1.此字表為製表人多年積累丨口音止取老派丨以實際田野調查以及早期諸家字表結果為參考。2.西鄉基本為合肥口音或合肥與原梁縣(肥東大部)方言過渡口音丨主要地域原磨店、眾興、牌坊、元疃、白龍、撮鎮、店埠以及長臨河西部。3.關於知系舌葉音實際音值洪音為tʂ、tʂʰ、ʂ更靠前的位置介於ʂ和ʃ之間丨前高元音前為tʃ、tʃʰ、ʃ丨取統一規範丨取舌葉音。4.咸山一二等开口韻的主元音ɛ̃丨實際音值多地為æ̃和ɛ̃互為變體丨而各地語保æ̃濫用丨故用ɛ̃表達音值的明顯差別。5.宕江陽聲韻的ɒ̃實際音值ɑ̃、ɒ̃、ɔ̃互為變體丨取ɒ̃中間值。6.明母實際音值老派為mᵇ丨現已因普通話的影響逐漸消失丨这里揀用老派mᵇ。7.去聲的單字調值為53/44丨語流為44本調丨22變調。8.調值以肥東南鄉長臨河鎮南鄉為統一規範丨此處調值恰好等於全縣公約數。9.止和蟹細的ɪ和麻三的i在個一些鄉鎮語流已經不對立丨全部以i形式出現丨需要辯義時可以以ɪ/i對立。						
#调值	①31 ②34 ③223 ⑤44 ⑦5  調值以本縣南長臨河鎮南鄉為統一規範丨此處調值恰好等於全縣公約數						
#ɿ							
p	①屄｛俗字丨女陰｝③彼鄙比⑤篦閉避幣匕痹蔽秘弊泌						
pʰ	①㱟｛~肉｝胚｛肧｝坯｛文讀｝批披丕砒②皮疲啤｛~酒｝枇脾③痞｛俗字｝㱟｛又音｝丕｛又音｝鄙｛白讀｝⑤屁髀譬媲斃痹痺庇諞｛謊也丨有疑｝						
mᵇ	①瞇②瞇迷縻泥埿洣謎糜彌醚獼眉③米麋羋⑤妹｛又音｝						
t	①低③底砥邸⑤地蒂帝偙諦第弟遞						
tʰ	①梯｛文丨電~｝睇②題提堤蹄啼③體⑤屜｛屧俗字｝涕替剃｛文丨~刀｝						
ȵd	②泥｛文讀｝霓倪驪梨罹釐璃灕蠡籬離｛距~｝黎犁狸③鯉｛文讀｝裡里李禮理醴澧裏俚娌擬劙旎⑤例利厲吏隸儷荔｛文讀｝莉麗離｛~開｝痢猁｛新字丨猞~｝隷蠣詈犡膩						
ts	①雞低｛西鄉城關｝姬機滋飢肌基屐孜箕訾齜兹鷀笄咨躋資譏姿淄幾｛~乎｝輜羈奇｛~數｝畸稽③几幾｛~箇｝擠濟績己紫仔籽滓姐｛又音｝底｛西鄉城關｝砥｛西鄉城關｝邸｛西鄉城關｝⑤暨字紀借｛又音｝自漬祭劑驥技冀際伎繼徛寄騎｛一~｝計薊忌既繫髻季覬地｛西鄉城關｝蒂｛西鄉城關｝帝｛西鄉城關｝娣｛西鄉城關｝偙｛西鄉城關｝諦｛西鄉城關｝薺｛~菜｝事｛特~｝弟｛西鄉城關｝第｛西鄉城關｝遞｛西鄉城關｝						
