#ɿ		
ʦ	[1]咨资姿兹滋[2]只{~要}□{副词，只：他~是个邪（脾气暴躁），一点儿也不说理}[3]梓姊紫子字滓籽[5]字自□{悠闲自得的样子：你看他来哈儿躺着晒暖暖可真~儿}	
ʦʰ	[1]呲{咧嘴露出牙齿的面部动作：狗一~牙就快咬人呀}差{参~}疵[2]辞词祠慈磁雌瓷[3]跐{用脚踩实物体的动作：把车上哩东西~~能多装点}此[5]刺次赐伺	
s	[1]司斯厮撕私丝思[3]死[5]四肆似祀巳寺嗣饲俟	
#ʅ		
tʂ	[1]汁之芝脂知蜘支枝肢[2]织值殖植侄执直织职只{~有}质{变~}[3]止址趾旨纸指[5]至致制智置治志滞栀稚痔痣秩掷炙	
tʂʰ	[1]嗤痴[2]迟池驰持吃尺[3]齿耻豉{豆~}[5]翅{~膀}赤斥叱	
ʂ	[1]诗施师狮失尸[2]石食室拾时湿十什{~锦}实蚀识涩{形容柿子等食物不成熟时的味道}虱[3]屎豕是柿事使驶史始市[5]释士侍仕世誓逝势示试式饰适氏视嗜恃	
ʐ	[5]日	
#i		
p	[1]逼屄[2]鼻笔=毕[3]彼比鄙秕[5]弊币蓖闭箅{~子}必避蔽敝陛痹弼碧璧壁	
pʰ	[1]丕坯批琵枇[2]劈脾疲皮匹[3]劈{将物体用刀等从中间分开：把这块木头从当吧间儿里（中间）~开}[5]屁僻辟	
m	[1]咪[2]迷谜=弥[3]米[5]密=泌蜜觅	
t	[1]低堤滴[2]嫡笛狄敌[3]的{目~}底抵地{种地}[5]弟帝第递	
tʰ	[1]梯[2]踢题提蹄啼[3]体[5]剃替涕屉剔	
ȵ	[2]泥尼倪[3]你[5]腻拟匿逆溺	
l	[2]璃狸篱离梨犁黎厘[3]理鲤礼李里[5]厉历利痢立笠粒力例励丽吏栗	
ʦ	[2]疾集辑积脊绩籍藉[3]挤[5]迹济罪=	
ʦʰ	[1]妻[2]戚齐脐七漆缉{~鞋口}	
s	[1]西夕[2]惜悉习席锡析[3]洗[5]细	
ʨ	[1]击屐级{年~}几{茶~；~乎}鸡饥肌基机讥饥激[2]即急级吉极己及[3]鲫给-{~你}几{~个}[5]祭继系{~鞋带}际计寄技妓记季荠济剂稽髻{发~}冀纪忌既寂	
ʨʰ	[1]栖期欺[2]其欺祁鳍旗棋旗奇骑歧岐[3]祈企启起杞岂乞[5]器弃汽气去契泣讫	
ɕ	[1]膝希稀嬉熙牺奚兮溪犀稀息熄[2]昔吸媳{~妇}吸袭畦{菜~}[3]喜玺徙[5]戏繫{联~}	
Ø	[1]揖{作~}伊倚蚁{蚂~}医衣依[2]遗沂夷宜仪移姨以疑乙一饴已[3]椅矣[5]谊艺议易忆亿抑翳翼译毅亦裔奕轶邑饴益刈缢义肄意异毅逸	
#u		
p	[2]不[3]卜{占~}捕补部{小卖~}步{脚~}[5]布部{~长}步{~行}怖{恐~}	
pʰ	[1]铺{~床}仆{~倒}噗[2]菩脯{胸~}蒲{~公英}[3]朴浦{~东}普谱[5]瀑{~布}铺{床~}	
m	[2]亩模{~子}[3]牡拇母[5]墓幕木目穆牧暮慕募	
f	[1]麸{~子}夫肤敷孵{~小鸡}[2]佛{仿~}辐浮俘{~虏}符扶福幅蝠芙{~蓉}服伏複{~杂；~习}[3]釜辅府斧腐腑甫脯抚[5]腹复{反~}缚妇负赴讣付赋副附父富阜跗{~面}	
t	[1]督都[2]独读犊牍毒[3]笃堵赌肚[5]杜度渡镀	
tʰ	[1]突[2]秃途涂图突[3]土[5]兔吐唾{~沫[ma⁰]}	
n	[2]奴[3]努驽[5]怒	
l	[1]撸[2]炉庐卢[3]路鲁鲁露{暴~}[5]鹿禄陆录赂	
ʦ	[1]租组[2]卒族足[3]祖阻	
ʦʰ	[1]粗[5]醋促猝	
s	[1]苏酥[2]俗=[5]素宿={~舍}诉塑嗉速粟	
tʂ	[1]诛蛛株猪珠诸朱[2]术{白~}竹烛[3]箸{筷子：~子}煮住柱拄主嘱[5]驻注蛀铸祝苎著助筑[0]帚{老，扫~}	
tʂʰ	[1]初□{被风吹得着凉生病：出门戴帽子，要不就~病啦}[2]雏除出厨锄[3]储褚楚处{相~}杵{ 1，用棍状物与物体接触：你使棍~~，看这长虫还活着哩白；2，指人傻站着的动作：你别来哈儿~着啦，进屋吧}[5]畜触处{~所}怵	
ʂ	[1]叔=淑枢书梳疏蔬输舒秫{~秸}[2]殊赎熟=[3]署数{动词}暑黍鼠树属蜀薯竖[5]术庶恕戍漱束	
ʐ	[2]儒茹如[3]辱乳擩{向上举：~进去}[5]入褥	
k	[1]姑孤箍[2]谷{~子山~}[3]古估{~计}股鼓骨[5]故固雇	
kʰ	[1]哭枯[2]窟[3]苦[5]库裤酷	
x	[1]忽[2]浒{水~}胡糊壶狐忽核{枣~}[3]瓠{~子}虎护{单用}户{困难~}[5]互户{~主}护{保~}	
Ø	[1]戊巫乌污诬蜈梧{~桐}[2]吾吴无屋[3]午误{耽~}武舞侮鹉雾伍五[5]物坞恶务杌{坐具：~墩}物勿	
#y		
ȵ	[3]女	
l	[2]驴[3]铝履旅吕屡缕捋{~袖子}[5]绿虑滤率律	
ʦʰ	[1]蛆趋[2]黢{~黑}[3]取娶[5]趣	
s	[1]需须戌[2]俗□{着烦}[5]续绪蓄叙序絮婿	
ʨ	[1]锔掬居拘驹车{~马炮}[2]局菊桔[3]举咀[5]句惧具聚锯据剧巨拒距俱	
ʨʰ	[1]屈区驱[2]曲{~折}□{小气，吝啬}渠瞿[3]曲{歌曲}[5]去{~皮}	
ɕ	[1]戌虚嘘墟吁[2]徐[3]许[5]旭恤畜{~牧}蓄{储~}续{继~}	
Ø	[1]淤迂[2]榆逾盂愚虞娱鱼渔愉于余[3]予雨宇禹语羽[5]预豫寓遇裕育玉御誉愈域狱郁欲浴	
#ɚ		
Ø	[2]而儿[3]二耳饵尔[5]贰{~心}	
#ə		
t	[2]德得=	
tʰ	[5]特	
l	[5]乐=勒=	
ʦ	[2]则泽={新}择={新}责={新，责任}[5]仄	
ʦʰ	[5]测厕侧={新}册=策=	
s	[5]瑟色=	
k	[1]歌哥鸽咯[2]阁胳搁戈嗝隔={新}割格革[3]各[5]个{~人}	
kʰ	[1]苛棵{新}科颗柯轲瞌□{用刀砍掉树干上多出来的枝丫：小树得常~砍才能长直溜儿}[2]渴磕壳咳坷[5]课刻客克嗑恪	
ŋ	[2]讹{老}鹅{老}额{老}俄{老}[3]我{第一人称代词，较少使用：~才不哩}[5]饿{老}恶{老}	
