ID	繁體	简体	聲韻	声母	韵母	聲調	注釋		声调：	
1	□	□	biɛ	b	iɛ	阳平	跨過		阴平	33
2	□	□	bo	b	o	阳平			阳平	31
3	便	便	bei	b	ei	阳平	便宜		阴上	35
4	便	便	bi	b	i	阳平	～宜		阳上	35
5	俳	俳	ba	b	a	阳平	～優		阴去	42
6	傍	傍	buɔ	b	uɔ	阳平			阳去	22
7	刨	刨	buɔ	b	uɔ	阳平			阴入	213
8	剽	剽	biɛ	b	iɛ	阳平			阳入	213
9	匍	匍	bu	b	u	阳平				
10	咆	咆	buɔ	b	uɔ	阳平				
11	坌	坌	baŋ	b	aŋ	阳平	坌塵			
12	坒	坒	bei	b	ei	阳平	量詞一層，一～磚			
13	坪	坪	beŋ	b	eŋ	阳平				
14	埤	埤	bei	b	ei	阳平				
15	培	培	bai	b	ai	阳平				
16	塳	塳	boŋ	b	oŋ	阳平	～塵			
17	婆	婆	bøy	b	øy	阳平				
18	嫖	嫖	biɛ	b	iɛ	阳平				
19	屏	屏	beŋ	b	eŋ	阳平				
20	巴	巴	bo	b	o	阳平				
21	巴	巴	bo	b	o	阳平	下～			
22	平	平	beŋ	b	eŋ	阳平				
23	庖	庖	buɔ	b	uɔ	阳平				
24	彭	彭	biɛ	b	iɛ	阳平				
25	彷	彷	buɔ	b	uɔ	阳平	～徨			
26	徘	徘	bai	b	ai	阳平				
27	憑	凭	beŋ	b	eŋ	阳平				
28	扒	扒	bo	b	o	阳平				
29	抔	抔	bɜ	b	ɜ	阳平				
30	掊	掊	bɜ	b	ɜ	阳平				
31	排	排	ba	b	a	阳平				
32	描	描	biɛ	b	iɛ	阳平				
33	搬	搬	bø	b	ø	阳平				
34	旁	旁	buɔ	b	uɔ	阳平				
35	朋	朋	boŋ	b	oŋ	阳平				
36	杷	杷	bo	b	o	阳平				
37	棚	棚	biɛ	b	iɛ	阳平				
38	棚	棚	boŋ	b	oŋ	阳平				
39	盤	盘	bø	b	ø	阳平				
40	氓	氓	biɛ	b	iɛ	阳平				
41	爬	爬	bo	b	o	阳平				
42	爿	丬	ba	b	a	阳平				
43	牌	牌	ba	b	a	阳平				
44	琵	琵	bei	b	ei	阳平				
45	琶	琶	bo	b	o	阳平				
46	瓢	瓢	biɛ	b	iɛ	阳平				
47	瓶	瓶	beŋ	b	eŋ	阳平				
48	瓿	瓿	bai	b	ai	阳平	安～			
49	甍	甍	biɛ	b	iɛ	阳平				
50	疲	疲	bei	b	ei	阳平				
51	皤	皤	bu	b	u	阳平				
52	皮	皮	bei	b	ei	阳平				
53	盆	盆	bø	b	ø	阳平				
54	盤	盘	bø	b	ø	阳平				
55	盲	盲	biɛ	b	iɛ	阳平				
56	瞄	瞄	biɛ	b	iɛ	阳平				
57	硼	硼	boŋ	b	oŋ	阳平				
58	磅	磅	buɔ	b	uɔ	阳平	～秤			
59	盤	盘	bø	b	ø	阳平				
60	磻	磻	bø	b	ø	阳平	～溪，地名			
61	箄	箄	ba	b	a	阳平	筏			
62	篷	篷	boŋ	b	oŋ	阳平				
63	繆	缪	biɛ	b	iɛ	阳平	綢～			
64	罷	罢	bo	b	o	阳平	～工；～免			
65	肥	肥	bei	b	ei	阳平	肥肉			
66	胼	胼	bi	b	i	阳平				
67	脯	脯	bu	b	u	阳平				
68	脾	脾	bei	b	ei	阳平				
69	膀	膀	buɔ	b	uɔ	阳平				
70	膨	膨	biɛ	b	iɛ	阳平				
71	般	般	bø	b	ø	阳平				
72	芃	芃	boŋ	b	oŋ	阳平				
73	苗	苗	biɛ	b	iɛ	阳平				
74	苞	苞	buɔ	b	uɔ	阳平				
75	苞	苞	buɔ	b	uɔ	阳平	花～			
76	莆	莆	bu	b	u	阳平				
77	菩	菩	bu	b	u	阳平				
78	萌	萌	biɛ	b	iɛ	阳平				
79	萍	萍	beŋ	b	eŋ	阳平				
80	葡	葡	bøy	b	øy	阳平				
81	蒡	蒡	buɔ	b	uɔ	阳平				
82	蒱	蒱	bu	b	u	阳平				
83	蒲	蒲	bu	b	u	阳平				
84	蒲	蒲	bøy	b	øy	阳平	蒲鞋			
85	蓬	蓬	boŋ	b	oŋ	阳平				
86	薄	薄	bu	b	u	阳平	～荷			
87	薸	薸	biɛ	b	iɛ	阳平	浮萍			
88	虻	虻	biɛ	b	iɛ	阳平				
89	螃	螃	buɔ	b	uɔ	阳平				
90	蟛	蟛	biɛ	b	iɛ	阳平	～蜞，蟹名			
91	蟠	蟠	bø	b	ø	阳平				
92	袍	袍	bɜ	b	ɜ	阳平				
93	裨	裨	bei	b	ei	阳平				
94	裴	裴	bai	b	ai	阳平				
95	評	评	beŋ	b	eŋ	阳平				
96	貧	贫	beŋ	b	eŋ	阳平				
97	賠	赔	bai	b	ai	阳平				
98	跑	跑	buɔ	b	uɔ	阳平	虎～			
99	蹣	蹒	bø	b	ø	阳平	～跚			
100	鄱	鄱	bu	b	u	阳平				
101	酺	酺	bu	b	u	阳平				
102	醅	醅	bai	b	ai	阳平				
103	鈀	钯	bo	b	o	阳平				
104	錇	锫	bai	b	ai	阳平	元素名			
105	鎊	镑	buɔ	b	uɔ	阳平				
106	陪	陪	bai	b	ai	阳平				
107	鞶	鞶	bø	b	ø	阳平				
108	頻	频	beŋ	b	eŋ	阳平				
109	顰	颦	beŋ	b	eŋ	阳平				
110	駢	骈	bi	b	i	阳平				
111	鵬	鹏	boŋ	b	oŋ	阳平				
112	鶓	鹋	biɛ	b	iɛ	阳平				
113	麅	狍	buɔ	b	uɔ	阳平				
114	鼙	鼙	bei	b	ei	阳平				
115	齙	龅	buɔ	b	uɔ	阳平				
116	龐	庞	buɔ	b	uɔ	阳平				
117	□	□	da	d	a	阳平	<幹/火>燎火			
118	□	□	dɜ	d	ɜ	阳平	推			
119	亭	亭	deŋ	d	eŋ	阳平				
120	佃	佃	di	d	i	阳平				
121	佗	佗	dɤu	d	ɤu	阳平				
122	停	停	deŋ	d	eŋ	阳平				
123	僮	僮	doŋ	d	oŋ	阳平				
124	匋	匋	dɜ	d	ɜ	阳平				
125	咷	咷	dɜ	d	ɜ	阳平				
126	唐	唐	duɔ	d	uɔ	阳平				
127	啕	啕	dɜ	d	ɜ	阳平				
128	啼	啼	dei	d	ei	阳平				
129	囤	囤	dø	d	ø	阳平	～積			
130	圖	图	døy	d	øy	阳平				
131	堂	堂	duɔ	d	uɔ	阳平				
132	堤	堤	dei	d	ei	阳平				
133	塗	涂	døy	d	øy	阳平				
134	塘	塘	duɔ	d	uɔ	阳平				
135	填	填	di	d	i	阳平				
136	婷	婷	deŋ	d	eŋ	阳平				
137	屠	屠	døy	d	øy	阳平				
138	屯	屯	dø	d	ø	阳平				
139	岧	岧	diɛ	d	iɛ	阳平				
140	峒	峒	doŋ	d	oŋ	阳平				
141	庭	庭	deŋ	d	eŋ	阳平				
142	廷	廷	deŋ	d	eŋ	阳平				
143	彈	弹	da	d	a	阳平	～琴			
144	彤	彤	doŋ	d	oŋ	阳平				
145	徒	徒	døy	d	øy	阳平	～弟			
146	徒	徒	dɤu	d	ɤu	阳平				
147	恬	恬	di	d	i	阳平				
148	投	投	dau	d	au	阳平				
149	抬	抬	de	d	e	阳平				
150	掏	掏	dɜ	d	ɜ	阳平				
151	提	提	dei	d	ei	阳平				
152	搪	搪	duɔ	d	uɔ	阳平				
153	摶	抟	dø	d	ø	阳平				
154	曇	昙	dø	d	ø	阳平				
155	桃	桃	dɜ	d	ɜ	阳平				
156	桐	桐	doŋ	d	oŋ	阳平				
157	條	条	diɛ	d	iɛ	阳平				
158	樘	樘	duɔ	d	uɔ	阳平				
159	檀	檀	da	d	a	阳平				
160	汏	汏	da	d	a	阳平	水中晃蕩洗滌			
161	沌	沌	dø	d	ø	阳平				
162	沱	沱	dɤu	d	ɤu	阳平				
163	淘	淘	dɜ	d	ɜ	阳平				
164	溏	溏	duɔ	d	uɔ	阳平				
165	滇	滇	di	d	i	阳平				
166	滕	滕	daŋ	d	aŋ	阳平				
167	漙	漙	dø	d	ø	阳平				
168	潭	潭	dø	d	ø	阳平				
169	濤	涛	dɜ	d	ɜ	阳平				
170	炱	炱	de	d	e	阳平				
171	燾	焘	dɜ	d	ɜ	阳平				
172	瑭	瑭	duɔ	d	uɔ	阳平				
173	甜	甜	di	d	i	阳平				
174	田	田	di	d	i	阳平				
175	畋	畋	di	d	i	阳平				
176	疼	疼	daŋ	d	aŋ	阳平				
177	痰	痰	da	d	a	阳平				
178	瞳	瞳	doŋ	d	oŋ	阳平				
179	童	童	doŋ	d	oŋ	阳平				
180	筒	筒	doŋ	d	oŋ	阳平				
181	糖	糖	duɔ	d	uɔ	阳平				
182	膛	膛	duɔ	d	uɔ	阳平				
183	臀	臀	dø	d	ø	阳平				
184	苕	苕	diɛ	d	iɛ	阳平				
185	荑	荑	dei	d	ei	阳平				
186	荼	荼	dɤu	d	ɤu	阳平				
187	菟	菟	døy	d	øy	阳平				
188	萄	萄	dɜ	d	ɜ	阳平				
189	薹	薹	de	d	e	阳平				
190	藤	藤	daŋ	d	aŋ	阳平				
191	蜓	蜓	daŋ	d	aŋ	阳平	蜻～			
192	蜓	蜓	deŋ	d	eŋ	阳平				
193	蜩	蜩	diɛ	d	iɛ	阳平				
194	螗	螗	duɔ	d	uɔ	阳平				
195	螳	螳	duɔ	d	uɔ	阳平				
196	覃	覃	dø	d	ø	阳平				
197	調	调	diɛ	d	iɛ	阳平	～解			
198	談	谈	da	d	a	阳平				
199	謄	誊	daŋ	d	aŋ	阳平				
200	譚	谭	da	d	a	阳平				
201	豚	豚	dø	d	ø	阳平				
202	贉	贉	dø	d	ø	阳平	～堆，論堆買賣			
203	赯	赯	duɔ	d	uɔ	阳平				
204	跎	跎	dɤu	d	ɤu	阳平				
205	跳	跳	diɛ	d	iɛ	阳平	走			
206	蹄	蹄	dei	d	ei	阳平				
207	迢	迢	diɛ	d	iɛ	阳平				
208	逃	逃	dɜ	d	ɜ	阳平				
209	途	途	døy	d	øy	阳平				
210	郯	郯	da	d	a	阳平				
211	鄌	鄌	duɔ	d	uɔ	阳平				
212	醄	醄	dɜ	d	ɜ	阳平				
213	銅	铜	doŋ	d	oŋ	阳平				
214	錢	钱	di	d	i	阳平	白			
215	鏜	镗	duɔ	d	uɔ	阳平				
216	闐	阗	di	d	i	阳平				
217	陀	陀	dɤu	d	ɤu	阳平				
218	陶	陶	dɜ	d	ɜ	阳平				
219	隤	隤	dai	d	ai	阳平				
220	霆	霆	deŋ	d	eŋ	阳平				
221	鞀	鼗	dɜ	d	ɜ	阳平				
222	頭	头	dɤu	d	ɤu	阳平				
223	頹	颓	dai	d	ai	阳平				
224	題	题	dei	d	ei	阳平				
225	飩	饨	daŋ	d	aŋ	阳平				
226	馱	驮	dɤu	d	ɤu	阳平				
227	駘	骀	de	d	e	阳平				
