湖南方言調查報告-楊時逢-調查時間民國二十四年(1935年)		
長沙城區		
IPA	調類	字
tsɿ	1	之知兹
tsɿ	2	遲
tsɿ	3	子仔只紙
tsɿ	5	自致至字痔志
tsɿ	6	自
tsɿ	7	執姪質直擲
tsʰɿ	1	雌
tsʰɿ	3	恥此
tsʰɿ	5	滯次
sɿ	1	師思斯詩
sɿ	2	時
sɿ	3	死使始矢
sɿ	5	世四示似寺士事市施是伺
sɿ	6	事是
sɿ	7	十實食石
zɿ	7	日
pi	2	皮脾
pi	3	比
pi	7	必畢逼碧壁
pʰi	7	僻闢弼
mi	3	米
mi	5	秘
ti	1	低
ti	2	堤提題
ti	3	底
ti	5	帝第地隸
ti	6	弟第地
ti	7	的笛
tʰi	1	梯
tʰi	3	體
tʰi	5	替
ni	2	梨疑離
ni	3	禮你李里理裡
ni	5	例藝利義議
ni	7	立栗律力逆歷
ʨi	1	機
ʨi	2	齊其期奇
ʨi	3	己幾
ʨi	5	祭計繼記技
ʨi	6	聚
ʨi	7	集急及吉積激
ʨʰi	1	妻棲
ʨʰi	3	取起
ʨʰi	5	器氣妓
ʨʰi	7	七乞極戚喫迄
ɕi	1	須西奚希溪
ɕi	3	喜
ɕi	5	序細系戲
ɕi	7	吸恤息席
pu	2	菩
pu	5	步布
pu	6	步
pu	7	不
pʰu	3	譜普
pʰu	7	勃撲僕暴曝卜
fu	1	乎夫呼
fu	2	狐糊
fu	3	虎腐府
fu	5	戶附婦負
fu	7	忽福服復
ku	1	孤
ku	3	古
ku	5	故
ku	7	骨
kʰu	1	枯
kʰu	3	苦
kʰu	7	哭酷
u	1	烏
u	2	吾無
u	3	五武
u	5	務戊
u	7	物屋沃
ny	3	女
ʨy	1	豬諸拘居
ʨy	2	除
ʨy	3	主舉
ʨy	5	著巨柱句
ʨy	6	住
ʨy	7	橘菊局
ʨʰy	1	區
ʨʰy	3	處
ʨʰy	5	去
ʨʰy	7	出曲屈
ɕy	1	書輸樞虛
ɕy	3	暑許鼠
ɕy	5	樹
ɕy	6	樹
ɕy	7	叔
y	1	於
y	2	如魚余餘儒
y	3	興忌雨
y	5	預
y	7	入鬱役
pa	1	巴
pa	3	把
pa	7	八
pʰa	5	怕
pʰa	7	拔
ma	1	媽
ma	3	馬
fa	1	花
fa	2	華
fa	5	化
fa	6	話
fa	7	法滑發髮
ta	3	打
ta	5	大
ta	6	大
