#参考资料	《桃源县方言语音研究》
#调值	[1]³⁵ [2]²⁴ [3]²¹ [5]¹³ [6]³³ [7]⁵⁵
#ɿ	
ts	[1]之芝支枝吱肢知只栀资姿咨滋孜[2]置痔[3]紫纸只{～有}姊脂旨指至兹子止趾址[6]自字寺恃侍直殖植[7]滞制雌智稚执汁侄质织职炙
tsʰ	[2]池驰瓷迟慈磁辞词祠饲持刺[3]此侈耻齿[5]赐翅匙次嗣治[6][7]刺{～客}嗤秩赤斥尺
s	[1]斯厮撕施私师狮司丝思诗[2]时[3]豉死屎嗜使史驶始[5]世势四肆矢似[6]是伺祀士仕柿事拾实{老～}食石塞[7]誓逝示视试市湿失室蚀识式饰适释
#i	
p	[3]鄙[6]鼻[7]陛壁笔毕必弼逼碧璧辟壁滗闭
pʰ	[1]坯{文}纰{～赖}批{文}披{文}[2]皮疲脾啤琵枇匹[3]彼庇[6]屁[7]痹僻劈
m	[1][2]迷{文}谜{文}弥[3]米[7]秘泌密蜜觅
t	[1]滴{一～～}低{文}的{～士}[3]底抵[5]帝蒂缔[6]涕弟第递娣地的[7]隶滴嫡笛敌
tʰ	[1]梯[2]堤题提蹄啼[3]体[5]替剃[7]去屉踢剔狄
l	[2]泥犂黎尼梨厘妮昵怩霓倪俚狸[3]礼你李里理鲤拟[5]篱离璃[6]例利痢吏[7]厉励丽荔腻粒栗匿力逆历沥
tɕ	[1]鸡饥肌基机讥奇{～数}[3]挤济剂几己纪[5]祭际计继寄记忌季[6]企技妓集疾[7]稽髻蜘既辑急级及吸吉即鲫极屐积迹脊绩寂击激
tɕʰ	[1]妻凄萋溪欺期[2]齐奇骑岐祁其棋旗[3]启起杞岂祈[5]器弃气汽[7]砌脐契七漆乞戚吃
ɕ	[1]西栖奚兮携牺希稀[3]洗玺嬉喜徙[5]细戏[6]系{～统}席袭[7]犀壻习袭悉膝息熄媳惜昔夕锡析
Ø	[1]伊医衣依[2]宜仪谊移夷姨疑遗[3]倚椅矣已以[5]意忆亿抑[6]艺蚁义议[7]缢易冀异毅揖乙一逸翼益亦译液腋
#u	
p	[3]补卜[5]布怖[6]部簿步捕[7]不
pʰ	[2]蒲菩扑[3]谱普浦脯甫[5]铺{店～}[7]铺{～床}赴讣朴扑仆瀑
f	[1]呼乎夫肤敷麸缚[2]胡湖狐壶胡俘孵符芙附浮妇[3]虎浒府腑俯斧傅抚釜腐辅否[5]富[6]户沪互护扶父佛服伏[7]瓠付赋副负复忽福幅蝠复腹覆
k	[1]姑孤箍[3]古咕估盬牯股鼓[5]故固锢雇顾[7]骨谷
kʰ	[1]枯酷[3]苦[5]库裤[7]窟哭
Ø	[1]乌污坞呜邬钨巫诬[2]吴蜈梧无[3]五伍午武舞侮鹉[6]误悟务雾戊勿[7]物屋
#y	
l	[3]缕屡
