#ɿ	
ts	①之滋资知支智枝兹姿咨脂吱栀芝孜蜘{文}孳龇肢恣梓雉③至止纸致指仔子趾滓紫籽置旨址姊祉⑤痣制稚志
tsʰ	①痴糍{粥~}此雌疵嗤呲蚩踟{文}鸱魑{文}媸③齿赐耻翅侈笞{文}叱{文}眵⑤刺次厕
dz	②持迟池驰墀{文}弛⑥痔治滞
s	①施蛳丝斯司师思始诗私尸撕狮嘶锶鸶咝③死屎使史驶矢噬谥 ⑤四世势试肆拭逝泗驷轼弑筮著嗜
z	②时匙伺柿嗣饲词磁糍{又，~团}慈辞瓷祠莳④是市士仕⑥事似视示寺氏侍誓恃舐巳祀峙字自
#i	
p	①屄③比臂蔽秘{又}敝鄙泌愎⑤闭
pʰ	①披批痞砒纰篦⑤屁譬
b	②皮疲脾啤琵裨毗④被{~头、~絮}坒⑥璧币避弊毙箅
m	①眯咪 ③秘{又}泌谧宓蚁②迷弥{又}谜醚靡糜麋猕弭縻④米⑥弥{又~煞则}薇{野~~}
f	①非飞菲匪斐啡妃翡诽扉霏绯蜚⑤费{浪~}废肺沸吠
v	②肥未味{~道}维尾{文}唯惟微薇帷潍⑥费{姓}味{~精}
t	①低 ③底帝抵缔邸谛砥诋骶棣⑤渧
tʰ	①梯悌锑 ③替体嚏屉⑤剃涕
d	②啼提题蹄堤 ④弟 ⑥地第递娣棣
l	①里李理厘哩礼娌 ②李{~子，水果}离梨犁黎狸鲤篱蠡藜痢罹澧锂僳莅醴詈溧{又}嫠⑥痢荔例隶利丽励莉俐璃吏漓沥厉砺戾俪骊蛎鹂唳蜊郦履
tɕ	①机鸡饥己冀基箕奇{~数}肌暨稽姬矶讥叽羁{文}骥稷嵇屐③济几挤剂齑悸季霁寂{文}际⑤寄继计纪祭既
tɕʰ	①启妻岂欺憩蹊凄溪③器起企砌{~墙头}弃⑤气汽
dʑ	②期奇其旗棋荠{~蔓蔓，植物}萁琪祈杞绮崎琦麒祺鳍畸④骑 ⑥忌技伎妓祁及{又，来勿~}歧□{~蛾：扁桃体肿大}
ȵ	②泥呢{毛~}倪拟尼妮霓昵疑宜谊颐耳{白}伲睨猊抳④你 ⑥腻二义议艺毅蚁颐
ɕ	①西希稀熙牺兮嘻蹊硒犀栖曦徙唏郗粞 欷③喜熹洗铣僖玺禧洗嬉⑤细戏
ʑ	②齐脐④荠{~菜}
ɦ	②移异姨倚遗夷彝怡贻漪旖饴肄胰椅{头把交~}⑥易颐{文}矣
Ø	①以已衣依医铱伊⑤亿偃翳臆意忆诣懿薏弈噫
#u	
p	③补怖⑤布
pʰ	①铺{~开}潽 ③谱脯埔圃浦普甫 ⑤铺{床~店~}
b	②捕薄哺抚葡蒲菩匍 ④□{1.形容人肥胖后腰围放大。2.堆放的物品从底部逸出}⑥部步脯埠篰孵伏{同“孵”}
f	①夫扶{~持}孵{文，~化}敷肤俘孚麸凫呼乎③赴府副辅赋斧釜腑咐讣俯⑤富付副{文}虎唬浒琥
v	②附扶{~手}驸抚{文，安~}芙符缚{又}④父武{文}舞{文}⑥负{又}雾{又}侮{又}鹜{又}妇
t	①都嘟③赌堵睹妒蠹肚{~肺}
tʰ	③土吐兔堍菟唾{馋~}
d	②图涂徒途屠荼④肚{又}杜⑥渡度
l	①鲁噜撸卤努弩 ②芦庐泸鸬炉垆颅胪舻⑥路璐露鹭怒
ts	①组{又}租{又}③祖{又}阻{又}诅{又}
tsʰ	①粗{又}③醋{又}猝{文，~手不及}措{又}
s	①苏{又}酥{又}甦{又}③数{动词}⑤数{名词}
k	①孤沽辜姑菇箍钴贾汩蛄轱 ③古故顾固鼓雇估牯瞽臌痼
kʰ	①枯骷③库苦裤绔
ɡ	②咕④□{1.物品过多或挤压过紧致使外壳或包装向外逸出。2.人过胖致使身体向外围明显扩展}
ɦ	②湖葫户胡沪互护糊{~涂}梧壶狐瑚弧扈蝴无午吴芜{又}和④武{又}舞{又}伍{文}⑥雾{又}戊{又}晤{又}务{又}侮{又}鹜{又}误{又}悟{又}毋恶{又，可~}糊{浆~}
Ø	①乌邬吾唔坞钨呜𰓆巫诬圬污焐{~粥锅}③捂⑤焐{~被头}
#y	
l	①吕屡旅铝滤虑缕褛榈侣捋{又}②驴⑥履{又}
tɕ	①组{又}租{又}俎朱珠诸{又}猪株铢诛蛛茱硃居倨车{~马炮}拘驹锥{~钻}矩榉沮雎③嘴煮著注主驻铸祖{又}拄阻{又}诅{又}举据咀踞遽裾龃狙⑤蛀句锯
tɕʰ	①粗{又}蛆区趋驱躯觑岖③取去{文}娶趣祛⑤处醋{又}措{又}
dʑ	②渠瞿衢榘墅{郑~，村名}⑥具俱惧距巨拒炬
